u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,service,bridge,lanes,access,ref,junction,tunnel
42434215,4216045808,0,195743554,False,Avenue A,secondary,20 mph,7.68,"LINESTRING (-73.983535 40.726053, -73.98357919999999 40.7259926)",,,2,,,,
42434226,4216045822,0,46582968,True,East 7th Street,residential,20 mph,7.542,"LINESTRING (-73.981211 40.725073, -73.9812889 40.7251064)",,,1,,,,
42434226,4216045851,0,813956617,False,Avenue B,secondary,20 mph,8.348,"LINESTRING (-73.981211 40.725073, -73.98116330000001 40.7251388)",,,2,yes,,,
42434226,4216045828,0,813956617,False,Avenue B,secondary,20 mph,6.999,"LINESTRING (-73.981211 40.725073, -73.9812514 40.725018)",,,2,yes,,,
42434233,42455181,0,5672646,False,Avenue C,secondary,20 mph,77.957,"LINESTRING (-73.97884689999999 40.7240764, -73.9784069 40.7246931)",,,2,,,,
42434233,42444833,0,5672646,False,Avenue C,secondary,20 mph,73.439,"LINESTRING (-73.97884689999999 40.7240764, -73.9792659 40.7234973)",,,2,,,,
42434233,4216045844,0,46582968,True,East 7th Street,residential,20 mph,219.822,"LINESTRING (-73.97884689999999 40.7240764, -73.9811265 40.7250374)",,,1,,,,
42434237,4301307684,0,25167210,False,Avenue D,secondary,20 mph,73.337,"LINESTRING (-73.976477 40.723078, -73.976055 40.7236548)",,,2,,,,
42434237,4301088412,0,25167210,False,Avenue D,secondary,20 mph,4.504,"LINESTRING (-73.976477 40.723078, -73.9765025 40.7230424)",,,2,,,,
42434237,42434233,0,46582968,True,East 7th Street,residential,20 mph,228.496,"LINESTRING (-73.976477 40.723078, -73.97884689999999 40.7240764)",,,1,,,,
42434818,4890040962,0,5670297,True,West 27th Drive,unclassified,5 mph,29.805,"LINESTRING (-74.0006013 40.7495191, -74.00091260000001 40.7496465)",,,1,,,,
42434969,3817760665,0,5670317,True,East 35th Street,residential,20 mph,49.736,"LINESTRING (-73.97474939999999 40.7451721, -73.9752671 40.7453871)",,,,,,,
42434969,4259278556,0,46139023,True,Tunnel Entrance Street,primary,20 mph,9.883,"LINESTRING (-73.97474939999999 40.7451721, -73.97469390000001 40.7452504)",,,3,,,,
42434974,3834459542,0,5670317,True,East 35th Street,residential,20 mph,10.665,"LINESTRING (-73.973024 40.7444495, -73.9731348 40.7444959)",,,,,,,
42435275,7106318839,0,514350784,False,Terrace Drive,cycleway,20 mph,13.716,"LINESTRING (-73.9759718 40.7762237, -73.97582679999999 40.7761675)",,,,,,,
42435578,42439078,0,480112476,True,West 12th Street,unclassified,20 mph,76.949,"LINESTRING (-74.0047793 40.7375429, -74.003866 40.737544)",,,,,,,
