u,v,key,osmid,name,highway,access,oneway,length,geometry,width,lanes,bridge,maxspeed,est_width,service,ref,junction
4882635722,4882635724,0,496562230,Jalan AMD VIII,residential,private,False,51.387,"LINESTRING (106.839219 -6.305075, 106.8387643 -6.3049785)",4,1,,20,,,,
4882635723,4882635724,0,496562230,Jalan AMD VIII,residential,private,False,33.144,"LINESTRING (106.8384813 -6.3048799, 106.8387643 -6.3049785)",4,1,,20,,,,
4882635723,4882635727,0,496562230,Jalan AMD VIII,residential,private,False,10.203,"LINESTRING (106.8384813 -6.3048799, 106.8383907 -6.3048623)",4,1,,20,,,,
4882635724,4882635722,0,496562230,Jalan AMD VIII,residential,private,False,51.387,"LINESTRING (106.8387643 -6.3049785, 106.839219 -6.305075)",4,1,,20,,,,
4882635724,4882635723,0,496562230,Jalan AMD VIII,residential,private,False,33.144,"LINESTRING (106.8387643 -6.3049785, 106.8384813 -6.3048799)",4,1,,20,,,,
4882635727,4882635723,0,496562230,Jalan AMD VIII,residential,private,False,10.203,"LINESTRING (106.8383907 -6.3048623, 106.8384813 -6.3048799)",4,1,,20,,,,
4882635727,4882635728,0,496562230,Jalan AMD VIII,residential,private,False,25.084,"LINESTRING (106.8383907 -6.3048623, 106.838168 -6.3048188)",4,1,,20,,,,
4882635728,4882635727,0,496562230,Jalan AMD VIII,residential,private,False,25.084,"LINESTRING (106.838168 -6.3048188, 106.8383907 -6.3048623)",4,1,,20,,,,
4882635728,6455150357,0,496562230,Jalan AMD VIII,residential,private,False,7.279,"LINESTRING (106.838168 -6.3048188, 106.8381022 -6.304816)",4,1,,20,,,,
4882668508,4882668517,0,496566999,,living_street,,False,27.062,"LINESTRING (106.8582075 -6.1540971, 106.8584068 -6.1542384)",1.5,1,,5,,,,
4882668517,4882668508,0,496566999,,living_street,,False,27.062,"LINESTRING (106.8584068 -6.1542384, 106.8582075 -6.1540971)",1.5,1,,5,,,,
4882668517,4882671021,0,496566999,,living_street,,False,23.014,"LINESTRING (106.8584068 -6.1542384, 106.8585919 -6.1543331)",1.5,1,,5,,,,
4882671021,4882668517,0,496566999,,living_street,,False,23.014,"LINESTRING (106.8585919 -6.1543331, 106.8584068 -6.1542384)",1.5,1,,5,,,,
4882671021,4882671026,0,496566999,,living_street,,False,30.28,"LINESTRING (106.8585919 -6.1543331, 106.8588289 -6.1544696)",1.5,1,,5,,,,
4882671026,4882671021,0,496566999,,living_street,,False,30.28,"LINESTRING (106.8588289 -6.1544696, 106.8585919 -6.1543331)",1.5,1,,5,,,,
4883150224,4787818805,0,310909723,Jalan Makmur,residential,yes,False,16.594,"LINESTRING (106.8451002 -6.2196371, 106.8452421 -6.2195884)",3,1,,20,,,,
4883150224,3164139644,0,310909723,Jalan Makmur,residential,yes,False,100.378,"LINESTRING (106.8451002 -6.2196371, 106.8442619 -6.2199841)",3,1,,20,,,,
4883234740,7033612103,0,28934535,Jalan Tanah Abang V,residential,,False,164.496,"LINESTRING (106.8165453 -6.1794196, 106.818033 -6.1793903)",3,1,,20,,,,
4883234740,4770086137,0,28934535,Jalan Tanah Abang V,residential,,False,81.859,"LINESTRING (106.8165453 -6.1794196, 106.8158052 -6.179443)",3,1,,20,,,,
4883234741,4770086137,0,28934535,Jalan Tanah Abang V,residential,,False,10.071,"LINESTRING (106.8157141 -6.1794436, 106.8158052 -6.179443)",3,1,,20,,,,
4883234741,4883234742,0,28934535,Jalan Tanah Abang V,residential,,False,205.262,"LINESTRING (106.8157141 -6.1794436, 106.8138609 -6.1795577)",3,1,,20,,,,
4883234742,4883234741,0,28934535,Jalan Tanah Abang V,residential,,False,205.262,"LINESTRING (106.8138609 -6.1795577, 106.8157141 -6.1794436)",3,1,,20,,,,
4883234742,318096722,0,28934535,Jalan Tanah Abang V,residential,,False,80.457,"LINESTRING (106.8138609 -6.1795577, 106.8131348 -6.179607)",3,1,,20,,,,
4884984467,6776018655,0,496832566,,living_street,,False,11.858,"LINESTRING (106.8794246 -6.190117, 106.8793184 -6.190102)",1.5,1,,5,,,,
4884984468,4884984469,0,496832566,,living_street,,False,33.761,"LINESTRING (106.8791647 -6.1901104, 106.8788596 -6.190097)",1.5,1,,5,,,,
4884984468,6776018655,0,496832566,,living_street,,False,17.017,"LINESTRING (106.8791647 -6.1901104, 106.8793184 -6.190102)",1.5,1,,5,,,,
4884984469,4884984470,0,496832566,,living_street,,False,27.913,"LINESTRING (106.8788596 -6.190097, 106.8786101 -6.1900584)",1.5,1,,5,,,,
4884984469,4884984468,0,496832566,,living_street,,False,33.761,"LINESTRING (106.8788596 -6.190097, 106.8791647 -6.1901104)",1.5,1,,5,,,,
4884984470,4884984471,0,496832566,,living_street,,False,21.895,"LINESTRING (106.8786101 -6.1900584, 106.878413 -6.190039)",1.5,1,,5,,,,
4884984470,4884984469,0,496832566,,living_street,,False,27.913,"LINESTRING (106.8786101 -6.1900584, 106.8788596 -6.190097)",1.5,1,,5,,,,
4884984471,4884984472,0,496832566,,living_street,,False,30.654,"LINESTRING (106.878413 -6.190039, 106.8781441 -6.1899717)",1.5,1,,5,,,,
4884984471,4884984470,0,496832566,,living_street,,False,21.895,"LINESTRING (106.878413 -6.190039, 106.8786101 -6.1900584)",1.5,1,,5,,,,
4884984472,4884984471,0,496832566,,living_street,,False,30.654,"LINESTRING (106.8781441 -6.1899717, 106.878413 -6.190039)",1.5,1,,5,,,,
4884984474,4884984475,0,841572759,,living_street,,False,15.075,"LINESTRING (106.878142 -6.1899456, 106.8780058 -6.1899389)",1.5,1,,5,,,,
4884984475,4884984476,0,841572759,,living_street,,False,8.915,"LINESTRING (106.8780058 -6.1899389, 106.8779255 -6.1899315)",1.5,1,,5,,,,
4884984475,4884984474,0,841572759,,living_street,,False,15.075,"LINESTRING (106.8780058 -6.1899389, 106.878142 -6.1899456)",1.5,1,,5,,,,
4884984476,4884984477,0,841572759,,living_street,,False,9.064,"LINESTRING (106.8779255 -6.1899315, 106.8778436 -6.1899353)",1.5,1,,5,,,,
4884984476,4884984475,0,841572759,,living_street,,False,8.915,"LINESTRING (106.8779255 -6.1899315, 106.8780058 -6.1899389)",1.5,1,,5,,,,
4884984477,4884984476,0,841572759,,living_street,,False,9.064,"LINESTRING (106.8778436 -6.1899353, 106.8779255 -6.1899315)",1.5,1,,5,,,,
4891455124,6771003385,0,121193025,Jalan Haji Tohir,residential,,False,6.741,"LINESTRING (106.8322027 -6.3288886, 106.8321691 -6.328838)",4,1,,30,,,,
4891455124,1357305866,0,121193025,Jalan Haji Tohir,residential,,False,15.899,"LINESTRING (106.8322027 -6.3288886, 106.8322738 -6.3290129)",4,1,,30,,,,
4900797761,5662497061,0,485766257,,residential,,True,31.314,"LINESTRING (106.9056506 -6.1815337, 106.905616 -6.1812542)",,,,20,,,,
4900798607,6792220081,0,498713859,Jalan Bina Taruna II,living_street,,False,35.793,"LINESTRING (106.8996496 -6.1846294, 106.8995449 -6.1843248)",2,1,,5,,,,
