u,v,key,osmid,name,highway,access,oneway,length,geometry,width,lanes,bridge,maxspeed
6728627772,6728627770,0,716015379,,cycleway,,False,63.229,"LINESTRING (106.7901252 -6.1952538, 106.7900102 -6.1952516, 106.7898326 -6.1952481, 106.7895536 -6.195235)",1.5,,,
6773792336,5504237682,0,722130445,Gang Bocor,cycleway,,False,191.559,"LINESTRING (106.9081641 -6.245411, 106.9081213 -6.2458575, 106.9086418 -6.2458791, 106.9086201 -6.2461315, 106.9086425 -6.2461637, 106.9086375 -6.2462454, 106.9090213 -6.2462652)",,,,
1154382858,1975015139,0,186755784,Jalan Swadaya I,residential,,False,63.159,"LINESTRING (106.8643942 -6.1698217, 106.8643495 -6.1699132, 106.8643469 -6.169922, 106.8643489 -6.169937, 106.864356 -6.1699453, 106.8647534 -6.1701177)",4,1,,
1493006679,1775757170,0,166091216,Jalan Harapan Jaya 1,living_street,,False,54.452999999999996,"LINESTRING (106.8659623 -6.1699825, 106.8660189 -6.1699571, 106.8661644 -6.1698916, 106.8663056 -6.1698281, 106.8664111 -6.1697807)",1,1,,
1775757170,1493006679,0,166091216,Jalan Harapan Jaya 1,living_street,,False,54.453,"LINESTRING (106.8664111 -6.1697807, 106.8663056 -6.1698281, 106.8661644 -6.1698916, 106.8660189 -6.1699571, 106.8659623 -6.1699825)",1,1,,
1777742967,4978679935,0,"[166320251, 508585351]",Jalan Teladan,living_street,,False,218.355,"LINESTRING (106.7955851 -6.2798818, 106.7956039 -6.279395, 106.7955934 -6.2790243, 106.795584 -6.27899, 106.7955694 -6.278981, 106.7955208 -6.2789884, 106.7954948 -6.2789848, 106.7954793 -6.2789568, 106.7954509 -6.2788302, 106.7954471 -6.2788191, 106.7954549 -6.2788084, 106.7962125 -6.2785647)","['1', '2']",1,,
1974984833,1975015139,0,186759229,Jalan Harapan 4,living_street,,False,1.158,"LINESTRING (106.8647623 -6.1701122, 106.8647534 -6.1701177)",1,1,,
1974984833,1975015110,0,186759229,Jalan Harapan 4,living_street,,False,3.256,"LINESTRING (106.8647623 -6.1701122, 106.8647809 -6.1700895)",1,1,,
1974984833,1975015153,0,"[489753802, 489753803, 186759294, 186759295]",,living_street,,False,78.48399999999998,"LINESTRING (106.8647623 -6.1701122, 106.8647735 -6.1701318, 106.8647872 -6.1701482, 106.8648373 -6.1701879, 106.8649363 -6.1702707, 106.8649803 -6.1703101, 106.8650246 -6.1703553, 106.8650643 -6.1703693, 106.8650778 -6.170369, 106.8652066 -6.1703262, 106.8652153 -6.1703103, 106.8652163 -6.1702889, 106.8651952 -6.1702437, 106.865185 -6.1702301, 106.8651391 -6.1702073)",1,1,yes,
1975015110,1974984833,0,186759229,Jalan Harapan 4,living_street,,False,3.256,"LINESTRING (106.8647809 -6.1700895, 106.8647623 -6.1701122)",1,1,,
1975015139,1975015233,0,186759229,Jalan Harapan 4,living_street,,False,47.992,"LINESTRING (106.8647534 -6.1701177, 106.8645446 -6.1704961)",1,1,,
1975015139,1974984833,0,186759229,Jalan Harapan 4,living_street,,False,1.158,"LINESTRING (106.8647534 -6.1701177, 106.8647623 -6.1701122)",1,1,,
1975015139,1154382858,0,186755784,Jalan Swadaya I,residential,,False,63.159000000000006,"LINESTRING (106.8647534 -6.1701177, 106.864356 -6.1699453, 106.8643489 -6.169937, 106.8643469 -6.169922, 106.8643495 -6.1699132, 106.8643942 -6.1698217)",4,1,,
1975015153,1974984833,0,"[489753802, 489753803, 186759294, 186759295]",,living_street,,False,78.484,"LINESTRING (106.8651391 -6.1702073, 106.865185 -6.1702301, 106.8651952 -6.1702437, 106.8652163 -6.1702889, 106.8652153 -6.1703103, 106.8652066 -6.1703262, 106.8650778 -6.170369, 106.8650643 -6.1703693, 106.8650246 -6.1703553, 106.8649803 -6.1703101, 106.8649363 -6.1702707, 106.8648373 -6.1701879, 106.8647872 -6.1701482, 106.8647735 -6.1701318, 106.8647623 -6.1701122)",1,1,yes,
1975015233,1975015139,0,186759229,Jalan Harapan 4,living_street,,False,47.992,"LINESTRING (106.8645446 -6.1704961, 106.8647534 -6.1701177)",1,1,,
4774149501,4774149568,0,484660733,,living_street,,False,30.948,"LINESTRING (106.8541416 -6.2088622, 106.8542233 -6.2090503, 106.8542494 -6.209119)",2,1,,30
4774149560,4774149605,0,484660732,,residential,,False,50.576,"LINESTRING (106.8537057 -6.2090887, 106.8538965 -6.2095021)",3,1,,30
4774149568,4774149501,0,484660733,,living_street,,False,30.948,"LINESTRING (106.8542494 -6.209119, 106.8542233 -6.2090503, 106.8541416 -6.2088622)",2,1,,30
4774149605,4774149560,0,484660732,,residential,,False,50.576,"LINESTRING (106.8538965 -6.2095021, 106.8537057 -6.2090887)",3,1,,30
4978679935,1777742967,0,"[166320251, 508585351]",Jalan Teladan,living_street,,False,218.35500000000002,"LINESTRING (106.7962125 -6.2785647, 106.7954549 -6.2788084, 106.7954471 -6.2788191, 106.7954509 -6.2788302, 106.7954793 -6.2789568, 106.7954948 -6.2789848, 106.7955208 -6.2789884, 106.7955694 -6.278981, 106.795584 -6.27899, 106.7955934 -6.2790243, 106.7956039 -6.279395, 106.7955851 -6.2798818)","['1', '2']",1,,
