u,v,key,osmid,name,highway,access,oneway,length,geometry,width,lanes,bridge,maxspeed,est_width,service,ref,junction
352911717,352911715,0,31537011,Jalan Haji Yakub Saidi,residential,,False,195.53,"LINESTRING (106.8710381 -6.2177736, 106.8711001 -6.2177783, 106.8714362 -6.217779, 106.8716921 -6.2177824, 106.8719915 -6.2177901, 106.8723747 -6.2177999, 106.872763 -6.2178029, 106.8727992 -6.2177789)",4,2,,10,,,,
352911721,352911712,0,"[31537013, 803281686]",Jalan Bekasi Timur II,residential,,False,153.411,"LINESTRING (106.8735728 -6.2182639, 106.8735207 -6.2178122, 106.8734993 -6.2177643, 106.8731023 -6.2173643, 106.87279 -6.2173753)",3,1,,10,,,,
353137043,353137649,0,"[761283393, 761283394, 31560004]",Jalan Menteng Pulo II,residential,destination,False,462.6,"LINESTRING (106.8410324 -6.2214539, 106.8410345 -6.2214746, 106.8410926 -6.2218392, 106.8411694 -6.2223304, 106.8411846 -6.2224685, 106.8412293 -6.2228306, 106.8412601 -6.2230879, 106.8412766 -6.2232251, 106.8412939 -6.2233544, 106.8413435 -6.2237082, 106.8413843 -6.2239798, 106.8413964 -6.2243851, 106.8406918 -6.2243796, 106.8406734 -6.2243936, 106.8406677 -6.2244156, 106.8406704 -6.2244649, 106.8406926 -6.224839, 106.8406951 -6.224873)",4,1,,20,,,,
353137649,353137043,0,"[761283393, 761283394, 31560004]",Jalan Menteng Pulo II,residential,destination,False,462.6,"LINESTRING (106.8406951 -6.224873, 106.8406926 -6.224839, 106.8406704 -6.2244649, 106.8406677 -6.2244156, 106.8406734 -6.2243936, 106.8406918 -6.2243796, 106.8413964 -6.2243851, 106.8413843 -6.2239798, 106.8413435 -6.2237082, 106.8412939 -6.2233544, 106.8412766 -6.2232251, 106.8412601 -6.2230879, 106.8412293 -6.2228306, 106.8411846 -6.2224685, 106.8411694 -6.2223304, 106.8410926 -6.2218392, 106.8410345 -6.2214746, 106.8410324 -6.2214539)",4,1,,20,,,,
353139793,4817686382,0,489532373,Jalan Sibayak,living_street,,False,18.504,"LINESTRING (106.8495441 -6.2010454, 106.8497081 -6.2010121)",4,2,,20,,,,
357148031,5063679274,0,519264827,Jalan Mujahidin,residential,,False,612.221,"LINESTRING (106.7628446 -6.2399909, 106.7623311 -6.2400315, 106.7618893 -6.240071, 106.7616367 -6.2400941, 106.761481 -6.2400979, 106.7609868 -6.24011, 106.7607717 -6.2401153, 106.7607382 -6.239912, 106.7607342 -6.239646, 106.7607976 -6.2394241, 106.760887 -6.2391822, 106.7608938 -6.2388541, 106.7608844 -6.2384796, 106.7605047 -6.2384388, 106.7602474 -6.2384335, 106.7601867 -6.2384047, 106.7601538 -6.2383667, 106.7601344 -6.238294, 106.7601364 -6.2382347, 106.7601468 -6.2381803, 106.7601608 -6.2381513, 106.760182 -6.2381074, 106.7602272 -6.2380549, 106.7604566 -6.2378416, 106.7606229 -6.2377066, 106.760723 -6.2375823)",3,1,,20,,,,
361122728,5019161891,0,"[32201153, 800663821]",Jalan Tabanas,residential,permissive,False,304.25200000000007,"LINESTRING (106.8010016 -6.2824214, 106.8009663 -6.2828961, 106.8009077 -6.2835301, 106.800897 -6.2835853, 106.8008595 -6.2839393, 106.8008257 -6.2844093, 106.8008021 -6.2844395, 106.8007189 -6.2845488, 106.8006948 -6.2845648, 106.8006653 -6.2845676, 106.8004043 -6.2845627, 106.8002281 -6.2845541, 106.8001559 -6.2845536)",5,1,,5,,,,
371029682,1244654096,0,108487813,Jalan Marina Indah,residential,,True,92.321,"LINESTRING (106.7456661 -6.1124166, 106.7456622 -6.1123189, 106.7456493 -6.1121746, 106.7455754 -6.1115916)",3,1,,30,,,,
391160294,2620862338,0,367046898,,residential,,False,32.94,"LINESTRING (106.7368873 -6.131304, 106.7370182 -6.1314594, 106.7370509 -6.1314982, 106.7370786 -6.1315311)",5,,,20,,,,
391160333,5097408161,0,"[683044800, 787321848, 343484840, 787321847]",,"['residential', 'track']",no,False,683.6320000000001,"LINESTRING (106.7391847 -6.1320126, 106.7393281 -6.1322009, 106.7408573 -6.1342077, 106.7414025 -6.134677, 106.7415861 -6.1348351, 106.7422533 -6.1356602, 106.7424296 -6.1358789, 106.7425002 -6.1359798, 106.7427429 -6.1362798, 106.7429282 -6.1365442, 106.7429782 -6.1366887, 106.7430045 -6.1367519, 106.7430354 -6.1367851)",5,2,,20,,,,
410403023,5034143969,0,515490545,Gang Lingkar II,living_street,,False,158.068,"LINESTRING (106.7184448 -6.1732276, 106.7185013 -6.1730387, 106.7185199 -6.1729108, 106.7185213 -6.1729088, 106.7185224 -6.1729081, 106.7185249 -6.1729076, 106.7185271 -6.1729077, 106.7186448 -6.1729347, 106.7186488 -6.1729347, 106.7186513 -6.1729327, 106.7186534 -6.1729293, 106.7186863 -6.1727987, 106.7187243 -6.172625, 106.718724 -6.1726237, 106.7187239 -6.1726227, 106.7187226 -6.1726217, 106.7187217 -6.172621, 106.7185093 -6.1725907, 106.7183926 -6.1725777, 106.7183914 -6.1725772, 106.7183909 -6.1725765, 106.7183832 -6.1725347, 106.7183875 -6.1724277, 106.7183868 -6.1724262, 106.7183857 -6.1724251, 106.7183835 -6.1724242, 106.718233 -6.1724067)",1,1,,5,,,,
413771170,4814554143,0,803229275,Jalan Kali Anyar X,tertiary,,False,111.85799999999999,"LINESTRING (106.8012419 -6.1586074, 106.80128 -6.1579874, 106.8012607 -6.1577835, 106.8012171 -6.1576088)",3,2,,5,,,,
506041187,4415518942,0,298469647,Jalan Kelapa Lilin IV,residential,,False,186.842,"LINESTRING (106.9107527 -6.1576078, 106.9108236 -6.1576522, 106.9121823 -6.158504)",4,,,20,,,,
518612460,4800222529,0,487569165,Jalan Pengadegan Utara Raya,tertiary,,False,434.50800000000004,"LINESTRING (106.8585931 -6.2463457, 106.8583731 -6.2463658, 106.8583186 -6.2463718, 106.8578164 -6.2464139, 106.8577899 -6.2464153, 106.8576559 -6.2464221, 106.8574195 -6.2464343, 106.8573273 -6.246441, 106.8569374 -6.24647, 106.8568477 -6.2464807, 106.8566094 -6.2465091, 106.856471 -6.2465288, 106.8563937 -6.2465361, 106.8556719 -6.2465722, 106.8556036 -6.2465716, 106.8549053 -6.2466219, 106.8546752 -6.2466461)",4,1,,20,,,,
831562786,3023803499,0,298469653,Jalan Kelapa Lilin XI,residential,,False,160.756,"LINESTRING (106.9119634 -6.1553128, 106.9134148 -6.1554008)",4,1,,20,,,,
831562786,3023803497,0,298470370,Jalan Gading Indah Utara IX,residential,,False,39.503,"LINESTRING (106.9119634 -6.1553128, 106.9119417 -6.1556674)",4,1,,20,,,,
831562786,3023848613,0,298470370,Jalan Gading Indah Utara IX,residential,,False,42.846,"LINESTRING (106.9119634 -6.1553128, 106.9119855 -6.1549695, 106.911987 -6.1549282)",4,1,,20,,,,
831562816,3023803500,0,298469654,Jalan Kelapa Lilin IX,residential,,False,147.819,"LINESTRING (106.9119198 -6.1560235, 106.9132544 -6.1561044)",4,1,,20,,,,
831562816,3023803507,0,298470370,Jalan Gading Indah Utara IX,residential,,False,28.519,"LINESTRING (106.9119198 -6.1560235, 106.9119041 -6.1562795)",4,1,,20,,,,
831562816,3023803497,0,298470370,Jalan Gading Indah Utara IX,residential,,False,39.671,"LINESTRING (106.9119198 -6.1560235, 106.9119417 -6.1556674)",4,1,,20,,,,
1131149430,317180427,0,"[761818554, 28146260, 749983748]",Jalan Achmad Bakrie Timur,tertiary,,False,681.3370000000001,"LINESTRING (106.8353697 -6.2195502, 106.8353918 -6.2196335, 106.8354132 -6.2196922, 106.8354361 -6.2197521, 106.8354683 -6.2198054, 106.8355474 -6.2199321, 106.8357155 -6.2201486, 106.8357372 -6.2201854, 106.8357539 -6.220224, 106.8357673 -6.220264, 106.8357781 -6.2203134, 106.8357928 -6.2203747, 106.8358022 -6.2204307, 106.8358585 -6.2207547, 106.8359365 -6.221201, 106.8360632 -6.2218463, 106.8360704 -6.2219225, 106.8360758 -6.2219879, 106.8360718 -6.2220479, 106.8360534 -6.222127, 106.8359397 -6.2226379, 106.8359189 -6.2227811, 106.8359049 -6.222916, 106.8358666 -6.2231691, 106.8358231 -6.2234999, 106.8358 -6.2236, 106.8357821 -6.223665, 106.8357606 -6.2237197, 106.8357134 -6.2238271, 106.835648 -6.2239903, 106.8355637 -6.2241954, 106.8355393 -6.2242556, 106.8355224 -6.2243151, 106.8355139 -6.224361, 106.8355139 -6.224405, 106.835523 -6.224494, 106.835534 -6.2245796, 106.835546 -6.2246703, 106.835568 -6.2248337, 106.8355997 -6.2250674, 106.8356519 -6.2254523)",10,"['4', '3']",,20,,,,
1131149437,2397990627,0,392819076,Epicentrum Utama Raya,secondary,,True,147.44199999999998,"LINESTRING (106.8348908 -6.2196192, 106.8348205 -6.2196308, 106.8347467 -6.2196521, 106.8344132 -6.2197458, 106.8341007 -6.2198465, 106.8340276 -6.21987, 106.8339304 -6.2198999, 106.8337342 -6.2199603, 106.8336132 -6.2199976)",,1,,20,7.65,,,
