u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,access,bridge,width,area,tunnel
263777256,7792246269,0,89527076,True,2,Carrera 16,tertiary,13.318,"LINESTRING (-74.07170050000001 4.62097, -74.0716767 4.6210874)",30,,,,,
263777260,5178524354,0,24324772,True,2,Avenida Calle 32,secondary,9.311,"LINESTRING (-74.0721138 4.6209312, -74.0721952 4.6209105)",,,,,,
263777264,264154033,0,24324772,True,2,Avenida Calle 32,secondary,30.399,"LINESTRING (-74.07241260000001 4.6208602, -74.0726782 4.620792)",,,,,,
264153871,263776866,0,675552252,True,2,Diagonal 40A,tertiary,20.433,"LINESTRING (-74.0674922 4.6273726, -74.0676622 4.6274437)",,,,,,
264153893,3901979756,0,89724961,True,2,Avenida Carrera 24,secondary,20.788,"LINESTRING (-74.0749235 4.6304222, -74.0749079 4.6306085)",,,,,,
264153902,4004473144,0,89724959,True,2,Avenida Carrera 24,secondary,7.962,"LINESTRING (-74.07517230000001 4.6277494, -74.0751731 4.627821)",30,,,,,
264153902,4004473138,0,658185537,False,3,Calle 39,residential,5.482,"LINESTRING (-74.07517230000001 4.6277494, -74.0751234 4.627742)",,,,,,
264153902,4004473141,0,778332455,True,3,Calle 39,residential,32.481,"LINESTRING (-74.07517230000001 4.6277494, -74.0754621 4.6277929)",,,,,,
264153924,6326450564,0,675557369,True,2,Diagonal 36 Bis,secondary,18.835,"LINESTRING (-74.0744608 4.6255521, -74.07432489999999 4.6254504)",,,,,,
264154033,264154283,0,24324772,True,2,Avenida Calle 32,secondary,101.786,"LINESTRING (-74.0726782 4.620792, -74.0735694 4.620571)",,,,,,
264154049,3889256970,0,24324772,True,2,Avenida Calle 32,secondary,17.771,"LINESTRING (-74.0708941 4.6207615, -74.0710399 4.620828)",,,,,,
264154063,264154097,0,532379051,True,2,Calle 36,tertiary,102.402,"LINESTRING (-74.07008980000001 4.6247812, -74.0709974 4.6249536)",30,,,,,
264154086,2863283611,0,89716908,True,2,Diagonal 40A,tertiary,119.126,"LINESTRING (-74.0702351 4.6294127, -74.0710713 4.6300858)",30,,,,,
264154086,263776959,0,89720050,True,2,Carrera 16,residential,69.401,"LINESTRING (-74.0702351 4.6294127, -74.0701301 4.630028)",30,,,,,
264154097,264154358,0,677989004,True,2,Calle 36,tertiary,102.874,"LINESTRING (-74.0709974 4.6249536, -74.0719101 4.6251219)",30,,,,,
264154097,1268313152,0,677989003,True,2,Carrera 16,residential,110.646,"LINESTRING (-74.0709974 4.6249536, -74.0708128 4.6259315)",35,,,,,
264154283,263777145,0,24324772,True,2,Avenida Calle 32,secondary,80.831,"LINESTRING (-74.0735694 4.620571, -74.0742769 4.6203946)",,,,,,
