u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,bridge
1039801525,263777145,0,"[89725309, 677989005, 89527071]",True,2,Carrera 19,tertiary,795.5280000000001,"LINESTRING (-74.07301320000001 4.6274371, -74.0732375 4.626194, -74.07339229999999 4.625373, -74.0734734 4.6249269, -74.07349019999999 4.6248345, -74.07350700000001 4.6247421, -74.0735478 4.624518, -74.0735651 4.6244231, -74.073689 4.6237418, -74.0736958 4.6236946, -74.07384399999999 4.6228598, -74.07399959999999 4.6219736, -74.0741331 4.6212131, -74.0742769 4.6203946)",30,
1057516570,3580893724,0,91081124,False,2,Calle 2,tertiary,161.161,"LINESTRING (-74.1611788 4.6425317, -74.1613303 4.6427146, -74.16150690000001 4.6429278, -74.1616978 4.6431583, -74.16190210000001 4.643409, -74.162099 4.6436539)",30,
1604495627,6313420785,0,89759584,False,2,Calle 48,residential,227.703,"LINESTRING (-74.0769566 4.6379324, -74.0772669 4.6379849, -74.077755 4.6380702, -74.0787515 4.6382308, -74.07890329999999 4.6382585, -74.07898350000001 4.6382649)",,
2863283583,2863283593,0,"[342859691, 89574300, 24350397]",True,2,Calle 37,residential,530.6089999999999,"LINESTRING (-74.07981650000001 4.6256785, -74.0797603 4.6257022, -74.0791996 4.6259385, -74.0785771 4.6262104, -74.0781353 4.6263988, -74.0779522 4.6264768, -74.07727180000001 4.6267761, -74.07716670000001 4.6268419, -74.0771134 4.6268684, -74.0770449 4.6268767, -74.076883 4.6268544, -74.0763516 4.626756, -74.0754513 4.6265701, -74.07531539999999 4.6265427)",30,
3236651042,283342319,0,"[89626722, 89626693, 89874985, 675560587, 89626717]",True,"['1', '2']",Calle 64,"['tertiary', 'primary', 'secondary']",474.71900000000005,"LINESTRING (-74.0626065 4.6503773, -74.0632001 4.6507338, -74.0633033 4.6507958, -74.06374150000001 4.6510641, -74.06416179999999 4.6513173, -74.0642038 4.6513426, -74.0642469 4.6513677, -74.0643438 4.6514243, -74.0644003 4.6514572, -74.0644556 4.6514909, -74.0652965 4.6520036, -74.06576800000001 4.6522776, -74.0662698 4.6525894)",30,
3580893724,1057516570,0,91081124,False,2,Calle 2,tertiary,161.161,"LINESTRING (-74.162099 4.6436539, -74.16190210000001 4.643409, -74.1616978 4.6431583, -74.16150690000001 4.6429278, -74.1613303 4.6427146, -74.1611788 4.6425317)",30,
5102158168,263369125,0,"[89759294, 89759689, 25973483, 89759501, 89759728, 89759825, 89759413, 89759322, 89759895, 675547577, 675547578, 24306045, 24690430, 89759455]",True,"['1', '2']","['Carrera 19A', 'Carrera 18', 'Calle 61', 'Calle 63D']","['tertiary', 'residential']",1691.8160000000005,"LINESTRING (-74.0683725 4.6538915, -74.0688806 4.6539983, -74.0690105 4.6532606, -74.0690537 4.6530334, -74.06918020000001 4.6523337, -74.0693163 4.6515713, -74.0693584 4.6513063, -74.0694699 4.6506522, -74.0694666 4.6506002, -74.0694613 4.6505812, -74.0694472 4.6505304, -74.0694264 4.6504134, -74.06940950000001 4.6503599, -74.0694045 4.6503442, -74.0693983 4.6502929, -74.0694159 4.6500422, -74.069405 4.6498602, -74.0693854 4.6497236, -74.0693347 4.6495701, -74.06931729999999 4.6495176, -74.06929049999999 4.6494281, -74.0692174 4.6491944, -74.0691942 4.6490878, -74.0691825 4.6489606, -74.06918760000001 4.6486505, -74.0685723 4.6485355, -74.0687101 4.6478163, -74.0687192 4.6477686, -74.06887639999999 4.6468697, -74.0689588 4.6463874, -74.0690539 4.6458692, -74.06913400000001 4.6454254, -74.0692597 4.6447271, -74.069276 4.6446386, -74.0693711 4.6440169, -74.0694872 4.6433995, -74.06960599999999 4.6427949, -74.06959310000001 4.6426642, -74.06957180000001 4.6425347, -74.0695723 4.6424863, -74.0696018 4.6423503, -74.06981039999999 4.6411378, -74.069816 4.6411027, -74.0698239 4.6410535, -74.0698388 4.6409728, -74.0699341 4.6404656, -74.0700124 4.6400855, -74.07002249999999 4.6400363)",30,
5171726923,5171726924,0,675547579,False,2,Calle 60,tertiary,21.421,"LINESTRING (-74.0671578 4.6474953, -74.0673465 4.647537)",30,
5171726923,283342319,0,"[24313817, 89759450, 89759724, 384129990]",True,2,Carrera 16,residential,574.945,"LINESTRING (-74.0671578 4.6474953, -74.0670023 4.6484536, -74.0668811 4.6491707, -74.066743 4.6499003, -74.0667339 4.6499483, -74.0667175 4.6500406, -74.06670889999999 4.6500882, -74.06653420000001 4.6510557, -74.06639869999999 4.6518319, -74.0662698 4.6525894)",30,
5171726924,5171726923,0,675547579,False,2,Calle 60,tertiary,21.421,"LINESTRING (-74.0673465 4.647537, -74.0671578 4.6474953)",30,
6313420785,1604495627,0,89759584,False,2,Calle 48,residential,227.703,"LINESTRING (-74.07898350000001 4.6382649, -74.07890329999999 4.6382585, -74.0787515 4.6382308, -74.077755 4.6380702, -74.0772669 4.6379849, -74.0769566 4.6379324)",,
6854339374,312656265,0,734633047,True,3,Carrera 19,residential,4.286,"LINESTRING (-74.0643606 4.6602277, -74.0643814 4.6601952)",,
