u,v,key,osmid,oneway,lanes,name,highway,length,geometry,access,bridge,width,maxspeed,tunnel,service,junction
42249125,1359697914,0,121203201,False,,,cycleway,3038.7849999999994,"LINESTRING (-112.1515552 33.5819109, -112.1513293 33.5817532, -112.1493921 33.5805086, -112.1415391 33.5754938, -112.1405199 33.5748417, -112.1401766 33.5746715, -112.1400371 33.5745821, -112.1398976 33.5744748, -112.1397045 33.5743412, -112.1393397 33.5740909, -112.1390393 33.5739032, -112.1385029 33.5735456, -112.1379664 33.5732059, -112.1378484 33.5731205, -112.1378055 33.5731027, -112.1377462 33.5730984, -112.1376928 33.5730893, -112.1376446 33.5730759, -112.1350791 33.5721999, -112.1344255 33.5719837, -112.1343216 33.5719548, -112.1341544 33.5719035, -112.1340378 33.571869, -112.1336497 33.571747, -112.1330416 33.5715453, -112.1330073 33.5715332, -112.1325822 33.5713827, -112.1321967 33.5712503, -112.1317783 33.5711079, -112.1308181 33.570781, -112.1294064 33.5703145, -112.1291174 33.5702313, -112.1289282 33.5701852, -112.1287341 33.5701434, -112.1285511 33.5701168, -112.1281943 33.5700845, -112.1279167 33.5700734, -112.1266545 33.5700795, -112.1264068 33.5700915, -112.126255 33.5701024, -112.1256257 33.5701134, -112.1251892 33.5701224, -112.123039 33.5700965)",,,,,,,
42250845,755579003,0,60519798,False,,,cycleway,64.033,"LINESTRING (-112.0075732 33.6268564, -112.0076826 33.6267832, -112.0076994 33.6264633, -112.0076568 33.6264638, -112.0075957 33.6264774, -112.0075396 33.626497)",,,,,,,
42265038,755579400,0,146981637,False,,,cycleway,13.219000000000001,"LINESTRING (-112.0099406 33.6183459, -112.0099259 33.6183004, -112.0098635 33.6182509)",,,,,,,
42312407,2024698579,0,191909224,False,,,cycleway,4.995,"LINESTRING (-112.0610307 33.5596724, -112.0609768 33.5596728)",,,,,,,
42323340,763001220,0,60947708,False,,,cycleway,24.602000000000004,"LINESTRING (-112.0075235 33.6227637, -112.007497 33.6228585, -112.0075205 33.6229125, -112.0075414 33.6229338, -112.0075853 33.6229473)",,,,,,,
42324575,1006158611,0,86573779,False,,,cycleway,9.349,"LINESTRING (-112.1087761 33.6073352, -112.1088619 33.6073795)",,,,,,,
42401321,775259579,0,62132629,False,,,cycleway,536.783,"LINESTRING (-111.9522324 33.4728243, -111.9522966 33.4679972)",,,,,,,
42401321,41533175,0,"[482869506, 537741876, 537741877]",False,"['3', '2']",East Oak Street,tertiary,809.4249999999998,"LINESTRING (-111.9522324 33.4728243, -111.9490111 33.4728815, -111.9489594 33.4728813, -111.947895 33.4728899, -111.9478405 33.4728903, -111.9476805 33.4728915, -111.9475359 33.4728926, -111.9469337 33.4728971, -111.9462732 33.4729021, -111.9457383 33.4729061, -111.9453048 33.4729093, -111.9445382 33.472915, -111.9444753 33.4729155, -111.9440213 33.4729189, -111.9437174 33.4729212, -111.9436276 33.4729221, -111.9435672 33.4729227, -111.9435067 33.4729232)",,,,"['30 mph', '25 mph']",,,
42401321,42461737,0,"[537741880, 537741879]",False,"['3', '2']",East Oak Street,tertiary,813.1170000000001,"LINESTRING (-111.9522324 33.4728243, -111.9526007 33.4728219, -111.9560703 33.4727994, -111.9568935 33.4727941, -111.9583415 33.4727633, -111.9608491 33.4727515, -111.9609982 33.4727508)",,,,30 mph,,,
42408564,2052636075,0,194755860,False,,,cycleway,38.281,"LINESTRING (-111.9951406 33.3135424, -111.9952915 33.3135352, -111.995431 33.3135173, -111.995525 33.3134554)",,,,,,,
