u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,service,access,junction,bridge,tunnel
41480785,7132495587,0,5585995,False,,service,15 mph,6.239,"LINESTRING (-112.0754149 33.6435205, -112.0754823 33.6435207)",2,parking_aisle,private,,,
41480787,2683008825,0,5585995,False,,service,15 mph,16.093,"LINESTRING (-112.0752767 33.6434509, -112.0751599 33.6433437)",2,parking_aisle,private,,,
41480787,41480785,0,5585995,False,,service,15 mph,14.952,"LINESTRING (-112.0752767 33.6434509, -112.0754149 33.6435205)",2,parking_aisle,private,,,
41480789,41480792,0,5585995,False,,service,15 mph,12.112,"LINESTRING (-112.075105 33.6432742, -112.0750781 33.6431676)",2,parking_aisle,private,,,
41480789,2683008825,0,5585995,False,,service,15 mph,9.249,"LINESTRING (-112.075105 33.6432742, -112.0751599 33.6433437)",2,parking_aisle,private,,,
41480792,41480789,0,5585995,False,,service,15 mph,12.112,"LINESTRING (-112.0750781 33.6431676, -112.075105 33.6432742)",2,parking_aisle,private,,,
41480792,7770862256,0,832343501,False,,service,15 mph,24.486,"LINESTRING (-112.0750781 33.6431676, -112.0750765 33.6429474)",2,parking_aisle,private,,,
41480794,2683008820,0,832343501,False,,service,15 mph,24.875,"LINESTRING (-112.0750758 33.6428509, -112.0750741 33.6426272)",2,parking_aisle,private,,,
41480794,7770862256,0,832343501,False,,service,15 mph,10.731,"LINESTRING (-112.0750758 33.6428509, -112.0750765 33.6429474)",2,parking_aisle,private,,,
41480798,2683008820,0,832343501,False,,service,15 mph,50.726,"LINESTRING (-112.0750848 33.6421711, -112.0750741 33.6426272)",2,parking_aisle,private,,,
41480798,2683008814,0,832343505,False,,service,15 mph,8.684,"LINESTRING (-112.0750848 33.6421711, -112.0751785 33.6421674)",2,parking_aisle,private,,,
41480799,2683008819,0,832343502,False,,service,15 mph,37.144,"LINESTRING (-112.0758402 33.6422669, -112.0759369 33.6425911)",2,parking_aisle,private,,,
41480799,2683008816,0,832343502,False,,service,15 mph,18.082,"LINESTRING (-112.0758402 33.6422669, -112.0756837 33.6421696)",2,parking_aisle,private,,,
41490584,41336219,0,5586857,False,,service,15 mph,37.669,"LINESTRING (-112.0780746 33.6420158, -112.0776677 33.6420186)",2,parking_aisle,private,,,
41504771,2510700624,0,243696214,True,North 49th Avenue,residential,15 mph,11.184,"LINESTRING (-112.1641896 33.6062727, -112.164119 33.6063543)",1,,,,,
41514774,1690504197,0,5675475,False,North Echo Canyon Circle,residential,15 mph,14.782,"LINESTRING (-111.9765687 33.5204325, -111.976429 33.5203684)",,,private,,,
41514774,2169145787,0,206867746,False,North Echo Canyon Circle,residential,15 mph,23.29,"LINESTRING (-111.9765687 33.5204325, -111.9767778 33.5205486)",2,,private,,,
41514774,1690504193,0,258422369,False,North Echo Canyon Drive,residential,15 mph,17.898,"LINESTRING (-111.9765687 33.5204325, -111.9766571 33.5202894)",2,,private,,,
41514777,2633195198,0,26624376,False,North Echo Canyon Lane,residential,15 mph,6.885,"LINESTRING (-111.9768225 33.5216865, -111.9768241 33.5217484)",2,,private,,,
41514777,1690504269,0,206867746,False,North Echo Canyon Circle,residential,15 mph,8.273,"LINESTRING (-111.9768225 33.5216865, -111.976823 33.5216121)",2,,private,,,
