u,v,key,osmid,oneway,name,highway,length,geometry,bridge,width,lanes,tunnel,maxspeed,junction,ref,access
97449881,2908254375,0,"[10928612, 299976430]",False,,cycleway,1685.9190000000003,"LINESTRING (19.0531053 47.5953174, 19.0531428 47.5953723, 19.0531537 47.5954346, 19.0531761 47.5954963, 19.0532381 47.5956066, 19.0533103 47.595717, 19.0535176 47.595972, 19.0538042 47.5963373, 19.0539231 47.5964922, 19.0543388 47.5971042, 19.0546254 47.5975189, 19.055091 47.5982129, 19.0551783 47.5983884, 19.0554121 47.5986621, 19.0556825 47.5990438, 19.0560118 47.5995345, 19.0562575 47.5999112, 19.05634 47.6000382, 19.0563664 47.6000789, 19.0563916 47.6001333, 19.056444 47.6002984, 19.0564694 47.600339, 19.0571234 47.6012328, 19.0574254 47.6016621, 19.0578639 47.6022841, 19.0581691 47.6027836, 19.0581935 47.6028151, 19.05823 47.6028466, 19.0582809 47.6028809, 19.0583256 47.6029069, 19.0583439 47.6029344, 19.0583825 47.6029988, 19.0588439 47.6036608, 19.0594939 47.6046625, 19.0596039 47.6048289, 19.0596629 47.6048849, 19.0597343 47.6049973, 19.0598278 47.6051408, 19.0600491 47.6055016, 19.0600518 47.6055513, 19.0600571 47.6057213, 19.0600665 47.6057864, 19.0600786 47.6058208, 19.0601068 47.6058687, 19.0617377 47.6086939, 19.0618084 47.6087713, 19.0620376 47.6089521, 19.0620846 47.6090022, 19.0621371 47.6091075, 19.0621656 47.6091256)",,,,,,,,
97450331,4013727540,0,10928614,False,,cycleway,6.839,"LINESTRING (19.0592394 47.6092911, 19.0592187 47.609351)",,,,,,,,
97450331,4013711334,0,374810867,False,,cycleway,11.138,"LINESTRING (19.0592394 47.6092911, 19.059092 47.6092785)",,,,,,,,
97450331,2908254375,0,10928614,False,,cycleway,222.065,"LINESTRING (19.0592394 47.6092911, 19.0604014 47.6093403, 19.0606068 47.6093417, 19.0607946 47.6093283, 19.0618095 47.6091829, 19.0621656 47.6091256)",,,,,,,,
101484385,710751187,0,217101803,False,,cycleway,10.717,"LINESTRING (19.1171614 47.4839445, 19.1172243 47.484031)",,,,,,,,
104619632,1666704770,0,"[154074595, 299642844]",False,,cycleway,145.309,"LINESTRING (19.1318678 47.5666659, 19.1317516 47.5666607, 19.1317058 47.5666314, 19.1315461 47.5664605, 19.1314276 47.5662263, 19.131285 47.5660073, 19.1311978 47.5658951, 19.1311205 47.5657953, 19.1310428 47.5657146, 19.1308788 47.5655971)",,,,,,,,
132811764,4559777897,0,"[299630716, 58736541]",False,,cycleway,207.478,"LINESTRING (19.0692925 47.5287347, 19.0692563 47.529125, 19.0692113 47.5291591, 19.0691238 47.5292253, 19.0691151 47.5296035, 19.0691225 47.5298781, 19.0691565 47.5299812, 19.0692802 47.5301129, 19.0694223 47.5302045, 19.069651 47.5303752, 19.0697119 47.5304231)",,,,,,,,
152920341,152920343,0,229622980,False,Hugonnay Vilma utca,residential,9.403,"LINESTRING (18.9896091 47.3933192, 18.989614 47.3934037)",,,,,,,,
152920341,3037892651,0,"[218432850, 218432835, 218432843, 54146079]",False,"['Pohár utca', 'Nagytétényi út']","['cycleway', 'service', 'residential']",218.567,"LINESTRING (18.9896091 47.3933192, 18.9896519 47.393333, 18.990104 47.3934784, 18.9901806 47.393503, 18.9902026 47.3934762, 18.9902557 47.3934113, 18.9918759 47.3940935, 18.9918866 47.3941476, 18.9919016 47.3941906, 18.9919435 47.3942216)",,,,,,,,
152920341,2379476677,0,"[229622981, 229622984, 17273325, 17273327, 15422551]",False,"['Hugonnay Vilma utca', 'Úttörők útja', 'Kastélymúzeum utca', 'Kastélypark utca', 'Szent Flórián utca']",residential,976.316,"LINESTRING (18.9896091 47.3933192, 18.9896078 47.3933031, 18.9896037 47.3932944, 18.9895611 47.3932044, 18.9893004 47.3928269, 18.9889174 47.3922882, 18.9882906 47.3913902, 18.9882548 47.391339, 18.988166 47.3912801, 18.9875021 47.3918884, 18.9868501 47.3914863, 18.9863947 47.3911831, 18.986245 47.3913148, 18.9857633 47.3917385, 18.9853955 47.3915394, 18.9853424 47.3915106, 18.9849974 47.3913685, 18.9847583 47.3912925, 18.983679 47.391033, 18.9835574 47.3910005, 18.9824224 47.3906938, 18.9815551 47.3904471, 18.981463 47.3904233, 18.9810526 47.3903174, 18.9806998 47.3902523, 18.9806081 47.3902461, 18.9805482 47.3902685, 18.980465 47.3903623, 18.9804525 47.390377, 18.9804281 47.3904059)",,,,,,,,
154480323,2914950439,0,"[345220240, 287938681, 162097472]",False,Ártér utca,cycleway,1066.1829999999998,"LINESTRING (19.0329007 47.4067245, 19.0359838 47.4072175, 19.0369778 47.4074233, 19.0375729 47.4076516, 19.0381646 47.4079912, 19.0383787 47.4081801, 19.0388442 47.4089091, 19.0395 47.4098079, 19.0397175 47.4101179, 19.0398246 47.4103446, 19.0398999 47.4105701, 19.0399531 47.4107595, 19.0399699 47.4108812, 19.0399647 47.4109719, 19.0398608 47.4116509, 19.0397986 47.4121431, 19.0398139 47.4123736, 19.0398082 47.4125764, 19.0398123 47.4126237, 19.0398335 47.4126577, 19.0399674 47.4127496, 19.0401737 47.4129043, 19.0403552 47.4132262, 19.0403657 47.4133096, 19.0403716 47.4133493)",,,,,,,,
154480337,753978733,0,"[60472360, 53864817, 229346949]",False,Hárosi-Duna part,cycleway,1151.215,"LINESTRING (19.0185756 47.3996375, 19.0185191 47.3994891, 19.0183679 47.3992381, 19.0179542 47.3988195, 19.0161108 47.3971308, 19.0151245 47.3962947, 19.0149176 47.3960973, 19.0145523 47.3957488, 19.0141965 47.3955028, 19.0135117 47.3949431, 19.0133647 47.3948254, 19.013112 47.3946578, 19.0130476 47.394611, 19.0128118 47.3944566, 19.012785 47.3943913, 19.0129135 47.3936014, 19.0129807 47.3930803, 19.0130236 47.3928673, 19.0136784 47.3906767)",yes,,,,,,,
158434742,1666704770,0,154074612,False,,cycleway,55.422,"LINESTRING (19.1305069 47.5653596, 19.130776 47.5653878, 19.1309712 47.565487, 19.1309995 47.5655169, 19.1309545 47.565546, 19.1308788 47.5655971)",,,,,,,,
158440299,1666704770,0,154074595,False,,cycleway,62.434,"LINESTRING (19.1301768 47.5652999, 19.1304121 47.5654084, 19.1305774 47.5654546, 19.1307367 47.5655251, 19.1308788 47.5655971)",,,,,,,,
178972118,178972119,0,54146085,False,,cycleway,86.21900000000001,"LINESTRING (19.0038378 47.3993122, 19.0030721 47.398984, 19.0029205 47.3989391, 19.0028573 47.3989134)",,,,,,,,
178972119,178972118,0,54146085,False,,cycleway,86.21900000000001,"LINESTRING (19.0028573 47.3989134, 19.0029205 47.3989391, 19.0030721 47.398984, 19.0038378 47.3993122)",,,,,,,,
198112537,3896795906,0,386360878,False,,cycleway,8.865,"LINESTRING (19.0391288 47.511798, 19.0391259 47.5117183)",,,,,,,,
