u,v,key,osmid,name,highway,maxspeed,access,oneway,length,geometry,lanes,service,width,bridge,tunnel,junction
122474466,1842889173,0,383830063,Ignatian Circle,residential,15 mph,,False,5.259,"LINESTRING (-118.4160793 33.9719869, -118.4160227 33.9719811)",2,,,,,
122474470,1842889186,0,816074667,,service,15 mph,,False,11.277,"LINESTRING (-118.4159248 33.9727611, -118.4158263 33.9728212)",,,,,,
122474470,1842889179,0,816074667,,service,15 mph,,False,7.646,"LINESTRING (-118.4159248 33.9727611, -118.4159653 33.9727011)",,,,,,
122474473,1842889188,0,816074667,,service,15 mph,,False,6.497,"LINESTRING (-118.4150791 33.9729941, -118.4150096 33.9729845)",,,,,,
122474473,7643948331,0,816074667,,service,15 mph,,False,54.09,"LINESTRING (-118.4150791 33.9729941, -118.4156441 33.9728634)",,,,,,
122474953,6167840393,0,13267690,,service,15 mph,,False,7.862,"LINESTRING (-118.5704047 34.1974385, -118.5704049 34.1973678)",,alley,,,,
122474954,6069682757,0,13267690,,service,15 mph,,False,7.742,"LINESTRING (-118.5703968 34.1948003, -118.5704603 34.1947546)",,alley,,,,
122474954,6167840393,0,13267690,,service,15 mph,,False,285.494,"LINESTRING (-118.5703968 34.1948003, -118.5704049 34.1973678)",,alley,,,,
122474961,6167840388,0,13267690,,service,15 mph,,False,13.437,"LINESTRING (-118.5709852 34.1947619, -118.5708392 34.1947576)",,alley,,,,
122487742,6214378460,0,32517894,Brahma Drive,service,15 mph,,True,4.375,"LINESTRING (-118.5748737 34.1824889, -118.5749095 34.182463)",,,,,,
122487742,5953099265,0,418098426,The Mall,cycleway,5 mph,,False,5.102,"LINESTRING (-118.5748737 34.1824889, -118.5749084 34.1825247)",,,,,,
122497191,7455725986,0,13270947,,service,15 mph,,False,13.433,"LINESTRING (-118.266327 33.7710605, -118.2663354 33.7711811)",,alley,,,,
122497192,7455725988,0,13270947,,service,15 mph,,False,8.643,"LINESTRING (-118.2664416 33.7724848, -118.2664391 33.7724071)",,alley,,,,
122500746,7554711639,0,13271449,,service,15 mph,,False,87.91,"LINESTRING (-118.4484981 34.0474043, -118.4479438 34.0467608)",,alley,,,,
122500746,6759060733,0,13271449,,service,15 mph,,False,58.401,"LINESTRING (-118.4484981 34.0474043, -118.4488697 34.0478298)",,alley,,,,
122500748,7554711621,0,13271449,,service,15 mph,,False,12.504,"LINESTRING (-118.4478454 34.0466465, -118.4477665 34.046555)",,alley,,,,
122500748,7554711639,0,13271449,,service,15 mph,,False,15.612,"LINESTRING (-118.4478454 34.0466465, -118.4479438 34.0467608)",,alley,,,,
122500750,703004516,0,13271449,,service,15 mph,,False,153.749,"LINESTRING (-118.4469737 34.0456345, -118.4460042 34.0445091)",,alley,,,,
122500750,703004487,0,13271449,,service,15 mph,,False,83.077,"LINESTRING (-118.4469737 34.0456345, -118.4474974 34.0462427)",,alley,,,,
122538485,6399711496,0,13407065,Hamlin Street,residential,15 mph,permissive,False,13.987,"LINESTRING (-118.5499532 34.1889116, -118.5498089 34.1889513)",,,,,,
122538485,7560568181,0,13407065,Hamlin Street,residential,15 mph,permissive,False,11.77,"LINESTRING (-118.5499532 34.1889116, -118.5500705 34.1888693)",,,,,,
122538486,7560568176,0,13449706,Haynes Street,residential,15 mph,permissive,False,28.228,"LINESTRING (-118.5499709 34.1897219, -118.5502778 34.1897223)",,,,,,
122538486,4821367682,0,13449706,Haynes Street,residential,15 mph,permissive,False,9.474,"LINESTRING (-118.5499709 34.1897219, -118.5499659 34.189807)",,,,,,
122544736,1976242960,0,24561984,Lake Drive,residential,15 mph,,False,68.917,"LINESTRING (-118.4149946 34.1135376, -118.4146399 34.1140834)",,,,,,
122544736,1976242991,0,24561984,Lake Drive,residential,15 mph,,False,58.031,"LINESTRING (-118.4149946 34.1135376, -118.4152681 34.1130674)",,,,,,
122551084,122551089,0,13278040,,service,15 mph,,False,121.094,"LINESTRING (-118.2470502 33.7852556, -118.2469646 33.7841689)",,alley,,,,
122551089,122551084,0,13278040,,service,15 mph,,False,121.094,"LINESTRING (-118.2469646 33.7841689, -118.2470502 33.7852556)",,alley,,,,
122551089,634377029,0,49917065,,service,15 mph,,False,61.037,"LINESTRING (-118.2469646 33.7841689, -118.2463056 33.7842052)",,alley,,,,
122551089,634377028,0,49917065,,service,15 mph,,False,58.091,"LINESTRING (-118.2469646 33.7841689, -118.2475919 33.7841358)",,alley,,,,
122551397,122394378,0,13278072,,service,15 mph,,False,53.783,"LINESTRING (-118.4453146 34.0478644, -118.4457826 34.0475753)",,alley,,,,
122554289,122554293,0,13278398,,service,15 mph,,False,120.168,"LINESTRING (-118.2456936 33.785325, -118.2456018 33.784247)",,alley,,,,
