u,v,key,osmid,highway,oneway,length,geometry,bridge,name,lanes,width,maxspeed,tunnel,access,service,area,ref
5566578129,5566626983,0,822309588,cycleway,False,1417.4160000000004,"LINESTRING (-118.446273 33.9499406, -118.4459202 33.9495626, -118.4458934 33.9495211, -118.4458705 33.9494727, -118.4458044 33.949246, -118.4457667 33.9491768, -118.4457432 33.9491457, -118.4457104 33.9491039, -118.4456666 33.9490654, -118.445598 33.949016, -118.4453557 33.9489085, -118.4453151 33.9488859, -118.4450359 33.9486943, -118.4449712 33.9486426, -118.4449311 33.9486038, -118.444813 33.9484241, -118.4447888 33.9483779, -118.4447817 33.9483393, -118.4447629 33.9480521, -118.4447535 33.9479898, -118.4447374 33.9479381, -118.4447051 33.947874, -118.444665 33.9478217, -118.4446164 33.9477706, -118.4443753 33.9475837, -118.444334 33.9475417, -118.4442974 33.9475029, -118.4442209 33.9473901, -118.4441905 33.9473256, -118.4441712 33.947252, -118.4441581 33.9471867, -118.4440903 33.9468028, -118.4440729 33.9467438, -118.4440166 33.9466369, -118.4439207 33.9465251, -118.4437893 33.9463939, -118.4434488 33.9460612, -118.4433823 33.945985, -118.4433339 33.9459183, -118.4430825 33.945392, -118.4430609 33.9453122, -118.443049 33.9452522, -118.4430439 33.9451674, -118.4430531 33.9451006, -118.4431509 33.9447506, -118.4432226 33.9444652, -118.443234 33.9443479, -118.443226 33.94425, -118.4432059 33.9441298, -118.4431415 33.9439941, -118.4430456 33.9438717, -118.4428258 33.9436593, -118.4427871 33.9436118, -118.4425351 33.9431498, -118.4424521 33.9429081, -118.4424455 33.9428492, -118.4424508 33.9428064, -118.4424756 33.9427553, -118.4425058 33.9427252, -118.4425535 33.942699, -118.4426111 33.9426885, -118.4426781 33.9426913, -118.4429135 33.9427514, -118.4429651 33.9427497, -118.4430134 33.9427352, -118.4430483 33.9427096, -118.4430697 33.9426735, -118.4430792 33.9425995, -118.4430691 33.9424354, -118.443053 33.9423536, -118.4430159 33.9422524, -118.442951 33.9421206, -118.4428826 33.9420288, -118.4423915 33.9415306, -118.4422026 33.9413455, -118.4418395 33.9409084, -118.4417644 33.9408041, -118.441219 33.9399257, -118.4411883 33.9398794, -118.441144 33.9398336, -118.4410902 33.9397924, -118.4407318 33.9396072, -118.4406759 33.9395774, -118.4405665 33.9394952)",,South Bay Bike Path,2,,,,,,,
5566578140,5566578162,0,581895716,footway,False,12.964,"LINESTRING (-118.4464915 33.9503719, -118.4464898 33.9503325, -118.4464935 33.9502554)",,,,,,,,,,
5566578157,5566578162,0,581895720,footway,False,57.126000000000005,"LINESTRING (-118.4463714 33.9504234, -118.4463934 33.9504519, -118.4464242 33.950474, -118.4464613 33.9504881, -118.4465016 33.9504929, -118.446542 33.9504881, -118.446579 33.950474, -118.4466098 33.9504519, -118.4466319 33.9504234, -118.4466433 33.950391, -118.4466433 33.9503572, -118.4466319 33.9503248, -118.4466098 33.9502963, -118.446579 33.9502742, -118.446542 33.9502602, -118.4464935 33.9502554)",,,,,,,,,,
5566578158,5566578162,0,581895720,footway,False,14.881,"LINESTRING (-118.4463634 33.9503254, -118.4463887 33.9502946, -118.4464242 33.9502742, -118.4464546 33.950263, -118.4464935 33.9502554)",,,,,,,,,,
5566578162,5566578140,0,581895716,footway,False,12.964,"LINESTRING (-118.4464935 33.9502554, -118.4464898 33.9503325, -118.4464915 33.9503719)",,,,,,,,,,
5566578162,5566578129,0,581895716,footway,False,48.56999999999999,"LINESTRING (-118.4464935 33.9502554, -118.4465016 33.9502314, -118.4464902 33.9502092, -118.4464701 33.9501936, -118.4462948 33.9501149, -118.4462738 33.9500989, -118.4462558 33.9500799, -118.4462347 33.9500142, -118.4462371 33.9499869, -118.4462504 33.9499585, -118.446273 33.9499406)",,,,,,,,,,
5566578162,5566578158,0,581895720,footway,False,14.881,"LINESTRING (-118.4464935 33.9502554, -118.4464546 33.950263, -118.4464242 33.9502742, -118.4463887 33.9502946, -118.4463634 33.9503254)",,,,,,,,,,
5566578162,5566578157,0,581895720,footway,False,57.126000000000005,"LINESTRING (-118.4464935 33.9502554, -118.446542 33.9502602, -118.446579 33.9502742, -118.4466098 33.9502963, -118.4466319 33.9503248, -118.4466433 33.9503572, -118.4466433 33.950391, -118.4466319 33.9504234, -118.4466098 33.9504519, -118.446579 33.950474, -118.446542 33.9504881, -118.4465016 33.9504929, -118.4464613 33.9504881, -118.4464242 33.950474, -118.4463934 33.9504519, -118.4463714 33.9504234)",,,,,,,,,,
5566626983,5566627016,0,581904872,footway,False,29.934,"LINESTRING (-118.4405665 33.9394952, -118.4405416 33.9395098, -118.440492 33.9395371, -118.4404739 33.9395569, -118.4404656 33.9395812, -118.4404688 33.9397256)",,,,,,,,,,
5566626983,5566578129,0,822309588,cycleway,False,1417.4160000000002,"LINESTRING (-118.4405665 33.9394952, -118.4406759 33.9395774, -118.4407318 33.9396072, -118.4410902 33.9397924, -118.441144 33.9398336, -118.4411883 33.9398794, -118.441219 33.9399257, -118.4417644 33.9408041, -118.4418395 33.9409084, -118.4422026 33.9413455, -118.4423915 33.9415306, -118.4428826 33.9420288, -118.442951 33.9421206, -118.4430159 33.9422524, -118.443053 33.9423536, -118.4430691 33.9424354, -118.4430792 33.9425995, -118.4430697 33.9426735, -118.4430483 33.9427096, -118.4430134 33.9427352, -118.4429651 33.9427497, -118.4429135 33.9427514, -118.4426781 33.9426913, -118.4426111 33.9426885, -118.4425535 33.942699, -118.4425058 33.9427252, -118.4424756 33.9427553, -118.4424508 33.9428064, -118.4424455 33.9428492, -118.4424521 33.9429081, -118.4425351 33.9431498, -118.4427871 33.9436118, -118.4428258 33.9436593, -118.4430456 33.9438717, -118.4431415 33.9439941, -118.4432059 33.9441298, -118.443226 33.94425, -118.443234 33.9443479, -118.4432226 33.9444652, -118.4431509 33.9447506, -118.4430531 33.9451006, -118.4430439 33.9451674, -118.443049 33.9452522, -118.4430609 33.9453122, -118.4430825 33.945392, -118.4433339 33.9459183, -118.4433823 33.945985, -118.4434488 33.9460612, -118.4437893 33.9463939, -118.4439207 33.9465251, -118.4440166 33.9466369, -118.4440729 33.9467438, -118.4440903 33.9468028, -118.4441581 33.9471867, -118.4441712 33.947252, -118.4441905 33.9473256, -118.4442209 33.9473901, -118.4442974 33.9475029, -118.444334 33.9475417, -118.4443753 33.9475837, -118.4446164 33.9477706, -118.444665 33.9478217, -118.4447051 33.947874, -118.4447374 33.9479381, -118.4447535 33.9479898, -118.4447629 33.9480521, -118.4447817 33.9483393, -118.4447888 33.9483779, -118.444813 33.9484241, -118.4449311 33.9486038, -118.4449712 33.9486426, -118.4450359 33.9486943, -118.4453151 33.9488859, -118.4453557 33.9489085, -118.445598 33.949016, -118.4456666 33.9490654, -118.4457104 33.9491039, -118.4457432 33.9491457, -118.4457667 33.9491768, -118.4458044 33.949246, -118.4458705 33.9494727, -118.4458934 33.9495211, -118.4459202 33.9495626, -118.446273 33.9499406)",,South Bay Bike Path,2,,,,,,,
