y,x,osmid,ref,highway,geometry
52.548574,13.1351383,33236660,,,POINT (13.1351383 52.548574)
52.5513179,13.1323939,33236662,,,POINT (13.1323939 52.5513179)
52.5481197,13.136868,33236663,,,POINT (13.136868 52.5481197)
52.5462943,13.1438571,33317332,,,POINT (13.1438571 52.5462943)
52.5468808,13.1416766,33317334,,,POINT (13.1416766 52.5468808)
52.5511191,13.1398778,33317344,,,POINT (13.1398778 52.5511191)
52.5511889,13.1382873,33317354,,,POINT (13.1382873 52.5511889)
52.551399,13.1366476,33317383,,,POINT (13.1366476 52.551399)
52.5522889,13.1384786,33317387,,turning_circle,POINT (13.1384786 52.5522889)
52.5517527,13.1350321,33317466,,,POINT (13.1350321 52.5517527)
52.5397688,13.1409027,33317876,,,POINT (13.1409027 52.5397688)
52.5404601,13.1393985,33317884,,,POINT (13.1393985 52.5404601)
52.5405902,13.1379994,33317886,,,POINT (13.1379994 52.5405902)
52.5407343,13.1366196,33317887,,,POINT (13.1366196 52.5407343)
52.5429926,13.1372046,33317889,,,POINT (13.1372046 52.5429926)
52.5428677,13.138514,33317891,,,POINT (13.138514 52.5428677)
52.5427241,13.1398478,33317893,,,POINT (13.1398478 52.5427241)
52.5402888,13.1349952,33317895,,,POINT (13.1349952 52.5402888)
52.5431697,13.1357446,33317896,,,POINT (13.1357446 52.5431697)
52.5466902,13.137112,33317899,,,POINT (13.137112 52.5466902)
52.5476682,13.133375,33317901,,,POINT (13.133375 52.5476682)
52.5453595,13.1324578,33317903,,,POINT (13.1324578 52.5453595)
52.5452477,13.136396,33317905,,,POINT (13.136396 52.5452477)
52.5336972,13.141901,33317920,,,POINT (13.141901 52.5336972)
52.5482106,13.131174,33317922,,,POINT (13.131174 52.5482106)
52.5487024,13.1292647,33317924,,,POINT (13.1292647 52.5487024)
52.5453618,13.127878,33317927,,,POINT (13.127878 52.5453618)
52.5491492,13.127506,33317928,,,POINT (13.127506 52.5491492)
52.5421275,13.1465489,33324696,,,POINT (13.1465489 52.5421275)
52.542459,13.1432769,33324703,,,POINT (13.1432769 52.542459)
52.5655748,13.2025057,33355568,,,POINT (13.2025057 52.5655748)
52.5687513,13.2086823,33355596,,,POINT (13.2086823 52.5687513)
52.5693676,13.2055567,33355600,,,POINT (13.2055567 52.5693676)
52.5682955,13.2045753,33355605,,,POINT (13.2045753 52.5682955)
52.5696349,13.2023653,33355606,,,POINT (13.2023653 52.5696349)
52.5702682,13.206327,33355609,,,POINT (13.206327 52.5702682)
52.5689301,13.2076467,33355614,,,POINT (13.2076467 52.5689301)
52.5702813,13.2034652,33355618,,,POINT (13.2034652 52.5702813)
