u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,width,bridge,ref,access,tunnel,junction,service,area,est_width
26738437,26629143,0,4486628,,Cunostraße,residential,30,False,781.7879999999999,"LINESTRING (13.2958637 52.4811837, 13.2958517 52.481051, 13.2958034 52.4806984, 13.2957464 52.480256, 13.295692 52.4798342, 13.2956385 52.4794195, 13.2956312 52.4793396, 13.2955825 52.4789754, 13.2955713 52.4788916, 13.2955549 52.4787817, 13.2954806 52.4781471, 13.2954429 52.477835, 13.2953779 52.4772968, 13.2953549 52.4771278, 13.2953442 52.4770418, 13.2953275 52.4769456, 13.2952623 52.4764237, 13.295175 52.4758219, 13.2951452 52.4756163, 13.2951288 52.4755035, 13.2951231 52.4754639, 13.2950907 52.4753498, 13.2950604 52.475248, 13.2950473 52.4752205, 13.2946305 52.4743478, 13.294605 52.4742985, 13.2945625 52.474218)",,,,,,,,,
26738437,26744447,0,4486628,,Cunostraße,residential,30,False,491.07100000000014,"LINESTRING (13.2958637 52.4811837, 13.2958752 52.4812864, 13.2958909 52.4813941, 13.2959051 52.4814913, 13.2959137 52.481559, 13.2959618 52.4819365, 13.2960687 52.4827507, 13.2960777 52.4828289, 13.2961771 52.4836319, 13.2961927 52.4836924, 13.2962487 52.4840015, 13.2964817 52.4852869, 13.2964809 52.4853594, 13.2964765 52.4854046, 13.2964683 52.485416, 13.2964357 52.4854614, 13.2964104 52.4854966, 13.2963307 52.4855564)",,,,,,,,,
26738731,26738736,0,665160275,,Dillenburger Straße,residential,30,False,126.236,"LINESTRING (13.3050063 52.4698313, 13.3048882 52.4699207, 13.3038265 52.4707101)",,,,,,,,,
26738736,26738731,0,665160275,,Dillenburger Straße,residential,30,False,126.236,"LINESTRING (13.3038265 52.4707101, 13.3048882 52.4699207, 13.3050063 52.4698313)",,,,,,,,,
26749711,4305261849,0,431306412,2,Gerichtstraße,residential,30,False,75.97099999999999,"LINESTRING (13.3702908 52.544643, 13.3704798 52.5445953, 13.3706878 52.5445429, 13.3707744 52.5445211, 13.3708214 52.5445092, 13.3711395 52.544429, 13.3711964 52.5444137, 13.3713286 52.5443814)",,,,,,,,,
26749711,3847019588,0,"[428997692, 42732309]","['4', '2']","['Pankstraße', 'Reinickendorfer Straße']","['primary', 'secondary']",50,True,97.78999999999999,"LINESTRING (13.3702908 52.544643, 13.3703416 52.5447162, 13.3703736 52.5447623, 13.370552 52.5450842, 13.3705914 52.5451583, 13.3706465 52.545262, 13.3707204 52.545401, 13.3707583 52.5454748)",,,B 96,,,,,,
26759912,81425976,0,24652619,,Schmidt-Knobelsdorf-Straße,tertiary,50,False,195.30700000000002,"LINESTRING (13.1880437 52.5224064, 13.1877528 52.5225387, 13.1869283 52.522773, 13.1866201 52.5228605, 13.1854553 52.5231737)",,,,,,,,,
26822978,26866506,0,150519560,,Karl-Heinrich-Ulrichs-Straße,tertiary,50,False,108.34299999999999,"LINESTRING (13.3527573 52.5039101, 13.3529936 52.5030984, 13.3530284 52.5029499)",,,,,,,,,
26822978,26822979,0,"[520485515, 4619652]",,Lützowplatz,tertiary,50,False,170.225,"LINESTRING (13.3527573 52.5039101, 13.3528155 52.5039908, 13.3532859 52.5046432, 13.3533247 52.5046971, 13.3535841 52.5050568, 13.3536173 52.5051028, 13.3536921 52.5052067, 13.3537125 52.505235, 13.3537702 52.5053113)",,,,,,,,,
26822978,103553858,0,11607313,4,Lützowplatz,tertiary,50,False,70.478,"LINESTRING (13.3527573 52.5039101, 13.3525661 52.5039793, 13.3518232 52.5041889)",,,,,,,,,
