u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,ref,bridge,tunnel,junction,width,access,service
118876,147459,0,"[24418176, 24418177, 257636641, 2040973, 24418174, 24418175]",True,,motorway_link,90,1719.7800000000004,"LINESTRING (12.5509154 55.6363912, 12.5488158 55.6353646, 12.5479146 55.6349859, 12.5471078 55.6347679, 12.5462323 55.6345499, 12.5457369 55.6344245, 12.5451337 55.6342301, 12.5443115 55.633873, 12.5438462 55.6335857, 12.5433893 55.633194, 12.5431424 55.6328784, 12.5430222 55.6326361, 12.5429021 55.6323357, 12.5428162 55.6320886, 12.5428162 55.6316622, 12.5428765 55.6314278, 12.5429967 55.6310644, 12.5433314 55.6305315, 12.543752 55.6301341, 12.544196 55.6298597, 12.5444198 55.6297272, 12.5447102 55.6295863, 12.5450227 55.6294494, 12.545341 55.6293282, 12.5456648 55.6292452, 12.5460879 55.6291284, 12.5468072 55.6289962, 12.5476341 55.6289056, 12.5480264 55.6288911, 12.5484303 55.6288991, 12.5500136 55.6290647, 12.5512218 55.6291576, 12.5522044 55.6291894, 12.5544088 55.6291014, 12.5551654 55.6291308)","['1', '2']",,yes,,,,,
118876,147475,0,8123178,True,Amagermotorvejen,motorway,110,1641.232,"LINESTRING (12.5509154 55.6363912, 12.5484818 55.6350583, 12.5466582 55.6341128, 12.5444301 55.6328562, 12.5417348 55.6314006, 12.5389796 55.6297968, 12.5367051 55.6282801, 12.5349885 55.6269863, 12.53334 55.6255319)",2,E 20,,,,,,
125404,2931279664,0,"[289577156, 1702966]",True,Kongens Nytorv,primary,50,101.216,"LINESTRING (12.5848854 55.680912, 12.5848847 55.6808875, 12.5848862 55.6808648, 12.5848914 55.6808269, 12.5849013 55.6807933, 12.5850104 55.6804649, 12.5850754 55.6803214, 12.5851442 55.6801609, 12.5851952 55.6800202)","['3', '2']",O2,,,,,,
125408,10289288,0,"[164042778, 164042779]",False,Adelgade,residential,40,219.94100000000003,"LINESTRING (12.5821846 55.6822612, 12.5825432 55.682676, 12.5828452 55.6830253, 12.5835972 55.6838949, 12.5836752 55.6839852, 12.5837219 55.6840392)",,,,,,,,
125408,706815,0,660124255,True,Gothersgade,tertiary,50,103.107,"LINESTRING (12.5821846 55.6822612, 12.5809741 55.6825952, 12.580712 55.682674)",1,,,,,,,
125409,20919946,0,87325171,True,Gothersgade,tertiary,50,51.27,"LINESTRING (12.5834527 55.6819386, 12.5827022 55.6821218)",1,,,,,,,
125422,4929108074,0,1518484,True,Kalkbrænderihavnsgade,primary,60,97.814,"LINESTRING (12.5892471 55.7099265, 12.5896829 55.7090818)",,O2,,,,,,
125422,4929108081,0,502430968,True,,primary_link,60,96.717,"LINESTRING (12.5892471 55.7099265, 12.5893383 55.7098676, 12.589408 55.7098101, 12.5895958 55.7095079, 12.5897513 55.709214, 12.5898066 55.7091241)",,,,,,,,
125423,5129168326,0,542162308,False,Strandpromenaden,tertiary,50,12.908,"LINESTRING (12.5832005 55.7166392, 12.5833833 55.7166928)",,,,,,,,
125423,13118558,0,"[527625587, 130520173, 130520174]",True,Nordhavnsvej,trunk,60,1769.4550000000002,"LINESTRING (12.5832005 55.7166392, 12.5829745 55.7167395, 12.5824393 55.7167984, 12.5820951 55.7167822, 12.5813788 55.7167446, 12.5810972 55.71673, 12.5807147 55.7167101, 12.5802925 55.7166776, 12.5797694 55.7166088, 12.5793392 55.716566, 12.5787746 55.7165675, 12.5778486 55.7166375, 12.5770884 55.7167341, 12.5764623 55.7168491, 12.5749818 55.7171398, 12.5735249 55.7172759, 12.5720802 55.717368, 12.5696015 55.7173976, 12.5674067 55.7174698, 12.5668359 55.7174858, 12.5662123 55.7174964, 12.5658361 55.7174934, 12.5654478 55.7174843, 12.5650334 55.7174692, 12.5645763 55.7174412, 12.5641188 55.717402, 12.563649 55.7173534, 12.5631739 55.7172951, 12.5625202 55.7171995, 12.5619274 55.7171029, 12.5615144 55.7170356, 12.5611221 55.7169586, 12.5598299 55.7167157, 12.559492 55.7166587, 12.5592362 55.716631, 12.5591239 55.7166232, 12.5590119 55.7166194, 12.5589023 55.7166206, 12.5587899 55.7166273, 12.5586774 55.7166398, 12.5585626 55.7166602, 12.5584674 55.7166821, 12.5583823 55.7167072, 12.5582662 55.7167493, 12.5581774 55.7167887, 12.5580838 55.7168385, 12.5579739 55.7169132, 12.5579108 55.7169676, 12.5578524 55.7170315, 12.5577392 55.7171859, 12.5571699 55.7181619)",2,O2,,yes,,,,
