u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,access,width,junction,tunnel,service,area
25508623,25508620,0,168243290,False,,Selinevej,unclassified,,160.98,"LINESTRING (12.5511619 55.6357919, 12.5530113 55.636795)",,,,,,,,
25508747,1801254756,0,147476448,False,,Edvard Thomsens Vej,residential,50,10.966,"LINESTRING (12.5743893 55.6312292, 12.5744245 55.6313258)",,,,,,,,
25508747,559911422,0,42676626,True,2,Arne Jacobsens Allé,tertiary,50,13.368,"LINESTRING (12.5743893 55.6312292, 12.5746021 55.6312246)",,,,,,,,
25508820,1732054287,0,147476448,False,,Edvard Thomsens Vej,residential,50,37.418,"LINESTRING (12.5749135 55.6325723, 12.5747721 55.6322454)",,,,,,,,
25508820,6167110420,0,42505812,False,,,path,,21.636,"LINESTRING (12.5749135 55.6325723, 12.5749902 55.632762)",,,,,,,,
25902651,3761443382,0,234571649,False,2,Øster Voldgade,tertiary,50,63.231,"LINESTRING (12.5819774 55.6891941, 12.5812266 55.6888143)",,,,,,,,
25902651,2302924759,0,237214023,False,2,Øster Voldgade,tertiary,50,16.9,"LINESTRING (12.5819774 55.6891941, 12.5821832 55.6892923)",,,,,,,,
25920309,5315151304,0,85525228,False,,Nørrebrogade,tertiary,40,5.349,"LINESTRING (12.5417741 55.6989929, 12.5417185 55.6990294)",,,,,,,,
25920309,1158009569,0,85525228,False,,Nørrebrogade,tertiary,40,18.006,"LINESTRING (12.5417741 55.6989929, 12.5419612 55.69887)",,,,,,,,
25920355,8302230,0,27432854,False,,Nørrebrogade,tertiary,40,57.725,"LINESTRING (12.5415295 55.6991496, 12.5409307 55.6995441)",,,,,,,,
25920355,5315151304,0,191897542,False,,Nørrebrogade,tertiary,40,17.858,"LINESTRING (12.5415295 55.6991496, 12.5417185 55.6990294)",,,,,,,,
25941406,1277430330,0,112383063,False,4,Tagensvej,tertiary,50,47.413,"LINESTRING (12.5447192 55.7050372, 12.5441519 55.7053194)",,,,,,,,
25941406,4929059209,0,502416562,True,4,Tagensvej,tertiary,50,16.462,"LINESTRING (12.5447192 55.7050372, 12.5448478 55.7049081)",,,,,,,,
26013970,6961266,0,125514722,False,,Strandvejen,secondary,50,29.292,"LINESTRING (12.5758474 55.7274612, 12.5758543 55.7277246)",152,,,,,,,
26013970,5693435606,0,57775967,True,2,Strandvejen,secondary,50,22.299,"LINESTRING (12.5758474 55.7274612, 12.5758548 55.7272607)",152,,,,,,,
26081757,3624808694,0,497253420,False,4,Torvegade,tertiary,50,14.505,"LINESTRING (12.5943272 55.6708608, 12.5944859 55.6707659)",,,,,,,,
26081757,1223225278,0,497253420,False,4,Torvegade,tertiary,50,29.909,"LINESTRING (12.5943272 55.6708608, 12.5939928 55.6710526)",,,,,,,,
26133438,2094436847,0,4296341,False,2,Ryvangs Allé,tertiary,60,30.18,"LINESTRING (12.5686636 55.7289025, 12.5686932 55.7286316)",,,,,,,,
26133438,1731044,0,4296341,False,2,Ryvangs Allé,tertiary,60,31.125,"LINESTRING (12.5686636 55.7289025, 12.5686087 55.7291807)",,,,,,,,
26133441,6183348846,0,4296341,False,2,Ryvangs Allé,tertiary,60,40.805,"LINESTRING (12.5685036 55.729608, 12.568593 55.7292445)",,,,,,,,
26133441,6397203267,0,4296341,False,2,Ryvangs Allé,tertiary,60,37.315,"LINESTRING (12.5685036 55.729608, 12.5684144 55.7299398)",,,,,,,,
26154489,7126682081,0,502197784,False,,Lersø Parkallé,tertiary,60,71.824,"LINESTRING (12.5437443 55.7186533, 12.5432934 55.7192472)",,,,,,,,
26154489,1394632227,0,502197784,False,,Lersø Parkallé,tertiary,60,5.567,"LINESTRING (12.5437443 55.7186533, 12.5437777 55.7186069)",,,,,,,,
26154490,5706613599,0,502197784,False,,Lersø Parkallé,tertiary,60,116.382,"LINESTRING (12.5455914 55.7161911, 12.5448677 55.7171551)",,,,,,,,
26154490,7126685985,0,502197784,False,,Lersø Parkallé,tertiary,60,23.575,"LINESTRING (12.5455914 55.7161911, 12.5457472 55.7159981)",,,,,,,,
26154491,687887,0,2800202,False,,Lersø Parkallé,tertiary,60,59.887,"LINESTRING (12.5516763 55.712276, 12.5510138 55.7126643)",,,,,,,,
26154491,2444305257,0,2800202,False,,Lersø Parkallé,tertiary,60,101.316,"LINESTRING (12.5516763 55.712276, 12.5527697 55.7116046)",,,,,,,,
26154491,26154543,0,48524880,False,,Lersøstien,cycleway,,27.84,"LINESTRING (12.5516763 55.712276, 12.5514179 55.7120723)",,,,,,,,
26154491,1255213400,0,109709558,False,,,cycleway,,27.927,"LINESTRING (12.5516763 55.712276, 12.5520005 55.7124484)",,,,,,,,
26154494,610255259,0,113539762,False,4,Tagensvej,tertiary,50,17.778,"LINESTRING (12.5414585 55.7068985, 12.5416444 55.7067777)",,,,,,,,
26154494,4927568095,0,502203057,False,4,Tagensvej,tertiary,50,44.746,"LINESTRING (12.5414585 55.7068985, 12.5410116 55.7072124)",,,,,,,,
26154494,26154495,0,4314669,False,,Lersøstien,cycleway,,13.595,"LINESTRING (12.5414585 55.7068985, 12.5416175 55.7069817)",,,,,,,,
26187061,2700735621,0,43838022,False,,Artillerivej,tertiary,50,20.784,"LINESTRING (12.5813986 55.6629504, 12.5816623 55.6630636)",,,,,,,,
26187061,8891108,0,683577504,False,,Artillerivej,tertiary,50,9.168,"LINESTRING (12.5813986 55.6629504, 12.5812785 55.6629034)",,,,,,,,
26187061,26034719,0,268719122,False,,,path,,10.023,"LINESTRING (12.5813986 55.6629504, 12.5814945 55.6628783)",,,,,,,,
26211271,1255213460,0,167367693,False,2,Rovsingsgade,tertiary,50,33.371,"LINESTRING (12.5536702 55.710867, 12.5540645 55.7110688)",,yes,,,,,,
26211271,1255213440,0,237099597,False,2,Rovsingsgade,tertiary,50,6.121,"LINESTRING (12.5536702 55.710867, 12.553605 55.710826)",,,,,,,,
26211613,7370161012,0,449270647,False,2,Emdrupvej,tertiary,50,41.799,"LINESTRING (12.54658 55.721406, 12.5470862 55.721161)",,,,,,,,
26211613,1476215775,0,449270647,False,2,Emdrupvej,tertiary,50,14.194,"LINESTRING (12.54658 55.721406, 12.5464135 55.7214926)",,,,,,,,
26211717,4519617501,0,237236417,True,3,Tuborgvej,primary,50,35.145,"LINESTRING (12.5432077 55.7202909, 12.542844 55.7200502)",O2,,,,,,,
26211720,1585537175,0,449270648,True,2,Tuborgvej,primary,60,36.988,"LINESTRING (12.5442027 55.7211398, 12.5438781 55.7208619)",O2,,,,,,,
26211732,2094615618,0,449270649,True,2,Tuborgvej,primary,60,65.136,"LINESTRING (12.5464952 55.7232839, 12.5469802 55.7238021)",O2,,,,,,,
26212051,1052708470,0,1880590,False,2,Borgmester Christiansens Gade,tertiary,50,21.377,"LINESTRING (12.5421514 55.6466162, 12.5418216 55.646568)",,,,,,,,
26212051,4927446500,0,497212173,False,2,Borgmester Christiansens Gade,tertiary,50,5.387,"LINESTRING (12.5421514 55.6466162, 12.5422286 55.6466374)",,,,,,,,
26212051,1052708329,0,422789544,True,4,Sjællandsbroen,tertiary,60,43.376,"LINESTRING (12.5421514 55.6466162, 12.5423249 55.6462386)",,,,,,,,
26237004,2021836358,0,4320964,False,,Bispebjerg Bakke,residential,50,34.228,"LINESTRING (12.5398916 55.7108954, 12.5403385 55.7110725)",,,,,,,,
26237004,1277430393,0,4320964,False,,Bispebjerg Bakke,residential,50,18.102,"LINESTRING (12.5398916 55.7108954, 12.5396326 55.7108232)",,,,,,,,
26237004,269981322,0,626756415,False,,,cycleway,,35.49,"LINESTRING (12.5398916 55.7108954, 12.5401463 55.7106103)",,,,,,,,
26237009,1277430534,0,742654119,False,4,Tagensvej,tertiary,50,78.381,"LINESTRING (12.5365524 55.7118195, 12.5371119 55.711189)",,,,,,,,
26237009,6715927882,0,742654119,False,4,Tagensvej,tertiary,50,54.744,"LINESTRING (12.5365524 55.7118195, 12.5361657 55.712261)",,,,,,,,
26237013,25450769,0,3995622,False,2,Emdrupvej,tertiary,50,42.632,"LINESTRING (12.5403201 55.7227102, 12.5410008 55.7227056)",,,,,,,,
26237013,26492951,0,38704187,False,2,Emdrupvej,tertiary,50,44.111,"LINESTRING (12.5403201 55.7227102, 12.5396158 55.7227159)",,yes,,,,,,
26489344,6954053205,0,163788523,False,,Frederiksborgvej,tertiary,50,17.498,"LINESTRING (12.5315937 55.7198334, 12.5315465 55.7199885)",,,,,,,,
26489344,387547753,0,163788523,False,,Frederiksborgvej,tertiary,50,37.106,"LINESTRING (12.5315937 55.7198334, 12.5315933 55.7194997)",,,,,,,,
26489348,1363756901,0,8122655,False,,Frederiksborgvej,tertiary,50,70.865,"LINESTRING (12.5315159 55.71452, 12.5313254 55.7151482)",,,,,,,,
26489348,26489349,0,8122655,False,,Frederiksborgvej,tertiary,50,111.668,"LINESTRING (12.5315159 55.71452, 12.5318183 55.7135303)",,,,,,,,
26489349,26489348,0,8122655,False,,Frederiksborgvej,tertiary,50,111.668,"LINESTRING (12.5318183 55.7135303, 12.5315159 55.71452)",,,,,,,,
26489349,292910648,0,8122655,False,,Frederiksborgvej,tertiary,50,42.776,"LINESTRING (12.5318183 55.7135303, 12.5319403 55.7131518)",,,,,,,,
26489351,5340564445,0,8122655,False,,Frederiksborgvej,tertiary,50,31.833,"LINESTRING (12.53115 55.7157486, 12.5312255 55.7154655)",,,,,,,,
26489351,1754665137,0,163788521,True,,Frederiksborgvej,tertiary,50,18.382,"LINESTRING (12.53115 55.7157486, 12.5311968 55.7159118)",,,,,,,,
26489379,6715927882,0,742654119,False,4,Tagensvej,tertiary,50,19.271,"LINESTRING (12.5360295 55.7124164, 12.5361657 55.712261)",,,,,,,,
26489379,6715949585,0,742654119,False,4,Tagensvej,tertiary,50,17.804,"LINESTRING (12.5360295 55.7124164, 12.5359013 55.7125593)",,,,,,,,
26489382,1277430534,0,742654119,False,4,Tagensvej,tertiary,50,11.787,"LINESTRING (12.5371961 55.7110942, 12.5371119 55.711189)",,,,,,,,
26489382,3630664480,0,502200960,True,2,Tagensvej,tertiary,50,72.495,"LINESTRING (12.5371961 55.7110942, 12.5376735 55.7105003)",,,,,,,,
26489383,6954097604,0,158179232,False,4,Tagensvej,tertiary,50,25.136,"LINESTRING (12.5318153 55.7159902, 12.5321242 55.7158459)",,,,,,,,
26489383,6964489148,0,158179232,False,4,Tagensvej,tertiary,50,7.002,"LINESTRING (12.5318153 55.7159902, 12.5317294 55.7160305)",,,,,,,,
