u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,width,length,geometry,bridge,service,tunnel,access
7732632112,7712030801,0,828301024,False,,,,footway,,4,36.458,"LINESTRING (-71.0732824 42.3582896, -71.0734083 42.3579752)",,,,
7732632113,1629873659,0,828301024,False,,,,footway,,4,3.565,"LINESTRING (-71.0736174 42.3576074, -71.0735765 42.3575967)",,,,
7732632113,1769091077,0,828301024,False,,,,footway,,4,2.658,"LINESTRING (-71.0736174 42.3576074, -71.07364920000001 42.3576118)",,,,
7732632114,699590306,0,32800382,False,,,,footway,,4,3.569,"LINESTRING (-71.073976 42.357154, -71.07400389999999 42.3571294)",,,,
7732632114,369610267,0,32800382,False,,,,footway,,4,4.159,"LINESTRING (-71.073976 42.357154, -71.0739585 42.3571891)",,,,
7732632115,1769091077,0,828301024,False,,,,footway,,4,2.874,"LINESTRING (-71.07368409999999 42.3576101, -71.07364920000001 42.3576118)",,,,
7732632115,1629873657,0,828301024,False,,,,footway,,4,3.147,"LINESTRING (-71.07368409999999 42.3576101, -71.073722 42.357606)",,,,
7732632117,369610249,0,32800382,False,,,,footway,,4,5.135,"LINESTRING (-71.0742391 42.3564123, -71.0741943 42.3563801)",,,,
7732632117,1769090984,0,32800382,False,,,,footway,,4,3.828,"LINESTRING (-71.0742391 42.3564123, -71.0742664 42.3564402)",,,,
7732632118,1769090984,0,32800382,False,,,,footway,,4,3.106,"LINESTRING (-71.0742855 42.3564643, -71.0742664 42.3564402)",,,,
7732632118,699590366,0,32800382,False,,,,footway,,4,3.005,"LINESTRING (-71.0742855 42.3564643, -71.0743023 42.3564883)",,,,
7732632119,699590350,0,32800382,False,,,,footway,,4,6.324,"LINESTRING (-71.0743283 42.3566189, -71.0743245 42.3565621)",,,,
7732632119,699590313,0,32800382,False,,,,footway,,4,5.649,"LINESTRING (-71.0743283 42.3566189, -71.0743286 42.3566697)",,,,
7732632120,699590313,0,32800382,False,,,,footway,,4,4.444,"LINESTRING (-71.0743188 42.356709, -71.0743286 42.3566697)",,,,
7732632120,1769091004,0,32800382,False,,,,footway,,4,4.375,"LINESTRING (-71.0743188 42.356709, -71.0743078 42.3567475)",,,,
7732632121,699590333,0,32800382,False,,,,footway,,4,4.73,"LINESTRING (-71.074263 42.3568525, -71.0742826 42.3568125)",,,,
7732632121,1769091010,0,32800382,False,,,,footway,,4,4.191,"LINESTRING (-71.074263 42.3568525, -71.0742434 42.3568873)",,,,
7732632125,699590295,0,32800244,False,,,,footway,,4,4.332,"LINESTRING (-71.0751691 42.3568755, -71.0751471 42.3569109)",,,,
7732632125,322650450,0,32800244,False,,,,footway,,4,4.652,"LINESTRING (-71.0751691 42.3568755, -71.075181 42.3568346)",,,,
7732632126,322648025,0,242536777,False,,,,footway,,4,3.608,"LINESTRING (-71.0751976 42.3570777, -71.0752291 42.3570551)",,,,
7732632126,7719013671,0,242536777,False,,,,footway,,4,3.51,"LINESTRING (-71.0751976 42.3570777, -71.0751637 42.3570969)",,,,
7732632127,322650448,0,32800244,False,,,,footway,,4,2.759,"LINESTRING (-71.07520270000001 42.3564822, -71.0751953 42.3565064)",,,,
