u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,width,length,geometry,tunnel,bridge,service,access
61343548,417241935,0,49666934,False,,,,cycleway,,,13.503,"LINESTRING (-71.0978365 42.3387065, -71.0977879 42.3388225)",,,,
61344397,5674236922,0,301736990,False,2,MA 28,Columbus Avenue,primary,25 mph,24.4,476.31300000000005,"LINESTRING (-71.083315 42.3393189, -71.08337450000001 42.3392737, -71.0837669 42.3389547, -71.0838461 42.3388962, -71.0840492 42.3387382, -71.0841783 42.338649, -71.0842873 42.3385792, -71.0846928 42.3383204, -71.0847361 42.3382928, -71.0851345 42.3380386, -71.0851873 42.3380049, -71.085624 42.3377262, -71.0856728 42.3376951, -71.0857268 42.3376615, -71.08575020000001 42.3376469, -71.0860902 42.3374358, -71.08617820000001 42.3373805, -71.0862872 42.3373126, -71.0867004 42.3370554, -71.0868014 42.3369925, -71.0871654 42.3367658, -71.08726540000001 42.3367034, -71.0876367 42.3364717)",,,,
61344902,5674236922,0,301736990,False,2,MA 28,Columbus Avenue,primary,25 mph,24.4,7.974,"LINESTRING (-71.0877109 42.3364255, -71.0876367 42.3364717)",,,,
61349979,621528973,0,"[8649116, 48983694, 48983695]",False,4,,Summer Street,secondary,,27.7,280.039,"LINESTRING (-71.0509637 42.3505525, -71.050817 42.3504828, -71.0507855 42.3504678, -71.0494072 42.3498345, -71.0491071 42.3496966, -71.049043 42.3496671, -71.048929 42.3496148, -71.0489122 42.3496071, -71.04806600000001 42.3492273)",,yes,,
61349979,4007646793,0,187589433,True,,,Summer Street,secondary,,,20.036,"LINESTRING (-71.0509637 42.3505525, -71.0510773 42.3506487, -71.0511357 42.3506786)",,,,
61517884,417241899,0,35600256,False,,,,cycleway,,,114.48900000000002,"LINESTRING (-71.0930231 42.3432182, -71.0928464 42.3431596, -71.09237330000001 42.3430027, -71.0922643 42.3429509, -71.09216480000001 42.3429124, -71.092122 42.3428923, -71.0920912 42.3428695, -71.0919708 42.3427658, -71.09187540000001 42.3426711)",,,,
61590899,1164496782,0,8648644,False,2,,,service,5 mph,,7.341,"LINESTRING (-71.0696379 42.367393, -71.06968929999999 42.367339)",,,driveway,
61590899,4748827926,0,"[100720752, 100720750, 508567327]",True,"['3', '2']",MA 28,Charles River Dam Road,primary,30 mph,30.5,137.986,"LINESTRING (-71.0696379 42.367393, -71.0694159 42.3672787, -71.06940640000001 42.3672739, -71.0692999 42.3672201, -71.0689399 42.3670358, -71.0687508 42.3669533, -71.0685914 42.3668736, -71.068405 42.3667665, -71.0683904 42.3667565, -71.06835700000001 42.3667359, -71.06827490000001 42.3666724)",,movable,,
64057693,64060344,0,"[8842467, 48920805, 8842476, 8842480, 8842463]",False,,,Jamaicaway Bikepath,cycleway,,,2278.3150000000005,"LINESTRING (-71.11342500000001 42.330715, -71.11331800000001 42.330616, -71.113236 42.330559, -71.11311600000001 42.33046, -71.112996 42.330332, -71.11248500000001 42.329713, -71.112246 42.329439, -71.11215799999999 42.329175, -71.112078 42.328807, -71.112126 42.328279, -71.11223 42.327936, -71.112441 42.327564, -71.112646 42.327353, -71.112825 42.327123, -71.112921 42.326949, -71.113191 42.326436, -71.113326 42.326149, -71.113432 42.325528, -71.113522 42.325358, -71.113879 42.325114, -71.114222 42.324955, -71.11447099999999 42.324801, -71.11470799999999 42.324557, -71.11474800000001 42.3245191, -71.11476500000001 42.324488, -71.114807 42.324436, -71.114808 42.324435, -71.115005 42.32402, -71.115247 42.323531, -71.115528 42.323339, -71.11624 42.323063, -71.116603 42.322933, -71.116782 42.322792, -71.11694799999999 42.32259, -71.11700500000001 42.322397, -71.117009 42.322006, -71.11691 42.321506, -71.116792 42.321138, -71.1167968 42.3210828, -71.1167961 42.3210351, -71.1167768 42.3209525, -71.11675339999999 42.3208525, -71.11689200000001 42.3205562, -71.1170645 42.3202638, -71.1171283 42.3201775, -71.1172528 42.3200092, -71.11732069999999 42.3197795, -71.1173115 42.3195838, -71.1172753 42.3194525, -71.1171415 42.3192238, -71.11687569999999 42.3189182, -71.116677 42.318662, -71.11662200000001 42.31845, -71.116699 42.318264, -71.116876 42.317615, -71.116933 42.31615, -71.1171604 42.3157094, -71.11719429999999 42.3156437, -71.11723139999999 42.3155718, -71.11735299999999 42.315487, -71.118126 42.315088, -71.118627 42.314708, -71.1194948 42.3140044, -71.1195366 42.3139908, -71.119602 42.3139739, -71.1196814 42.3139537, -71.1197434 42.3139401, -71.11980370000001 42.3139327, -71.119845 42.3139277, -71.119923 42.3139201, -71.11999900000001 42.3139178, -71.120076 42.3139187, -71.1201519 42.3139233, -71.120333 42.31391, -71.12080640000001 42.3138484, -71.120904 42.313847, -71.12097 42.313853)",,,,
64060344,3711673470,0,8842465,False,,,Jamaicaway Bikepath,cycleway,,,145.74,"LINESTRING (-71.12097 42.313853, -71.121152 42.313945, -71.12123990000001 42.3139813, -71.121335 42.314008, -71.121466 42.314016, -71.121607 42.314006, -71.12170999999999 42.313989, -71.12187 42.31393, -71.121932 42.313899, -71.1220137 42.3137676, -71.12209230000001 42.3136806, -71.1222743 42.3134337)",,,,
64060344,61340874,0,8842467,False,,,Jamaicaway Bikepath,cycleway,,,17.872,"LINESTRING (-71.12097 42.313853, -71.1211055 42.3138406, -71.12117840000001 42.3138148)",,,,
