u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,access,bridge,ref,width,tunnel,service
81614077,4477144782,0,226301467,True,Billinghurst,residential,30,157.182,"LINESTRING (-58.4149009 -34.5994557, -58.4146419 -34.5980583)",,,,,,,,
81614080,4973070093,0,71179537,True,Billinghurst,residential,30,8.248,"LINESTRING (-58.4146168 -34.5979075, -58.4145995 -34.5978347)",2,,,,,,,
81614082,81614083,0,533352571,True,Billinghurst,residential,30,107.224,"LINESTRING (-58.4127389 -34.5937117, -58.4121136 -34.5928963)",,,,,,,,
81614083,192897706,0,167728248,True,General Lucio Norberto Mansilla,residential,30,93.353,"LINESTRING (-58.4121136 -34.5928963, -58.4128745 -34.5923373)",,,,,,,,
81614897,194486843,0,533352795,True,Laprida,residential,20,168.954,"LINESTRING (-58.4072355 -34.5935826, -58.4078751 -34.5950079)",2,,,,,,,
81614899,245467074,0,22816636,True,Quirno Costa,residential,20,116.015,"LINESTRING (-58.4050873 -34.5947807, -58.4055593 -34.595749)",,,,,,,,
81614903,5432672559,0,267161666,True,Presidente José Evaristo Uriburu,residential,20,138.252,"LINESTRING (-58.3988828 -34.5970718, -58.3986237 -34.5958469)",1,,,,,,,
81614903,195504966,0,267161667,True,Marcelo T. de Alvear,residential,30,133.989,"LINESTRING (-58.3988828 -34.5970718, -58.4002962 -34.5967582)",1,,,,,,,
81614904,81614903,0,98017877,True,Marcelo T. de Alvear,residential,30,124.049,"LINESTRING (-58.3975411 -34.5972292, -58.3988828 -34.5970718)",1,,,,,,,
81616450,4973070110,0,507883625,True,Presidente José Evaristo Uriburu,residential,30,9.618,"LINESTRING (-58.3987483 -34.599772, -58.398781 -34.5996898)",2,,,,,,,
81616460,177159522,0,113531315,True,Presidente José Evaristo Uriburu,residential,20,11.772,"LINESTRING (-58.3981106 -34.5944276, -58.398066 -34.5943283)",,,,,,,,
81616462,232108407,0,421717871,True,Juncal,residential,30,27.173,"LINESTRING (-58.3974643 -34.592896, -58.3971833 -34.5929748)",,,,,,,,
81826558,81843272,0,536197927,True,Roseti,residential,20,132.471,"LINESTRING (-58.4619053 -34.5818287, -58.4633512 -34.5817822)",,,,,,,,
81830105,81830104,0,536185683,True,Giribone,residential,20,128.894,"LINESTRING (-58.454276 -34.5808277, -58.4555742 -34.5803791)",,,,,,,,
81830131,181167619,0,533680271,True,Uriarte,residential,20,93.626,"LINESTRING (-58.4361525 -34.5902143, -58.4369495 -34.590742)",1,,,,,,,
81830134,6737859129,0,533481290,True,Serrano,residential,20,86.654,"LINESTRING (-58.4343336 -34.5914389, -58.4335868 -34.59096)",2,,,,,,,
81830140,191211878,0,533479217,True,Julián Álvarez,residential,20,193.005,"LINESTRING (-58.4281105 -34.5955112, -58.4297704 -34.5965816)",1,,,,,,,
81830149,196137847,0,121035098,True,Francisco Acuña de Figueroa,residential,30,54.514,"LINESTRING (-58.4217533 -34.5977212, -58.4218443 -34.5982057)",2,,,,,,,
81834156,4571016596,0,259140709,True,Ecuador,residential,30,15.529,"LINESTRING (-58.4024487 -34.5909863, -58.4024797 -34.5911236)",,,,,,,,
81834158,81834159,0,259140709,True,Ecuador,residential,30,95.045,"LINESTRING (-58.4027919 -34.5921009, -58.4030473 -34.5929294)",,,,,,,,
81834159,444616163,0,259140709,True,Ecuador,residential,30,141.409,"LINESTRING (-58.4030473 -34.5929294, -58.4036185 -34.594111)",,,,,,,,
81834162,4670271970,0,113531313,True,Ecuador,residential,30,33.651,"LINESTRING (-58.4041596 -34.5952654, -58.4043023 -34.5955443)",1,,,,,,,
81834163,195505114,0,113531313,True,Ecuador,residential,30,142.379,"LINESTRING (-58.4045672 -34.5960651, -58.405176 -34.5972434)",1,,,,,,,
81834163,4670271965,0,533174413,True,General Lucio Norberto Mansilla,residential,20,23.672,"LINESTRING (-58.4045672 -34.5960651, -58.4043292 -34.5961484)",1,,,,,,,
81834165,81834168,0,533174412,True,Ecuador,residential,20,189.245,"LINESTRING (-58.4055904 -34.5980582, -58.4062958 -34.599658)",1,,,,,,,
81834168,81834169,0,533174411,True,Ecuador,residential,30,123.179,"LINESTRING (-58.4062958 -34.599658, -58.4066346 -34.6007301)",1,,,,,,,
81834169,199483179,0,533174411,True,Ecuador,residential,30,101.491,"LINESTRING (-58.4066346 -34.6007301, -58.4069418 -34.6016071)",1,,,,,,,
81834483,3909887546,0,48098624,True,Teniente General Juan Domingo Perón,residential,30,98.218,"LINESTRING (-58.4091211 -34.6079093, -58.4101932 -34.607949)",2,,,,,,,
81840840,82665033,0,101815052,True,General Enrique Martínez,residential,30,118.031,"LINESTRING (-58.4499517 -34.578907, -58.4510733 -34.5783836)",,,,,,,,
81840847,89324181,0,63514346,True,Amenábar,residential,30,97.895,"LINESTRING (-58.4463374 -34.5724422, -58.4472282 -34.5719553)",,,,,,,,
81846046,81846047,0,536185690,True,Charlone,residential,20,131.894,"LINESTRING (-58.4548266 -34.5816701, -58.4534743 -34.5820792)",,,,,,,,
81859976,81846053,0,536185694,True,Jorge Newbery,residential,20,122.377,"LINESTRING (-58.4495546 -34.5848804, -58.4492299 -34.5838128)",,,,,,,,
81859979,4479660679,0,256925057,True,Roseti,residential,30,146.747,"LINESTRING (-58.4474673 -34.5857713, -58.4460296 -34.586355)",,,,,,,,
81859985,84554845,0,470809228,True,Ignacio de Loyola,residential,30,142.268,"LINESTRING (-58.440663 -34.5904694, -58.4397021 -34.591475)",,,,,,,,
81859987,81859989,0,261661747,True,Ignacio de Loyola,residential,30,78.801,"LINESTRING (-58.4390886 -34.5921405, -58.4385573 -34.5926981)",1,,,,,,,
81859989,96046444,0,261661747,True,Ignacio de Loyola,residential,30,113.008,"LINESTRING (-58.4385573 -34.5926981, -58.4377976 -34.5934992)",1,,,,,,,
81859994,191211827,0,261661747,True,Ignacio de Loyola,residential,30,118.034,"LINESTRING (-58.4337855 -34.5978049, -58.4330042 -34.5986494)",1,,,,,,,
81859995,314695161,0,18950367,True,Humahuaca,residential,30,8.801,"LINESTRING (-58.4310392 -34.6007736, -58.4309828 -34.6008377)",,,,,,,,
81862513,81859969,0,536197924,True,Plaza,residential,20,123.774,"LINESTRING (-58.4672725 -34.5805487, -58.4673277 -34.5816609)",,,,,,,,
81878109,81894813,0,9971280,False,Avenida del Campo,secondary,20,79.504,"LINESTRING (-58.4708391 -34.5874694, -58.4702221 -34.5879726)",,,,,,,,
81878118,1422620264,0,139944242,True,Avenida Manuel Ricardo Trelles,secondary,20,6.498,"LINESTRING (-58.4655658 -34.5964061, -58.465583 -34.5964628)",,,,,,,,
81884617,199354624,0,534852704,True,Avenida Álvarez Jonte,secondary,20,156.74,"LINESTRING (-58.4704336 -34.602965, -58.4717394 -34.603877)",2,,,,,,,
81888535,4896242056,0,9972226,True,Nicasio Oroño,residential,30,127.08,"LINESTRING (-58.4592125 -34.5967045, -58.4595848 -34.5978055)",,,,,,,,
81888535,3077581415,0,10615635,False,Avenida Jorge Newbery,secondary,20,12.035,"LINESTRING (-58.4592125 -34.5967045, -58.4591792 -34.5965998)",4,,,,,,,
81892765,99278071,0,121035138,True,Serrano,residential,30,145.181,"LINESTRING (-58.4333877 -34.5908324, -58.4321543 -34.5900116)",2,,,,,,,
81893620,1019363488,0,536510755,True,Crámer,residential,20,75.335,"LINESTRING (-58.452931 -34.5712017, -58.4521841 -34.5714859)",,,,,,,,
81894813,81878109,0,9971280,False,Avenida del Campo,secondary,20,79.504,"LINESTRING (-58.4702221 -34.5879726, -58.4708391 -34.5874694)",,,,,,,,
81915589,218008209,0,535263645,True,Elcano,residential,20,128.677,"LINESTRING (-58.4679995 -34.5923568, -58.466906 -34.5916296)",2,,,,,,,
81922128,488783442,0,75022670,False,Bauness,residential,30,51.769,"LINESTRING (-58.472968 -34.5912159, -58.4733 -34.590839)",,,,,,,,
81922128,1216709000,0,105661303,False,Tronador,residential,30,136.158,"LINESTRING (-58.472968 -34.5912159, -58.4740088 -34.5920907)",,,,,,,,
