u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,access,bridge,junction,tunnel
4562813001,6409671886,0,785165883,False,Ciclovía del Libertador,cycleway,,6.306,"LINESTRING (-58.4152518 -34.5743663, -58.4152091 -34.5743218)",,,,,,
4562813001,2153043356,0,785165883,False,Ciclovía del Libertador,cycleway,,5.498,"LINESTRING (-58.4152518 -34.5743663, -58.415228 -34.5744117)",,,,,,
4562813002,4511474029,0,785165883,False,Ciclovía del Libertador,cycleway,,8.496,"LINESTRING (-58.4149772 -34.5743892, -58.4148847 -34.5743953)",,,,,,
4562813002,4511474028,0,785165883,False,Ciclovía del Libertador,cycleway,,11.123,"LINESTRING (-58.4149772 -34.5743892, -58.4150911 -34.5743544)",,,,,,
4562813011,4562820188,0,165168989,False,Senderos para ciclistas,cycleway,,4.072,"LINESTRING (-58.412519 -34.5724714, -58.412546 -34.5725005)",,,,,,
4562813011,4562820189,0,165168989,False,Senderos para ciclistas,cycleway,,30.355,"LINESTRING (-58.412519 -34.5724714, -58.412318 -34.5722543)",,,,,,
4562820176,3451485357,0,460652925,False,Senderos para ciclistas,cycleway,,11.08,"LINESTRING (-58.4126344 -34.5720433, -58.4126995 -34.5721273)",,,,,,
4562820176,1610563312,0,460652924,False,Avenida Iraola,residential,30,92.194,"LINESTRING (-58.4126344 -34.5720433, -58.413639 -34.5719869)",,,,,,
4562820181,4562820191,0,165168989,False,Senderos para ciclistas,cycleway,,6.161,"LINESTRING (-58.4127142 -34.572191, -58.4126699 -34.5721493)",,,,,,
4562820181,4562820182,0,165168989,False,Senderos para ciclistas,cycleway,,15.948,"LINESTRING (-58.4127142 -34.572191, -58.4128295 -34.5722985)",,,,,,
4562820182,4562820181,0,165168989,False,Senderos para ciclistas,cycleway,,15.948,"LINESTRING (-58.4128295 -34.5722985, -58.4127142 -34.572191)",,,,,,
4562820182,4562820183,0,165168989,False,Senderos para ciclistas,cycleway,,3.005,"LINESTRING (-58.4128295 -34.5722985, -58.4128115 -34.5723211)",,,,,,
4562820183,4562820182,0,165168989,False,Senderos para ciclistas,cycleway,,3.005,"LINESTRING (-58.4128115 -34.5723211, -58.4128295 -34.5722985)",,,,,,
4562820183,4562820184,0,165168989,False,Senderos para ciclistas,cycleway,,5.395,"LINESTRING (-58.4128115 -34.5723211, -58.4127712 -34.5723565)",,,,,,
4562820184,4562820183,0,165168989,False,Senderos para ciclistas,cycleway,,5.395,"LINESTRING (-58.4127712 -34.5723565, -58.4128115 -34.5723211)",,,,,,
4562820184,4562820185,0,165168989,False,Senderos para ciclistas,cycleway,,11.416,"LINESTRING (-58.4127712 -34.5723565, -58.4126738 -34.5724206)",,,,,,
4562820185,4562820184,0,165168989,False,Senderos para ciclistas,cycleway,,11.416,"LINESTRING (-58.4126738 -34.5724206, -58.4127712 -34.5723565)",,,,,,
4562820185,4562820186,0,165168989,False,Senderos para ciclistas,cycleway,,8.056,"LINESTRING (-58.4126738 -34.5724206, -58.4126029 -34.5724635)",,,,,,
4562820186,4562820185,0,165168989,False,Senderos para ciclistas,cycleway,,8.056,"LINESTRING (-58.4126029 -34.5724635, -58.4126738 -34.5724206)",,,,,,
4562820186,4562820187,0,165168989,False,Senderos para ciclistas,cycleway,,5.931,"LINESTRING (-58.4126029 -34.5724635, -58.4125523 -34.5724968)",,,,,,
4562820187,4562820186,0,165168989,False,Senderos para ciclistas,cycleway,,5.931,"LINESTRING (-58.4125523 -34.5724968, -58.4126029 -34.5724635)",,,,,,
4562820187,4562820188,0,165168989,False,Senderos para ciclistas,cycleway,,0.709,"LINESTRING (-58.4125523 -34.5724968, -58.412546 -34.5725005)",,,,,,
4562820188,4562820187,0,165168989,False,Senderos para ciclistas,cycleway,,0.709,"LINESTRING (-58.412546 -34.5725005, -58.4125523 -34.5724968)",,,,,,
4562820188,4562813011,0,165168989,False,Senderos para ciclistas,cycleway,,4.072,"LINESTRING (-58.412546 -34.5725005, -58.412519 -34.5724714)",,,,,,
4562820189,4562813011,0,165168989,False,Senderos para ciclistas,cycleway,,30.355,"LINESTRING (-58.412318 -34.5722543, -58.412519 -34.5724714)",,,,,,
4562820189,4562820190,0,165168989,False,Senderos para ciclistas,cycleway,,4.597,"LINESTRING (-58.412318 -34.5722543, -58.4122717 -34.5722383)",,,,,,
4562820190,4562820189,0,165168989,False,Senderos para ciclistas,cycleway,,4.597,"LINESTRING (-58.4122717 -34.5722383, -58.412318 -34.5722543)",,,,,,
4562820190,1074582062,0,165168989,False,Senderos para ciclistas,cycleway,,3.557,"LINESTRING (-58.4122717 -34.5722383, -58.4122339 -34.5722457)",,,,,,
4562820191,4562820181,0,165168989,False,Senderos para ciclistas,cycleway,,6.161,"LINESTRING (-58.4126699 -34.5721493, -58.4127142 -34.572191)",,,,,,
4562820191,1239327253,0,460652925,False,Senderos para ciclistas,cycleway,,14.648,"LINESTRING (-58.4126699 -34.5721493, -58.4125645 -34.5720502)",,,,,,
4562820191,3451485357,0,460652925,False,Senderos para ciclistas,cycleway,,3.651,"LINESTRING (-58.4126699 -34.5721493, -58.4126995 -34.5721273)",,,,,,
4562820192,1610552579,0,460652925,False,Senderos para ciclistas,cycleway,,3.107,"LINESTRING (-58.4125164 -34.5719405, -58.4125072 -34.5719136)",,,,,,
4562820192,1239327253,0,460652925,False,Senderos para ciclistas,cycleway,,12.969,"LINESTRING (-58.4125164 -34.5719405, -58.4125645 -34.5720502)",,,,,,
4562820199,1074582067,0,459270698,False,Senderos para ciclistas,cycleway,,7.047,"LINESTRING (-58.4123129 -34.5715227, -58.4123814 -34.5715516)",,,,,,
4562820199,1074582254,0,459270698,False,Senderos para ciclistas,cycleway,,10.783,"LINESTRING (-58.4123129 -34.5715227, -58.4122089 -34.5714772)",,,,,,
4562835844,1074582083,0,92625446,False,Senderos para ciclistas,cycleway,,17.579,"LINESTRING (-58.4124866 -34.5713295, -58.4125917 -34.5711972)",,,,,,
4562835844,4562835845,0,92625446,False,Senderos para ciclistas,cycleway,,18.738,"LINESTRING (-58.4124866 -34.5713295, -58.4124049 -34.571484)",,,,,,
4562835845,4562835844,0,92625446,False,Senderos para ciclistas,cycleway,,18.738,"LINESTRING (-58.4124049 -34.571484, -58.4124866 -34.5713295)",,,,,,
4562835845,1074582067,0,92625446,False,Senderos para ciclistas,cycleway,,7.819,"LINESTRING (-58.4124049 -34.571484, -58.4123814 -34.5715516)",,,,,,
4562887994,1074582129,0,92625446,False,Senderos para ciclistas,cycleway,,348.895,"LINESTRING (-58.4132686 -34.570725, -58.4161546 -34.5686762)",,,,,,
4562887994,1074582285,0,92625446,False,Senderos para ciclistas,cycleway,,21.366,"LINESTRING (-58.4132686 -34.570725, -58.4130919 -34.5708505)",,,,,,
4562919514,4562919516,0,92625446,False,Senderos para ciclistas,cycleway,,12.292,"LINESTRING (-58.4163309 -34.5685442, -58.4164303 -34.5684699)",,,,,,
4562919514,1074582129,0,92625446,False,Senderos para ciclistas,cycleway,,21.818,"LINESTRING (-58.4163309 -34.5685442, -58.4161546 -34.5686762)",,,,,,
4562919516,4561872733,0,92625446,False,Senderos para ciclistas,cycleway,,43.459,"LINESTRING (-58.4164303 -34.5684699, -58.4167815 -34.568207)",,,,,,
4562919516,4562919514,0,92625446,False,Senderos para ciclistas,cycleway,,12.292,"LINESTRING (-58.4164303 -34.5684699, -58.4163309 -34.5685442)",,,,,,
4566217785,1125823231,0,205313299,False,Ciclovía del Libertador,cycleway,,9.368,"LINESTRING (-58.4234516 -34.5707604, -58.4234455 -34.5706763)",,,,,,
4566217785,1125823256,0,463680549,False,Ciclovía del Libertador,cycleway,,21.429,"LINESTRING (-58.4234516 -34.5707604, -58.423266 -34.5708778)",,,,,,
4566217788,1125823252,0,205313299,False,Ciclovía del Libertador,cycleway,,6.777,"LINESTRING (-58.4234727 -34.5705052, -58.4234104 -34.5705381)",,,,,,
4566217788,1239327215,0,205313299,False,Ciclovía del Libertador,cycleway,,5.105,"LINESTRING (-58.4234727 -34.5705052, -58.4235178 -34.5704782)",,,,,,
4566219490,1125823231,0,205313299,False,Ciclovía del Libertador,cycleway,,8.934,"LINESTRING (-58.4233701 -34.5706253, -58.4234455 -34.5706763)",,,,,,
4566219490,4566219491,0,205313299,False,Ciclovía del Libertador,cycleway,,3.985,"LINESTRING (-58.4233701 -34.5706253, -58.4233602 -34.5705904)",,,,,,
4566219491,4566219490,0,205313299,False,Ciclovía del Libertador,cycleway,,3.985,"LINESTRING (-58.4233602 -34.5705904, -58.4233701 -34.5706253)",,,,,,
4566219491,1125823252,0,205313299,False,Ciclovía del Libertador,cycleway,,7.413,"LINESTRING (-58.4233602 -34.5705904, -58.4234104 -34.5705381)",,,,,,
4566219494,5177405323,0,533702794,False,,cycleway,,8.247,"LINESTRING (-58.4231098 -34.5714888, -58.423169 -34.5715447)",,,,,,
4566219494,6813431846,0,533703729,False,,cycleway,,5.17,"LINESTRING (-58.4231098 -34.5714888, -58.423115 -34.5714425)",,,,,,
