u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,tunnel,bridge,access,junction,ref,service
81859979,89329811,0,"[256925057, 625696266, 121176053]",True,"['Ignacio de Loyola', 'Roseti']",residential,30,714.997,"LINESTRING (-58.4474673 -34.5857713, -58.4460296 -34.586355, -58.4456595 -34.5865195, -58.445406 -34.5866477, -58.4450788 -34.5869124, -58.4442716 -34.5875169, -58.4433019 -34.5882345, -58.4422614 -34.5890244, -58.4413801 -34.5897192)",2,,,,,,,
81888535,199456308,0,"[9972226, 226320708, 128828489, 128828490, 472825677, 128829587, 308485309]",True,"['Nicasio Oroño', 'Cucha Cucha']",residential,30,1355.176,"LINESTRING (-58.4592125 -34.5967045, -58.4595848 -34.5978055, -58.4596485 -34.5979944, -58.4600036 -34.5990593, -58.4603396 -34.6000967, -58.4605896 -34.6009231, -58.4606501 -34.6011229, -58.4591972 -34.6014336, -58.4575195 -34.6017916, -58.4569997 -34.6018968, -58.4569278 -34.6019193, -58.4568518 -34.6019594, -58.4567799 -34.6020102, -58.4564154 -34.6024066, -58.4560757 -34.6027329, -58.4559815 -34.6027988, -58.4559172 -34.6028468, -58.4551641 -34.6036235, -58.454514 -34.6043361, -58.4535465 -34.6053758)",1,,,,,,,
81888535,1038879241,0,"[10615635, 91216053]",False,Avenida Jorge Newbery,"['cycleway', 'secondary']",20,964.3020000000001,"LINESTRING (-58.4592125 -34.5967045, -58.4591792 -34.5965998, -58.4589152 -34.5963263, -58.4591591 -34.5961147, -58.457399 -34.5944799, -58.4559752 -34.5931574, -58.4528153 -34.5901566)",4,,,,,,,
82529569,195937427,0,533680264,True,Rojas,residential,20,148.781,"LINESTRING (-58.4505871 -34.603536, -58.4496179 -34.6046102)",,,,,,,,
82529569,199456308,0,92408039,True,Tres Arroyos,residential,30,339.432,"LINESTRING (-58.4505871 -34.603536, -58.4515746 -34.6041484, -58.4525606 -34.6047621, -58.4535465 -34.6053758)",,,,,,,,
82625953,107930734,0,11975155,True,French,residential,30,115.127,"LINESTRING (-58.4019036 -34.5892916, -58.4008914 -34.5899061)",2,,,,,,,
82625953,192015816,0,"[533178304, 533178306]",True,"['Peña', 'Laprida']",residential,20,249.505,"LINESTRING (-58.4019036 -34.5892916, -58.4008991 -34.5885101, -58.4019871 -34.5878612)",2,,,,,,,
82661912,82661913,0,10800141,True,Martínez Rosas,residential,30,99.268,"LINESTRING (-58.4527994 -34.5959783, -58.4526038 -34.5961443, -58.452459 -34.5962754, -58.4520608 -34.5966319)",2,,,,,,,
82661913,199457650,0,"[19214848, 165356949, 128824057, 534852698, 128828507, 128824059]",True,"['Humboldt', 'Padilla', 'Martínez Rosas']",residential,"['20', '30']",956.4609999999999,"LINESTRING (-58.4520608 -34.5966319, -58.4512381 -34.5973437, -58.4501634 -34.5965754, -58.4491048 -34.5957619, -58.4480834 -34.5950184, -58.4472873 -34.5957035, -58.4466069 -34.5963124, -58.4465618 -34.5963527, -58.4465084 -34.5964004, -58.4460346 -34.5968212, -58.4456403 -34.5971798, -58.4446863 -34.5980612)",2,,,,,,,
82665034,97835890,0,101885071,True,General Enrique Martínez,residential,30,172.637,"LINESTRING (-58.4474661 -34.5801284, -58.4484428 -34.5796497, -58.4490853 -34.5793327)",,,,,,,,
82665036,82665034,0,101885071,True,General Enrique Martínez,residential,30,259.42,"LINESTRING (-58.4451384 -34.581449, -58.4460243 -34.5808559, -58.44642 -34.5806335, -58.4474661 -34.5801284)",,,,,,,,
82665036,92610042,0,"[101891625, 101885106]",True,Concepción Arenal,residential,30,206.01,"LINESTRING (-58.4451384 -34.581449, -58.4445549 -34.580935, -58.4437574 -34.580231, -58.4437031 -34.580183, -58.4436792 -34.5801619, -58.443603 -34.5800946)",,,,,,,,
82671887,89228730,0,238814136,True,Ceretti,residential,30,295.95500000000004,"LINESTRING (-58.4898366 -34.5822017, -58.4893408 -34.5828246, -58.4888957 -34.5834209, -58.4880775 -34.5844344)",,,,,,,,
82699725,82710222,0,471617338,True,Superí,residential,30,156.082,"LINESTRING (-58.4631336 -34.5717858, -58.4640421 -34.5707582, -58.4641366 -34.5706508)",,,,,,,,
82699725,84879464,0,471617335,True,Virrey Del Pino,residential,20,316.116,"LINESTRING (-58.4631336 -34.5717858, -58.4648845 -34.5727077, -58.4660423 -34.5733174)",,,,,,,,
82703732,82710222,0,"[166700288, 221563876, 318899717, 439437610, 166643450, 536197887]",True,La Pampa,"['tertiary', 'residential']","['20', '30']",555.759,"LINESTRING (-58.4691086 -34.5735163, -58.4682871 -34.5730154, -58.4680638 -34.572884, -58.4676125 -34.5726208, -58.4673711 -34.5724838, -58.4671299 -34.5723494, -58.4660128 -34.5717405, -58.4654896 -34.5714426, -58.4649192 -34.5711178, -58.4641366 -34.5706508)",,,,,,,,
82709893,84591006,0,39094943,False,Miller,residential,30,19.268,"LINESTRING (-58.4818447 -34.5700463, -58.4817176 -34.5701844)",,,,,,,,
82709894,84591006,0,10064434,True,Miller,residential,30,235.441,"LINESTRING (-58.4802253 -34.5719086, -58.4808892 -34.571124, -58.4812412 -34.570721, -58.4817176 -34.5701844)",,,,,,,,
82709894,245410442,0,"[139723113, 10308244]",True,Blanco Encalada,residential,30,1000.333,"LINESTRING (-58.4802253 -34.5719086, -58.4816431 -34.5727319, -58.4824628 -34.5732382, -58.4835396 -34.5739244, -58.4848068 -34.5746518, -58.4853856 -34.5749708, -58.4855013 -34.575037, -58.4864884 -34.5756126, -58.4865959 -34.5756753, -58.4875174 -34.576218, -58.4875479 -34.576236, -58.4876019 -34.5762696, -58.489105 -34.5771477)",2,,,,,,,
82710222,89268227,0,"[86113921, 562053322, 176605002, 537838731, 472650064, 229100218, 86113918]",True,Superí,residential,"['20', '30']",763.4630000000002,"LINESTRING (-58.4641366 -34.5706508, -58.4648294 -34.5698648, -58.4649171 -34.5697654, -58.4656562 -34.56891, -58.4657482 -34.5688035, -58.4664126 -34.5680294, -58.4664317 -34.5680072, -58.4665574 -34.5678607, -58.4672471 -34.5670611, -58.467277 -34.5670264, -58.4672819 -34.5670204, -58.4673699 -34.566918, -58.4678426 -34.566342, -58.4680468 -34.5661008, -58.4681472 -34.5659823, -58.4683716 -34.5657242, -58.468855 -34.5651675, -58.4688728 -34.5651466, -58.4689569 -34.5650488)",,,,,,,,
82722304,195723830,0,532838116,True,Alberti,residential,20,132.211,"LINESTRING (-58.4015551 -34.6121922, -58.4016861 -34.6110081)",,,,,,,,
82722304,195582722,0,"[532838112, 333373300]",True,Adolfo Alsina,residential,"['20', '30']",379.58200000000005,"LINESTRING (-58.4015551 -34.6121922, -58.4005145 -34.6121035, -58.4003157 -34.6120901, -58.3991139 -34.6119948, -58.3989671 -34.6119847, -58.3985876 -34.6119565, -58.3980897 -34.6119194, -58.3980192 -34.6119142, -58.3976881 -34.6118895, -58.39754 -34.6118766, -58.397426 -34.6118699)",1,,,,,,,
84556415,82703732,0,"[270754921, 47084002]",True,La Pampa,tertiary,30,611.3589999999999,"LINESTRING (-58.4745986 -34.5766452, -58.473822 -34.5762064, -58.4736773 -34.5761246, -58.4729895 -34.57571, -58.4727504 -34.5755739, -58.4725783 -34.5754744, -58.4725336 -34.5754486, -58.4719636 -34.5751192, -58.4718002 -34.5750309, -58.4708856 -34.5745077, -58.4703128 -34.5741924, -58.4700809 -34.5740647, -58.4699238 -34.5739783, -58.4691086 -34.5735163)",,,,,,,,
