u,v,key,osmid,oneway,lanes,highway,length,geometry,maxspeed,name,ref,bridge,access
62618628,4217589106,0,422035316,False,5,secondary,41.97,"LINESTRING (-83.0091645 42.3440362, -83.0096052 42.3438455)",35 mph,East Jefferson Avenue,,,
62618629,7210934027,0,422035316,False,5,secondary,6.318,"LINESTRING (-83.00875430000001 42.3442132, -83.0086878 42.3442417)",35 mph,East Jefferson Avenue,,,
62618629,7210934022,0,422035316,False,5,secondary,14.367,"LINESTRING (-83.00875430000001 42.3442132, -83.0089053 42.3441481)",35 mph,East Jefferson Avenue,,,
62618630,5411423139,0,422035316,False,5,secondary,12.256,"LINESTRING (-83.0083149 42.3444014, -83.0081852 42.3444558)",35 mph,East Jefferson Avenue,,,
62618630,7210934027,0,422035316,False,5,secondary,35.42,"LINESTRING (-83.0083149 42.3444014, -83.0086878 42.3442417)",35 mph,East Jefferson Avenue,,,
62618631,62963096,0,422035316,False,5,secondary,56.542,"LINESTRING (-83.00806369999999 42.3445076, -83.00746839999999 42.3447625)",35 mph,East Jefferson Avenue,,,
62618631,5411423139,0,422035316,False,5,secondary,11.528,"LINESTRING (-83.00806369999999 42.3445076, -83.0081852 42.3444558)",35 mph,East Jefferson Avenue,,,
62618636,3684344229,0,38330166,False,5,secondary,20.123,"LINESTRING (-83.0062032 42.3453126, -83.0059938 42.3454064)",35 mph,East Jefferson Avenue,,,
62618636,5411423149,0,38330166,False,5,secondary,33.227,"LINESTRING (-83.0062032 42.3453126, -83.0065512 42.3451605)",35 mph,East Jefferson Avenue,,,
62618638,5411423024,0,38330166,False,5,secondary,26.011,"LINESTRING (-83.0049643 42.3458673, -83.005235 42.3457461)",35 mph,East Jefferson Avenue,,,
62618638,62618641,0,38330185,True,4,secondary,23.206,"LINESTRING (-83.0049643 42.3458673, -83.0046849 42.3458975)",35 mph,East Jefferson Avenue,,,
62618666,734887453,0,422035315,False,5,secondary,8.999,"LINESTRING (-82.99844969999999 42.3490855, -82.9983673 42.3491388)",35 mph,East Jefferson Avenue,,,
62618666,5159985345,0,422035315,False,5,secondary,22.603,"LINESTRING (-82.99844969999999 42.3490855, -82.99865579999999 42.3489509)",35 mph,East Jefferson Avenue,,,
62618668,4556460647,0,422035306,False,5,secondary,9.069,"LINESTRING (-82.99771819999999 42.3495561, -82.9976334 42.3496083)",35 mph,East Jefferson Avenue,,,
62618668,4556460649,0,422035312,False,5,secondary,10.647,"LINESTRING (-82.99771819999999 42.3495561, -82.9978167 42.3494939)",35 mph,East Jefferson Avenue,,,
62618670,4556460643,0,422035311,False,5,secondary,6.825,"LINESTRING (-82.9967489 42.350188, -82.9968107 42.350147)",35 mph,East Jefferson Avenue,,,
62618670,4556460641,0,422035313,False,4,secondary,8.21,"LINESTRING (-82.9967489 42.350188, -82.9966764 42.3502388)",35 mph,East Jefferson Avenue,,,
62618673,4857625410,0,422035305,False,5,secondary,2.411,"LINESTRING (-82.9948559 42.3513976, -82.9948783 42.3513836)",35 mph,East Jefferson Avenue,,,
62618673,4553389013,0,422035309,False,5,secondary,8.251,"LINESTRING (-82.9948559 42.3513976, -82.9947791 42.3514454)",35 mph,East Jefferson Avenue,,,
62618675,1228044957,0,422035310,False,5,secondary,8.069,"LINESTRING (-82.9939909 42.3519357, -82.99407220000001 42.351895)",35 mph,East Jefferson Avenue,,,
62618675,1228000062,0,422035314,False,5,secondary,3.577,"LINESTRING (-82.9939909 42.3519357, -82.99395939999999 42.3519579)",35 mph,East Jefferson Avenue,,,
62618677,1228044959,0,106785972,False,5,secondary,30.405,"LINESTRING (-82.992481 42.3529679, -82.99220200000001 42.3531475)",35 mph,East Jefferson Avenue,,,
62618677,1227999984,0,422103263,False,5,secondary,31.548,"LINESTRING (-82.992481 42.3529679, -82.9927629 42.3527753)",35 mph,East Jefferson Avenue,,,
62618679,6141339776,0,106785972,False,5,secondary,36.94,"LINESTRING (-82.991208 42.3537919, -82.9908714 42.3540121)",35 mph,East Jefferson Avenue,,,
62618679,5411423157,0,106785972,False,5,secondary,14.967,"LINESTRING (-82.991208 42.3537919, -82.991345 42.3537032)",35 mph,East Jefferson Avenue,,,
62618684,62597715,0,422035998,False,4,secondary,39.509,"LINESTRING (-82.9896136 42.3549007, -82.9899554 42.3546508)",35 mph,East Jefferson Avenue,,,
62618684,734175844,0,422035999,False,5,secondary,8.438,"LINESTRING (-82.9896136 42.3549007, -82.989542 42.3549551)",35 mph,East Jefferson Avenue,,,
62618685,4970238762,0,507544152,False,5,secondary,104.781,"LINESTRING (-82.9889948 42.3553768, -82.98810880000001 42.3560545)",35 mph,East Jefferson Avenue,,,
62618685,5927704225,0,507544152,False,5,secondary,23.576,"LINESTRING (-82.9889948 42.3553768, -82.989193 42.3552235)",35 mph,East Jefferson Avenue,,,
62618687,634780179,0,422036003,False,5,secondary,32.828,"LINESTRING (-82.9879277 42.3562071, -82.9876539 42.3564221)",35 mph,East Jefferson Avenue,,,
62618687,4970238762,0,422036003,False,5,secondary,22.569,"LINESTRING (-82.9879277 42.3562071, -82.98810880000001 42.3560545)",35 mph,East Jefferson Avenue,,,
62618690,5411378350,0,422036000,False,5,secondary,19.302,"LINESTRING (-82.9871054 42.3568541, -82.9869406 42.3569778)",35 mph,East Jefferson Avenue,,,
62618690,5411378351,0,422036002,False,5,secondary,12.181,"LINESTRING (-82.9871054 42.3568541, -82.98720489999999 42.3567729)",35 mph,East Jefferson Avenue,,,
62618692,62618694,0,422036004,False,5,secondary,51.56,"LINESTRING (-82.986214 42.3575629, -82.985783 42.3578999)",35 mph,East Jefferson Avenue,,,
62618692,734887971,0,422036004,False,5,secondary,13.628,"LINESTRING (-82.986214 42.3575629, -82.9863228 42.3574704)",35 mph,East Jefferson Avenue,,,
62618694,62618697,0,422036004,False,5,secondary,45.586,"LINESTRING (-82.985783 42.3578999, -82.98540199999999 42.3581979)",35 mph,East Jefferson Avenue,,,
62618694,62618692,0,422036004,False,5,secondary,51.56,"LINESTRING (-82.985783 42.3578999, -82.986214 42.3575629)",35 mph,East Jefferson Avenue,,,
62618697,62618698,0,422036004,False,5,secondary,56.128,"LINESTRING (-82.98540199999999 42.3581979, -82.984933 42.3585649)",35 mph,East Jefferson Avenue,,,
62618697,62618694,0,422036004,False,5,secondary,45.586,"LINESTRING (-82.98540199999999 42.3581979, -82.985783 42.3578999)",35 mph,East Jefferson Avenue,,,
62618698,4216298637,0,422036004,False,5,secondary,11.537,"LINESTRING (-82.984933 42.3585649, -82.98483640000001 42.3586402)",35 mph,East Jefferson Avenue,,,
62618698,62618697,0,422036004,False,5,secondary,56.128,"LINESTRING (-82.984933 42.3585649, -82.98540199999999 42.3581979)",35 mph,East Jefferson Avenue,,,
62618700,4553389073,0,421885979,False,5,secondary,6.899,"LINESTRING (-82.984589 42.3588329, -82.98464679999999 42.3587879)",35 mph,East Jefferson Avenue,,,
62618700,4553389071,0,507546868,False,4,secondary,14.403,"LINESTRING (-82.984589 42.3588329, -82.9844684 42.3589269)",35 mph,East Jefferson Avenue,,,
62618702,5411423159,0,421885990,False,5,secondary,26.539,"LINESTRING (-82.984081 42.3592289, -82.9838592 42.3594024)",35 mph,East Jefferson Avenue,,,
62618702,4553389071,0,507546868,False,4,secondary,46.27,"LINESTRING (-82.984081 42.3592289, -82.9844684 42.3589269)",35 mph,East Jefferson Avenue,,,
62618704,62618707,0,421885990,False,5,secondary,47.071,"LINESTRING (-82.98346100000001 42.3597139, -82.983068 42.3600219)",35 mph,East Jefferson Avenue,,,
62618704,5411423159,0,421885990,False,5,secondary,47.647,"LINESTRING (-82.98346100000001 42.3597139, -82.9838592 42.3594024)",35 mph,East Jefferson Avenue,,,
62618707,734645394,0,421885990,False,5,secondary,9.505,"LINESTRING (-82.983068 42.3600219, -82.9829885 42.360084)",35 mph,East Jefferson Avenue,,,
62618707,62618704,0,421885990,False,5,secondary,47.071,"LINESTRING (-82.983068 42.3600219, -82.98346100000001 42.3597139)",35 mph,East Jefferson Avenue,,,
62618709,4216298638,0,421885990,False,5,secondary,75.054,"LINESTRING (-82.98269000000001 42.3603169, -82.9820306 42.360784)",35 mph,East Jefferson Avenue,,,
