u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,service,access
62905776,62905774,0,8756680,True,,Votrobeck Drive,residential,10 mph,3.797,"LINESTRING (-83.23998899999999 42.432098, -83.240019 42.432124)",,
62905778,62905776,0,8756680,True,,Votrobeck Drive,residential,10 mph,3.845,"LINESTRING (-83.239949 42.43208, -83.23998899999999 42.432098)",,
62905782,6403192843,0,8756680,True,,Votrobeck Drive,residential,10 mph,2.152,"LINESTRING (-83.239907 42.432072, -83.2399324 42.4320768)",,
62905782,6703286861,0,8758535,True,,Votrobeck Court,residential,10 mph,31.541,"LINESTRING (-83.239907 42.432072, -83.2395229 42.4320816)",,
62917303,62883597,0,8764787,True,,Jeffries Service Drive,tertiary,20 mph,35.99,"LINESTRING (-83.145853 42.376992, -83.145881 42.377315)",,
62931733,6403192844,0,8758535,True,,Votrobeck Court,residential,10 mph,1.387,"LINESTRING (-83.239946 42.432064, -83.2399297 42.4320673)",,
62931734,62931733,0,8758535,True,,Votrobeck Court,residential,10 mph,2.855,"LINESTRING (-83.239976 42.432051, -83.239946 42.432064)",,
62931736,62931734,0,8758535,True,,Votrobeck Court,residential,10 mph,2.808,"LINESTRING (-83.23999999999999 42.432033, -83.239976 42.432051)",,
62931738,62931736,0,8758535,True,,Votrobeck Court,residential,10 mph,2.816,"LINESTRING (-83.24001699999999 42.432011, -83.23999999999999 42.432033)",,
62931739,62931738,0,8758535,True,,Votrobeck Court,residential,10 mph,4.757,"LINESTRING (-83.240028 42.431969, -83.24001699999999 42.432011)",,
62931741,62931739,0,8758535,True,,Votrobeck Court,residential,10 mph,21.468,"LINESTRING (-83.240021 42.431776, -83.240028 42.431969)",,
62931743,62931741,0,8758535,True,,Votrobeck Court,residential,10 mph,3.251,"LINESTRING (-83.240026 42.431747, -83.240021 42.431776)",,
62931745,62931743,0,8758535,True,,Votrobeck Court,residential,10 mph,4.637,"LINESTRING (-83.24004600000001 42.431708, -83.240026 42.431747)",,
62931746,62931745,0,8758535,True,,Votrobeck Court,residential,10 mph,3.407,"LINESTRING (-83.24007 42.431683, -83.24004600000001 42.431708)",,
62931748,62931746,0,8758535,True,,Votrobeck Court,residential,10 mph,4.571,"LINESTRING (-83.240112 42.431656, -83.24007 42.431683)",,
62931750,62931748,0,8758535,True,,Votrobeck Court,residential,10 mph,3.412,"LINESTRING (-83.240149 42.431642, -83.240112 42.431656)",,
62931752,62931750,0,8758535,True,,Votrobeck Court,residential,10 mph,5.771,"LINESTRING (-83.240218 42.431632, -83.240149 42.431642)",,
62931754,62708290,0,8758535,True,,Votrobeck Court,residential,10 mph,41.225,"LINESTRING (-83.24138600000001 42.431603, -83.24088399999999 42.431616)",,
