u,v,key,osmid,highway,oneway,length,geometry,name,area,width,lanes,maxspeed,bridge,tunnel,service,access,junction
271865346,276437813,0,25364030,cycleway,False,253.18800000000002,"LINESTRING (37.753523 55.7702985, 37.7535375 55.7701118, 37.7537204 55.7700593, 37.75445 55.7698662, 37.7553941 55.7696779, 37.7558233 55.7697068, 37.7560075 55.7697874, 37.7561255 55.7699174, 37.7562146 55.7701546, 37.7562259 55.7703492)",,,,,,,,,,
271865346,276436772,0,114720148,cycleway,False,109.049,"LINESTRING (37.753523 55.7702985, 37.7538179 55.7704707, 37.7540868 55.770666, 37.7542764 55.7708097, 37.7544171 55.770949, 37.7545417 55.7710877)",аллея Большого Круга,,,,,,,,,
271865346,1085608817,0,114720148,cycleway,False,269.372,"LINESTRING (37.753523 55.7702985, 37.753273 55.770177, 37.7530192 55.7700593, 37.7527537 55.7699395, 37.7524575 55.7698395, 37.7520878 55.7697438, 37.7518215 55.7696791, 37.7515178 55.7696241, 37.7511478 55.7695991, 37.7508562 55.7695893, 37.7507269 55.7695872, 37.7501651 55.7695814, 37.7496329 55.7695908, 37.7495761 55.7695922)",аллея Большого Круга,,,,,,,,,
276436772,276437813,0,25364030,cycleway,False,138.92999999999998,"LINESTRING (37.7545417 55.7710877, 37.7548877 55.7710108, 37.7553995 55.7708606, 37.7558675 55.7706807, 37.7561556 55.7704904, 37.7562259 55.7703492)",,,,,,,,,,
276436772,430436288,0,114720148,cycleway,False,80.382,"LINESTRING (37.7545417 55.7710877, 37.7547219 55.7713595, 37.7548222 55.7716384, 37.7548591 55.7717852)",аллея Большого Круга,,,,,,,,,
276436772,271865346,0,114720148,cycleway,False,109.049,"LINESTRING (37.7545417 55.7710877, 37.7544171 55.770949, 37.7542764 55.7708097, 37.7540868 55.770666, 37.7538179 55.7704707, 37.753523 55.7702985)",аллея Большого Круга,,,,,,,,,
276437132,430436313,0,95696824,cycleway,False,140.704,"LINESTRING (37.754475 55.7731879, 37.75525 55.7732057, 37.7562937 55.7732297, 37.7567228 55.7732396)",,,,,,,,,,
276437132,276437133,0,114720148,cycleway,False,39.312,"LINESTRING (37.754475 55.7731879, 37.7543023 55.7734007, 37.7541801 55.7734986)",аллея Большого Круга,,,,,,,,,
276437132,430436288,0,114720148,cycleway,False,159.562,"LINESTRING (37.754475 55.7731879, 37.7546134 55.772983, 37.7547192 55.7727873, 37.7548101 55.7725537, 37.7548697 55.7723198, 37.7548843 55.7721594, 37.7548908 55.7719484, 37.7548591 55.7717852)",аллея Большого Круга,,,,,,,,,
276437133,276438258,0,25364129,cycleway,False,336.235,"LINESTRING (37.7541801 55.7734986, 37.7543677 55.7735825, 37.754604 55.7737015, 37.7550413 55.7738901, 37.7554306 55.77406, 37.7555997 55.774169, 37.756036 55.7744963, 37.7561205 55.7745506, 37.7566516 55.7748914, 37.7570649 55.7753297, 37.7572516 55.7755146, 37.7573072 55.7758488)",,,,,,,,,,
276437133,276437139,0,114720148,cycleway,False,365.83000000000004,"LINESTRING (37.7541801 55.7734986, 37.7539648 55.7736551, 37.7537153 55.7737969, 37.7533518 55.7739644, 37.7530343 55.7741056, 37.752712 55.774219, 37.752607 55.7742559, 37.7520297 55.7743898, 37.7515425 55.7744767, 37.7509723 55.7745285, 37.7504225 55.7745565, 37.7500729 55.7745674, 37.7492815 55.77457, 37.7490923 55.7745676, 37.7489242 55.7745649)",аллея Большого Круга,,,,,,,,,
276437133,276437132,0,114720148,cycleway,False,39.312,"LINESTRING (37.7541801 55.7734986, 37.7543023 55.7734007, 37.754475 55.7731879)",аллея Большого Круга,,,,,,,,,
276437139,276437133,0,114720148,cycleway,False,365.83,"LINESTRING (37.7489242 55.7745649, 37.7490923 55.7745676, 37.7492815 55.77457, 37.7500729 55.7745674, 37.7504225 55.7745565, 37.7509723 55.7745285, 37.7515425 55.7744767, 37.7520297 55.7743898, 37.752607 55.7742559, 37.752712 55.774219, 37.7530343 55.7741056, 37.7533518 55.7739644, 37.7537153 55.7737969, 37.7539648 55.7736551, 37.7541801 55.7734986)",аллея Большого Круга,,,,,,,,,
