u,v,key,osmid,highway,oneway,length,geometry,name,bridge,width,area,lanes,tunnel,service
6284793965,6284793966,0,671131545,cycleway,False,42.506,"LINESTRING (37.807159 55.7142208, 37.806534 55.7143697)",,,,,,,
6284793966,6284793965,0,671131545,cycleway,False,42.506,"LINESTRING (37.806534 55.7143697, 37.807159 55.7142208)",,,,,,,
6284793966,6284793969,0,671131545,cycleway,False,75.294,"LINESTRING (37.806534 55.7143697, 37.8054397 55.7146499)",,,,,,,
6284793967,6284793969,0,671131545,cycleway,False,32.329,"LINESTRING (37.8049378 55.7147177, 37.8054397 55.7146499)",,,,,,,
6284793967,6284793970,0,671131545,cycleway,False,5.165,"LINESTRING (37.8049378 55.7147177, 37.8048576 55.7147285)",,,,,,,
6284793968,6284793970,0,671131545,cycleway,False,28.565,"LINESTRING (37.8044414 55.7148335, 37.8048576 55.7147285)",,,,,,,
6284793968,6284793971,0,671131545,cycleway,False,42.574,"LINESTRING (37.8044414 55.7148335, 37.803821 55.7149899)",,,,,,,
6284793969,6284793966,0,671131545,cycleway,False,75.294,"LINESTRING (37.8054397 55.7146499, 37.806534 55.7143697)",,,,,,,
6284793969,6284793967,0,671131545,cycleway,False,32.329,"LINESTRING (37.8054397 55.7146499, 37.8049378 55.7147177)",,,,,,,
6284793970,6284793967,0,671131545,cycleway,False,5.165,"LINESTRING (37.8048576 55.7147285, 37.8049378 55.7147177)",,,,,,,
6284793970,6284793968,0,671131545,cycleway,False,28.565,"LINESTRING (37.8048576 55.7147285, 37.8044414 55.7148335)",,,,,,,
6284793971,6284793968,0,671131545,cycleway,False,42.574,"LINESTRING (37.803821 55.7149899, 37.8044414 55.7148335)",,,,,,,
6284793971,736582348,0,671131545,cycleway,False,4.713,"LINESTRING (37.803821 55.7149899, 37.8037458 55.7149884)",,,,,,,
6492130116,1207821582,0,228654888,footway,False,128.262,"LINESTRING (37.828503 55.7280652, 37.8283287 55.7269159)",,,,,,,
6492130116,2373361121,0,228654888,footway,False,24.005,"LINESTRING (37.828503 55.7280652, 37.8285356 55.7282803)",,,,,,,
36163016,3017019308,0,48287363,cycleway,False,37.952,"LINESTRING (37.5134724 55.8471074, 37.5139566 55.846901)",,,,,,,
68912009,1865232963,0,375415918,cycleway,False,10.027,"LINESTRING (37.8058241 55.788849, 37.8056848 55.7888043)",Измайловский проспект,,,,,,
100014354,2519602004,0,139712246,cycleway,False,25.761,"LINESTRING (37.545394 55.6378034, 37.5456848 55.6376399)",,,,,,,
100014354,2519602005,0,139712246,cycleway,False,25.393,"LINESTRING (37.545394 55.6378034, 37.5450409 55.6379149)",,,,,,,
100014355,2519602005,0,139712246,cycleway,False,2.655,"LINESTRING (37.5450127 55.6379327, 37.5450409 55.6379149)",,,,,,,
100014355,338422324,0,139712246,cycleway,False,20.897,"LINESTRING (37.5450127 55.6379327, 37.5448498 55.6380966)",,,,,,,
154625693,2519602000,0,244666434,cycleway,False,57.477,"LINESTRING (37.5468331 55.6372409, 37.5476442 55.6370009)",,,,,,,
154625693,338422322,0,244666434,cycleway,False,57.073,"LINESTRING (37.5468331 55.6372409, 37.5460231 55.6374742)",,,,,,,
181290957,1110196471,0,25007690,cycleway,False,8.207,"LINESTRING (37.7544404 55.760286, 37.7544093 55.7603577)",аллея Пролетарского Входа,,,,,,
221574908,4898379088,0,175956687,cycleway,False,7.921,"LINESTRING (37.8104979 55.7889176, 37.810623 55.7889063)",Измайловский проспект,,,,,,
253770236,1673507715,0,157471593,cycleway,False,21.732,"LINESTRING (37.4157633 55.7552181, 37.4160617 55.7553181)",Велотрасса на Крылатских холмах,,,,,,
253770236,253770237,0,157471593,cycleway,False,18.861,"LINESTRING (37.4157633 55.7552181, 37.415494 55.7551419)",Велотрасса на Крылатских холмах,,,,,,
253770237,253770236,0,157471593,cycleway,False,18.861,"LINESTRING (37.415494 55.7551419, 37.4157633 55.7552181)",Велотрасса на Крылатских холмах,,,,,,
253770237,1673507697,0,157471593,cycleway,False,17.128,"LINESTRING (37.415494 55.7551419, 37.4152339 55.7550939)",Велотрасса на Крылатских холмах,,,,,,
253770238,1673507696,0,157471593,cycleway,False,13.048,"LINESTRING (37.4147855 55.7550693, 37.414994 55.7550678)",Велотрасса на Крылатских холмах,,,,,,
