u,v,key,osmid,oneway,highway,maxspeed,length,geometry,lanes,name,access,service,width,tunnel,junction,area,bridge
112564575,583017388,0,49342962,True,tertiary,20,8.826,"LINESTRING (37.5392878 55.7041612, 37.5391871 55.7041057)",2,улица Лебедева,,,,,,,
148296718,148296720,0,15027840,True,primary_link,30,45.766,"LINESTRING (37.8284269 55.6880955, 37.8278911 55.6883751)",1,,,,,,,,
148296720,148296721,0,15027840,True,primary_link,30,15.997,"LINESTRING (37.8278911 55.6883751, 37.827749 55.6884946)",1,,,,,,,,
148296721,148296722,0,15027840,True,primary_link,30,14.109,"LINESTRING (37.827749 55.6884946, 37.8276658 55.6886125)",1,,,,,,,,
148296722,148296723,0,15027840,True,primary_link,30,16.73,"LINESTRING (37.8276658 55.6886125, 37.827639 55.6887622)",1,,,,,,,,
148296723,995063230,0,15027840,True,primary_link,30,13.548,"LINESTRING (37.827639 55.6887622, 37.8276658 55.6888831)",1,,,,,,,,
148296724,148296725,0,15027840,True,primary_link,30,17.114,"LINESTRING (37.8277543 55.688986, 37.8279126 55.6891114)",1,,,,,,,,
148296725,995063392,0,15027840,True,primary_link,30,17.827,"LINESTRING (37.8279126 55.6891114, 37.8281352 55.6892112)",1,,,,,,,,
148296727,148296728,0,15027840,True,primary_link,30,9.563,"LINESTRING (37.8283471 55.6892672, 37.8284973 55.6892823)",1,,,,,,,,
148296728,2638481297,0,15027840,True,primary_link,30,8.361,"LINESTRING (37.8284973 55.6892823, 37.8286307 55.6892825)",1,,,,,,,,
148296731,2638481296,0,15027840,True,primary_link,30,9.47,"LINESTRING (37.8290652 55.6892221, 37.8291836 55.6891692)",1,,,,,,,,
148296732,3003556684,0,15027840,True,primary_link,30,9.2,"LINESTRING (37.8292872 55.6891161, 37.8293576 55.6890435)",1,,,,,,,,
148347017,3711570020,0,367204807,True,primary_link,30,17.097,"LINESTRING (37.8365214 55.7074975, 37.836716 55.7073897)",1,,,,,,,,
148347018,148347019,0,367204807,True,primary_link,30,11.458,"LINESTRING (37.8369032 55.7071972, 37.8369436 55.7070967)",1,,,,,,,,
148347019,148347020,0,367204807,True,primary_link,30,15.195,"LINESTRING (37.8369436 55.7070967, 37.8369108 55.7069613)",1,,,,,,,,
148347020,148347021,0,367204807,True,primary_link,30,15.512,"LINESTRING (37.8369108 55.7069613, 37.8368192 55.7068317)",1,,,,,,,,
148347021,148347022,0,367204807,True,primary_link,30,15.006,"LINESTRING (37.8368192 55.7068317, 37.8366737 55.7067245)",1,,,,,,,,
148347022,148347023,0,367204807,True,primary_link,30,16.53,"LINESTRING (37.8366737 55.7067245, 37.8364648 55.7066337)",1,,,,,,,,
148347023,148347025,0,367204807,True,primary_link,30,15.909,"LINESTRING (37.8364648 55.7066337, 37.8362298 55.7065795)",1,,,,,,,,
148347025,148347026,0,367204807,True,primary_link,30,19.582,"LINESTRING (37.8362298 55.7065795, 37.8359188 55.7065619)",1,,,,,,,,
148347026,148347027,0,367204807,True,primary_link,30,16.588,"LINESTRING (37.8359188 55.7065619, 37.8356578 55.706587)",1,,,,,,,,
148347027,148347028,0,367204807,True,primary_link,30,15.278,"LINESTRING (37.8356578 55.706587, 37.83544 55.7066488)",1,,,,,,,,
