u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,width,est_width,access,bridge,tunnel,area,service
2813135424,2813135425,0,276728293,False,2,Carrer de Calàbria,cycleway,,21.404,"LINESTRING (2.1500618 41.3834018, 2.1498766 41.383535)",2,,,,,,
2813135424,2813135423,0,276728293,False,2,Carrer de Calàbria,cycleway,,12.097,"LINESTRING (2.1500618 41.3834018, 2.1501649 41.3833253)",2,,,,,,
2813135425,6875262065,0,276728293,False,2,Carrer de Calàbria,cycleway,,31.717,"LINESTRING (2.1498766 41.383535, 2.149609 41.3837376)",2,,,,,,
2813135425,2813135424,0,276728293,False,2,Carrer de Calàbria,cycleway,,21.404,"LINESTRING (2.1498766 41.383535, 2.1500618 41.3834018)",2,,,,,,
2813135426,6875262061,0,276728293,False,2,Carrer de Calàbria,cycleway,,22.063,"LINESTRING (2.1493504 41.3839304, 2.1491668 41.3840732)",2,,,,,,
2813135426,6875262065,0,276728293,False,2,Carrer de Calàbria,cycleway,,30.415,"LINESTRING (2.1493504 41.3839304, 2.149609 41.3837376)",2,,,,,,
2813135428,6984788068,0,276728293,False,2,Carrer de Calàbria,cycleway,,24.012,"LINESTRING (2.1482342 41.3847756, 2.1480327 41.3849298)",2,,,,,,
2813135428,2813138017,0,276728293,False,2,Carrer de Calàbria,cycleway,,6.223,"LINESTRING (2.1482342 41.3847756, 2.1482877 41.3847366)",2,,,,,,
2813135429,2813135430,0,276728293,False,2,Carrer de Calàbria,cycleway,,136.883,"LINESTRING (2.147134 41.3856058, 2.1459736 41.3864761)",2,,,,,,
2813135429,7252397749,0,276728293,False,2,Carrer de Calàbria,cycleway,,24.226,"LINESTRING (2.147134 41.3856058, 2.1473402 41.3854524)",2,,,,,,
2813135430,2813135431,0,276728293,False,2,Carrer de Calàbria,cycleway,,132.086,"LINESTRING (2.1459736 41.3864761, 2.1448584 41.3873193)",2,,,,,,
2813135430,2813135429,0,276728293,False,2,Carrer de Calàbria,cycleway,,136.883,"LINESTRING (2.1459736 41.3864761, 2.147134 41.3856058)",2,,,,,,
2813135431,5435346851,0,276728293,False,2,Carrer de Calàbria,cycleway,,6.89,"LINESTRING (2.1448584 41.3873193, 2.1447983 41.3873618)",2,,,,,,
2813135431,2813135430,0,276728293,False,2,Carrer de Calàbria,cycleway,,132.086,"LINESTRING (2.1448584 41.3873193, 2.1459736 41.3864761)",2,,,,,,
2813138016,6916898387,0,831157596,False,2,Carrer de Provença,cycleway,,25.371,"LINESTRING (2.1483255 41.384765, 2.1485387 41.3849277)",1.5,3,,,,,
2813138016,2813138017,0,831157596,False,2,Carrer de Provença,cycleway,,4.463,"LINESTRING (2.1483255 41.384765, 2.1482877 41.3847366)",1.5,3,,,,,
2813138017,2813135428,0,276728293,False,2,Carrer de Calàbria,cycleway,,6.223,"LINESTRING (2.1482877 41.3847366, 2.1482342 41.3847756)",2,,,,,,
2813138017,6984788071,0,276728293,False,2,Carrer de Calàbria,cycleway,,21.576,"LINESTRING (2.1482877 41.3847366, 2.1484732 41.3846014)",2,,,,,,
2813138017,2813138016,0,831157596,False,2,Carrer de Provença,cycleway,,4.463,"LINESTRING (2.1482877 41.3847366, 2.1483255 41.384765)",1.5,3,,,,,
2813138017,6916898388,0,831157596,False,2,Carrer de Provença,cycleway,,17.829,"LINESTRING (2.1482877 41.3847366, 2.1481377 41.3846224)",1.5,3,,,,,
2813138018,6916898389,0,831157596,False,2,Carrer de Provença,cycleway,,23.963,"LINESTRING (2.1472062 41.3839133, 2.1474078 41.3840668)",1.5,3,,,,,
2813138018,6916898390,0,831157596,False,2,Carrer de Provença,cycleway,,28.474,"LINESTRING (2.1472062 41.3839133, 2.1469645 41.3837325)",1.5,3,,,,,
2813138019,6916898391,0,831157596,False,2,Carrer de Provença,cycleway,,23.589,"LINESTRING (2.1460502 41.3830484, 2.1462504 41.3831982)",1.5,3,,,,,
2813138019,6916898392,0,831157596,False,2,Carrer de Provença,cycleway,,24.488,"LINESTRING (2.1460502 41.3830484, 2.1458437 41.3828919)",1.5,3,,,,,
2813138020,4858092690,0,831157596,False,2,Carrer de Provença,cycleway,,5.369,"LINESTRING (2.1449236 41.3821948, 2.1449689 41.3822291)",1.5,3,,,,,
2813138020,6916898394,0,831157596,False,2,Carrer de Provença,cycleway,,24.59,"LINESTRING (2.1449236 41.3821948, 2.1447155 41.3820382)",1.5,3,,,,,
2813138021,6916898395,0,831157596,False,2,Carrer de Provença,cycleway,,24.529,"LINESTRING (2.1438236 41.381367, 2.1440312 41.3815232)",1.5,3,,,,,
2813138021,6005059817,0,831157597,False,2,Carrer de Provença,cycleway,,28.994,"LINESTRING (2.1438236 41.381367, 2.1435828 41.381179)",1.5,3,,,,,
2817617722,6214986128,0,664007248,False,,Bicivia 7,cycleway,,3.13,"LINESTRING (2.1066534 41.3833099, 2.1066511 41.3832818)",4,,,,,,
2819073396,2819073397,0,245966534,False,2,Carrer de Girona,cycleway,,7.013,"LINESTRING (2.1731482 41.3932517, 2.1730881 41.3932958)",2.5,,,,,,
2819073396,4716375242,0,245966534,False,2,Carrer de Girona,cycleway,,4.067,"LINESTRING (2.1731482 41.3932517, 2.1731808 41.3932245)",2.5,,,,,,
2819073397,3184415039,0,245966534,False,2,Carrer de Girona,cycleway,,10.261,"LINESTRING (2.1730881 41.3932958, 2.1730038 41.393363)",2.5,,,,,,
2819073397,2819073396,0,245966534,False,2,Carrer de Girona,cycleway,,7.013,"LINESTRING (2.1730881 41.3932958, 2.1731482 41.3932517)",2.5,,,,,,
2819073398,3497460962,0,245966534,False,2,Carrer de Girona,cycleway,,3.44,"LINESTRING (2.1719903 41.394123, 2.1719609 41.3941447)",2.5,,,,,,
2819073398,3184415042,0,245966534,False,2,Carrer de Girona,cycleway,,27.669,"LINESTRING (2.1719903 41.394123, 2.1722233 41.3939459)",2.5,,,,,,
2819073399,3184415052,0,245966534,False,2,Carrer de Girona,cycleway,,21.203,"LINESTRING (2.1708659 41.3949742, 2.1706891 41.3951112)",2.5,,,,,,
2819073399,3184415046,0,245966534,False,2,Carrer de Girona,cycleway,,4.621,"LINESTRING (2.1708659 41.3949742, 2.1709031 41.3949434)",2.5,,,,,,
2819073400,3184415058,0,245966534,False,2,Carrer de Girona,cycleway,,27.987,"LINESTRING (2.1697309 41.3958313, 2.1694968 41.3960116)",2.5,,,,,,
