u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,est_width,ref,junction,access,bridge,service,tunnel,area
1374371014,1374370975,0,123165178,False,Carrer de la Malva,residential,30,281.23300000000006,"LINESTRING (2.0939521 41.4294335, 2.0939088 41.4294741, 2.093894 41.4295545, 2.0939061 41.4297222, 2.093954 41.4298344, 2.0939765 41.4299409, 2.0939178 41.4300321, 2.093569 41.4302174, 2.0935078 41.4302988, 2.0934716 41.4303916, 2.0934565 41.4305273, 2.0934686 41.4306947, 2.093538 41.4308508, 2.0936333 41.4310011, 2.0937613 41.4312744, 2.0938174 41.4315574, 2.0939593 41.4317026)",,,,,,,,,,
1374371014,979755215,0,417465830,False,Carrer Costa del Bruc,residential,30,160.512,"LINESTRING (2.0939521 41.4294335, 2.0939744 41.4295642, 2.0940072 41.4297072, 2.09409 41.4298095, 2.0941973 41.4299014, 2.0942888 41.4299765, 2.0943469 41.4300871, 2.0943192 41.4302282, 2.0941947 41.4303831, 2.0941559 41.4304642, 2.0941754 41.4305408, 2.094289 41.43074)",,,,,,,,,,
1374371014,1374370838,0,"[133206738, 417465837]",False,"['Plaça del Teix', 'Carrer del Baladre']",residential,30,558.464,"LINESTRING (2.0939521 41.4294335, 2.0940157 41.4292425, 2.0940295 41.4291752, 2.093988 41.4291252, 2.093919 41.4291062, 2.0938292 41.4291028, 2.0936382 41.4291666, 2.0934348 41.4292352, 2.0934012 41.4292512, 2.0932401 41.4292978, 2.0931457 41.4292995, 2.0930399 41.429227, 2.0929432 41.4291442, 2.0928765 41.4290562, 2.0927683 41.4289647, 2.0926348 41.4288854, 2.0925083 41.4287801, 2.0924507 41.4286956, 2.0924553 41.4286127, 2.0925083 41.4285144, 2.0925796 41.4284281, 2.0926947 41.4283522, 2.0928051 41.4282797, 2.092888 41.4282124, 2.0929731 41.428102, 2.0931411 41.4278897, 2.0932401 41.4277793, 2.0933759 41.4276499, 2.0934955 41.4275602, 2.0935508 41.4274721, 2.0935232 41.4273893, 2.0934403 41.4273013, 2.0933298 41.4272288, 2.0932056 41.427165, 2.0930812 41.4270782, 2.0930159 41.4269978, 2.09298 41.4269324, 2.0929501 41.4267716, 2.0929547 41.4265921, 2.0929708 41.4262919, 2.092978 41.4259294)",,,,,,,,,,
1374371016,1465896597,0,51496723,False,Carrer Major del Rectoret,tertiary,30,177.11700000000002,"LINESTRING (2.0948595 41.4296773, 2.0948623 41.4298596, 2.0949051 41.4300234, 2.0949547 41.4301684, 2.0950004 41.4302731, 2.095009 41.4303051, 2.0950113 41.4303336, 2.095009 41.4303709, 2.0950004 41.4304006, 2.0949593 41.4304676, 2.0949166 41.4305613, 2.094901 41.4306242, 2.0948971 41.4306527, 2.0948979 41.4306871, 2.0949034 41.4307092, 2.0949142 41.430729, 2.0949321 41.4307483, 2.0949647 41.4307756, 2.0949937 41.430797, 2.0950385 41.4308257, 2.0951076 41.430856, 2.0952771 41.4309212, 2.0954888 41.4309912)",,,,,,,,,,
1374371016,1374370827,0,51496723,False,Carrer Major del Rectoret,tertiary,30,760.3879999999998,"LINESTRING (2.0948595 41.4296773, 2.0949088 41.4296218, 2.0949891 41.4295495, 2.0950374 41.4294752, 2.0950424 41.4294118, 2.0949945 41.4293266, 2.094882 41.4291881, 2.094866 41.4290957, 2.0948981 41.4289652, 2.0949811 41.4287624, 2.0949891 41.428658, 2.0949356 41.4285817, 2.0947829 41.4285355, 2.0944535 41.4284853, 2.0942366 41.4284331, 2.0941375 41.4284291, 2.0939232 41.4284451, 2.0938054 41.428411, 2.0937873 41.4283237, 2.0938329 41.4282395, 2.0939207 41.42815, 2.0940383 41.4280513, 2.0941366 41.4279881, 2.0941787 41.4279341, 2.0941822 41.4278565, 2.0942051 41.4277854, 2.0942472 41.4277433, 2.0943771 41.4276709, 2.0944473 41.4276024, 2.0944069 41.4275301, 2.0943472 41.4274406, 2.0942946 41.4273392, 2.0942472 41.4272063, 2.0941945 41.4271352, 2.094098 41.4270115, 2.094026 41.4269075, 2.0939962 41.4267983, 2.0939221 41.4265976, 2.0939102 41.4265653, 2.0938979 41.4264416, 2.09394 41.4262718, 2.094012 41.4260717, 2.094091 41.4258848, 2.0941232 41.4257914, 2.0941512 41.425768, 2.0941892 41.4257502, 2.094229 41.4257433, 2.094271 41.4257402, 2.0943251 41.4257412, 2.0943933 41.4257587, 2.0945369 41.4258132, 2.0947923 41.4259109, 2.0949952 41.4259782, 2.0951464 41.4260196, 2.0953457 41.4260686, 2.0955021 41.4260998, 2.0956445 41.4261125, 2.0957666 41.4261192, 2.0959169 41.4261343, 2.0960729 41.4261552, 2.0962793 41.4261743, 2.0963458 41.4261766, 2.0963938 41.4261766, 2.0964327 41.426171, 2.0964559 41.4261654, 2.0964774 41.4261629)",,,,,,,,,,
1374371016,1374370641,0,133068028,False,Carrer de Marco Polo,residential,30,343.65099999999995,"LINESTRING (2.0948595 41.4296773, 2.0951023 41.4295897, 2.0952158 41.4295126, 2.0952351 41.4294114, 2.095218 41.4292716, 2.0952287 41.4291046, 2.0952372 41.4289664, 2.0953337 41.4287672, 2.0954558 41.4284974, 2.0954686 41.4284267, 2.0954129 41.428372, 2.095263 41.428319, 2.0950787 41.428266, 2.094993 41.4282323, 2.0949523 41.4281777, 2.0949159 41.4280909, 2.0949416 41.4280186, 2.0950273 41.4279544, 2.0951151 41.4278612, 2.0951708 41.4277231, 2.0952008 41.427511, 2.0952308 41.4272251, 2.0952865 41.4270644)",,,,,,,,,,
1374371095,1374370448,0,127559964,True,Carrer de la Verònica,residential,30,112.792,"LINESTRING (2.0934024 41.4314674, 2.0933523 41.4313316, 2.0932581 41.4312211, 2.0931064 41.4310356, 2.0929812 41.4309031, 2.0928869 41.4307584, 2.0928486 41.430669, 2.0928118 41.4305652)",,,,,,,,,,
1374619186,412451710,0,"[650707896, 650707893]",True,"['Carrer de Fastenrath', 'Plaça de la Taxonera']",residential,30,38.074,"LINESTRING (2.147597 41.4227904, 2.1475336 41.4227656, 2.1472295 41.4225884)",,,,,,,,,,
1374636541,30238013,0,240873131,False,Ronda de Sant Antoni,tertiary,30,60.42399999999999,"LINESTRING (2.1636068 41.3823278, 2.1635756 41.3820973, 2.1635526 41.3819025, 2.1635389 41.3817868)",2,12,,,,,,,,
1374636541,112399403,0,525588035,False,Ronda de Sant Antoni,tertiary,30,202.698,"LINESTRING (2.1636068 41.3823278, 2.163631 41.3825236, 2.1636954 41.383043, 2.163727 41.3832984, 2.1637323 41.3833414, 2.1638152 41.3840112, 2.1638315 41.3841429)",2,12,,,,,,,,
1374757788,359234311,0,262748689,False,Carrer d'Eduardo Conde,tertiary,30,155.437,"LINESTRING (2.1220798 41.3918891, 2.1226295 41.3913568, 2.1233721 41.3908936)",,,,,,,,,,
1374757788,359234339,0,262748689,False,Carrer d'Eduardo Conde,tertiary,30,34.234,"LINESTRING (2.1220798 41.3918891, 2.1219513 41.3920199, 2.1218336 41.3921354)",,,,,,,,,,
1374757842,1374757788,0,123212211,True,Passeig de Claudi Güell,residential,30,176.288,"LINESTRING (2.1203927 41.3909568, 2.1213623 41.3913716, 2.1215199 41.391461, 2.1217165 41.3916062, 2.1217544 41.3916357, 2.1220798 41.3918891)",,,,,,,,,,
