u,v,key,osmid,name,highway,oneway,length,geometry,maxspeed,lanes,ref,access,bridge,tunnel,width,junction,service
593416866,42448857,0,"[5672096, 805082970]",East Road,residential,False,172.04500000000002,"LINESTRING (-73.9412726 40.7697035, -73.9416136 40.7693367, -73.9417085 40.7692682, -73.942384 40.7687802, -73.9425608 40.7686524, -73.94266330000001 40.7685784)",,,,,,,,,
593428194,1241986599,0,5671637,Main Street,residential,False,39.106,"LINESTRING (-73.9431568 40.7691048, -73.94290460000001 40.7688095)",,,,,,,,,
593428194,1241986437,0,108220706,Road 10,residential,False,28.064,"LINESTRING (-73.9431568 40.7691048, -73.94333640000001 40.7688922)",,,,,,,,,
593428194,7529976542,0,"[5669355, 5671637, 108220710]","['West Road', 'Main Street']",residential,False,221.29699999999997,"LINESTRING (-73.9431568 40.7691048, -73.94323900000001 40.7691407, -73.943585 40.7692918, -73.9438317 40.7693493, -73.9443431 40.7696569, -73.9444608 40.7697277, -73.9444828 40.7697828, -73.9444618 40.7698521, -73.9443553 40.7699296, -73.9440151 40.7701773, -73.9439886 40.7701966, -73.9438202 40.7703192, -73.9438114 40.7703256)",,,,,,,,,
593816275,42431156,0,22909247,West Street,secondary,False,164.04899999999998,"LINESTRING (-74.00962370000001 40.7393541, -74.0096207 40.7394724, -74.0095747 40.739595, -74.0093877 40.739941, -74.0092933 40.7400841, -74.0091989 40.7402401, -74.0090873 40.7404482, -74.0090186 40.7405783, -74.00896 40.7407313)",25 mph,,,,,,,,
593816275,246649429,0,46431821,10th Avenue,secondary,True,70.553,"LINESTRING (-74.00962370000001 40.7393541, -74.00967420000001 40.7390267, -74.0096913 40.7389561, -74.0097245 40.7388887, -74.0097885 40.7388417, -74.00990590000001 40.7388125)",25 mph,,,,,,,,
593839894,42430651,0,36801165,11th Avenue,primary,False,81.119,"LINESTRING (-73.99969969999999 40.7589299, -74.0001819 40.7582984)",,,,,,,,,
593839894,42430664,0,420903239,11th Avenue,primary,False,76.813,"LINESTRING (-73.99969969999999 40.7589299, -73.9992328 40.7595233)",,,,,,,,,
593854257,42453555,0,"[421852040, 421852030]",12th Avenue,primary,True,137.918,"LINESTRING (-73.9979238 40.7654159, -73.9983086 40.7648886, -73.9987161 40.7643304)",,"['4', '5']",NY 9A,,,,,,
593886226,42432540,0,46469725,East 41st Street,residential,False,19.887,"LINESTRING (-73.9707082 40.7483199, -73.9709149 40.7484063)",,,,,,,,,
593886252,6485152690,0,658498542,,motorway_link,True,56.124,"LINESTRING (-73.974284 40.7460123, -73.9736881 40.7457866)",,,,,,,,,
593886253,42432540,0,5671365,Tudor City Place,residential,False,64.458,"LINESTRING (-73.9712747 40.7478947, -73.9709149 40.7484063)",,,,,,,,,
593926788,427804211,0,36801355,,motorway_link,True,17.909,"LINESTRING (-73.9981255 40.7583806, -73.9983378 40.7583716)",,,,,,,,,
593926788,427804166,0,"[36801336, 46482820]",,motorway_link,True,61.585,"LINESTRING (-73.9981255 40.7583806, -73.9982395 40.7584598, -73.9983531 40.7585375, -73.9984405 40.75859, -73.9985416 40.7586493, -73.9986967 40.7587243)",,1,,,,,,,
593984752,427842140,0,46492010,,motorway_link,True,172.628,"LINESTRING (-73.9960389 40.7567698, -73.9959571 40.756717, -73.99591390000001 40.756677, -73.99587200000001 40.7566229, -73.9958311 40.7565318, -73.9958137 40.7564153, -73.9958333 40.7563202, -73.9958848 40.7562209, -73.99649429999999 40.7554018)",,,,,,,,,
593984752,427850840,0,46492012,,motorway_link,True,94.97699999999999,"LINESTRING (-73.9960389 40.7567698, -73.9958147 40.7567013, -73.9956871 40.756689, -73.9955665 40.7567073, -73.9954698 40.7567429, -73.99538680000001 40.7568008, -73.9953312 40.7568793, -73.9952445 40.7570939)",,,,,,,,,
593988920,42424789,0,"[36807165, 223694351]",,motorway_link,True,58.94200000000001,"LINESTRING (-73.99515700000001 40.7572045, -73.99504450000001 40.7573468, -73.9948115 40.7576654)",,,,,,,,,
595105472,42453000,0,46518731,1st Avenue,primary,True,89.371,"LINESTRING (-73.96938160000001 40.7494062, -73.96932219999999 40.7494878, -73.9692486 40.7495905, -73.96891189999999 40.7500507, -73.9688688 40.7501098)",,4,,,,,,,
595105496,5852272391,0,"[169267536, 619280601, 697186456]",1st Avenue,primary,True,73.098,"LINESTRING (-73.96714299999999 40.752746, -73.9671108 40.7527654, -73.9670639 40.752795, -73.96701160000001 40.7528456, -73.9669462 40.7529207, -73.9667755 40.7531576, -73.9667252 40.753228, -73.96665419999999 40.7532814)",,1,,,,,,,
595105499,5852272391,0,169267544,East 49th Street,secondary,True,10.692,"LINESTRING (-73.9665428 40.7532353, -73.96665419999999 40.7532814)",,1,,,,,,,
595105499,5993830853,0,379843702,1st Avenue,primary,True,12.091000000000001,"LINESTRING (-73.9665428 40.7532353, -73.9665115 40.7532878, -73.9664837 40.7533344)",,2,,,,,,,
595105531,3831856757,0,36185650,1st Avenue,primary,True,14.552,"LINESTRING (-73.97055690000001 40.7478465, -73.9705203 40.7479744)",,2,,,,,,,
595105531,1701844698,0,46518732,1st Avenue,primary,True,30.922,"LINESTRING (-73.97055690000001 40.7478465, -73.97032950000001 40.7480648)",,,,,,,,,
595105538,248708582,0,"[381480876, 169383517]",1st Avenue,primary,True,85.035,"LINESTRING (-73.97021650000001 40.7481001, -73.9701146 40.7482074, -73.9697517 40.7486516, -73.969703 40.7487554)",,2,,,,,,,
595105581,42455932,0,5673063,East 47th Street,residential,True,28.9,"LINESTRING (-73.9674498 40.7518428, -73.9675888 40.7519176, -73.9676927 40.752022)",,1,,,,,,,
595105581,248708583,0,669657396,1st Avenue,primary,True,65.443,"LINESTRING (-73.9674498 40.7518428, -73.9673296 40.7519097, -73.96702999999999 40.7523276)",,,,,,,,,
595105589,42438898,0,"[32939224, 46518739]","['East 48th Street', 'General Douglas MacArthur Plaza']",residential,True,246.25900000000004,"LINESTRING (-73.9669382 40.7524822, -73.9668777 40.7525126, -73.966819 40.7525168, -73.9667721 40.7525018, -73.96618890000001 40.7522443, -73.9654809 40.7519614, -73.9653644 40.7519493, -73.9652531 40.7519444, -73.9651624 40.7519647, -73.9651527 40.7519669, -73.9650611 40.7520335, -73.9648596 40.7522271, -73.964805 40.7522918, -73.96477539999999 40.7523528, -73.9647859 40.7524011, -73.9648079 40.7524473, -73.96483600000001 40.752487, -73.9649107 40.752541)",30 mph,,,,,,,,
595105589,595105499,0,669657396,1st Avenue,primary,True,90.124,"LINESTRING (-73.9669382 40.7524822, -73.9667966 40.7527597, -73.9665802 40.7531631, -73.9665428 40.7532353)",,,,,,,,,
595245843,61272284,0,195922666,Riverside Boulevard,residential,False,76.13900000000001,"LINESTRING (-73.9870025 40.7807248, -73.9870962 40.7807035, -73.9871741 40.780672, -73.9872561 40.780615, -73.987319 40.7805502, -73.9875649 40.78022)",,,,,yes,,,,
595245843,61269797,0,267108531,,motorway_link,True,98.419,"LINESTRING (-73.9870025 40.7807248, -73.98710149999999 40.7809589, -73.98710749999999 40.7809908, -73.9871103 40.7810195, -73.98710680000001 40.7810468, -73.9871017 40.7810638, -73.9870908 40.7810828, -73.9867833 40.7815396)",,,,,yes,,,,
595245843,42424032,0,"[195743215, 352858405, 420624663]",West 72nd Street,secondary,False,123.19200000000001,"LINESTRING (-73.9870025 40.7807248, -73.9869023 40.7807248, -73.98679319999999 40.7807127, -73.98668259999999 40.7806948, -73.9865345 40.7806449, -73.9862119 40.7805186, -73.986125 40.7804846, -73.9857603 40.7803417, -73.98566630000001 40.7803049)",,,,,yes,,,,
595245859,42438300,0,5670694,Riverside Boulevard,residential,False,83.252,"LINESTRING (-73.9896337 40.7761762, -73.98916079999999 40.7768337)",,2,,,,,,,
595245859,595245860,0,46524969,West 65th Street,residential,False,35.641,"LINESTRING (-73.9896337 40.7761762, -73.98926299999999 40.7760215)",,,,,,,,,
595245859,595245925,0,5670694,Riverside Boulevard,residential,False,79.404,"LINESTRING (-73.9896337 40.7761762, -73.98990240000001 40.7758615, -73.9901567 40.7755821)",,2,,,,,,,
595245860,595245859,0,46524969,West 65th Street,residential,False,35.641,"LINESTRING (-73.98926299999999 40.7760215, -73.9896337 40.7761762)",,,,,,,,,
595245883,42431002,0,46524983,West 71st Street,residential,False,171.228,"LINESTRING (-73.9867723 40.779873, -73.9849974 40.7791214)",,,,,,,,,
595245889,61272284,0,"[588314387, 46524998]",West 71st Street,residential,False,55.187999999999995,"LINESTRING (-73.9869925 40.7799782, -73.9874927 40.7801895, -73.9875649 40.78022)",,,,,yes,,,,
595245918,595245920,0,46525019,Thelonius Monk Circle,residential,False,79.01400000000001,"LINESTRING (-73.98919170000001 40.7751774, -73.98929269999999 40.7750417, -73.9895564 40.7746876, -73.98965250000001 40.7745584)",,2,,,,,,,
595245918,42430984,0,46525029,West 64th Street,residential,False,97.254,"LINESTRING (-73.98919170000001 40.7751774, -73.98871509999999 40.7749747, -73.98831629999999 40.7748051, -73.98818470000001 40.7747491)",,2,,,,,,,
595245920,1672106382,0,395037175,West 63rd Street,residential,True,106.809,"LINESTRING (-73.98965250000001 40.7745584, -73.9907676 40.7750162)",,,,,,,,,
595245920,42430983,0,37182106,West 63rd Street,residential,False,98.486,"LINESTRING (-73.98965250000001 40.7745584, -73.9891652 40.7743483, -73.9887689 40.7741774, -73.98863609999999 40.7741202)",,2,,,,,,,
595245920,595245918,0,46525019,Thelonius Monk Circle,residential,False,79.014,"LINESTRING (-73.98965250000001 40.7745584, -73.9895564 40.7746876, -73.98929269999999 40.7750417, -73.98919170000001 40.7751774)",,2,,,,,,,
595245925,595245918,0,252227355,West 64th Street,residential,True,92.887,"LINESTRING (-73.9901567 40.7755821, -73.98919170000001 40.7751774)",,1,,,,,,,
595245925,595245859,0,5670694,Riverside Boulevard,residential,False,79.404,"LINESTRING (-73.9901567 40.7755821, -73.98990240000001 40.7758615, -73.9896337 40.7761762)",,2,,,,,,,
595245925,1672106382,0,154716101,Riverside Boulevard,residential,False,81.339,"LINESTRING (-73.9901567 40.7755821, -73.9905054 40.7752368, -73.9907676 40.7750162)",,2,,,,,,,
595254571,1672106382,0,154716101,Riverside Boulevard,residential,False,80.768,"LINESTRING (-73.9914412 40.7744991, -73.9907676 40.7750162)",,2,,,,,,,
595254571,1672106385,0,46529270,West 62nd Street,residential,True,114.282,"LINESTRING (-73.9914412 40.7744991, -73.99132659999999 40.7744498, -73.9907183 40.7741885, -73.9905567 40.774119, -73.9903338 40.7740233, -73.9902608 40.7739919)",,,,,,,,,
