u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,width,bridge,access,est_width,tunnel,ref,junction
5177251575,2348688954,0,226015256,False,Bobby Wagner Walk,cycleway,,68.823,"LINESTRING (-73.92926249999999 40.7960654, -73.929104 40.7966726)",2,,,,,,,
5177251576,6402570481,0,226015256,False,Bobby Wagner Walk,cycleway,,27.389,"LINESTRING (-73.9294127 40.7957331, -73.92955980000001 40.7955134)",2,,,,,,,
5177251576,5177251575,0,226015256,False,Bobby Wagner Walk,cycleway,,39.054,"LINESTRING (-73.9294127 40.7957331, -73.92926249999999 40.7960654)",2,,,,,,,
5178357334,607912679,0,47796396,False,East River Esplanade,cycleway,,15.874,"LINESTRING (-74.00957409999999 40.7019055, -74.0094014 40.7019624)",,,,,,,,
5178357334,4156402135,0,47796396,False,East River Esplanade,cycleway,,2.265,"LINESTRING (-74.00957409999999 40.7019055, -74.0095987 40.7018973)",,,,,,,,
5215013203,5813250369,0,226193920,False,Hudson River Greenway,cycleway,,55.245,"LINESTRING (-74.0152358 40.7097598, -74.0153567 40.7092715)",,,,yes,,,,
5215013203,246866798,0,226193920,False,Hudson River Greenway,cycleway,,9.294,"LINESTRING (-74.0152358 40.7097598, -74.01520859999999 40.7098408)",,,,yes,,,,
5216346767,246866810,0,132500859,False,Hudson River Greenway,cycleway,,12.526,"LINESTRING (-74.01365029999999 40.7154191, -74.0136893 40.7153104)",,,,,,,,
5216346767,4872879378,0,132500859,False,Hudson River Greenway,cycleway,,118.963,"LINESTRING (-74.01365029999999 40.7154191, -74.013383 40.7164696)",,,,,,,,
5251345186,436766081,0,442439749,False,East River Esplanade,cycleway,,114.981,"LINESTRING (-73.974341 40.7207706, -73.974524 40.7197459)",,,,,,,,
5251345186,436766082,0,442439749,False,East River Esplanade,cycleway,,4.5,"LINESTRING (-73.974341 40.7207706, -73.9743338 40.7208107)",,,,,,,,
5300342121,247224535,0,318476041,True,West Drive,cycleway,20 mph,13.392,"LINESTRING (-73.97148420000001 40.7795747, -73.97157900000001 40.779478)",,,,,,,,
5300342122,247224536,0,318476041,True,West Drive,cycleway,20 mph,11.749,"LINESTRING (-73.9722666 40.7788042, -73.9723697 40.778733)",,,,,,,,
5300342123,42431404,0,318476041,True,West Drive,cycleway,20 mph,11.816,"LINESTRING (-73.9719791 40.7790559, -73.9720669 40.778973)",,,,,,,,
5300342124,6463087958,0,689009148,True,West Drive,cycleway,20 mph,2.632,"LINESTRING (-73.9724875 40.7786611, -73.9725126 40.778647)",,,yes,,,,,
5300342125,5300342122,0,318476041,True,West Drive,cycleway,20 mph,12.577,"LINESTRING (-73.97216330000001 40.7788859, -73.9722666 40.7788042)",,,,,,,,
5300342126,3248816651,0,689009144,True,West Drive,cycleway,20 mph,15.927,"LINESTRING (-73.9726563 40.7785656, -73.9728097 40.7784818)",,,,,,,,
5306313713,42444809,0,224424139,False,East 90th Street,cycleway,,11.331,"LINESTRING (-73.95866909999999 40.7841423, -73.9585501 40.7840947)",2,,,,,,,
5306313713,3053662545,0,224424139,False,East 90th Street,cycleway,,11.534,"LINESTRING (-73.95866909999999 40.7841423, -73.9587902 40.7841908)",2,,,,,,,
5314071827,5321046028,0,675211966,False,Roosevelt Island Greenway,cycleway,,2.687,"LINESTRING (-73.9527312 40.7569415, -73.9527487 40.7569213)",2,,,,,,,
5314071827,2346815508,0,675211966,False,Roosevelt Island Greenway,cycleway,,11.141,"LINESTRING (-73.9527312 40.7569415, -73.9526583 40.7570251)",2,,,,,,,
5314071828,2346815493,0,675211966,False,Roosevelt Island Greenway,cycleway,,6.051,"LINESTRING (-73.9527561 40.7569128, -73.9527957 40.7568674)",2,,,,,,,
5314071828,5321046028,0,675211966,False,Roosevelt Island Greenway,cycleway,,1.132,"LINESTRING (-73.9527561 40.7569128, -73.9527487 40.7569213)",2,,,,,,,
5321046028,5314071828,0,675211966,False,Roosevelt Island Greenway,cycleway,,1.132,"LINESTRING (-73.9527487 40.7569213, -73.9527561 40.7569128)",2,,,,,,,
5321046028,5314071827,0,675211966,False,Roosevelt Island Greenway,cycleway,,2.687,"LINESTRING (-73.9527487 40.7569213, -73.9527312 40.7569415)",2,,,,,,,
5345057741,5345063991,0,226193920,False,Hudson River Greenway,cycleway,,16.477,"LINESTRING (-74.0164295 40.7065044, -74.01646580000001 40.7063588)",,,,yes,,,,
5345057741,6820149999,0,226193920,False,Hudson River Greenway,cycleway,,20.149,"LINESTRING (-74.0164295 40.7065044, -74.0163721 40.7066803)",,,,yes,,,,
5345063991,2034609414,0,226193920,False,Hudson River Greenway,cycleway,,2.386,"LINESTRING (-74.01646580000001 40.7063588, -74.0164716 40.7063378)",,,,yes,,,,
5345063991,5345057741,0,226193920,False,Hudson River Greenway,cycleway,,16.477,"LINESTRING (-74.01646580000001 40.7063588, -74.0164295 40.7065044)",,,,yes,,,,
5416769298,2059303827,0,561816395,False,Terrace Drive,cycleway,20 mph,10.64,"LINESTRING (-73.96833150000001 40.7728528, -73.96845260000001 40.7728801)",,,,,,,,
5416769298,6091080881,0,561816395,False,Terrace Drive,cycleway,20 mph,7.517,"LINESTRING (-73.96833150000001 40.7728528, -73.96824839999999 40.7728281)",,,,,,,,
5476501345,5863593967,0,800811036,True,,cycleway,,118.773,"LINESTRING (-73.99240690000001 40.7151541, -73.9918991 40.7161505)",,,,,,,,
5481859179,3875120012,0,475123131,True,9th Avenue,cycleway,,21.436,"LINESTRING (-73.9959901 40.7536575, -73.996117 40.7534904)",,,,,,,,
5515622198,5804478355,0,442439749,False,East River Esplanade,cycleway,,3.247,"LINESTRING (-73.9845009 40.710404, -73.984539 40.7104083)",,,,,,,,
