u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,bridge,name,tunnel
1272562842,42423625,0,25562077,True,1,motorway_link,30 mph,3.863,"LINESTRING (-74.00329809999999 40.711676, -74.0032719 40.7117045)",yes,,
1272562853,1272562742,0,25562077,True,1,motorway_link,30 mph,4.364,"LINESTRING (-74.0033305 40.7114895, -74.00333740000001 40.7115284)",yes,,
1272562854,486819593,0,25562077,True,1,motorway_link,30 mph,4.669,"LINESTRING (-74.0032973 40.7114096, -74.00331610000001 40.7114491)",yes,,
1272562856,1272562879,0,122660461,True,1,motorway_link,30 mph,3.148,"LINESTRING (-74.00352669999999 40.7121891, -74.00353610000001 40.7121617)",,,
1272562857,1272562859,0,25562077,True,1,motorway_link,30 mph,3.356,"LINESTRING (-74.0033334 40.7115885, -74.003325 40.711618)",yes,,
1272562859,278638233,0,25562077,True,1,motorway_link,30 mph,3.382,"LINESTRING (-74.003325 40.711618, -74.0033147 40.7116474)",yes,,
1272562861,1272562792,0,356140743,True,2,secondary_link,30 mph,7.317,"LINESTRING (-74.0044352 40.7126748, -74.00438339999999 40.7127276)",,,
1272562875,278636741,0,32922453,True,2,motorway_link,30 mph,5.638,"LINESTRING (-74.0044169 40.7122044, -74.0044499 40.7122485)",,,
1272562876,1272562830,0,25562077,True,1,motorway_link,30 mph,4.498,"LINESTRING (-74.0031984 40.711756, -74.0031524 40.7117765)",yes,,
1272562878,274308392,0,32922453,True,2,motorway_link,30 mph,5.406,"LINESTRING (-74.0045089 40.7123965, -74.0045107 40.7124451)",,,
1272562879,1272562724,0,122660461,True,1,motorway_link,30 mph,3.756,"LINESTRING (-74.00353610000001 40.7121617, -74.0035522 40.7121302)",,,
1272562881,1272562890,0,122660461,True,1,motorway_link,30 mph,3.414,"LINESTRING (-74.00372729999999 40.7124388, -74.0036891 40.7124286)",,,
1272562882,1272562898,0,122660461,True,1,motorway_link,30 mph,3.523,"LINESTRING (-74.0038101 40.7124501, -74.0037686 40.7124463)",,,
1272562890,1272562737,0,122660461,True,1,motorway_link,30 mph,3.619,"LINESTRING (-74.0036891 40.7124286, -74.00365119999999 40.7124133)",,,
1272562891,1272562896,0,46177164,True,2,motorway_link,30 mph,2.292,"LINESTRING (-74.0043715 40.7112431, -74.0043706 40.7112637)",yes,,
1272562893,4158753833,0,414746383,True,1,motorway_link,30 mph,3.832,"LINESTRING (-74.0028038 40.7117403, -74.0027721 40.7117156)",yes,,
1272562895,278642772,0,122660458,True,1,motorway_link,30 mph,6.537,"LINESTRING (-74.0047277 40.7118772, -74.0046636 40.7118441)",yes,,
1272562896,1272562687,0,46177164,True,2,motorway_link,30 mph,2.548,"LINESTRING (-74.0043706 40.7112637, -74.0043649 40.7112862)",yes,,
1272562898,1272562881,0,122660461,True,1,motorway_link,30 mph,3.579,"LINESTRING (-74.0037686 40.7124463, -74.00372729999999 40.7124388)",,,
1272562902,4143876131,0,122660461,True,1,motorway_link,30 mph,4.145,"LINESTRING (-74.00361119999999 40.712061, -74.0036432 40.7120327)",,,
1272562907,4158738303,0,5672337,True,2,motorway_link,30 mph,5.522,"LINESTRING (-74.0034058 40.7108675, -74.00346740000001 40.7108844)",yes,,
1272562909,1701871945,0,32922464,True,,motorway_link,30 mph,4.092,"LINESTRING (-74.00330649999999 40.7108725, -74.00335370000001 40.7108811)",yes,,
1272562910,1272562833,0,122660461,True,1,motorway_link,30 mph,3.869,"LINESTRING (-74.00389250000001 40.712448, -74.00384680000001 40.7124513)",,,
1272562912,4158737902,0,5672337,True,2,motorway_link,30 mph,6.156,"LINESTRING (-74.0032745 40.7108203, -74.0033394 40.7108457)",yes,,
1272562915,4158740806,0,122660458,True,1,motorway_link,30 mph,5.395,"LINESTRING (-74.0038641 40.7115327, -74.00380869999999 40.7115084)",yes,,
1272562919,1701871940,0,32922464,True,,motorway_link,30 mph,5.705,"LINESTRING (-74.00300900000001 40.7107421, -74.0030618 40.7107742)",yes,,
1272562930,1272562934,0,32922464,True,,motorway_link,30 mph,4.383,"LINESTRING (-74.0031695 40.7108289, -74.0032161 40.7108464)",yes,,
1272562931,6990788775,0,25564540,True,2,motorway_link,30 mph,5.891,"LINESTRING (-74.0060393 40.7119161, -74.0059787 40.7119425)",,,
1272562934,1701871942,0,32922464,True,,motorway_link,30 mph,3.989,"LINESTRING (-74.0032161 40.7108464, -74.0032599 40.71086)",yes,,
1272562937,1272562766,0,165733924,True,,motorway_link,30 mph,6.006,"LINESTRING (-74.0050495 40.7121318, -74.0051181 40.7121464)",,,
1369956654,486819529,0,122660459,True,1,motorway_link,30 mph,30.09,"LINESTRING (-74.00457249999999 40.7121422, -74.0043258 40.7119466)",,,
1701871914,1701871960,0,46177164,True,2,motorway_link,30 mph,2.879,"LINESTRING (-74.00417059999999 40.7110012, -74.0042017 40.7110119)",yes,,
1701871915,1701871914,0,46177164,True,2,motorway_link,30 mph,2.965,"LINESTRING (-74.0041373 40.7109926, -74.00417059999999 40.7110012)",yes,,
1701871916,1701871943,0,46177164,True,2,motorway_link,30 mph,2.36,"LINESTRING (-74.0042486 40.7110358, -74.00426880000001 40.7110505)",yes,,
1701871918,1701871926,0,46177164,True,2,motorway_link,30 mph,3.887,"LINESTRING (-74.00393339999999 40.7114611, -74.00389079999999 40.7114477)",yes,,
