u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,service,width,access,est_width,bridge,junction,tunnel,ref,area
361120,7471924622,0,25061779,,Rue Cavallotti,residential,30,True,7.798,"LINESTRING (2.3288341 48.8857811, 2.3287587 48.8858307)",,,,,,,,,
361123,3830556668,0,49534524,,Rue Ganneron,residential,30,True,44.037,"LINESTRING (2.3286387 48.8872661, 2.3281947 48.8869985)",,,,,,,,,
361124,7430777117,0,49534521,,Rue Ganneron,residential,30,True,63.772,"LINESTRING (2.3274876 48.8883067, 2.3279971 48.8878412)",,,,,,,,,
361125,6109707882,0,4039583,,Rue Ganneron,residential,30,True,7.62,"LINESTRING (2.3292793 48.8900456, 2.3291937 48.8900065)",,,,,,,,,
361125,6109707880,0,31739784,,Rue de la Barrière Blanche,residential,30,True,4.876,"LINESTRING (2.3292793 48.8900456, 2.3293315 48.8900183)",,,,,,,,,
361134,1482296187,0,34867590,,Rue Norvins,residential,30,True,5.332,"LINESTRING (2.3392768 48.887087, 2.3393359 48.8870589)",,,,,,,,,
361136,3029496653,0,4261937,,Rue du Mont Cenis,residential,30,True,4.952,"LINESTRING (2.341406 48.8865415, 2.3414035 48.886586)",,,,,,,,,
361136,323209833,0,44356438,,Rue du Mont Cenis,pedestrian,30,False,32.357,"LINESTRING (2.341406 48.8865415, 2.341383 48.8862509)",,,,,,,,,
361704,2301459208,0,84416296,,Rue de Tolbiac,secondary,30,False,23.941,"LINESTRING (2.3599615 48.8261632, 2.3602855 48.8261925)",,,,,,,,,
361704,2301459200,0,164297171,2,Avenue de Choisy,secondary,30,True,11.738,"LINESTRING (2.3599615 48.8261632, 2.3600207 48.8260651)",,,,,,,,,
361726,2620159849,0,4081723,,Rue du Moulin-des-Prés,residential,30,True,6.619,"LINESTRING (2.3527614 48.8303757, 2.3527641 48.8303162)",,,,,,,,,
361729,1912916994,0,85735962,,Boulevard Auguste Blanqui,primary,30,True,13.019,"LINESTRING (2.3526433 48.8306421, 2.3524824 48.8305922)",,,,,,,,,
361729,6172739460,0,161126419,,Rue Abel Hovelacque,residential,30,False,7.824,"LINESTRING (2.3526433 48.8306421, 2.3526479 48.8307124)",,,,,,,,,
361730,659360391,0,3630703,,Place d'Italie,residential,30,True,10.426,"LINESTRING (2.3543524 48.8311993, 2.3543383 48.8312926)",,,,,,,,,
361731,769869043,0,3630703,,Place d'Italie,residential,30,True,8.013,"LINESTRING (2.3543662 48.8317002, 2.3544011 48.8317685)",,,,,,,,,
361732,2499743252,0,4080778,,Avenue de la Sœur Rosalie,residential,30,True,65.229,"LINESTRING (2.3534547 48.8319405, 2.3542816 48.8317218)",,,,,,,,,
361732,1981082288,0,187405872,,Avenue de la Sœur Rosalie,residential,30,False,8.345,"LINESTRING (2.3534547 48.8319405, 2.3534921 48.8320114)",,,,,,,,,
361735,6402900307,0,3630640,,Rue Albert Bayet,residential,30,False,10.767,"LINESTRING (2.3581678 48.8313954, 2.358233 48.8313086)",,,,,,,,,
