u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,access,bridge,width,ref,tunnel,service,area
5649161999,5649161998,0,591762899,True,Boulevard Exelmans,cycleway,,66.023,"LINESTRING (2.262771 48.8420174, 2.2620255 48.8423518)",,,,,,,,,
5649162000,5649161999,0,591762899,True,Boulevard Exelmans,cycleway,,24.327,"LINESTRING (2.2630434 48.841892, 2.262771 48.8420174)",,,,,,,,,
5649162001,5649162000,0,591762899,True,Boulevard Exelmans,cycleway,,61.62,"LINESTRING (2.2637482 48.8415888, 2.2630434 48.841892)",,,,,,,,,
5649571231,659959429,0,51925517,True,Rue Baudricourt,cycleway,,95.896,"LINESTRING (2.3640275 48.8269633, 2.3646099 48.8277358)",,,,,,,,,
5653218732,2499576576,0,242499574,False,Route de la Porte Dauphine à la Porte des Sablons,cycleway,,7.648,"LINESTRING (2.2733003 48.8725625, 2.2733838 48.8725211)",,,,,,,,,
5653218732,2499576578,0,242499574,False,Route de la Porte Dauphine à la Porte des Sablons,cycleway,,7.059,"LINESTRING (2.2733003 48.8725625, 2.2732222 48.8725998)",,,,,,,,,
5658488436,2720107901,0,606749602,False,Boulevard Davout,cycleway,,3.148,"LINESTRING (2.4108882 48.8533733, 2.4108801 48.8534011)",,,,,,,,,
5658488436,5779057591,0,606749602,False,Boulevard Davout,cycleway,,4.025,"LINESTRING (2.4108882 48.8533733, 2.4108952 48.8533374)",,,,,,,,,
5659605897,683075418,0,54148861,True,Boulevard Kellermann,cycleway,,23.723,"LINESTRING (2.3443624 48.8195413, 2.3440392 48.8195565)",,,,,,,,,
5659605897,5659605898,0,593183409,False,,cycleway,,4.539,"LINESTRING (2.3443624 48.8195413, 2.3443535 48.8195009)",,,,,,,,,
5659605898,1836657001,0,593183409,False,,cycleway,,6.91,"LINESTRING (2.3443535 48.8195009, 2.34434 48.8194394)",,,,,,,,,
5659605898,5659605897,0,593183409,False,,cycleway,,4.539,"LINESTRING (2.3443535 48.8195009, 2.3443624 48.8195413)",,,,,,,,,
5659605900,5659605901,0,593183409,False,,cycleway,,5.101,"LINESTRING (2.3443331 48.8194076, 2.3443231 48.8193622)",,,,,,,,,
5659605900,1836657001,0,593183409,False,,cycleway,,3.572,"LINESTRING (2.3443331 48.8194076, 2.34434 48.8194394)",,,,,,,,,
5659605901,7217039312,0,593183409,False,,cycleway,,3.876,"LINESTRING (2.3443231 48.8193622, 2.3443155 48.8193277)",,,,,,,,,
5659605901,5659605900,0,593183409,False,,cycleway,,5.101,"LINESTRING (2.3443231 48.8193622, 2.3443331 48.8194076)",,,,,,,,,
5659605902,1836656980,0,54147347,True,Boulevard Jourdan,cycleway,,4.281,"LINESTRING (2.3443101 48.8193066, 2.3443668 48.8192972)",,,,,,,,,
5659605902,7217039312,0,593183409,False,,cycleway,,2.379,"LINESTRING (2.3443101 48.8193066, 2.3443155 48.8193277)",,,,,,,,,
5659605903,1836656984,0,159889412,True,Boulevard Kellermann,cycleway,,3.585,"LINESTRING (2.3447808 48.8193198, 2.3448287 48.8193265)",,,,,,,,,
5659605908,683075000,0,54148861,True,Boulevard Kellermann,cycleway,,3.036,"LINESTRING (2.3447595 48.8195426, 2.3447181 48.8195441)",,,,,,,,,
5660204340,2734064526,0,52114818,False,Quai Malaquais,cycleway,,19.056,"LINESTRING (2.3337199 48.8582878, 2.333477 48.8583497)",,,,,,,,,
5660204340,4508688481,0,52114818,False,Quai Malaquais,cycleway,,89.839,"LINESTRING (2.3337199 48.8582878, 2.3348708 48.858006)",,,,,,,,,
5660586935,1147344238,0,494414276,False,La Coulée Verte,cycleway,,34.983,"LINESTRING (2.3021729 48.825484, 2.3023418 48.8257783)",,,,,,,,,
5660586935,1147344240,0,549225878,False,La Coulée Verte,cycleway,,45.674,"LINESTRING (2.3021729 48.825484, 2.302053 48.8250809)",,,,,,,,,
5667007003,1871320336,0,627388211,True,Boulevard Jourdan,cycleway,,7.5,"LINESTRING (2.3257484 48.8229021, 2.325846 48.8228816)",,,,,,,,,
5667007004,5996511288,0,54149191,True,Boulevard Jourdan,cycleway,,6.835,"LINESTRING (2.3258346 48.82323, 2.3257473 48.8232518)",,,,,,,,,
5667007016,7114619215,0,77384610,True,Boulevard Brune,cycleway,,49.065,"LINESTRING (2.3252961 48.8233504, 2.3246615 48.8234923)",,,,,,,,,
5667007017,5996511278,0,54147855,True,Boulevard Brune,cycleway,,3.822,"LINESTRING (2.3251965 48.823024, 2.3252465 48.8230141)",,,,,,,,,
5669741021,2376356057,0,51311515,False,Galerie de l'Ourcq,cycleway,,115.761,"LINESTRING (2.3741554 48.8850777, 2.3754212 48.885703)",,,,,,,,,
5669741021,19794642,0,51311515,False,Galerie de l'Ourcq,cycleway,,282.085,"LINESTRING (2.3741554 48.8850777, 2.3710746 48.8835508)",,,,,,,,,
5672600894,166334525,0,456998705,True,Boulevard Saint-Jacques,cycleway,,5.588,"LINESTRING (2.3395931 48.8321054, 2.3395649 48.8320587)",,,,,,,,,
5675139536,2499576574,0,242499574,False,Route de la Porte Dauphine à la Porte des Sablons,cycleway,,5.91,"LINESTRING (2.2736426 48.8723878, 2.273591 48.8724287)",,,,,,,,,
