u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,access,tunnel,bridge,junction,service
177268978,3756424976,0,4006556,4,Boulevard Suchet,primary,50,False,14.994,"LINESTRING (2.2658963 48.8592808, 2.2658165 48.8591566)",,,,,,
177268978,177267816,0,454673629,4,Boulevard Suchet,primary,50,False,20.789,"LINESTRING (2.2658963 48.8592808, 2.2660098 48.8594522)",,,,,,
178089126,567880645,0,17144231,,Avenue de l'Arche,residential,30,True,61.692,"LINESTRING (2.2384338 48.8997054, 2.2383781 48.8991518)",,,,,,
178732256,2925986487,0,99192311,,Rue Paul Bert,tertiary,30,False,12.774,"LINESTRING (2.2978412 48.819237, 2.2977349 48.8191459)",,,,,,
178755368,178756613,0,311743403,,Rue Jean-Baptiste Potin,residential,30,True,100.179,"LINESTRING (2.2770954 48.8174485, 2.275793 48.8171724)",,,,,,
178757500,178755368,0,311743403,,Rue Jean-Baptiste Potin,residential,30,True,89.382,"LINESTRING (2.2779189 48.8180419, 2.2770954 48.8174485)",,,,,,
178757501,30693179,0,311743403,,Rue Jean-Baptiste Potin,residential,30,True,54.063,"LINESTRING (2.2794666 48.8188187, 2.2788379 48.8185637)",,,,,,
178757503,2288790013,0,311743403,,Rue Jean-Baptiste Potin,residential,30,True,146.48,"LINESTRING (2.2809248 48.8197565, 2.2794936 48.818836)",,,,,,
178757504,178757503,0,311743403,,Rue Jean-Baptiste Potin,residential,30,True,50.955,"LINESTRING (2.2814361 48.8200674, 2.2809248 48.8197565)",,,,,,
178761643,169325341,0,37775878,,Boulevard Malesherbes,secondary,50,False,43.212,"LINESTRING (2.319307 48.8753126, 2.318942 48.8756182)",,,,,,
178761643,6335961818,0,37775878,,Boulevard Malesherbes,secondary,50,False,34.442,"LINESTRING (2.319307 48.8753126, 2.3195971 48.8750686)",,,,,,
178762428,605592869,0,14002360,,Rue Antoine Fratacci,primary,50,True,77.186,"LINESTRING (2.2880192 48.8212476, 2.2889736 48.8209527)",D 50,,,,,
