u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,tunnel
2523135745,2523135743,0,555776456,,Voie de la Déportation,tertiary,,False,17.725,"LINESTRING (2.4216837 48.887278, 2.4215372 48.887151)",D 20,
2523135745,5361697841,0,555776456,,Voie de la Déportation,tertiary,,False,5.731,"LINESTRING (2.4216837 48.887278, 2.4217353 48.8873168)",D 20,
2531631007,27286668,0,630455863,6,Avenue de la Grande Armée,primary,50,False,33.713,"LINESTRING (2.2856767 48.8767565, 2.2852611 48.8768877)",,
2531631007,299018985,0,630455864,8,Avenue de la Grande Armée,primary,50,False,79.658,"LINESTRING (2.2856767 48.8767565, 2.286657 48.8764442)",,
2609789068,7058300239,0,555779889,,Voie de la Résistance,tertiary,,False,3.152,"LINESTRING (2.4206748 48.8876039, 2.4206612 48.887577)",D 35ter,
2609789068,7058300294,0,755667251,,Voie de la Résistance,tertiary,,False,143.136,"LINESTRING (2.4206748 48.8876039, 2.4212842 48.8888272)",D 35ter,
2609789092,248780631,0,755667251,,Voie de la Résistance,tertiary,,False,49.812,"LINESTRING (2.4213367 48.8889326, 2.421557 48.8893565)",D 35ter,
2609789092,7058300294,0,755667251,,Voie de la Résistance,tertiary,,False,12.333,"LINESTRING (2.4213367 48.8889326, 2.4212842 48.8888272)",D 35ter,
2625149464,6832636323,0,95954025,,Rue de l'Embarcadère,residential,30,True,15.878,"LINESTRING (2.4127293 48.8184542, 2.4126253 48.8183289)",,
2634446131,3666483457,0,100995819,2,Rue Henri Farman,residential,30,False,3.051,"LINESTRING (2.2687428 48.8324588, 2.2687749 48.8324763)",,
2705349286,174026196,0,386720789,,Avenue de Lowendal,tertiary,50,False,8.42,"LINESTRING (2.3023777 48.8484627, 2.3024568 48.8485177)",,
2705349286,6659856274,0,386720789,,Avenue de Lowendal,tertiary,50,False,24.169,"LINESTRING (2.3023777 48.8484627, 2.3021504 48.848305)",,
2784211975,707878784,0,22766325,,Avenue de Saint-Mandé,secondary,50,False,6.667,"LINESTRING (2.405448 48.8446922, 2.4053581 48.8447019)",,
2784211975,6434095550,0,22766325,,Avenue de Saint-Mandé,secondary,50,False,1.335,"LINESTRING (2.405448 48.8446922, 2.4054661 48.8446907)",,
2795177844,1836911172,0,309765261,4,Avenue d'Italie,primary,50,False,7.917,"LINESTRING (2.3578172 48.8243987, 2.3578393 48.824329)",,
2795177844,251517810,0,309765261,4,Avenue d'Italie,primary,50,False,4.134,"LINESTRING (2.3578172 48.8243987, 2.3578057 48.8244351)",,
