u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,access,junction,tunnel,service,width
3822957350,5221432140,0,471751017,False,,Vestre Teglgade,tertiary,50,7.419,"LINESTRING (12.5480022 55.6549427, 12.5481117 55.6549175)",,,,,,,
3822957350,3822957353,0,471751017,False,,Vestre Teglgade,tertiary,50,17.009,"LINESTRING (12.5480022 55.6549427, 12.5477486 55.6549968)",,,,,,,
3822957351,3822957352,0,471751017,False,,Vestre Teglgade,tertiary,50,6.725,"LINESTRING (12.5475655 55.6550687, 12.5476407 55.6550256)",,,,,,,
3822957351,3822957347,0,471751017,False,,Vestre Teglgade,tertiary,50,7.67,"LINESTRING (12.5475655 55.6550687, 12.5475119 55.6551307)",,,,,,,
3822957352,3822957353,0,471751017,False,,Vestre Teglgade,tertiary,50,7.488,"LINESTRING (12.5476407 55.6550256, 12.5477486 55.6549968)",,,,,,,
3822957352,3822957351,0,471751017,False,,Vestre Teglgade,tertiary,50,6.725,"LINESTRING (12.5476407 55.6550256, 12.5475655 55.6550687)",,,,,,,
3822957353,3822957350,0,471751017,False,,Vestre Teglgade,tertiary,50,17.009,"LINESTRING (12.5477486 55.6549968, 12.5480022 55.6549427)",,,,,,,
3822957353,3822957352,0,471751017,False,,Vestre Teglgade,tertiary,50,7.488,"LINESTRING (12.5477486 55.6549968, 12.5476407 55.6550256)",,,,,,,
3822957354,6651812225,0,378935709,False,,Vestre Teglgade,tertiary,40,5.961,"LINESTRING (12.547011 55.6561783, 12.5470334 55.6561262)",,,,,,,
3822957354,3822957349,0,416688440,False,,Vestre Teglgade,primary_link,50,13.098,"LINESTRING (12.547011 55.6561783, 12.5469627 55.6562929)",,,,,,,
3824331004,2760235863,0,4373502,False,4,Stormgade,tertiary,50,2.977,"LINESTRING (12.5757667 55.6755299, 12.5758045 55.6755461)",,yes,,,,,
3824331004,697799,0,4373502,False,4,Stormgade,tertiary,50,7.474,"LINESTRING (12.5757667 55.6755299, 12.5756717 55.6754893)",,yes,,,,,
3824331009,6920032030,0,1880407,False,2,Vindebrogade,tertiary,50,8.079,"LINESTRING (12.5760995 55.6756722, 12.5762035 55.6757151)",,,,,,,
3824331009,2760235863,0,4373502,False,4,Stormgade,tertiary,50,23.211,"LINESTRING (12.5760995 55.6756722, 12.5758045 55.6755461)",,yes,,,,,
3824331014,697813,0,4373503,False,4,Holmens Bro,secondary,,6.562,"LINESTRING (12.5825604 55.6766859, 12.5826281 55.6767309)",,yes,,,,,
3824331014,697811,0,4373503,False,4,Holmens Bro,secondary,,18.786,"LINESTRING (12.5825604 55.6766859, 12.5823665 55.6765571)",,yes,,,,,
3830002669,7302084,0,497250034,False,2,Amager Strandvej,tertiary,50,286.249,"LINESTRING (12.6356834 55.6580246, 12.6334754 55.6602775)",,,,,,,
3830002669,5452376718,0,497250034,False,2,Amager Strandvej,tertiary,50,6.737,"LINESTRING (12.6356834 55.6580246, 12.6357367 55.657972)",,,,,,,
3831336200,1597814365,0,26121012,False,,Dirch Passers Allé,tertiary,40,37.663,"LINESTRING (12.5047426 55.683341, 12.5043829 55.6836123)",,,,,,,
3831336200,1605732627,0,26121012,False,,Dirch Passers Allé,tertiary,40,11.842,"LINESTRING (12.5047426 55.683341, 12.5048557 55.6832557)",,,,,,,
3833037209,4112330701,0,378935709,False,,Vestre Teglgade,tertiary,40,21.334,"LINESTRING (12.5472383 55.655736, 12.5473443 55.6555537)",,,,,,,
3833037209,5221432229,0,378935709,False,,Vestre Teglgade,tertiary,40,27.347,"LINESTRING (12.5472383 55.655736, 12.5471009 55.6559694)",,,,,,,
3835269428,4894132945,0,502767945,False,,Helsinkigade,residential,50,3.515,"LINESTRING (12.5986673 55.707817, 12.5987207 55.7078073)",,,,,,,
3835269428,5686108561,0,502767945,False,,Helsinkigade,residential,50,16.656,"LINESTRING (12.5986673 55.707817, 12.5984122 55.7078592)",,,,,,,
3835639402,4519617483,0,158179232,False,4,Tagensvej,tertiary,50,15.825,"LINESTRING (12.5350268 55.7135259, 12.5349142 55.7136533)",,,,,,,
3835639402,125442,0,743336518,False,4,Tagensvej,tertiary,50,17.55,"LINESTRING (12.5350268 55.7135259, 12.5351605 55.7133872)",,,,,,,
3835639444,4677457071,0,502197784,False,,Lersø Parkallé,tertiary,60,6.769,"LINESTRING (12.5485814 55.7141091, 12.5485071 55.7141533)",,,,,,,
3835639444,4679112802,0,502197784,False,,Lersø Parkallé,tertiary,60,15.464,"LINESTRING (12.5485814 55.7141091, 12.548767 55.7140174)",,,,,,,
3835960987,3428791966,0,335769011,False,2,Kulbanevej,tertiary,50,20.09,"LINESTRING (12.4948233 55.6576645, 12.4951184 55.6577347)",,,,,,,
