u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,bridge,ref,service,junction,width,access,tunnel
16495095,7469749,0,237099579,False,Backersvej,tertiary,50,69.861,"LINESTRING (12.6267626 55.6494701, 12.6264352 55.6500706)",2,,,,,,,
16495095,8084810,0,237099579,False,Backersvej,tertiary,50,28.883,"LINESTRING (12.6267626 55.6494701, 12.6268995 55.6492221)",2,,,,,,,
17207397,6505632406,0,237092572,False,Øresundsvej,tertiary,50,17.527,"LINESTRING (12.6232776 55.6614669, 12.6235567 55.6614746)",,,,,,,,
17207397,4717583911,0,237092572,False,Øresundsvej,tertiary,50,8.607,"LINESTRING (12.6232776 55.6614669, 12.6231408 55.6614608)",,,,,,,,
17207398,1467935775,0,641461867,False,Øresundsvej,tertiary,50,16.669,"LINESTRING (12.6264875 55.6615367, 12.6267521 55.6615507)",2,,,,,,,
17207398,7726641,0,641461867,False,Øresundsvej,tertiary,50,114.09,"LINESTRING (12.6264875 55.6615367, 12.6246694 55.6615053)",2,,,,,,,
17207400,2206848520,0,497234208,False,Øresundsvej,tertiary,50,16.706,"LINESTRING (12.6317563 55.662226, 12.6314952 55.6621963)",3,,,,,,,
17207423,3090168601,0,162074187,False,Forlandet,tertiary,50,13.933,"LINESTRING (12.6132329 55.684348, 12.6131878 55.6844707)",2,,,,,,,
17207426,5959709837,0,162074187,False,Forlandet,tertiary,50,20.308,"LINESTRING (12.6130368 55.6847326, 12.6131369 55.6845589)",2,,,,,,,
17207427,3090168574,0,3475063,False,Kongebrovej,tertiary,50,5.149,"LINESTRING (12.6100815 55.6833745, 12.6100213 55.683406)",,,,,,,,
17207440,1254092590,0,352982256,False,Refshalevej,residential,,18.113,"LINESTRING (12.6114393 55.6905127, 12.6115207 55.690669)",,,,,,,,
17207442,3090168577,0,3475063,False,Kongebrovej,tertiary,50,6.555,"LINESTRING (12.6098446 55.6839127, 12.60991 55.6838667)",,,,,,,,
17207442,3090168578,0,162074188,False,Kongebrovej,tertiary,50,6.073,"LINESTRING (12.6098446 55.6839127, 12.609761 55.6839403)",,,,,,,,
17207445,308204880,0,162074188,False,Kongebrovej,tertiary,50,15.641,"LINESTRING (12.6087132 55.6840267, 12.6084641 55.6840347)",,,,,,,,
17207445,3090168579,0,162074188,False,Kongebrovej,tertiary,50,60.473,"LINESTRING (12.6087132 55.6840267, 12.6096704 55.6839591)",,,,,,,,
17343213,6937813497,0,741047137,False,Vennemindevej,tertiary,50,9.335,"LINESTRING (12.5703101 55.7078795, 12.5702807 55.7079618)",2,,,,,,,
17343213,296206725,0,741047137,False,Vennemindevej,tertiary,50,16.152,"LINESTRING (12.5703101 55.7078795, 12.5703906 55.7077415)",2,,,,,,,
17396225,291360005,0,196276852,False,Englandsvej,tertiary,50,42.726,"LINESTRING (12.5997458 55.6386875, 12.5996265 55.6390658)",,,,,,,,
17396225,2066245919,0,196276852,False,Englandsvej,tertiary,50,11.752,"LINESTRING (12.5997458 55.6386875, 12.5997862 55.6385843)",,,,,,,,
17505509,4929281163,0,496762360,True,,tertiary,,2.922,"LINESTRING (12.5848358 55.7683359, 12.5848584 55.7683129)",,,,,roundabout,,,
17505511,281678163,0,496762360,True,,tertiary,,3.948,"LINESTRING (12.5851046 55.768258, 12.585164 55.76827)",,,,,roundabout,,,
17505513,265509800,0,753019226,True,,tertiary,,3.834,"LINESTRING (12.5852704 55.7684444, 12.5852378 55.7684736)",,,,,roundabout,,,
17505520,7036155464,0,595806874,False,Hvidørevej,tertiary,50,41.028,"LINESTRING (12.5951293 55.7683722, 12.5944734 55.7683739)",2,,,,,,,
17520624,2760235868,0,36072429,True,Slotsholmsgade,residential,,6.506,"LINESTRING (12.5820026 55.6763259, 12.5819854 55.6762682)",2,,,,,,,
17520625,6943455255,0,36072429,True,Slotsholmsgade,residential,,6.599,"LINESTRING (12.5819704 55.6762045, 12.5819609 55.6761454)",2,,,,,,,
17520626,6943455254,0,36072429,True,Slotsholmsgade,residential,,6.805,"LINESTRING (12.5819633 55.6760829, 12.5819756 55.6760221)",2,,,,,,,
17551067,2632159337,0,237111837,False,Englandsvej,tertiary,50,39.385,"LINESTRING (12.6047085 55.6564358, 12.6044995 55.6561018)",,,,,,,,
17551067,297975913,0,237111837,False,Englandsvej,tertiary,50,32.891,"LINESTRING (12.6047085 55.6564358, 12.604969 55.6566925)",,,,,,,,
17552572,8086418,0,237111837,False,Englandsvej,tertiary,50,16.597,"LINESTRING (12.6043635 55.6558879, 12.6042747 55.6557473)",,,,,,,,
17552572,582487491,0,237111837,False,Englandsvej,tertiary,50,10.246,"LINESTRING (12.6043635 55.6558879, 12.6044198 55.6559744)",,,,,,,,
17552575,17552576,0,237111837,False,Englandsvej,tertiary,50,63.178,"LINESTRING (12.603628 55.6548916, 12.6031624 55.6543878)",,,,,,,,
17552575,8086420,0,237111837,False,Englandsvej,tertiary,50,9.433,"LINESTRING (12.603628 55.6548916, 12.6036996 55.6549662)",,,,,,,,
17552576,5275812486,0,237111837,False,Englandsvej,tertiary,50,53.289,"LINESTRING (12.6031624 55.6543878, 12.6027546 55.6539674)",,,,,,,,
17552576,17552575,0,237111837,False,Englandsvej,tertiary,50,63.178,"LINESTRING (12.6031624 55.6543878, 12.603628 55.6548916)",,,,,,,,
17552586,5275812487,0,161101709,False,Englandsvej,tertiary,50,10.213,"LINESTRING (12.6026664 55.6538765, 12.6026291 55.6537871)",,,,,,,,
17552586,5275812486,0,237111837,False,Englandsvej,tertiary,50,11.523,"LINESTRING (12.6026664 55.6538765, 12.6027546 55.6539674)",,,,,,,,
18023269,1570026160,0,237092572,False,Øresundsvej,tertiary,50,3.966,"LINESTRING (12.6191673 55.6611775, 12.6192298 55.6611829)",,,,,,,,
18023269,6984951078,0,237092572,False,Øresundsvej,tertiary,50,33.937,"LINESTRING (12.6191673 55.6611775, 12.6186361 55.6611195)",,,,,,,,
18023270,4669043041,0,237092572,False,Øresundsvej,tertiary,50,32.313,"LINESTRING (12.6205507 55.6612852, 12.6210616 55.6613225)",,,,,,,,
