u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,bridge,width,access,lanes,ref,junction
1237260819,46215629,0,7373960,Van Heenvlietlaan,unclassified,,False,20.792,"LINESTRING (4.8825218 52.3334056, 4.8826017 52.3335861)",,,,,,
1237260819,2016695228,0,7373960,Van Heenvlietlaan,unclassified,,False,14.744,"LINESTRING (4.8825218 52.3334056, 4.8825215 52.333273)",,,,,,
1241978260,2016695228,0,7373960,Van Heenvlietlaan,unclassified,,False,37.018,"LINESTRING (4.8825172 52.3329401, 4.8825215 52.333273)",,,,,,
1241978260,46212064,0,7373960,Van Heenvlietlaan,unclassified,,False,8.074,"LINESTRING (4.8825172 52.3329401, 4.8825155 52.3328675)",,,,,,
1252308535,73732761,0,7050371,Paalbergweg,unclassified,,False,109.128,"LINESTRING (4.9536909 52.3005451, 4.9522933 52.3000627)",,,,,,
1252308535,6796587471,0,7050371,Paalbergweg,unclassified,,False,4.453,"LINESTRING (4.9536909 52.3005451, 4.953751 52.300561)",,,,,,
1255431583,1610954955,0,109738917,,unclassified,,True,6.114,"LINESTRING (4.8738051 52.3025398, 4.8738931 52.3025285)",,,,,,
1255431584,1255431599,0,109738917,,unclassified,,True,29.476,"LINESTRING (4.8749805 52.3022522, 4.8753779 52.3021463)",,,,,,
1261399408,46235273,0,7387708,Pa Verkuijllaan,tertiary,50,False,11.863,"LINESTRING (4.7820724 52.3372174, 4.7820922 52.3373234)",,,,,,
1261399408,316139399,0,7387708,Pa Verkuijllaan,tertiary,50,False,13.309,"LINESTRING (4.7820724 52.3372174, 4.7819707 52.3371151)",,,,,,
1279186292,3300743938,0,611905875,Eerste Weteringplantsoen,unclassified,50,False,2.685,"LINESTRING (4.889257 52.3599228, 4.8892828 52.3599411)",,,,,,
1279186292,103067888,0,611905875,Eerste Weteringplantsoen,unclassified,50,False,3.272,"LINESTRING (4.889257 52.3599228, 4.8892289 52.3598989)",,,,,,
1280336465,46494537,0,7378939,Zekeringstraat,unclassified,50,False,6.922,"LINESTRING (4.8489434 52.3965165, 4.8490454 52.3965176)",,,,,,
1280336465,424032255,0,7378939,Zekeringstraat,unclassified,50,False,43.139,"LINESTRING (4.8489434 52.3965165, 4.8483079 52.3965048)",,,,,,
1280741289,5828130093,0,32431444,Plantage Kerklaan,residential,50,False,2.955,"LINESTRING (4.9106357 52.3652002, 4.9106557 52.3652238)",yes,,,,,
1280741289,5828130094,0,32431444,Plantage Kerklaan,residential,50,False,3.085,"LINESTRING (4.9106357 52.3652002, 4.9106178 52.3651747)",yes,,,,,
1291479372,2021896944,0,191606486,Plantage Middenlaan,tertiary,50,True,15.515,"LINESTRING (4.9187056 52.3638969, 4.9185921 52.364018)",yes,,,,,
1291587410,46384113,0,113964930,Prins Hendrikkade,residential,,True,16.042,"LINESTRING (4.9121636 52.3710947, 4.9123928 52.3711298)",,,,,,
1317143936,1977796511,0,187025604,Scheldestraat,secondary,50,True,26.537,"LINESTRING (4.8910622 52.3473353, 4.891054 52.3470967)",,,,2,,
1321907792,281709290,0,117364726,Nieuwemeerdijk,tertiary,30,False,4.871,"LINESTRING (4.8061107 52.3314627, 4.8060515 52.3314874)",,,yes,,,
1321907792,46204934,0,117364729,Nieuwemeerdijk,tertiary,30,False,13.772,"LINESTRING (4.8061107 52.3314627, 4.8062749 52.3313901)",,,,,,
1324664195,46293339,0,117617508,Van Woustraat,tertiary,50,True,110.547,"LINESTRING (4.9040996 52.34952, 4.9037272 52.3504878)",,,,1,,
1324794254,46269398,0,7374540,Stadionkade,residential,30,True,61.149,"LINESTRING (4.8764257 52.3449001, 4.8755281 52.3448585)",,,,,,
1326522715,46175969,0,7361656,Amsteldijk,tertiary,30,False,20.935,"LINESTRING (4.8945181 52.3240048, 4.8945049 52.3241929)",,,,,,
1326522715,46174287,0,7361656,Amsteldijk,tertiary,30,False,15.072,"LINESTRING (4.8945181 52.3240048, 4.8945284 52.3238694)",,,,,,
1327546516,4620947748,0,117940656,Zuideinde,tertiary,50,False,21.224,"LINESTRING (4.8930959 52.4199424, 4.8929291 52.4201039)",,,,,,
1332081231,2309524193,0,221261859,Bilderdijkkade,unclassified,50,True,5.367,"LINESTRING (4.8686306 52.370479, 4.8686042 52.3705245)",,,yes,,,
1332081232,2303089356,0,322721648,Bilderdijkkade,unclassified,30,True,4.98,"LINESTRING (4.8685354 52.3706208, 4.8684922 52.370657)",,,yes,,,
1333602328,2021881825,0,305763352,Frederiksplein,unclassified,30,True,10.175,"LINESTRING (4.9011876 52.3599336, 4.9010415 52.3599133)",,,,1,,
1334494315,4856154268,0,118706352,Statenjachtstraat,residential,30,False,8.482,"LINESTRING (4.9154404 52.4065844, 4.9153386 52.4066287)",,,,,,
1336569005,46311335,0,7384323,Pieter Calandlaan,tertiary,50,False,31.521,"LINESTRING (4.8117822 52.354462, 4.8122228 52.3545511)",,,,,,
1340954693,46391778,0,7371649,Dam,unclassified,,False,3.947,"LINESTRING (4.8931236 52.3726557, 4.8930695 52.3726687)",,,,,,
1340954693,3176532012,0,7371649,Dam,unclassified,,False,4.482,"LINESTRING (4.8931236 52.3726557, 4.8931862 52.3726429)",,,,,,
1341467370,46288607,0,7381563,Olympiaweg,tertiary,50,False,22.98,"LINESTRING (4.8631722 52.3492271, 4.8634191 52.3493684)",,,,,,
