u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,bridge,tunnel,service,access,width,ref,junction,area
270295210,261831271,0,"[48635365, 66601510, 48635368, 48635370, 24178038, 185140315, 66601500]",3,Via Cristoforo Colombo,primary,30,True,829.2360000000001,"LINESTRING (12.4975466 41.8636513, 12.4975132 41.8637428, 12.497475 41.8638694, 12.4971779 41.8648677, 12.4968543 41.8659739, 12.4968409 41.8660197, 12.4965735 41.866901, 12.4965265 41.8670559, 12.4964933 41.8671822, 12.4964372 41.867418, 12.4964278 41.8674727, 12.4963702 41.8677527, 12.4963228 41.868152, 12.4963013 41.8684433, 12.4962962 41.868785, 12.496349 41.8695777, 12.4964162 41.8703428, 12.4964636 41.8710096)",yes,,,,,,,
270295214,270295210,0,39031972,2,,cycleway,,False,10.32,"LINESTRING (12.4976682 41.8636716, 12.4975466 41.8636513)",,,,,,,,
270295214,964672725,0,"[24178033, 39031972, 23578685]",2,,cycleway,,False,393.466,"LINESTRING (12.4976682 41.8636716, 12.4977969 41.8636891, 12.497762 41.8637955, 12.4977473 41.8638654, 12.4978257 41.8638749, 12.4978521 41.863897, 12.4978485 41.8639269, 12.4977763 41.8641589, 12.4974342 41.8652364, 12.4974319 41.8653017, 12.4974115 41.8653535, 12.4973663 41.8654952, 12.4972877 41.8657645, 12.4971492 41.8662187, 12.4970998 41.8662816, 12.4970589 41.8663292, 12.4970435 41.8664364, 12.49702 41.8664765, 12.4969619 41.8669841)",,,,,,,,
270295214,254327593,0,"[185140290, 106115043, 106115052, 74242608, 124643416, 124195102]",2,Via Cristoforo Colombo,secondary,30,True,745.911,"LINESTRING (12.4976682 41.8636716, 12.4976416 41.8637704, 12.4975388 41.8641274, 12.4973931 41.8646698, 12.4971866 41.8653157, 12.4971317 41.8654944, 12.4969778 41.8660174, 12.4969215 41.8661986, 12.4968439 41.8664816, 12.4966636 41.8670847, 12.4965852 41.8674327, 12.4965532 41.8676912, 12.4964401 41.8682828, 12.4964382 41.8684199, 12.4964499 41.8687889, 12.4964898 41.8693676, 12.4965144 41.8697692, 12.4965505 41.8702845)",,,,,,,,
270302462,1695386464,0,157689684,2,,cycleway,,False,264.491,"LINESTRING (12.4920441 41.8437099, 12.4920052 41.8436339, 12.4921347 41.8435131, 12.4923983 41.843365, 12.4928091 41.843228, 12.4929457 41.8431931, 12.4931393 41.8431325, 12.4934039 41.8430605, 12.4939705 41.8429052, 12.4946715 41.8427039, 12.4947249 41.8426367)",,,,,,,,
278563045,799889207,0,"[65580890, 65580892]",2,,cycleway,,False,77.159,"LINESTRING (12.5649041 41.9199284, 12.5650016 41.9199219, 12.5650288 41.9197735, 12.5650348 41.9197458, 12.5650453 41.9197257, 12.5650583 41.9197154, 12.5651486 41.9196637, 12.5655273 41.9195063)",,yes,,,,,,
281632884,385017203,0,29919698,,,cycleway,,False,667.29,"LINESTRING (12.5632688 41.847941, 12.5620129 41.8492182, 12.561689 41.8495579, 12.5606748 41.8506215, 12.5600138 41.8513148, 12.5596187 41.8517334, 12.5592795 41.8520765, 12.5592322 41.8521438, 12.5591143 41.8522772, 12.5590041 41.8523808, 12.5585307 41.8526905, 12.5585066 41.8527062, 12.5585242 41.8527232, 12.5585489 41.8527416)",,,,,,,,
286975492,286975492,0,26209379,2,Pista ciclabile Tor di Valle,cycleway,,False,28.485000000000003,"LINESTRING (12.4192994 41.8082158, 12.4192441 41.8082317, 12.4192384 41.8082781, 12.4192989 41.8083039, 12.419347 41.808263, 12.4192994 41.8082158)",,,,,,,,
286975492,286975492,1,26209379,2,Pista ciclabile Tor di Valle,cycleway,,False,28.485000000000003,"LINESTRING (12.4192994 41.8082158, 12.419347 41.808263, 12.4192989 41.8083039, 12.4192384 41.8082781, 12.4192441 41.8082317, 12.4192994 41.8082158)",,,,,,,,
286975492,286992747,0,"[33116984, 33116985, 26209379]",2,Pista ciclabile Tor di Valle,cycleway,,False,4997.878000000001,"LINESTRING (12.4192994 41.8082158, 12.4193169 41.8081381, 12.4194281 41.8081289, 12.4195215 41.808161, 12.4196536 41.8083123, 12.41976 41.8084562, 12.4198866 41.8087536, 12.4203446 41.8104148, 12.4207822 41.8121579, 12.4212141 41.8138802, 12.4213668 41.8144171, 12.4214786 41.8146809, 12.4216817 41.8151615, 12.4219409 41.8157723, 12.4220758 41.8162362, 12.4223977 41.817867, 12.4224703 41.8184074, 12.4225059 41.819043, 12.422513 41.8200528, 12.4225197 41.821954, 12.4225156 41.8238506, 12.4225275 41.8252147, 12.4225227 41.8265684, 12.4225432 41.826802, 12.4226641 41.8271392, 12.4226702 41.8272383, 12.4226645 41.8279275, 12.4226966 41.8285568, 12.4228043 41.8291763, 12.4228624 41.8295769, 12.4228493 41.8298184, 12.4228595 41.8299828, 12.4230848 41.8305367, 12.4233018 41.8308902, 12.4236133 41.8312299, 12.4240358 41.8315592, 12.4243715 41.831744, 12.424764 41.8319145, 12.4249789 41.8320013, 12.4252649 41.832102, 12.4255071 41.8321611, 12.425693 41.8321898, 12.425853 41.8321893, 12.4263346 41.8321489, 12.4266679 41.8321327, 12.4273862 41.8319578, 12.428026 41.8317768, 12.4284505 41.8315028, 12.4290066 41.8309092, 12.4302173 41.8296091, 12.4315068 41.8280552, 12.4325237 41.8267653, 12.4327816 41.8264879, 12.4330396 41.8262575, 12.4332965 41.8260602, 12.4336797 41.8258045, 12.4344983 41.8253889, 12.4353213 41.825101, 12.4362824 41.8249052, 12.4371694 41.8248358, 12.4380378 41.8248581, 12.439002 41.8249926, 12.4401065 41.8253177, 12.4417299 41.8258932, 12.4425798 41.8261783, 12.4430625 41.8263073, 12.444033 41.8263176, 12.444441 41.8264231, 12.4449661 41.8266192, 12.4451699 41.8266447, 12.4453463 41.8266475, 12.4456189 41.8265552, 12.4458625 41.8263856, 12.4459313 41.8263538, 12.4460153 41.826357, 12.4460679 41.8263835, 12.44617 41.8264758, 12.4462762 41.8265979, 12.4462636 41.8266372)",yes,,,,,,,
