u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bridge,service,width,access,tunnel,ref,junction,area
370222767,252996164,0,32867659,False,,,path,,3.353,"LINESTRING (12.5016096 41.8376683, 12.5016469 41.83768)",,,,,,,,
370222767,370222766,0,32867659,False,,,path,,3.275,"LINESTRING (12.5016096 41.8376683, 12.5015701 41.8376694)",,,,,,,,
370222780,252996168,0,23365983,False,,Viale Antonio Augello,path,,5.927,"LINESTRING (12.5019178 41.8377171, 12.501988 41.8377068)",,,2,,,,,
370222780,252996167,0,23365983,False,,Viale Antonio Augello,path,,4.225,"LINESTRING (12.5019178 41.8377171, 12.5018668 41.8377176)",,,2,,,,,
370222780,370222781,0,32867661,False,,,path,,6.681,"LINESTRING (12.5019178 41.8377171, 12.5019033 41.8377762)",,,,,,,,
370222781,370222782,0,32867661,False,,,path,,2.749,"LINESTRING (12.5019033 41.8377762, 12.5018934 41.8377998)",,,,,,,,
370222781,370222780,0,32867661,False,,,path,,6.681,"LINESTRING (12.5019033 41.8377762, 12.5019178 41.8377171)",,,,,,,,
370222782,370222783,0,32867661,False,,,path,,2.988,"LINESTRING (12.5018934 41.8377998, 12.5018874 41.8378263)",,,,,,,,
370222782,370222781,0,32867661,False,,,path,,2.749,"LINESTRING (12.5018934 41.8377998, 12.5019033 41.8377762)",,,,,,,,
370222783,370222784,0,32867661,False,,,path,,5.115,"LINESTRING (12.5018874 41.8378263, 12.5018783 41.8378718)",,,,,,,,
370222783,370222782,0,32867661,False,,,path,,2.988,"LINESTRING (12.5018874 41.8378263, 12.5018934 41.8377998)",,,,,,,,
370222784,370222785,0,32867661,False,,,path,,4.872,"LINESTRING (12.5018783 41.8378718, 12.5018825 41.8379155)",,,,,,,,
370222784,370222783,0,32867661,False,,,path,,5.115,"LINESTRING (12.5018783 41.8378718, 12.5018874 41.8378263)",,,,,,,,
370222785,370222786,0,32867661,False,,,path,,4.262,"LINESTRING (12.5018825 41.8379155, 12.5018969 41.8379523)",,,,,,,,
370222785,370222784,0,32867661,False,,,path,,4.872,"LINESTRING (12.5018825 41.8379155, 12.5018783 41.8378718)",,,,,,,,
370222786,370222787,0,32867661,False,,,path,,8.998,"LINESTRING (12.5018969 41.8379523, 12.5019066 41.8380329)",,,,,,,,
370222786,370222785,0,32867661,False,,,path,,4.262,"LINESTRING (12.5018969 41.8379523, 12.5018825 41.8379155)",,,,,,,,
370222787,370222788,0,32867661,False,,,path,,12.271,"LINESTRING (12.5019066 41.8380329, 12.5019114 41.8381432)",,,,,,,,
370222787,370222786,0,32867661,False,,,path,,8.998,"LINESTRING (12.5019066 41.8380329, 12.5018969 41.8379523)",,,,,,,,
370222788,370222789,0,32867661,False,,,path,,10.53,"LINESTRING (12.5019114 41.8381432, 12.5019114 41.8382379)",,,,,,,,
370222788,370222787,0,32867661,False,,,path,,12.271,"LINESTRING (12.5019114 41.8381432, 12.5019066 41.8380329)",,,,,,,,
