u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bridge,width,access,tunnel,ref
255024117,255024118,0,23552004,False,,,cycleway,,51.01,"LINESTRING (12.4956961 41.8787715, 12.495666 41.8783133)",,,,,
255024117,1190843982,0,23552004,False,,,cycleway,,6.688,"LINESTRING (12.4956961 41.8787715, 12.4957018 41.8788315)",,,,,
255024118,255024119,0,23552004,False,,,cycleway,,78.238,"LINESTRING (12.495666 41.8783133, 12.4956428 41.8776099)",,,,,
255024118,255024117,0,23552004,False,,,cycleway,,51.01,"LINESTRING (12.495666 41.8783133, 12.4956961 41.8787715)",,,,,
255024119,550195417,0,23552004,False,,,cycleway,,17.852,"LINESTRING (12.4956428 41.8776099, 12.4956621 41.87745)",,,,,
255024119,255024118,0,23552004,False,,,cycleway,,78.238,"LINESTRING (12.4956428 41.8776099, 12.495666 41.8783133)",,,,,
255024120,255024121,0,23552004,False,,,cycleway,,49.951,"LINESTRING (12.4957258 41.8772422, 12.4959216 41.8768173)",,,,,
255024120,550195417,0,23552004,False,,,cycleway,,23.701,"LINESTRING (12.4957258 41.8772422, 12.4956621 41.87745)",,,,,
255024121,255024122,0,23552004,False,,,cycleway,,109.787,"LINESTRING (12.4959216 41.8768173, 12.4964138 41.8759005)",,,,,
255024121,255024120,0,23552004,False,,,cycleway,,49.951,"LINESTRING (12.4959216 41.8768173, 12.4957258 41.8772422)",,,,,
255024122,255024123,0,23552004,False,,,cycleway,,36.299,"LINESTRING (12.4964138 41.8759005, 12.4965351 41.8755868)",,,,,
255024122,255024121,0,23552004,False,,,cycleway,,109.787,"LINESTRING (12.4964138 41.8759005, 12.4959216 41.8768173)",,,,,
255024123,255024124,0,23552004,False,,,cycleway,,67.692,"LINESTRING (12.4965351 41.8755868, 12.4968036 41.8750118)",,,,,
255024123,255024122,0,23552004,False,,,cycleway,,36.299,"LINESTRING (12.4965351 41.8755868, 12.4964138 41.8759005)",,,,,
255024124,255024125,0,23552004,False,,,cycleway,,40.143,"LINESTRING (12.4968036 41.8750118, 12.496864 41.8746536)",,,,,
255024124,255024123,0,23552004,False,,,cycleway,,67.692,"LINESTRING (12.4968036 41.8750118, 12.4965351 41.8755868)",,,,,
255024125,255024126,0,23552004,False,,,cycleway,,35.891,"LINESTRING (12.496864 41.8746536, 12.4969186 41.8743334)",,,,,
255024125,255024124,0,23552004,False,,,cycleway,,40.143,"LINESTRING (12.496864 41.8746536, 12.4968036 41.8750118)",,,,,
255024126,255024127,0,23552004,False,,,cycleway,,38.567,"LINESTRING (12.4969186 41.8743334, 12.4969359 41.8739868)",,,,,
255024126,255024125,0,23552004,False,,,cycleway,,35.891,"LINESTRING (12.4969186 41.8743334, 12.496864 41.8746536)",,,,,
255024127,276547858,0,23552004,False,,,cycleway,,38.191,"LINESTRING (12.4969359 41.8739868, 12.4969271 41.8736434)",,,,,
255024127,255024126,0,23552004,False,,,cycleway,,38.567,"LINESTRING (12.4969359 41.8739868, 12.4969186 41.8743334)",,,,,
255330452,1245337505,0,23552004,False,,,cycleway,,7.316,"LINESTRING (12.4969039 41.8731688, 12.4969123 41.8732343)",,,,,
255330452,6790508394,0,23578553,False,,,cycleway,,3.112,"LINESTRING (12.4969039 41.8731688, 12.496901 41.8731409)",,,,,
255330454,255330455,0,23578553,False,,,cycleway,,74.941,"LINESTRING (12.4968627 41.8727076, 12.4967937 41.8720356)",,,,,
255330454,254306971,0,23578553,False,,,cycleway,,18.603,"LINESTRING (12.4968627 41.8727076, 12.49688 41.8728744)",,,,,
255330455,805834562,0,23578553,False,,,cycleway,,43.353,"LINESTRING (12.4967937 41.8720356, 12.4967513 41.871647)",,,,,
255330455,255330454,0,23578553,False,,,cycleway,,74.941,"LINESTRING (12.4967937 41.8720356, 12.4968627 41.8727076)",,,,,
255330464,805834561,0,24178033,False,2,,cycleway,,8.546,"LINESTRING (12.4966367 41.8703251, 12.4966302 41.8702484)",,,,,
255330464,261831274,0,24178045,False,,,cycleway,,74.525,"LINESTRING (12.4966367 41.8703251, 12.4967029 41.8709935)",yes,,,,
255330465,255330466,0,24178033,False,2,,cycleway,,26.015,"LINESTRING (12.4966656 41.8701887, 12.4966925 41.8699556)",,,,,
255330465,805834561,0,24178033,False,2,,cycleway,,7.257,"LINESTRING (12.4966656 41.8701887, 12.4966302 41.8702484)",,,,,
255330466,255330467,0,24178033,False,2,,cycleway,,29.877,"LINESTRING (12.4966925 41.8699556, 12.4967143 41.8696874)",,,,,
255330466,255330465,0,24178033,False,2,,cycleway,,26.015,"LINESTRING (12.4966925 41.8699556, 12.4966656 41.8701887)",,,,,
255330467,255330468,0,24178033,False,2,,cycleway,,45.268,"LINESTRING (12.4967143 41.8696874, 12.49669 41.8692807)",,,,,
255330467,255330466,0,24178033,False,2,,cycleway,,29.877,"LINESTRING (12.4967143 41.8696874, 12.4966925 41.8699556)",,,,,
255330468,255330469,0,24178033,False,2,,cycleway,,65.265,"LINESTRING (12.49669 41.8692807, 12.4966504 41.8686945)",,,,,
255330468,255330467,0,24178033,False,2,,cycleway,,45.268,"LINESTRING (12.49669 41.8692807, 12.4967143 41.8696874)",,,,,
255330469,255330470,0,24178033,False,2,,cycleway,,105.943,"LINESTRING (12.4966504 41.8686945, 12.4966657 41.8677418)",,,,,
255330469,255330468,0,24178033,False,2,,cycleway,,65.265,"LINESTRING (12.4966504 41.8686945, 12.49669 41.8692807)",,,,,
255330470,265752425,0,24178033,False,2,,cycleway,,26.382,"LINESTRING (12.4966657 41.8677418, 12.4967668 41.8675168)",,,,,
255330470,255330469,0,24178033,False,2,,cycleway,,105.943,"LINESTRING (12.4966657 41.8677418, 12.4966504 41.8686945)",,,,,
255330890,805834562,0,23578553,False,,,cycleway,,25.173,"LINESTRING (12.4967314 41.8714211, 12.4967513 41.871647)",,,,,
255330890,1705650086,0,23578554,False,,,cycleway,,3.25,"LINESTRING (12.4967314 41.8714211, 12.4967298 41.8713919)",,,,,
255333227,871031824,0,23578684,False,2,,cycleway,20,71.349,"LINESTRING (12.4962198 41.8589093, 12.4968475 41.8593488)",,,,,
255333228,871031824,0,23578684,False,2,,cycleway,20,56.95,"LINESTRING (12.4973369 41.8597086, 12.4968475 41.8593488)",,,,,
255333228,300567438,0,251219687,False,2,,cycleway,,9.117,"LINESTRING (12.4973369 41.8597086, 12.4973571 41.8597892)",,,,,
255333230,724791660,0,39031972,False,2,,cycleway,,25.911,"LINESTRING (12.4976 41.8601414, 12.4976867 41.8603653)",,,,,
255333230,276556354,0,39031972,False,2,,cycleway,,16.391,"LINESTRING (12.4976 41.8601414, 12.4975193 41.8600068)",,,,,
255333231,255333232,0,39031972,False,2,,cycleway,,19.554,"LINESTRING (12.4977191 41.8605649, 12.4977251 41.8607407)",,,,,
255333231,954687195,0,39031972,False,2,,cycleway,,8.771,"LINESTRING (12.4977191 41.8605649, 12.497712 41.8604862)",,,,,
255333232,2589188406,0,39031972,False,2,,cycleway,,16.757,"LINESTRING (12.4977251 41.8607407, 12.4976986 41.8608901)",,,,,
255333232,255333231,0,39031972,False,2,,cycleway,,19.554,"LINESTRING (12.4977251 41.8607407, 12.4977191 41.8605649)",,,,,
255333233,427842834,0,39031972,False,2,,cycleway,,141.6,"LINESTRING (12.4976401 41.8610914, 12.497282 41.8623366)",,,,,
255333233,2574719181,0,39031972,False,2,,cycleway,,8.585,"LINESTRING (12.4976401 41.8610914, 12.497663 41.8610161)",,,,,
255333234,1587117786,0,39031972,False,2,,cycleway,,1.038,"LINESTRING (12.496936 41.8634845, 12.4969402 41.8634933)",,,,,
255333234,1587117769,0,39031972,False,2,,cycleway,,53.156,"LINESTRING (12.496936 41.8634845, 12.4970774 41.8630182)",,,,,
255333235,255333236,0,23578685,False,2,,cycleway,,6.578,"LINESTRING (12.4978257 41.8638749, 12.4977473 41.8638654)",,,,,
255333235,255333237,0,23578685,False,2,,cycleway,,3.289,"LINESTRING (12.4978257 41.8638749, 12.4978521 41.863897)",,,,,
255333236,255333235,0,23578685,False,2,,cycleway,,6.578,"LINESTRING (12.4977473 41.8638654, 12.4978257 41.8638749)",,,,,
255333236,270295306,0,39031972,False,2,,cycleway,,7.867,"LINESTRING (12.4977473 41.8638654, 12.497762 41.8637955)",,,,,
255333237,255333235,0,23578685,False,2,,cycleway,,3.289,"LINESTRING (12.4978521 41.863897, 12.4978257 41.8638749)",,,,,
255333237,255333238,0,23578685,False,2,,cycleway,,3.338,"LINESTRING (12.4978521 41.863897, 12.4978485 41.8639269)",,,,,
255333238,255333237,0,23578685,False,2,,cycleway,,3.338,"LINESTRING (12.4978485 41.8639269, 12.4978521 41.863897)",,,,,
255333238,561176307,0,23578685,False,2,,cycleway,,26.481,"LINESTRING (12.4978485 41.8639269, 12.4977763 41.8641589)",,,,,
255333239,561176307,0,23578685,False,2,,cycleway,,123.116,"LINESTRING (12.4974342 41.8652364, 12.4977763 41.8641589)",,,,,
255333239,265752423,0,24178033,False,2,,cycleway,,7.264,"LINESTRING (12.4974342 41.8652364, 12.4974319 41.8653017)",,,,,
255333392,4825512858,0,23578704,False,,,cycleway,,14.03,"LINESTRING (12.4905073 41.8546372, 12.4905161 41.8547632)",,,,,
255333393,4825512861,0,23578704,False,,,cycleway,,29.52,"LINESTRING (12.4905173 41.8547932, 12.4907732 41.854978)",,,,,
255333393,4825512858,0,23578704,False,,,cycleway,,3.337,"LINESTRING (12.4905173 41.8547932, 12.4905161 41.8547632)",,,,,
255333395,459165896,0,23578704,False,,,cycleway,,90.53,"LINESTRING (12.4908245 41.8550149, 12.4916187 41.8555743)",,,,,
255333395,4825512861,0,23578704,False,,,cycleway,,5.907,"LINESTRING (12.4908245 41.8550149, 12.4907732 41.854978)",,,,,
255333397,255333398,0,23578704,False,,,cycleway,,6.144,"LINESTRING (12.4924419 41.8561537, 12.4924984 41.8561179)",,,,,
255333397,459165915,0,23578704,False,,,cycleway,,13.096,"LINESTRING (12.4924419 41.8561537, 12.492328 41.856072)",,,,,
255333398,255333399,0,23578704,False,,,cycleway,,3.225,"LINESTRING (12.4924984 41.8561179, 12.4925325 41.8561039)",,,,,
255333398,255333397,0,23578704,False,,,cycleway,,6.144,"LINESTRING (12.4924984 41.8561179, 12.4924419 41.8561537)",,,,,
255333399,266792520,0,23578704,False,,,cycleway,,4.152,"LINESTRING (12.4925325 41.8561039, 12.4925732 41.8561257)",,,,,
255333399,255333398,0,23578704,False,,,cycleway,,3.225,"LINESTRING (12.4925325 41.8561039, 12.4924984 41.8561179)",,,,,
255333402,3598190161,0,23578714,False,2,,cycleway,10,49.646,"LINESTRING (12.492687 41.8564651, 12.4931154 41.8567774)",,,,,
