u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,service,ref,bridge,access,width,tunnel,junction,area
5560358643,5560358642,0,580995019,,,service,10,False,2.448,"LINESTRING (12.5300729 41.9035632, 12.5300948 41.9035484)",alley,,,,,,,
5560358644,5560358016,0,51747883,,,service,10,False,1.667,"LINESTRING (12.5301301 41.9034516, 12.5301427 41.9034633)",alley,,,,,,,
5560358644,394259884,0,51747883,,,service,10,False,1.985,"LINESTRING (12.5301301 41.9034516, 12.5301098 41.9034421)",alley,,,,,,,
5560358644,5560358633,0,580995023,,,service,10,False,3.411,"LINESTRING (12.5301301 41.9034516, 12.5301198 41.9034219)",alley,,,,,,,
5560358645,5560358638,0,51747883,,,service,10,False,3.632,"LINESTRING (12.5301511 41.9034769, 12.5301795 41.9035018)",alley,,,,,,,
5560358645,5560358016,0,51747883,,,service,10,False,1.664,"LINESTRING (12.5301511 41.9034769, 12.5301427 41.9034633)",alley,,,,,,,
5560358645,5560358621,0,580995018,,,service,10,False,2.218,"LINESTRING (12.5301511 41.9034769, 12.5301543 41.9034967)",alley,,,,,,,
5560358646,1553167965,0,51747882,,,service,10,False,34.24,"LINESTRING (12.5300325 41.9036117, 12.5299404 41.9039119)",alley,,,,,,,
5560358646,5560358631,0,580995019,,,service,10,False,3.395,"LINESTRING (12.5300325 41.9036117, 12.5300514 41.9035846)",alley,,,,,,,
5560358646,5560358630,0,580995021,,,service,10,False,3.24,"LINESTRING (12.5300325 41.9036117, 12.5300306 41.9035826)",alley,,,,,,,
5560358647,2390187708,0,51747883,,,service,10,False,45.553,"LINESTRING (12.5302311 41.9035267, 12.5307625 41.9036335)",alley,,,,,,,
5560358647,5560358638,0,51747883,,,service,10,False,5.089,"LINESTRING (12.5302311 41.9035267, 12.5301795 41.9035018)",alley,,,,,,,
5560358647,5560358639,0,580995019,,,service,10,False,5.05,"LINESTRING (12.5302311 41.9035267, 12.5301701 41.9035277)",alley,,,,,,,
5560358648,5560358649,0,34362858,,,service,10,False,3.152,"LINESTRING (12.5313469 41.9036006, 12.5313402 41.9036285)",alley,,,,,,,
5560358648,394259927,0,34362858,,,service,10,False,5.449,"LINESTRING (12.5313469 41.9036006, 12.5313427 41.9035517)",alley,,,,,,,
5560358649,5961603691,0,34362858,,,service,10,False,3.129,"LINESTRING (12.5313402 41.9036285, 12.5313275 41.903655)",alley,,,,,,,
5560358649,5560358648,0,34362858,,,service,10,False,3.152,"LINESTRING (12.5313402 41.9036285, 12.5313469 41.9036006)",alley,,,,,,,
5560358650,394259831,0,34362858,,,service,10,False,4.274,"LINESTRING (12.5312785 41.9036964, 12.5312499 41.9037284)",alley,,,,,,,
5560358650,5678491354,0,34362858,,,service,10,False,2.924,"LINESTRING (12.5312785 41.9036964, 12.5313019 41.9036767)",alley,,,,,,,
5560358651,5961603692,0,34362859,,,service,10,False,4.083,"LINESTRING (12.5312396 41.9037867, 12.531245 41.9038232)",alley,,,,,,,
5560358651,394259831,0,34362859,,,service,10,False,6.538,"LINESTRING (12.5312396 41.9037867, 12.5312499 41.9037284)",alley,,,,,,,
5562987062,5551245076,0,579700070,,,service,10,False,2.216,"LINESTRING (12.5291453 41.9062612, 12.5291311 41.9062443)",alley,,,,,,,
5562987062,5551245086,0,579700070,,,service,10,False,16.039,"LINESTRING (12.5291453 41.9062612, 12.5292474 41.9063838)",alley,,,,,,,
5562987066,5599406693,0,579700070,,,service,10,False,18.493,"LINESTRING (12.5291169 41.9062274, 12.5289986 41.9060863)",alley,,,,,,,
5562987066,5551245076,0,579700070,,,service,10,False,2.216,"LINESTRING (12.5291169 41.9062274, 12.5291311 41.9062443)",alley,,,,,,,
5562987071,5579289385,0,367010405,,,service,10,False,2.774,"LINESTRING (12.5297949 41.9066923, 12.5297705 41.9066752)",alley,,,,,,,
5562987071,3709866023,0,367010405,,,service,10,False,2.483,"LINESTRING (12.5297949 41.9066923, 12.5298207 41.9067037)",alley,,,,,,,
5568690303,310723361,0,28294748,,Via Cerchiara,residential,30,False,7.219,"LINESTRING (12.624061 41.9349017, 12.6239822 41.9348738)",,,,,,,,
