u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,access,bridge,width
7787943387,264246077,0,223877454,True,2,General Bulnes,tertiary,188.702,"LINESTRING (-70.67108380000001 -33.4339368, -70.6711877 -33.4331592, -70.67130899999999 -33.4322502)",,,,
7787943387,254346783,0,238513527,True,2,Martínez de Rozas,tertiary,867.2379999999999,"LINESTRING (-70.67108380000001 -33.4339368, -70.6721464 -33.4340075, -70.6730014 -33.4340741, -70.6738921 -33.4341316, -70.67431329999999 -33.4341582, -70.6744327 -33.4341627, -70.6747678 -33.4341822, -70.6761927 -33.4342776, -70.6771431 -33.4343477, -70.678214 -33.4344121, -70.6792652 -33.4344854, -70.68040000000001 -33.434554)",,,,
388715,130334653,0,41764798,False,4,Avenida Portugal,secondary,236.66899999999998,"LINESTRING (-70.6353257 -33.4482017, -70.63540450000001 -33.447912, -70.63559650000001 -33.4472039, -70.63599139999999 -33.4461488)",,,,
388715,476178254,0,41764798,False,4,Avenida Portugal,secondary,387.543,"LINESTRING (-70.6353257 -33.4482017, -70.6349831 -33.4495544, -70.63475459999999 -33.450447, -70.6347299 -33.4505359, -70.6344608 -33.4516114)",,,,
388715,710722679,0,242669436,True,3,Santa Isabel,secondary,300.458,"LINESTRING (-70.6353257 -33.4482017, -70.63446639999999 -33.4479658, -70.6342106 -33.4478956, -70.633695 -33.447754, -70.632465 -33.4474362, -70.6323611 -33.4474173, -70.6322368 -33.4474418)",,,,
253281656,1857514325,0,196772150,True,2,Avenida Brasil,secondary,571.6359999999999,"LINESTRING (-70.6651265 -33.4421791, -70.6651018 -33.4433681, -70.6649726 -33.4442865, -70.6649077 -33.4448416, -70.6648613 -33.4452581, -70.6646559 -33.4466846, -70.6646527 -33.4467546, -70.6646648 -33.4469228, -70.6647423 -33.4472928)",,,,
254346870,227925875,0,"[92360512, 448177167]",True,2,"['San Pablo', 'Avenida San Pablo']",primary,476.543,"LINESTRING (-70.6700524 -33.4349672, -70.6700218 -33.4349645, -70.66984669999999 -33.4349583, -70.6689722 -33.4349273, -70.66885449999999 -33.4349228, -70.6683364 -33.4348997, -70.6673665 -33.4348654, -70.66628059999999 -33.4348213, -70.66492239999999 -33.4347701)",50,,,
285738885,1691362559,0,814502479,False,6,Puente Loreto,primary,11.704,"LINESTRING (-70.6428001 -33.4347007, -70.6427778 -33.4345971)",,,,
285738885,6358908269,0,"[679088072, 444825661]",True,3,José Miguel de la Barra,primary,153.737,"LINESTRING (-70.6428001 -33.4347007, -70.64287520000001 -33.4347813, -70.6429053 -33.4348889, -70.64315670000001 -33.4355955, -70.6433425 -33.4359997)",,,,
476178254,1070152557,0,13858323,True,2,Portugal,secondary,526.2059999999999,"LINESTRING (-70.6344608 -33.4516114, -70.6342265 -33.4526261, -70.63420929999999 -33.4526922, -70.63419089999999 -33.4527631, -70.6339249 -33.4537887, -70.63390080000001 -33.4538818, -70.6338817 -33.4539554, -70.6335545 -33.4552167, -70.6333415 -33.4560378, -70.63333369999999 -33.4561342, -70.6333236 -33.4562455)",,,,
