u,v,key,osmid,bridge,oneway,name,highway,length,geometry,lanes,maxspeed,access,width
252524630,149809404,0,477783978,,True,Eleuterio Ramírez,tertiary,136.322,"LINESTRING (-70.6493768 -33.4490102, -70.6507878 -33.4493522)",2,,,
252524630,253351459,0,518091963,,True,Arturo Prat,residential,141.238,"LINESTRING (-70.6493768 -33.4490102, -70.6491146 -33.4502614)",2,,,
252524631,4392826083,0,92361438,,True,Curicó,primary,42.899,"LINESTRING (-70.6411212 -33.4456243, -70.6415075 -33.4458363)",4,,,
252528783,7086673173,0,366862512,,True,Marín,tertiary,118.308,"LINESTRING (-70.64106700000001 -33.4473159, -70.64231169999999 -33.447547)",2,,,
252528789,252528783,0,366862512,,True,Marín,tertiary,49.74,"LINESTRING (-70.6405481 -33.4472035, -70.64106700000001 -33.4473159)",2,,,
253281643,253281802,0,39505780,,True,Avenida Brasil,secondary,70.966,"LINESTRING (-70.66503659999999 -33.4327632, -70.6649936 -33.4334004)",2,,,
253281645,4401404164,0,92360510,,True,Avenida Brasil,secondary,5.794,"LINESTRING (-70.6648448 -33.4360532, -70.664793 -33.4360823)",2,,,
253281647,4401561325,0,92360510,,True,Avenida Brasil,secondary,3.315,"LINESTRING (-70.6646631 -33.4361658, -70.6646375 -33.4361866)",2,,,
253281766,14760683,0,447781291,,True,Avenida Brasil,secondary,132.234,"LINESTRING (-70.66495740000001 -33.4433541, -70.6649839 -33.4421651)",2,,,
253281802,4831739242,0,39505780,,True,Avenida Brasil,secondary,15.988,"LINESTRING (-70.6649936 -33.4334004, -70.6649725 -33.4335431)",2,,,
253281806,4401561331,0,92360510,,True,Avenida Brasil,secondary,7.968,"LINESTRING (-70.6645568 -33.4362696, -70.6645461 -33.4363407)",2,,,
253281806,3043536229,0,262442723,,True,Rosas,residential,29.348,"LINESTRING (-70.6645568 -33.4362696, -70.6648692 -33.4363108)",,,,
253281808,254346565,0,262442723,,True,Rosas,residential,139.123,"LINESTRING (-70.66720599999999 -33.4365157, -70.6686972 -33.4366456)",,,,
253281812,2463425825,0,238513077,,True,Rosas,residential,62.871,"LINESTRING (-70.675929 -33.4371333, -70.67660530000001 -33.4371676)",,,,
253281817,5418738716,0,223877454,,True,General Bulnes,tertiary,55.62,"LINESTRING (-70.6705451 -33.4377942, -70.67062079999999 -33.437298)",2,,,
253281823,612756389,0,238513077,,True,Rosas,residential,81.994,"LINESTRING (-70.67362180000001 -33.4369835, -70.6745025 -33.4370436)",,,,
253281923,253411520,0,447766844,,True,General Bulnes,tertiary,138.391,"LINESTRING (-70.6696974 -33.444132, -70.66987520000001 -33.4428963)",2,,,
253282016,265688241,0,447766844,,True,General Bulnes,tertiary,70.512,"LINESTRING (-70.669505 -33.4453943, -70.66960419999999 -33.4447656)",2,,,
253282020,265688236,0,447781291,,True,Avenida Brasil,secondary,61.398,"LINESTRING (-70.66475629999999 -33.4448238, -70.6648282 -33.4442749)",2,,,
253348599,388724,0,482134480,,True,Dieciocho,tertiary,110.917,"LINESTRING (-70.6577431 -33.4493169, -70.65794270000001 -33.4483334)",2,,,
253348600,5969696442,0,482134480,,True,Dieciocho,tertiary,85.16,"LINESTRING (-70.6575041 -33.4506189, -70.6576472 -33.4498624)",2,,,
253348601,2296016599,0,482780287,,True,Dieciocho,secondary,12.559,"LINESTRING (-70.6569271 -33.453202, -70.65695150000001 -33.4530909)",2,60,,
253348601,13877017,0,338566197,,True,Santa Isabel,secondary,93.698,"LINESTRING (-70.6569271 -33.453202, -70.6559219 -33.4531203)",3,60,,
253348621,253351485,0,23400434,,True,Vidaurre,secondary,114.805,"LINESTRING (-70.6550144 -33.4479721, -70.6562366 -33.4481334)",3,,,
