u,v,key,osmid,bridge,oneway,name,highway,length,geometry,lanes,maxspeed,access,width,junction,tunnel,ref
3857424859,427494291,0,654051005,,True,Avenida Vicuña Mackenna Poniente,primary,14.43,"LINESTRING (-70.6258077 -33.4691689, -70.62570119999999 -33.4692635)",,40,,,,,
3871410057,5587253287,0,26296481,,True,Autopista Central,motorway,27.646,"LINESTRING (-70.66145539999999 -33.4307217, -70.66155999999999 -33.4304889)",3,80,,,,,5
3871410058,5587253289,0,27989156,yes,True,Autopista Central,motorway,14.166,"LINESTRING (-70.66176919999999 -33.4300423, -70.6618282 -33.4299248)",3,,,,,,5
3871410059,5587253297,0,383827118,,True,,motorway_link,9.815,"LINESTRING (-70.6621152 -33.429955, -70.66208709999999 -33.4300401)",2,40,,,,,
3871410063,4389545318,0,299493688,,True,,motorway_link,15.444,"LINESTRING (-70.66204949999999 -33.4306888, -70.662131 -33.4308099)",1,,,,,,
3871410063,4389545320,0,321238225,,True,,motorway_link,20.174,"LINESTRING (-70.66204949999999 -33.4306888, -70.6621018 -33.4308649)",1,,,,,,
3871410068,592658442,0,27989205,yes,True,Manuel Rodríguez Norte,primary,4.981,"LINESTRING (-70.66082609999999 -33.4316422, -70.6608174 -33.4316864)",2,,,,,,
3871410069,307349680,0,27989205,yes,True,Manuel Rodríguez Norte,primary,4.709,"LINESTRING (-70.660816 -33.4318817, -70.66082609999999 -33.4319232)",2,,,,,,
3871410070,307349675,0,441194576,,True,Manuel Rodríguez Norte,primary,7.222,"LINESTRING (-70.66100849999999 -33.4323804, -70.6610115 -33.4324453)",,,,,,,
3871410071,5587253291,0,32839922,,True,Autopista Central,motorway,13.697,"LINESTRING (-70.66196770000001 -33.4299841, -70.661906 -33.430096)",3,80,,,,,5
3871410072,3279696226,0,32839922,,True,Autopista Central,motorway,21.152,"LINESTRING (-70.66171420000001 -33.4305247, -70.6616338 -33.4307027)",3,80,,,,,5
3871410161,5587251344,0,321238225,,True,,motorway_link,8.159,"LINESTRING (-70.66213 -33.4309645, -70.6621487 -33.4310362)",1,,,,,,
3871410162,6765093404,0,144917233,,True,Mapocho,secondary,8.329,"LINESTRING (-70.6615298 -33.4320638, -70.6614404 -33.4320571)",2,,,,,,
3871410257,3279696193,0,582146108,,True,Manuel Rodríguez Norte,primary,7.705,"LINESTRING (-70.66203590000001 -33.4311924, -70.6620317 -33.4312616)",1,,,,,,
3871410258,3279696208,0,582146108,,True,Manuel Rodríguez Norte,primary,6.413,"LINESTRING (-70.66202610000001 -33.4312979, -70.6620053 -33.4313529)",1,,,,,,
3871410259,2600763879,0,582146108,,True,Manuel Rodríguez Norte,primary,6.504,"LINESTRING (-70.6619719 -33.4314128, -70.6619329 -33.4314614)",1,,,,,,
3871410261,3279696230,0,24358543,yes,True,Manuel Rodríguez Norte,primary,4.43,"LINESTRING (-70.6616295 -33.4307516, -70.6616745 -33.4307649)",,,,,,,
3871410262,3279696178,0,582146108,,True,Manuel Rodríguez Norte,primary,5.388,"LINESTRING (-70.66172779999999 -33.4307826, -70.6617791 -33.4308053)",1,,,,,,
3871410263,4389620266,0,582146108,,True,Manuel Rodríguez Norte,primary,5.004,"LINESTRING (-70.6618503 -33.4308487, -70.6618895 -33.4308796)",1,,,,,,
3871410264,3871410265,0,582146108,,True,Manuel Rodríguez Norte,primary,4.317,"LINESTRING (-70.6619591 -33.4309546, -70.6619824 -33.4309882)",1,,,,,,
3871410265,3279696194,0,582146108,,True,Manuel Rodríguez Norte,primary,3.54,"LINESTRING (-70.6619824 -33.4309882, -70.6619994 -33.4310167)",1,,,,,,
3872878380,1278524955,0,383988729,,True,,unclassified,8.084,"LINESTRING (-70.65974300000001 -33.442852, -70.65973510000001 -33.4429244)",,,,,,,
3872878380,5420440453,0,562109578,,True,Moneda,unclassified,22.957,"LINESTRING (-70.65974300000001 -33.442852, -70.659988 -33.4428808)",,,,,,,
3878900681,2612638601,0,85459532,,True,San Pablo;Mapocho,motorway_link,21.062,"LINESTRING (-70.6918056 -33.442637, -70.691768 -33.4424502)",,,,,,,
3878929961,289349371,0,34920931,,True,Autopista Central,motorway,16.372,"LINESTRING (-70.69158160000001 -33.4396108, -70.69161010000001 -33.4394655)",3,80,,,,,74
3878929963,289349380,0,34920843,,True,Autopista Central,motorway,14.987,"LINESTRING (-70.6917637 -33.4394584, -70.6917335 -33.4395908)",3,80,,,,,74
3887077722,265689362,0,24446143,,False,Pérez Freire,residential,10.571,"LINESTRING (-70.6609648 -33.4702175, -70.66095799999999 -33.4703124)",2,,,,,,
3887077722,2025475957,0,646130589,,True,Avenida General Rondizzoni,primary,115.875,"LINESTRING (-70.6609648 -33.4702175, -70.66221109999999 -33.4702891)",2,,,,,,
