u,v,key,osmid,oneway,name,highway,length,geometry,lanes,access,maxspeed,bridge,tunnel,ref,junction
253281854,14095459,0,726515493,True,Avenida Libertador Bernardo O'Higgins,primary,131.084,"LINESTRING (-70.67294149999999 -33.4491665, -70.673468 -33.4493084, -70.674286 -33.4495288)",4,,,,,,
253281855,253281856,0,23393710,True,Portales,residential,81.392,"LINESTRING (-70.6722032 -33.442835, -70.6730725 -33.4429331)",2,,,,,,
253281855,253281887,0,448511865,True,Cueto,residential,36.841,"LINESTRING (-70.6722032 -33.442835, -70.67216519999999 -33.4431648)",,,,,,,
253281856,605144023,0,23393710,True,Portales,residential,46.931,"LINESTRING (-70.6730725 -33.4429331, -70.6735734 -33.4429917)",2,,,,,,
253281856,253281837,0,238513070,True,Rafael Sotomayor,residential,37.032,"LINESTRING (-70.6730725 -33.4429331, -70.673041 -33.4432651)",,,,,,,
253281857,253281858,0,23393710,True,Portales,residential,134.019,"LINESTRING (-70.6739568 -33.4430362, -70.6753878 -33.4432)",2,,,,,,
253281857,254344721,0,238513073,True,Libertad,residential,97.57499999999999,"LINESTRING (-70.6739568 -33.4430362, -70.673984 -33.4426055, -70.67403090000001 -33.442161)",2,,,,,,
253281858,253281928,0,23393710,True,Portales,residential,92.616,"LINESTRING (-70.6753878 -33.4432, -70.67637689999999 -33.4433121)",2,,,,,,
253281858,253281877,0,448220691,True,Esperanza,secondary,36.912,"LINESTRING (-70.6753878 -33.4432, -70.6753628 -33.4435313)",,,,,,,
253281862,253281874,0,211203199,False,Matucana,primary,32.229,"LINESTRING (-70.6795968 -33.4437246, -70.67958779999999 -33.443853, -70.67958539999999 -33.4438871, -70.6795738 -33.4440138)",4,,,,,,
253281862,376279550,0,223893140,True,Avenida Portales,secondary,71.19099999999999,"LINESTRING (-70.6795968 -33.4437246, -70.6796777 -33.4437719, -70.6797232 -33.4437938, -70.6797608 -33.4438055, -70.6798232 -33.4438184, -70.67986809999999 -33.443824, -70.6799331 -33.4438313, -70.68002370000001 -33.4438402, -70.68014770000001 -33.4438587, -70.68020869999999 -33.4438715, -70.6802677 -33.4438922, -70.6803189 -33.4439121)",2,,,,,,
253281862,430034396,0,238513065,False,Matucana,primary,123.15799999999999,"LINESTRING (-70.6795968 -33.4437246, -70.6796669 -33.4429809, -70.67969890000001 -33.4426203)",4,,,,,,
253281874,1264238774,0,23393715,True,Agustinas,secondary,104.355,"LINESTRING (-70.6795738 -33.4440138, -70.678459 -33.4438895)",3,,,,,,
253281874,253281862,0,211203199,False,Matucana,primary,32.229,"LINESTRING (-70.6795738 -33.4440138, -70.67958539999999 -33.4438871, -70.67958779999999 -33.443853, -70.6795968 -33.4437246)",4,,,,,,
253281874,253411498,0,211203199,False,Matucana,primary,114.352,"LINESTRING (-70.6795738 -33.4440138, -70.679546 -33.444289, -70.6794867 -33.4449406, -70.6794799 -33.4450161, -70.67947599999999 -33.4450389)",4,,,,,,
253281876,253281877,0,23393715,True,Agustinas,secondary,90.976,"LINESTRING (-70.6763339 -33.4436444, -70.6753628 -33.4435313)",3,,,,,,
253281876,253281928,0,211203200,True,Maipú,residential,37.171,"LINESTRING (-70.6763339 -33.4436444, -70.6763411 -33.4436063, -70.67637689999999 -33.4433121)",,,,,,,
253281877,5357396556,0,23393715,True,Agustinas,secondary,133.809,"LINESTRING (-70.6753628 -33.4435313, -70.67393370000001 -33.4433698)",3,,,,,,
253281877,253281921,0,448220691,True,Esperanza,secondary,137.319,"LINESTRING (-70.6753628 -33.4435313, -70.6752333 -33.4447615)",,,,,,,
253281885,253281656,0,448525930,True,Agustinas,secondary,124.71,"LINESTRING (-70.6664607 -33.4423147, -70.6651265 -33.4421791)",3,,,,,,
253281885,253411463,0,448525932,True,Maturana,residential,132.254,"LINESTRING (-70.6664607 -33.4423147, -70.6662451 -33.4434904)",,,,,,,
253281887,253281916,0,23393716,True,Cueto,residential,137.865,"LINESTRING (-70.67216519999999 -33.4431648, -70.6720409 -33.4444003)",,,,,,,
253281887,253281907,0,448511866,True,Agustinas,secondary,83.152,"LINESTRING (-70.67216519999999 -33.4431648, -70.6712775 -33.4430622)",3,,,,,,
253281888,253281855,0,448511867,True,Cueto,residential,99.061,"LINESTRING (-70.6722666 -33.4419457, -70.6722032 -33.442835)",,,,,,,
253281888,253281838,0,555863677,True,Huérfanos,residential,83.958,"LINESTRING (-70.6722666 -33.4419457, -70.67316219999999 -33.4420534)",,,,,,,
253281889,254344951,0,221398894,True,Compañía de Jesús,tertiary,83.932,"LINESTRING (-70.6723684 -33.440757, -70.67147199999999 -33.4406558)",2,,,,,,
