u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,junction,access,service
6231484046,6577679510,0,675481988,,,secondary,20,True,2.361,"LINESTRING (-70.6638686 -33.45859, -70.6638591 -33.4585703)",roundabout,,
6231484047,5357794637,0,675481988,,,secondary,20,True,3.01,"LINESTRING (-70.6639097 -33.4586232, -70.6638837 -33.458607)",roundabout,,
6274442261,5523273653,0,8000969,2,Echaurren,residential,30,False,2.838,"LINESTRING (-70.666048 -33.4566532, -70.66603499999999 -33.4566301)",,,
6274442261,5523273652,0,8000969,2,Echaurren,residential,30,False,2.821,"LINESTRING (-70.666048 -33.4566532, -70.6660502 -33.4566785)",,,
6325454295,6708917890,0,158577338,,Cerro Santa Lucía,service,30,False,15.742,"LINESTRING (-70.6432843 -33.440827, -70.6432131 -33.4406985)",,private,
6325454301,6708913980,0,158577338,,Cerro Santa Lucía,service,30,False,7.008,"LINESTRING (-70.6445511 -33.4406656, -70.6445363 -33.4406038)",,private,
6325454301,6708913979,0,158577338,,Cerro Santa Lucía,service,30,False,7.393,"LINESTRING (-70.6445511 -33.4406656, -70.6445633 -33.4407313)",,private,
6325454308,6708913967,0,158577338,,Cerro Santa Lucía,service,30,False,4.583,"LINESTRING (-70.64333000000001 -33.4387799, -70.643281 -33.4387851)",,private,
6325454308,1390397222,0,158577338,,Cerro Santa Lucía,service,30,False,4.321,"LINESTRING (-70.64333000000001 -33.4387799, -70.6433756 -33.4387878)",,private,
6325454314,5272846300,0,158577338,,Cerro Santa Lucía,service,30,False,8.605,"LINESTRING (-70.6427302 -33.4402275, -70.6427521 -33.4403027)",,private,
6325454314,1390397247,0,158577338,,Cerro Santa Lucía,service,30,False,8.617,"LINESTRING (-70.6427302 -33.4402275, -70.6427154 -33.440151)",,private,
6577679507,6577679508,0,675481988,,,secondary,20,True,3.048,"LINESTRING (-70.6639701 -33.458468, -70.6640013 -33.4584766)",roundabout,,
6577679508,6577679509,0,675481988,,,secondary,20,True,3.052,"LINESTRING (-70.6640013 -33.4584766, -70.6640275 -33.4584932)",roundabout,,
6577679509,609289244,0,675481988,,,secondary,20,True,3.041,"LINESTRING (-70.6640275 -33.4584932, -70.66404559999999 -33.458516)",roundabout,,
6577679510,609289215,0,675481988,,,secondary,20,True,2.98,"LINESTRING (-70.6638591 -33.4585703, -70.66385630000001 -33.4585436)",roundabout,,
6708878805,6708913974,0,158577338,,Cerro Santa Lucía,service,30,False,4.881,"LINESTRING (-70.64412 -33.4415051, -70.6441726 -33.4415046)",,private,
6708878805,1390397240,0,158577338,,Cerro Santa Lucía,service,30,False,13.012,"LINESTRING (-70.64412 -33.4415051, -70.6439798 -33.4415078)",,private,
6708878866,5264788839,0,158577338,,Cerro Santa Lucía,service,30,False,5.215,"LINESTRING (-70.6435735 -33.4414504, -70.64362319999999 -33.4414723)",,private,
6708878866,1390397264,0,158577338,,Cerro Santa Lucía,service,30,False,5.889,"LINESTRING (-70.6435735 -33.4414504, -70.6435194 -33.4414227)",,private,
6708878867,6708878868,0,158577338,,Cerro Santa Lucía,service,30,False,7.069,"LINESTRING (-70.6434101 -33.4413536, -70.6434697 -33.4413932)",,private,
6708878867,5264788841,0,158577338,,Cerro Santa Lucía,service,30,False,6.14,"LINESTRING (-70.6434101 -33.4413536, -70.6433612 -33.4413164)",,private,
6708878868,1390397264,0,158577338,,Cerro Santa Lucía,service,30,False,5.659,"LINESTRING (-70.6434697 -33.4413932, -70.6435194 -33.4414227)",,private,
6708878868,6708878867,0,158577338,,Cerro Santa Lucía,service,30,False,7.069,"LINESTRING (-70.6434697 -33.4413932, -70.6434101 -33.4413536)",,private,
6708878869,5264788841,0,158577338,,Cerro Santa Lucía,service,30,False,7.163,"LINESTRING (-70.6433062 -33.4412712, -70.6433612 -33.4413164)",,private,
6708878869,1390397250,0,158577338,,Cerro Santa Lucía,service,30,False,6.807,"LINESTRING (-70.6433062 -33.4412712, -70.6432547 -33.4412276)",,private,
6708878870,6708878872,0,158577338,,Cerro Santa Lucía,service,30,False,5.467,"LINESTRING (-70.6431748 -33.4411515, -70.6432136 -33.4411885)",,private,
6708878870,6708878871,0,158577338,,Cerro Santa Lucía,service,30,False,6.294,"LINESTRING (-70.6431748 -33.4411515, -70.6431314 -33.441108)",,private,
6708878871,6708878870,0,158577338,,Cerro Santa Lucía,service,30,False,6.294,"LINESTRING (-70.6431314 -33.441108, -70.6431748 -33.4411515)",,private,
6708878871,6708878873,0,158577338,,Cerro Santa Lucía,service,30,False,5.703,"LINESTRING (-70.6431314 -33.441108, -70.643094 -33.4410673)",,private,
6708878872,1390397250,0,158577338,,Cerro Santa Lucía,service,30,False,5.783,"LINESTRING (-70.6432136 -33.4411885, -70.6432547 -33.4412276)",,private,
6708878872,6708878870,0,158577338,,Cerro Santa Lucía,service,30,False,5.467,"LINESTRING (-70.6432136 -33.4411885, -70.6431748 -33.4411515)",,private,
6708878873,6708878871,0,158577338,,Cerro Santa Lucía,service,30,False,5.703,"LINESTRING (-70.643094 -33.4410673, -70.6431314 -33.441108)",,private,
6708878873,6708913972,0,158577338,,Cerro Santa Lucía,service,30,False,4.013,"LINESTRING (-70.643094 -33.4410673, -70.6430707 -33.4410369)",,private,
6708878874,1390397215,0,158577338,,Cerro Santa Lucía,service,30,False,15.266,"LINESTRING (-70.64293929999999 -33.4407922, -70.6429997 -33.4409199)",,private,
6708878874,1390397219,0,158577338,,Cerro Santa Lucía,service,30,False,14.355,"LINESTRING (-70.64293929999999 -33.4407922, -70.6428844 -33.4406715)",,private,
6708878875,6708913972,0,158577338,,Cerro Santa Lucía,service,30,False,3.811,"LINESTRING (-70.643049 -33.4410078, -70.6430707 -33.4410369)",,private,
6708878875,1390397215,0,158577338,,Cerro Santa Lucía,service,30,False,10.792,"LINESTRING (-70.643049 -33.4410078, -70.6429997 -33.4409199)",,private,
6708878877,6708901492,0,158577338,,Cerro Santa Lucía,service,30,False,3.478,"LINESTRING (-70.643317 -33.4390016, -70.6433535 -33.4389945)",,private,
6708878877,6708913968,0,158577338,,Cerro Santa Lucía,service,30,False,4.381,"LINESTRING (-70.643317 -33.4390016, -70.6432698 -33.4390006)",,private,
6708878878,1390397258,0,158577338,,Cerro Santa Lucía,service,30,False,4.962,"LINESTRING (-70.6434136 -33.4389513, -70.6434387 -33.4389119)",,private,
6708878878,1390397256,0,158577338,,Cerro Santa Lucía,service,30,False,4.636,"LINESTRING (-70.6434136 -33.4389513, -70.6433794 -33.4389817)",,private,
6708878879,1390397222,0,158577338,,Cerro Santa Lucía,service,30,False,3.879,"LINESTRING (-70.6434101 -33.4388075, -70.6433756 -33.4387878)",,private,
6708878879,6708901493,0,158577338,,Cerro Santa Lucía,service,30,False,3.449,"LINESTRING (-70.6434101 -33.4388075, -70.6434332 -33.4388318)",,private,
6708878880,6708913965,0,158577338,,Cerro Santa Lucía,service,30,False,4.677,"LINESTRING (-70.6431408 -33.4388681, -70.6431197 -33.4389063)",,private,
6708878880,6708913966,0,158577338,,Cerro Santa Lucía,service,30,False,5.265,"LINESTRING (-70.6431408 -33.4388681, -70.6431765 -33.4388313)",,private,
6708878881,1390397213,0,158577338,,Cerro Santa Lucía,service,30,False,3.048,"LINESTRING (-70.6432009 -33.4390095, -70.6432325 -33.439002)",,private,
6708878881,6708878882,0,158577338,,Cerro Santa Lucía,service,30,False,2.042,"LINESTRING (-70.6432009 -33.4390095, -70.6431826 -33.4390197)",,private,
6708878882,6708878881,0,158577338,,Cerro Santa Lucía,service,30,False,2.042,"LINESTRING (-70.6431826 -33.4390197, -70.6432009 -33.4390095)",,private,
6708878882,1390397230,0,158577338,,Cerro Santa Lucía,service,30,False,2.759,"LINESTRING (-70.6431826 -33.4390197, -70.64316839999999 -33.4390415)",,private,
6708878883,3402877562,0,158577338,,Cerro Santa Lucía,service,30,False,11.969,"LINESTRING (-70.64305539999999 -33.4402292, -70.6430488 -33.4401217)",,private,
6708878883,6708917898,0,158577338,,Cerro Santa Lucía,service,30,False,8.677,"LINESTRING (-70.64305539999999 -33.4402292, -70.6430771 -33.4403051)",,private,
6708878884,6708917898,0,158577338,,Cerro Santa Lucía,service,30,False,7.441,"LINESTRING (-70.6431048 -33.4403679, -70.6430771 -33.4403051)",,private,
6708878884,6708917896,0,158577338,,Cerro Santa Lucía,service,30,False,7.753,"LINESTRING (-70.6431048 -33.4403679, -70.6431331 -33.4404335)",,private,
6708901488,6708901491,0,158577338,,Cerro Santa Lucía,service,30,False,16.891,"LINESTRING (-70.64302170000001 -33.4398782, -70.64302309999999 -33.4397263)",,private,
6708901488,3402877559,0,158577338,,Cerro Santa Lucía,service,30,False,14.531,"LINESTRING (-70.64302170000001 -33.4398782, -70.64303 -33.4400087)",,private,
6708901490,1390397230,0,158577338,,Cerro Santa Lucía,service,30,False,56.918,"LINESTRING (-70.6430415 -33.4395423, -70.64316839999999 -33.4390415)",,private,
