u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,junction,width,bridge,access,service,tunnel,ref,est_width,area
5239603982,5422508986,0,"[562490064, 530041290]",False,"['Place Auguste Baron', 'Avenue de la Porte de la Villette']",cycleway,,41.16799999999999,"LINESTRING (2.3894769 48.9011048, 2.3895465 48.9011688, 2.3894462 48.901186, 2.3893267 48.9012057, 2.389169 48.9012204, 2.3891136 48.9012105)",,,,,,,,,,
5239603982,5241098988,0,530041290,False,Avenue de la Porte de la Villette,cycleway,,39.216,"LINESTRING (2.3894769 48.9011048, 2.3893949 48.9010309, 2.3892702 48.9009162, 2.3892495 48.9008949, 2.3892039 48.9008794, 2.3891224 48.9008498)",,,,,,,,,,
5239603982,5422508983,0,562490065,False,Rue Magenta,residential,30,19.276,"LINESTRING (2.3894769 48.9011048, 2.3893687 48.9011225, 2.389221 48.9011467)",,,,,,,,,,
5295211211,510569861,0,"[548078042, 548078043, 548078044]",False,Boulevard Arago,secondary,50,190.726,"LINESTRING (2.336523 48.8345851, 2.3363426 48.8345773, 2.3362109 48.8345717, 2.3357963 48.8345545, 2.3356147 48.8345447, 2.3339231 48.8344699)",,,,,,,,,,
5298929655,5298929658,0,16292841,False,Avenue de la Porte de Montrouge,tertiary,50,30.769,"LINESTRING (2.3213353 48.8210763, 2.3213054 48.8210466, 2.3212821 48.8210235, 2.3211264 48.8208689, 2.321103 48.8208457)",,,,yes,,,,,,
5298929658,5298929655,0,16292841,False,Avenue de la Porte de Montrouge,tertiary,50,30.769000000000002,"LINESTRING (2.321103 48.8208457, 2.3211264 48.8208689, 2.3212821 48.8210235, 2.3213054 48.8210466, 2.3213353 48.8210763)",,,,yes,,,,,,
5679638266,368014,0,166031130,False,Boulevard Diderot,secondary,50,25.923000000000002,"LINESTRING (2.3871218 48.8473865, 2.3870199 48.8473756, 2.3869392 48.8473659, 2.3867729 48.8473461)",,,,,,,,,,
5939279484,390030,0,50551782,True,Rue de Montreuil,unclassified,,9.072,"LINESTRING (2.3926443 48.8504211, 2.3925211 48.8504119)",,,,,,,,,,
5939279484,6282793817,0,705837462,True,Boulevard Voltaire,cycleway,,338.515,"LINESTRING (2.3926443 48.8504211, 2.3924015 48.850566, 2.3922589 48.850651, 2.3919541 48.8508329, 2.391655 48.8510114, 2.3912203 48.8512707, 2.3908023 48.8515201, 2.3906959 48.8515836, 2.390561 48.8516641, 2.3904706 48.851718, 2.3902857 48.8518283, 2.3898983 48.8520595, 2.3896747 48.8521929, 2.389388 48.8523639, 2.389215 48.8524646)",,,,,,,,,,
6222542084,2864793308,0,796876373,False,Rue Marx Dormoy,primary,50,4.631,"LINESTRING (2.3593299 48.8845702, 2.359327 48.8845286)",,,,,,,,,,
6222542084,94249286,0,224883158,False,Rue Marx Dormoy,primary,50,23.52,"LINESTRING (2.3593299 48.8845702, 2.3593337 48.8846257, 2.3593445 48.8847815)",,,,,,,,,,
6222542084,2337160191,0,"[224868777, 224868780, 796876374]",True,Boulevard de la Chapelle,cycleway,,237.17900000000003,"LINESTRING (2.3593299 48.8845702, 2.3590797 48.8845677, 2.358981 48.8845609, 2.3582788 48.8845125, 2.3582241 48.8845087, 2.3566321 48.8843989, 2.3563271 48.8843788, 2.356302 48.884377, 2.3561025 48.8843627)",,,,yes,,,,,,
6282793831,5939279482,0,670921874,True,Boulevard Voltaire,cycleway,,12.834,"LINESTRING (2.3923876 48.8503969, 2.3925184 48.85032)",,,,,,,,,,
6282793831,25001240,0,173315999,True,Rue de Montreuil,unclassified,30,34.679,"LINESTRING (2.3923876 48.8503969, 2.3922242 48.8503766, 2.3919177 48.8503942)",,,,,,,,,,
6282960235,6369010762,0,754883373,False,Rue de Rivoli,cycleway,,6.109,"LINESTRING (2.3481964 48.8584753, 2.3481215 48.8584996)",,,,,,,,,,
6282960235,5763285653,0,"[608270396, 754883374]",False,Rue de Rivoli,cycleway,,116.85,"LINESTRING (2.3481964 48.8584753, 2.3482655 48.8584529, 2.3483459 48.8584269, 2.3490651 48.8581936, 2.3496043 48.8580213, 2.3496306 48.8580128)",,,,,,,,,,
6431722527,6792141431,0,724237272,False,Quai André Citroën,cycleway,,7.705,"LINESTRING (2.2768641 48.8461186, 2.2768038 48.8460618)",,,,,,,,,,
6431722527,603958290,0,"[733184763, 244669308]",False,Pont Mirabeau,secondary,50,20.377000000000002,"LINESTRING (2.2768641 48.8461186, 2.2768391 48.8461304, 2.27663 48.8462178)","['3', '2']",,,yes,,,,,,
6431722527,6575397624,0,694769036,False,Quai André Citroën,cycleway,,28.399,"LINESTRING (2.2768641 48.8461186, 2.2769903 48.8461801, 2.2771495 48.8462903)",,,,,,,,,,
6545408548,24911715,0,696960650,True,Rue Marcadet,residential,,94.595,"LINESTRING (2.3317556 48.8922046, 2.3305179 48.8924526)",,,,,,,,,,
6620531018,368254,0,362231920,True,Avenue Franklin Delano Roosevelt,tertiary,,9.347,"LINESTRING (2.3101202 48.8692268, 2.3101251 48.8691428)",1,,,,,,,,,
6620531018,6620531024,0,724797503,True,Avenue des Champs-Élysées,cycleway,,22.198999999999998,"LINESTRING (2.3101202 48.8692268, 2.3100695 48.8692262, 2.3099966 48.8692257, 2.3099785 48.8692143, 2.3099269 48.869198, 2.3098752 48.8691953, 2.3098303 48.869201)",,,2,,,,,,,
6620540068,94143079,0,24037088,True,Rue du Château d'Eau,living_street,20,7.261,"LINESTRING (2.3558254 48.8723031, 2.3559135 48.872273)",,,,,,,,,,
6620540068,6620540070,0,721559604,False,Boulevard de Strasbourg,cycleway,,182.176,"LINESTRING (2.3558254 48.8723031, 2.3564434 48.8733814, 2.3566968 48.8738379)",,,,,,,,,,
6620540068,6620540064,0,721559604,False,Boulevard de Strasbourg,cycleway,,199.522,"LINESTRING (2.3558254 48.8723031, 2.3555206 48.871741, 2.3552293 48.8712265, 2.355129 48.8710529, 2.3548829 48.8706193)",,,,,,,,,,
6904813615,5816086591,0,633435440,False,Rue de Turbigo,cycleway,,91.902,"LINESTRING (2.355689 48.8653197, 2.3545027 48.8650475)",,,,,,,,,,
6904813615,175044779,0,"[55129129, 231935483, 16877087]",True,"['Rue Bailly', 'Rue Beaubourg']","['secondary', 'unclassified']","['50', '30']",106.11600000000001,"LINESTRING (2.355689 48.8653197, 2.3556814 48.8652734, 2.355672 48.8652202, 2.3557691 48.8651953, 2.3564062 48.8650418, 2.3564229 48.8650456, 2.3565525 48.8652577, 2.3565661 48.8652825, 2.3566045 48.8653507)",,,,,,,,,,
6904813615,6369004482,0,701110201,False,Rue de Turbigo,cycleway,,94.66,"LINESTRING (2.355689 48.8653197, 2.3561839 48.8654422, 2.356907 48.8656071)",,,,,,,,,,
7218812044,257686885,0,738488784,True,Rue Fernand Widal,residential,30,22.028,"LINESTRING (2.3604805 48.8182188, 2.3604272 48.8181347, 2.3603624 48.8180366)",,,,,,,,,,
7679407161,361106,0,542064424,True,Rue de la Chaussée d'Antin,secondary,30,18.905,"LINESTRING (2.3332301 48.8731151, 2.3333015 48.8729517)",,,,,,,,,,
7679407161,7679407159,0,819539798,False,Rue La Fayette,cycleway,,165.083,"LINESTRING (2.3332301 48.8731151, 2.3343929 48.8734302, 2.3353211 48.8736742)",,,,,,,,,,
367887,2406388160,0,27067642,False,Avenue de Saint-Cloud,unclassified,50,136.722,"LINESTRING (2.2637168 48.8624438, 2.2633894 48.8623658, 2.2633032 48.8623452, 2.2626086 48.862167, 2.262057 48.8619972, 2.2619832 48.8620041)",,,,,,,,,,
367887,3756425004,0,372110469,True,Avenue de Saint-Cloud,unclassified,50,33.091,"LINESTRING (2.2637168 48.8624438, 2.26412 48.8624817, 2.2641644 48.8624868)",,,,,,,,,,
367967,431394161,0,170809562,False,Avenue de la République,primary,50,7.564,"LINESTRING (2.3696433 48.8661921, 2.3695437 48.8662104)",,,,,,,,,,
