u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,lanes,junction,width,bridge,access,tunnel,ref,service,area
26401696,693515546,0,390298286,Rue de Rivoli,service,,True,123.68199999999999,"LINESTRING (2.3616693 48.8550871, 2.3615617 48.8551328, 2.3614577 48.8551615, 2.3611453 48.8552391, 2.3610437 48.855263, 2.3601968 48.8554656, 2.3600965 48.8554896)",,,,,,,,,
27180835,7653135864,0,"[819539232, 819539233, 819521012]","['Route des Tribunes', 'Carrefour des Tribunes', 'Route des Moulins']",cycleway,,False,412.57300000000004,"LINESTRING (2.2300683 48.8614147, 2.2300945 48.8616057, 2.2302407 48.8618836, 2.2303021 48.8619955, 2.2303842 48.862113, 2.2304318 48.8621831, 2.2306425 48.862482, 2.2308911 48.8627376, 2.2310843 48.8629004, 2.2312988 48.8630782, 2.2315382 48.8632489, 2.2317468 48.8633751, 2.2319908 48.8635118, 2.232425 48.8637226, 2.2327063 48.8638594, 2.2330221 48.8640353, 2.2333668 48.864263, 2.2334034 48.8642573)",,,2.5,,,,,,
27234851,277520265,0,"[138276755, 748659381]",Boulevard de Courcelles,primary,50,False,46.533,"LINESTRING (2.3155495 48.8812167, 2.3153333 48.8811877, 2.3152002 48.8811698, 2.3151315 48.8811606, 2.314926 48.881133)",4,,,,,,,,
27323225,2722947790,0,614904272,Rue de Courcelles,unclassified,,False,73.279,"LINESTRING (2.2954143 48.8868341, 2.2952212 48.8870368, 2.2948744 48.8873893)",,,,,,,,,
27323501,2208333169,0,27638420,Place du Docteur Félix Lobligeois,residential,30,True,30.304,"LINESTRING (2.318484 48.886413, 2.3184521 48.8863963, 2.3184336 48.8863865, 2.3184026 48.8863786, 2.3183473 48.8863709, 2.3183046 48.886374, 2.3182677 48.8863778, 2.318224 48.8863871, 2.3181903 48.8864001, 2.3181653 48.8864148, 2.3181261 48.8864458)",,,,,,,,,
27323728,268238167,0,"[555481963, 819897361, 18650291, 378989498, 674040093, 674040094, 378989503]",Avenue de Saint-Ouen,primary,30,True,1142.905,"LINESTRING (2.3255897 48.8874983, 2.3256459 48.8876743, 2.3256711 48.8877531, 2.3257574 48.8880233, 2.3258122 48.8881953, 2.3258583 48.8883399, 2.325918 48.8885324, 2.3261346 48.8891336, 2.3262469 48.8894797, 2.326283 48.8895911, 2.3263141 48.889696, 2.3263249 48.8897324, 2.3264696 48.8901483, 2.3265394 48.890349, 2.3265619 48.8904136, 2.3266036 48.8905403, 2.3266129 48.8905684, 2.3266213 48.8905948, 2.3266548 48.8907006, 2.326844 48.8912387, 2.326868 48.8913296, 2.3269665 48.8916115, 2.3269989 48.8917095, 2.3272744 48.8925422, 2.3273697 48.8928624, 2.3273906 48.8929267, 2.3274236 48.8930061, 2.3275017 48.8932093, 2.3275691 48.8934006, 2.3277839 48.894045, 2.3277964 48.8940856, 2.3280581 48.8948586, 2.3280915 48.8949577, 2.3281094 48.8950144, 2.3281821 48.8952341, 2.3282113 48.8953144, 2.3282545 48.8954387, 2.3282762 48.8955023, 2.3282949 48.895556, 2.3283661 48.8957677, 2.3284025 48.8958701, 2.3284152 48.8959095, 2.3284943 48.8961531, 2.3285055 48.8961878, 2.3286448 48.8966169, 2.3287611 48.8969642, 2.3289366 48.8975375)",,,,,,,,,
27323728,5291668659,0,"[196820521, 336776414, 336776422]",Avenue de Clichy,primary,50,False,445.421,"LINESTRING (2.3255897 48.8874983, 2.3256439 48.8873796, 2.325742 48.8871648, 2.325882 48.8868472, 2.3259194 48.8867623, 2.3259864 48.8866036, 2.3259987 48.8865776, 2.3261273 48.8862973, 2.3262526 48.8860391, 2.326298 48.8859433, 2.3263574 48.8858204, 2.3263943 48.8857398, 2.3265696 48.8853567, 2.3265753 48.885344, 2.3266253 48.8852358, 2.3266631 48.8851538, 2.326711 48.8850416, 2.3267607 48.8849379, 2.3267814 48.8848917, 2.3269445 48.8845438, 2.3269623 48.8845062, 2.3272328 48.883946, 2.3272378 48.8839357, 2.3272803 48.8838389, 2.3273618 48.883666)",3,,,,,,,,
32560746,6620531018,0,"[362231920, 17242996, 68907549, 565522607]",Avenue Franklin Delano Roosevelt,tertiary,,True,429.907,"LINESTRING (2.3100236 48.8730914, 2.3100406 48.8729854, 2.3100572 48.8728282, 2.3100688 48.8727106, 2.3100745 48.872596, 2.3100814 48.8725169, 2.3100832 48.8714496, 2.3100809 48.871388, 2.3100806 48.8713142, 2.3100886 48.8706112, 2.3100895 48.8705292, 2.3100904 48.8704732, 2.3101017 48.8697279, 2.3101026 48.8696731, 2.3101066 48.8695682, 2.3101182 48.8692595, 2.3101202 48.8692268)",1,,,,,,,,
34816181,5002865869,0,"[647514314, 5096827]","['Avenue Georges Mandel', 'Avenue Henri Martin']",secondary,50,True,975.601,"LINESTRING (2.286485 48.8631099, 2.2862624 48.8631338, 2.2862169 48.8631394, 2.2861705 48.8631445, 2.2859139 48.863175, 2.285314 48.8632483, 2.2818054 48.8636415, 2.2816971 48.8636537, 2.2816139 48.8636634, 2.2814864 48.8636782, 2.2811477 48.863716, 2.2796701 48.8638808, 2.279454 48.8639065, 2.2791155 48.8639438, 2.2788669 48.8639716, 2.2786 48.8640015, 2.2777941 48.8640917, 2.2777192 48.8641001, 2.2775566 48.8641183, 2.2774283 48.8641326, 2.2772844 48.8641468, 2.2770047 48.8641791, 2.2754166 48.8643627, 2.275188 48.8643815, 2.2750589 48.8643867, 2.2746389 48.8644027, 2.2745196 48.864403, 2.2743545 48.8644035, 2.2739247 48.8643868, 2.2734808 48.8643495, 2.2733197 48.8643334)",,,,,,,,,
34816424,1524863454,0,647514313,Avenue Henri Martin,secondary,50,True,221.42499999999998,"LINESTRING (2.2691588 48.8629558, 2.2692908 48.862958, 2.2695579 48.862993, 2.2695745 48.8629968, 2.2698223 48.8630533, 2.2701986 48.8631664, 2.2706317 48.8633449, 2.2710774 48.8635439, 2.2714761 48.8636938, 2.271851 48.8638185)",,,,,,,,,
