u,v,key,osmid,oneway,name,highway,length,geometry,lanes,maxspeed,est_width,bridge,access,width,tunnel,service,ref,junction
453215477,4098016343,0,842289313,True,Rua Doutor Cândido Espinheira,residential,3.755,"LINESTRING (-46.661901 -23.5340333, -46.6619349 -23.5340201)",,,,,,,,,,
457039442,929571260,0,"[79659544, 426253552, 312285777, 426253553, 426253495, 426253496, 426253497, 426253498]",True,"['Praça Júlio Prestes', 'Alameda Cleveland']",residential,327.04799999999994,"LINESTRING (-46.6419351 -23.5319988, -46.6418849 -23.5320667, -46.6413574 -23.5327776, -46.6412172 -23.532982, -46.6411639 -23.5330592, -46.6411169 -23.5331227, -46.6407876 -23.533567, -46.6407523 -23.5336153, -46.6407256 -23.533688, -46.6407419 -23.5337726, -46.6408312 -23.5338365, -46.6413535 -23.5341921, -46.6414688 -23.5342704)",,,,,,,,,,
457039931,2537137817,0,426253577,True,Rua Guaianases,residential,4.202,"LINESTRING (-46.6453916 -23.5341981, -46.6454147 -23.5341668)",,,,,,,,,,
457046637,64095092,0,"[831790606, 426253520, 426256856, 426253533, 426253534, 426253535]",True,Avenida Duque de Caxias,secondary,364.581,"LINESTRING (-46.6461313 -23.5390093, -46.6460401 -23.5389432, -46.645628 -23.5386601, -46.6455205 -23.5385847, -46.6454414 -23.5385285, -46.644879 -23.5381293, -46.6447443 -23.5380337, -46.6446415 -23.5379617, -46.6441208 -23.5375971, -46.6440776 -23.5375664, -46.6439848 -23.5375019, -46.6433422 -23.5370517, -46.6432917 -23.5370162)",,50,,,,,,,,
457046781,2140878078,0,38584404,True,Rua Doutor Frederico Steidel,residential,224.205,"LINESTRING (-46.6472677 -23.5412761, -46.6472771 -23.5412237, -46.6472942 -23.5411276, -46.6476179 -23.5392855)",2,,,,,,,,,
457051388,2474967257,0,312247721,False,Rua Capistrano de Abreu,residential,27.389,"LINESTRING (-46.6528819 -23.5283703, -46.6531412 -23.5283059)",2,,,,,,,,,
457051388,457051489,0,"[312247722, 578286511]",True,"['Rua Conselheiro Nébias', 'Rua Capistrano de Abreu']",residential,384.521,"LINESTRING (-46.6528819 -23.5283703, -46.6514668 -23.5287628, -46.6512957 -23.5288, -46.6509509 -23.528874, -46.6505711 -23.5289586, -46.6497898 -23.5299931)","['1', '2']",,,,,,,,,
457051489,457055156,0,38584808,False,Rua Doutor Elias Chaves,residential,108.394,"LINESTRING (-46.6497898 -23.5299931, -46.648919 -23.5294338)",,,,,,,,,,
457055156,457051489,0,38584808,False,Rua Doutor Elias Chaves,residential,108.394,"LINESTRING (-46.648919 -23.5294338, -46.6497898 -23.5299931)",,,,,,,,,,
457055156,2537137817,0,"[252694229, 410073901, 426255078]",True,Rua Guaianases,residential,636.089,"LINESTRING (-46.648919 -23.5294338, -46.6488659 -23.5295065, -46.6486259 -23.5298329, -46.6484962 -23.5300093, -46.6484463 -23.5300773, -46.6483944 -23.5301472, -46.6475593 -23.5312734, -46.6475236 -23.5313214, -46.6474588 -23.5314094, -46.6465028 -23.5326984, -46.6464921 -23.5327128, -46.6464582 -23.5327586, -46.6463946 -23.5328444, -46.6454147 -23.5341668)",,,,,,,,,,
