u,v,key,osmid,oneway,name,highway,length,geometry,lanes,maxspeed,est_width,bridge,access,width,tunnel,service,ref,junction
248817178,445160725,0,285514970,True,Rua dos Americanos,tertiary,101.014,"LINESTRING (-46.6553689 -23.5257367, -46.6553713 -23.525655, -46.6553959 -23.5248286)",2,50,,,,,,,,
248817178,445160734,0,285514973,False,Rua do Bosque,tertiary,131.37300000000002,"LINESTRING (-46.6553689 -23.5257367, -46.6552826 -23.5257654, -46.6552415 -23.525779, -46.6541526 -23.5257616, -46.6540886 -23.5257606)",2,40,,,,,,,,
445160725,151268804,0,"[285514970, 252601715]",True,Rua dos Americanos,tertiary,192.32899999999998,"LINESTRING (-46.6553959 -23.5248286, -46.6554392 -23.5235814, -46.65544 -23.5235581, -46.6554483 -23.5233181, -46.6554509 -23.5232439, -46.6554634 -23.5231002)",2,"['50', '40']",,,,,,,,
445160725,445160830,0,37923518,False,Rua Doutor Ribeiro de Almeida,residential,381.06899999999996,"LINESTRING (-46.6553959 -23.5248286, -46.6553241 -23.5248275, -46.6552625 -23.5248266, -46.6541271 -23.5248095, -46.6540124 -23.5248076, -46.6528638 -23.5248021, -46.6528141 -23.5248317, -46.6527807 -23.5248517, -46.6520113 -23.5249623, -46.6516882 -23.525011)",,30,,,,,,,,
445160734,248817178,0,285514973,False,Rua do Bosque,tertiary,131.373,"LINESTRING (-46.6540886 -23.5257606, -46.6541526 -23.5257616, -46.6552415 -23.525779, -46.6552826 -23.5257654, -46.6553689 -23.5257367)",2,40,,,,,,,,
445160734,2390039145,0,285514973,False,Rua do Bosque,tertiary,82.309,"LINESTRING (-46.6540886 -23.5257606, -46.6539973 -23.525759, -46.6534164 -23.5257489, -46.6532814 -23.5257476)",2,40,,,,,,,,
445160734,929535962,0,"[312247728, 312247724, 79657252, 312282584]",False,"['Rua Luigi Greco', 'Rua Cruzeiro']",residential,454.623,"LINESTRING (-46.6540886 -23.5257606, -46.6540849 -23.5258437, -46.654051 -23.5266063, -46.6540442 -23.5275674, -46.6537221 -23.5276574, -46.6535453 -23.5277015, -46.6534239 -23.5277312, -46.6530751 -23.5277901, -46.6527182 -23.5278705, -46.6526245 -23.5278824, -46.6523773 -23.5278984, -46.6519063 -23.5278974, -46.6515997 -23.5278961)",2,30,,,,,,,,
461875493,4217941165,0,342086198,False,,cycleway,26.103,"LINESTRING (-46.631308 -23.5260056, -46.6312094 -23.5259597, -46.631064 -23.5259631)",,,3,,,,,,,
1832037299,173361745,0,312295508,True,Rua Artur de Azevedo,tertiary,101.889,"LINESTRING (-46.6901175 -23.5676413, -46.6901876 -23.567681, -46.6906492 -23.5679424, -46.6908426 -23.5680514, -46.6909684 -23.5681223)",,40,,,,,,,,
1832057639,1832037299,0,"[338991640, 439894872, 439894871]",True,Rua Artur de Azevedo,tertiary,580.744,"LINESTRING (-46.6853435 -23.5647905, -46.6854681 -23.564866, -46.6862268 -23.5653252, -46.6862917 -23.5653627, -46.6863628 -23.5654074, -46.6871647 -23.565891, -46.6872449 -23.5659393, -46.6873139 -23.5659808, -46.6881274 -23.5664707, -46.6882039 -23.5665168, -46.6882718 -23.5665573, -46.6889972 -23.5669908, -46.6890212 -23.5670051, -46.6890966 -23.5670516, -46.6891651 -23.5670911, -46.6892324 -23.5671293, -46.6900185 -23.5675843, -46.6901175 -23.5676413)",2,40,,,,,,,,
1832057639,167403202,0,338991645,True,Rua Fradique Coutinho,residential,190.841,"LINESTRING (-46.6853435 -23.5647905, -46.685288 -23.5648738, -46.6844257 -23.5661669, -46.684367 -23.5662549)",2,40,,,,,,,,
1886708445,3632201324,0,358273192,False,,tertiary_link,17.668,"LINESTRING (-46.6520527 -23.5340617, -46.6520613 -23.5340053, -46.6520498 -23.5339039)",,,,,,,,,,
2021790377,60685633,0,"[289934630, 710195115, 262460750, 566773934, 237861712, 237876561, 358287537, 237861713]",True,Avenida Cásper Líbero,secondary,653.1600000000001,"LINESTRING (-46.635608 -23.5359769, -46.6356414 -23.5361893, -46.6359576 -23.5377766, -46.6359783 -23.5378808, -46.6359961 -23.5379609, -46.6361487 -23.5386499, -46.6361693 -23.5387383, -46.6361808 -23.5387835, -46.6362399 -23.5390552, -46.636275 -23.5392105, -46.6363027 -23.5393347, -46.6363332 -23.5395181, -46.6363921 -23.5398308, -46.6364089 -23.5399381, -46.6365928 -23.5408271, -46.6367348 -23.5415338, -46.6367783 -23.5417514)",2,40,,,,,,,,
2131735469,7826439092,0,"[203193354, 405498519]",True,Rua Artur de Azevedo,tertiary,35.561,"LINESTRING (-46.6796052 -23.5613734, -46.6796699 -23.5614108, -46.6797689 -23.561468, -46.6798841 -23.5615368, -46.6798989 -23.561546)",3,40,,,,,,,,
2376013317,2376013333,0,228954881,True,,tertiary,29.173000000000002,"LINESTRING (-46.445216 -23.4818319, -46.4453267 -23.4819057, -46.4453836 -23.4819319, -46.4454643 -23.4819579)",,,,,,,,,,
2376013317,1728262215,0,"[622181873, 622181874, 228954828, 344996205]",False,Ciclovia Parque Ecologico do Tietê,cycleway,1180.1290000000001,"LINESTRING (-46.445216 -23.4818319, -46.4451437 -23.4818741, -46.445087 -23.4818663, -46.4448942 -23.4816811, -46.4447037 -23.4815445, -46.4438883 -23.4813895, -46.4429536 -23.4812087, -46.4418056 -23.4809959, -46.4410063 -23.4807892, -46.4405221 -23.480745, -46.4401734 -23.4807315, -46.4398758 -23.4806331, -46.4391328 -23.4805654, -46.438992 -23.4805371, -46.4378185 -23.4802874, -46.4375744 -23.4802419, -46.4372418 -23.4801706, -46.4369387 -23.4801238, -46.4363393 -23.4799418, -46.4359007 -23.4796638, -46.4355091 -23.4793858, -46.4351712 -23.4792185, -46.4345073 -23.4791152, -46.4342537 -23.4790899)",,,,yes,,,,,,
