u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,service,access,width,ref,bridge,junction,tunnel
4909051245,1715100972,0,153812598,False,Rua Zalina Rolim,residential,30,33.076,"LINESTRING (-46.5947936 -23.4933488, -46.5950647 -23.4931855)",2,,,,,,,
4909051246,1715100770,0,159395250,False,Rua Doutor Pedro Paulo Lagreca Neto,residential,30,45.947,"LINESTRING (-46.594389 -23.4930123, -46.5941437 -23.4926657)",,,,,,,,
4909051246,1715100966,0,159395250,False,Rua Doutor Pedro Paulo Lagreca Neto,residential,30,13.35,"LINESTRING (-46.594389 -23.4930123, -46.5944486 -23.4931192)",,,,,,,,
4909051247,1715100966,0,159395250,False,Rua Doutor Pedro Paulo Lagreca Neto,residential,30,19.71,"LINESTRING (-46.5945152 -23.4932856, -46.5944486 -23.4931192)",,,,,,,,
4909051247,1715100984,0,159395250,False,Rua Doutor Pedro Paulo Lagreca Neto,residential,30,21.769,"LINESTRING (-46.5945152 -23.4932856, -46.5946014 -23.4934647)",,,,,,,,
4909051248,3934071932,0,159395260,False,Rua Irmão Gregório,service,30,14.194,"LINESTRING (-46.594641 -23.4925515, -46.5945675 -23.4924431)",,alley,no,,,,,
4909051248,4909051249,0,159395260,False,Rua Irmão Gregório,service,30,15.927,"LINESTRING (-46.594641 -23.4925515, -46.5947251 -23.4926722)",,alley,no,,,,,
4909051249,4909051248,0,159395260,False,Rua Irmão Gregório,service,30,15.927,"LINESTRING (-46.5947251 -23.4926722, -46.594641 -23.4925515)",,alley,no,,,,,
4909051249,4909051250,0,159395260,False,Rua Irmão Gregório,service,30,20.355,"LINESTRING (-46.5947251 -23.4926722, -46.5948313 -23.4928272)",,alley,no,,,,,
4909051250,4909051249,0,159395260,False,Rua Irmão Gregório,service,30,20.355,"LINESTRING (-46.5948313 -23.4928272, -46.5947251 -23.4926722)",,alley,no,,,,,
4909051250,4909051251,0,159395260,False,Rua Irmão Gregório,service,30,21.397,"LINESTRING (-46.5948313 -23.4928272, -46.5949376 -23.4929931)",,alley,no,,,,,
4909051251,4909051250,0,159395260,False,Rua Irmão Gregório,service,30,21.397,"LINESTRING (-46.5949376 -23.4929931, -46.5948313 -23.4928272)",,alley,no,,,,,
4909051251,4909051252,0,159395260,False,Rua Irmão Gregório,service,30,18.888,"LINESTRING (-46.5949376 -23.4929931, -46.5950319 -23.4931393)",,alley,no,,,,,
4909051252,4909051251,0,159395260,False,Rua Irmão Gregório,service,30,18.888,"LINESTRING (-46.5950319 -23.4931393, -46.5949376 -23.4929931)",,alley,no,,,,,
4909051252,1715100972,0,159395260,False,Rua Irmão Gregório,service,30,6.13,"LINESTRING (-46.5950319 -23.4931393, -46.5950647 -23.4931855)",,alley,no,,,,,
4909051254,1664514432,0,314755252,False,Rua José de Almeida,residential,30,33.334,"LINESTRING (-46.596069 -23.4922213, -46.5962479 -23.4924722)",,,,,,,,
4909051254,1409062642,0,314755252,False,Rua José de Almeida,residential,30,66.231,"LINESTRING (-46.596069 -23.4922213, -46.5957164 -23.4917211)",,,,,,,,
4909069607,1715100683,0,390246976,False,Rua Água Encantada,footway,30,33.935,"LINESTRING (-46.5945509 -23.4923974, -46.5943553 -23.4921505)",,,,,,,,
4909069607,1715100715,0,390246976,False,Rua Água Encantada,footway,30,2.606,"LINESTRING (-46.5945509 -23.4923974, -46.5945523 -23.4924208)",,,,,,,,
4909069608,1715100637,0,390246976,False,Rua Água Encantada,footway,30,15.147,"LINESTRING (-46.594211 -23.4919849, -46.5941123 -23.4918831)",,,,,,,,
4909069608,4909069609,0,390246976,False,Rua Água Encantada,footway,30,7.85,"LINESTRING (-46.594211 -23.4919849, -46.5942633 -23.4920367)",,,,,,,,
4909069609,4909069608,0,390246976,False,Rua Água Encantada,footway,30,7.85,"LINESTRING (-46.5942633 -23.4920367, -46.594211 -23.4919849)",,,,,,,,
4909069609,1715100683,0,390246976,False,Rua Água Encantada,footway,30,15.753,"LINESTRING (-46.5942633 -23.4920367, -46.5943553 -23.4921505)",,,,,,,,
4909069610,1715100612,0,390246976,False,Rua Água Encantada,footway,30,18.727,"LINESTRING (-46.5940177 -23.4917858, -46.5938902 -23.4916646)",,,,,,,,
4909069610,1715100637,0,390246976,False,Rua Água Encantada,footway,30,14.496,"LINESTRING (-46.5940177 -23.4917858, -46.5941123 -23.4918831)",,,,,,,,
4909085927,1691434111,0,156899178,False,Rua Doutor Monteiro Viana,residential,30,70.928,"LINESTRING (-46.5903953 -23.4886337, -46.5898798 -23.4890619)",,,,,,,,
4909085927,4909085928,0,156899178,False,Rua Doutor Monteiro Viana,residential,30,85.256,"LINESTRING (-46.5903953 -23.4886337, -46.5910169 -23.488121)",,,,,,,,
4909085928,4909085927,0,156899178,False,Rua Doutor Monteiro Viana,residential,30,85.256,"LINESTRING (-46.5910169 -23.488121, -46.5903953 -23.4886337)",,,,,,,,
4909085928,1691434072,0,156899178,False,Rua Doutor Monteiro Viana,residential,30,29.57,"LINESTRING (-46.5910169 -23.488121, -46.5912333 -23.487944)",,,,,,,,
4909085932,1691434072,0,156899178,False,Rua Doutor Monteiro Viana,residential,30,16.935,"LINESTRING (-46.5913572 -23.4878426, -46.5912333 -23.487944)",,,,,,,,
4909085932,4909085933,0,156899178,False,Rua Doutor Monteiro Viana,residential,30,80.588,"LINESTRING (-46.5913572 -23.4878426, -46.5919743 -23.4873899)",,,,,,,,
4909085933,4909085932,0,156899178,False,Rua Doutor Monteiro Viana,residential,30,80.588,"LINESTRING (-46.5919743 -23.4873899, -46.5913572 -23.4878426)",,,,,,,,
4909085933,4909085934,0,156899178,False,Rua Doutor Monteiro Viana,residential,30,14.25,"LINESTRING (-46.5919743 -23.4873899, -46.5920864 -23.4873134)",,,,,,,,
4909085934,4909085933,0,156899178,False,Rua Doutor Monteiro Viana,residential,30,14.25,"LINESTRING (-46.5920864 -23.4873134, -46.5919743 -23.4873899)",,,,,,,,
4909085934,4909085935,0,156899178,False,Rua Doutor Monteiro Viana,residential,30,2.546,"LINESTRING (-46.5920864 -23.4873134, -46.5921008 -23.4872947)",,,,,,,,
4909085935,4909085934,0,156899178,False,Rua Doutor Monteiro Viana,residential,30,2.546,"LINESTRING (-46.5921008 -23.4872947, -46.5920864 -23.4873134)",,,,,,,,
4909085935,1691434115,0,156899178,False,Rua Doutor Monteiro Viana,residential,30,5.699,"LINESTRING (-46.5921008 -23.4872947, -46.5921218 -23.4872472)",,,,,,,,
4909085936,2597464679,0,253867669,False,Travessa Caetano Gama,residential,20,40.779,"LINESTRING (-46.5921391 -23.4871885, -46.5924541 -23.4869626)",,,,,,,,
4909085936,4909085937,0,253867669,False,Travessa Caetano Gama,residential,20,2.701,"LINESTRING (-46.5921391 -23.4871885, -46.5921272 -23.4872102)",,,,,,,,
4909085937,4909085936,0,253867669,False,Travessa Caetano Gama,residential,20,2.701,"LINESTRING (-46.5921272 -23.4872102, -46.5921391 -23.4871885)",,,,,,,,
4909085937,1691434115,0,253867669,False,Travessa Caetano Gama,residential,20,4.151,"LINESTRING (-46.5921272 -23.4872102, -46.5921218 -23.4872472)",,,,,,,,
