u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,access,lanes,service,tunnel,width
8536102,8536103,0,171268308,True,Turesensgade,residential,30,110.554,"LINESTRING (12.5612931 55.682001, 12.5629563 55.6816705)",,,,,
8536103,1185821667,0,1833829,True,Nansensgade,residential,30,22.413,"LINESTRING (12.5629563 55.6816705, 12.5631624 55.6818352)",,,,,
8536104,8536103,0,171268311,True,Turesensgade,residential,30,120.63,"LINESTRING (12.5645806 55.6810889, 12.5629563 55.6816705)",,,,,
8899946,1281421684,0,48347098,True,Overgaden Oven Vandet,residential,30,134.439,"LINESTRING (12.5897211 55.6715728, 12.5882654 55.6706852)",,,,,
8899946,2704149471,0,48347099,False,Overgaden Oven Vandet,residential,30,94.874,"LINESTRING (12.5897211 55.6715728, 12.5907395 55.6722038)",,2,,,
8907380,25274001,0,1833829,True,Nansensgade,residential,30,18.412,"LINESTRING (12.5649832 55.6833875, 12.5651567 55.6835211)",,,,,
8907380,299578233,0,27294501,False,Charlotte Ammundsens Plads,residential,30,34.425,"LINESTRING (12.5649832 55.6833875, 12.5644967 55.6835311)",,,,,
8912847,279451059,0,2064028,False,Biens Allé,residential,30,213.61,"LINESTRING (12.6206642 55.6510818, 12.6173744 55.650587)",,,,,
10775870,18222669,0,38240878,False,Buskager,residential,30,33.179,"LINESTRING (12.4858129 55.6788725, 12.4861018 55.6786225)",,,,,
10775871,6162389059,0,8125076,False,Buskager,residential,30,24.645,"LINESTRING (12.487384 55.6795324, 12.4876091 55.6793507)",,,,,
12723458,336229580,0,30473723,False,Ved Sporsløjfen,residential,30,5.091,"LINESTRING (12.5782977 55.7149983, 12.57836 55.7150277)",,,,,
17207441,1579375806,0,4873656,False,Refshalevej,residential,30,81.042,"LINESTRING (12.6123482 55.6906921, 12.6127296 55.6913885)",,,,,
17207441,4199224164,0,4873656,False,Refshalevej,residential,30,5.111,"LINESTRING (12.6123482 55.6906921, 12.6123194 55.6906491)",,,,,
