u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bridge,access,tunnel,width,est_width,junction,service
2517370907,2517370914,0,244418974,False,,,cycleway,,12.663,"LINESTRING (9.2008946 45.4761139, 9.200805900000001 45.4760185)",,,,,,,
2517370907,21226667,0,"[270652200, 129032121, 270652196, 270652198]",True,,Viale Città di Fiume,secondary,,256.307,"LINESTRING (9.2008946 45.4761139, 9.200658000000001 45.4762259, 9.1999823 45.476536, 9.1992148 45.4768848, 9.1988249 45.4770628, 9.198610199999999 45.4771752, 9.1984242 45.4772805, 9.1982014 45.477429)",,,,,,,
2517370914,2517370907,0,244418974,False,,,cycleway,,12.663,"LINESTRING (9.200805900000001 45.4760185, 9.2008946 45.4761139)",,,,,,,
2517370914,2517370902,0,244418974,False,,,cycleway,,7.269,"LINESTRING (9.200805900000001 45.4760185, 9.200754 45.4759642)",,,,,,,
2517370914,2517370896,0,"[274103139, 129032132]",True,,"['Bastioni di Porta Venezia', 'Viale Città di Fiume']",secondary,,10.521,"LINESTRING (9.200805900000001 45.4760185, 9.200866400000001 45.4759912, 9.2009189 45.4759668)",,,,,,,
2705632312,2711555983,0,264913894,False,,Via Antegnati,unclassified,,469.48400000000004,"LINESTRING (9.196841300000001 45.4267683, 9.1980015 45.4240587, 9.1980193 45.4240172, 9.1981868 45.4237396, 9.198362599999999 45.4234811, 9.1985221 45.4232937, 9.198744 45.4230783, 9.198814 45.4230173, 9.1989921 45.4228622)",,,,,,,
2711555983,2705632312,0,264913894,False,,Via Antegnati,unclassified,,469.48400000000004,"LINESTRING (9.1989921 45.4228622, 9.198814 45.4230173, 9.198744 45.4230783, 9.1985221 45.4232937, 9.198362599999999 45.4234811, 9.1981868 45.4237396, 9.1980193 45.4240172, 9.1980015 45.4240587, 9.196841300000001 45.4267683)",,,,,,,
2756686980,2517384611,0,244421227,True,,,cycleway,,8.994,"LINESTRING (9.1989011 45.4769246, 9.1989289 45.4768461)",,,,,,,
2756686980,2517370914,0,"[274103139, 270655061, 270655062]",True,,Viale Città di Fiume,secondary,,179.503,"LINESTRING (9.1989011 45.4769246, 9.199152 45.4768004, 9.1998804 45.4764395, 9.2006558 45.476086, 9.200805900000001 45.4760185)",,,,,,,
2778465384,2542791127,0,"[173087882, 23301292]",True,,Piazza Otto Novembre,unclassified,,63.992999999999995,"LINESTRING (9.211048399999999 45.4743697, 9.2109696 45.4743696, 9.2109019 45.4743721, 9.2108425 45.4743884, 9.2106204 45.4744831, 9.2105801 45.474504, 9.2105473 45.4745414, 9.2105394 45.4745602, 9.210528800000001 45.4745862, 9.2105035 45.4746121, 9.2104476 45.4746318, 9.210388 45.4746478)",,,,,,,
2799099888,295560572,0,"[26971424, 25765153]",False,,Via Domokos,residential,,323.27000000000004,"LINESTRING (9.125064699999999 45.4682673, 9.124040900000001 45.4680698, 9.1235389 45.4679729, 9.123506000000001 45.4679666, 9.1234024 45.4679479, 9.123335900000001 45.4679297, 9.123273899999999 45.4679024, 9.122560999999999 45.4675319, 9.122478600000001 45.4674959, 9.1223837 45.467463, 9.122302899999999 45.4674413, 9.122228399999999 45.467426, 9.122143700000001 45.4674135, 9.122064099999999 45.4674062, 9.121991599999999 45.4674089, 9.1219178 45.4674243, 9.1218691 45.4674485, 9.121827 45.4674747, 9.1217893 45.4675049, 9.1217665 45.4675416, 9.1217595 45.4675865, 9.121762 45.4676309, 9.1217793 45.4676825, 9.1218001 45.4677225, 9.1218409 45.4677742, 9.1219184 45.4678455)",,,,,,,
2915911492,153558269,0,"[288045507, 267292075]",False,,Via Principe Eugenio,residential,,243.64,"LINESTRING (9.168309600000001 45.4923602, 9.1683159 45.4923925, 9.1683112 45.492424, 9.1682907 45.4924591, 9.167648700000001 45.4929434, 9.167367 45.493156, 9.1670991 45.4933573, 9.166736500000001 45.4936272, 9.166199799999999 45.4939436)",,,,,,,
2915911492,153558266,0,"[32278154, 288045507]",False,,Via Principe Eugenio,residential,,67.715,"LINESTRING (9.168309600000001 45.4923602, 9.1682945 45.4923323, 9.1682647 45.4923038, 9.1676824 45.4919445)",,,,,,,
2915911492,2731117416,0,288043033,False,,,cycleway,,583.536,"LINESTRING (9.168309600000001 45.4923602, 9.1676023 45.4929074, 9.167312900000001 45.49312, 9.167044199999999 45.4933216, 9.166714799999999 45.4935686, 9.1663546 45.4937915, 9.166089899999999 45.493925, 9.1660214 45.4939456, 9.1659826 45.4939503, 9.1659142 45.4939503, 9.1658624 45.4939382, 9.1657774 45.4939062, 9.165740599999999 45.49392, 9.1656002 45.49403, 9.1655666 45.4940543, 9.16554 45.494081, 9.1655338 45.4941077, 9.1655351 45.4941324, 9.1655237 45.4941581, 9.165506000000001 45.4941762, 9.1654669 45.4941977, 9.1650092 45.4943989, 9.164446399999999 45.4946401, 9.163937499999999 45.4948895, 9.1625607 45.49551)",,,,,,,
3080707867,31013212,0,"[327966619, 275503412]",True,,Viale Regina Giovanna,tertiary,,56.554,"LINESTRING (9.2104968 45.474879, 9.210930299999999 45.4746781, 9.2111059 45.474603)",,,,,,,
21257013,4885927950,0,496946287,False,,,cycleway,,8.891,"LINESTRING (9.1579493 45.4554773, 9.157905100000001 45.4554036)",,,,,,,
21257013,4885927946,0,496946287,False,,,cycleway,,11.812,"LINESTRING (9.1579493 45.4554773, 9.158000400000001 45.4555773)",,,,,,,
21555411,3642807391,0,27638652,False,,,cycleway,,13.878,"LINESTRING (9.1796153 45.4725433, 9.1794379 45.4725533)",,yes,,,,,
31027306,3730739329,0,"[4826604, 286054687]",False,,Via Francesco Cherubini,cycleway,,221.843,"LINESTRING (9.1592334 45.466362, 9.159296700000001 45.4665579, 9.159304799999999 45.466578, 9.1593108 45.4665978, 9.1593122 45.4666013, 9.1593705 45.4667429, 9.1596213 45.4672893, 9.159646800000001 45.4673449, 9.1596423 45.4673724, 9.159626400000001 45.4673933, 9.1596092 45.467415, 9.159612900000001 45.4674242, 9.1596432 45.4675063, 9.159657299999999 45.4675215, 9.159706099999999 45.4675535, 9.1600793 45.4677987, 9.1603344 45.4679663, 9.160419600000001 45.4679803, 9.160498 45.4680219)",,,,,,,
31027306,31027309,0,4826605,True,,Via Domenico Cimarosa,cycleway,,117.27,"LINESTRING (9.1592334 45.466362, 9.159058 45.4664435, 9.158682499999999 45.4655755)",,,,,,,
31027309,31027306,0,4826605,True,,Via Domenico Cimarosa,cycleway,,116.986,"LINESTRING (9.158682499999999 45.4655755, 9.1589353 45.465521, 9.1592334 45.466362)",,,,,,,
31027309,31027344,0,"[170299626, 4826610]",False,,,cycleway,,436.168,"LINESTRING (9.158682499999999 45.4655755, 9.158584299999999 45.4653463, 9.158559 45.4652668, 9.158566199999999 45.465219, 9.158575000000001 45.4651961, 9.158650099999999 45.465126, 9.1586683 45.4651029, 9.158674299999999 45.4650787, 9.158665600000001 45.4650423, 9.1586386 45.4649647, 9.158634599999999 45.4649514, 9.1586249 45.4649355, 9.158605400000001 45.4649242, 9.1584947 45.4648826, 9.1584749 45.4648708, 9.1584611 45.464859, 9.158452199999999 45.4648459, 9.1583161 45.464422, 9.158314900000001 45.4644085, 9.1583191 45.4643955, 9.158334699999999 45.4643748, 9.1583539 45.4643605, 9.1584919 45.4643089, 9.158658900000001 45.4642559, 9.158765499999999 45.4642221, 9.158810900000001 45.4641988, 9.158837699999999 45.4641698, 9.1588511 45.4641448, 9.1588551 45.464124, 9.1589262 45.4631438, 9.1589434 45.4630498, 9.1593956 45.4621309, 9.1594228 45.4620727, 9.159445699999999 45.4620429)",,,,,,,
31027343,31027344,0,256587278,True,,,cycleway,,970.6429999999999,"LINESTRING (9.159194100000001 45.4619623, 9.1603745 45.4606597, 9.1603917 45.4606408, 9.160411099999999 45.4606266, 9.1608245 45.4603191, 9.1612493 45.460072, 9.161614699999999 45.4598798, 9.162784 45.4593492, 9.163057500000001 45.4592567, 9.163558999999999 45.4590795, 9.1635829 45.4591058, 9.1637389 45.4592854, 9.1637574 45.4593105, 9.1628636 45.4596302, 9.162216900000001 45.459865, 9.1619274 45.4600192, 9.161448999999999 45.4602754, 9.1607257 45.4607559, 9.1607053 45.46077, 9.160693 45.460783, 9.1601429 45.4613181, 9.159445699999999 45.4620429)",,,,,,,
31027344,31027343,0,256587278,True,,,cycleway,,21.572,"LINESTRING (9.159445699999999 45.4620429, 9.159194100000001 45.4619623)",,,,,,,
31027344,31027309,0,"[4826610, 170299626]",False,,,cycleway,,436.1680000000002,"LINESTRING (9.159445699999999 45.4620429, 9.1594228 45.4620727, 9.1593956 45.4621309, 9.1589434 45.4630498, 9.1589262 45.4631438, 9.1588551 45.464124, 9.1588511 45.4641448, 9.158837699999999 45.4641698, 9.158810900000001 45.4641988, 9.158765499999999 45.4642221, 9.158658900000001 45.4642559, 9.1584919 45.4643089, 9.1583539 45.4643605, 9.158334699999999 45.4643748, 9.1583191 45.4643955, 9.158314900000001 45.4644085, 9.1583161 45.464422, 9.158452199999999 45.4648459, 9.1584611 45.464859, 9.1584749 45.4648708, 9.1584947 45.4648826, 9.158605400000001 45.4649242, 9.1586249 45.4649355, 9.158634599999999 45.4649514, 9.1586386 45.4649647, 9.158665600000001 45.4650423, 9.158674299999999 45.4650787, 9.1586683 45.4651029, 9.158650099999999 45.465126, 9.158575000000001 45.4651961, 9.158566199999999 45.465219, 9.158559 45.4652668, 9.158584299999999 45.4653463, 9.158682499999999 45.4655755)",,,,,,,
101538310,5143844884,0,"[31743714, 112413059, 529556299, 305394795, 37039789, 561116050, 305394773, 561116054]",False,,"['Viale Enrico Martini', 'Corso Lodi']",cycleway,,1538.102,"LINESTRING (9.2240225 45.437999, 9.2240199 45.4381665, 9.223982299999999 45.4382117, 9.223949899999999 45.4394432, 9.2240126 45.4395159, 9.224001700000001 45.4397772, 9.2239991 45.4397919, 9.2239942 45.4398091, 9.223983199999999 45.439827, 9.2239694 45.4398431, 9.223951100000001 45.4398575, 9.2238735 45.4399069, 9.2238162 45.4399413, 9.223797100000001 45.4399596, 9.2237867 45.4399758, 9.223782399999999 45.439991, 9.2237843 45.4400041, 9.223792700000001 45.440019, 9.2238328 45.440065, 9.223879699999999 45.4401178, 9.2238828 45.4401255, 9.2238823 45.4401328, 9.2238796 45.4401415, 9.223872800000001 45.440149, 9.223863100000001 45.4401549, 9.2238454 45.4401635, 9.2237542 45.4402076, 9.222726400000001 45.4407183, 9.221226700000001 45.4414534, 9.2203508 45.4418827, 9.219385900000001 45.4423906, 9.219359000000001 45.4424112, 9.2193091 45.4424204, 9.2192253 45.4424643, 9.219124799999999 45.4425301, 9.2190595 45.4425753, 9.2189938 45.4426116, 9.217949600000001 45.4430991, 9.217896 45.4431213, 9.217873900000001 45.4431184, 9.217851700000001 45.4431161, 9.2177168 45.4431744, 9.215949800000001 45.4439755, 9.2155866 45.4441509, 9.2155062 45.4442061, 9.215393199999999 45.4442671, 9.2147054 45.4445984, 9.2146115 45.4446539, 9.214191700000001 45.444891, 9.2136844 45.4452039, 9.213138000000001 45.4455407, 9.2130946 45.4455685, 9.212793 45.4457619, 9.212484 45.4459495, 9.2112474 45.4467181, 9.2107232 45.4470374, 9.2106844 45.4470617)",yes,,,,,,
102220649,1760433212,0,36905705,False,,Piazzale Vincenzo Cuoco,cycleway,,57.816,"LINESTRING (9.2246136 45.4506217, 9.224615999999999 45.4506635, 9.2246068 45.4507458, 9.2246446 45.4508472, 9.2246405 45.4509618, 9.224572800000001 45.4509716, 9.2244715 45.4509841, 9.2243925 45.4509866)",,,,,,,
102220649,4326358299,0,47688610,False,,,footway,,15.044999999999998,"LINESTRING (9.2246136 45.4506217, 9.2246243 45.4505495, 9.2246732 45.450497)",,,,,,,
102220649,102220650,0,"[264308712, 164408657, 164408659, 315533127]",False,2,Via Monte Cimone,residential,30,368.224,"LINESTRING (9.2246136 45.4506217, 9.2246618 45.4506207, 9.224779699999999 45.4506208, 9.226093199999999 45.4506292, 9.226317999999999 45.4506306, 9.2267852 45.4506336, 9.2269024 45.4506343, 9.2270392 45.4506351, 9.2288415 45.4506445, 9.229044099999999 45.4506484, 9.229221600000001 45.4506501, 9.229333799999999 45.4506496)",,,,,,,
102220649,250510794,0,317786406,True,1,Via Monte Cimone,residential,30,17.498,"LINESTRING (9.2246136 45.4506217, 9.224543799999999 45.4506491, 9.224455499999999 45.4507292)",,,,,,,
127664642,1272557429,0,"[13759187, 111768014]",False,,Viale Omero,cycleway,,640.6499999999999,"LINESTRING (9.2242458 45.4369693, 9.224262400000001 45.4356242, 9.224262299999999 45.434849, 9.2242695 45.4345294, 9.224309099999999 45.4322971, 9.224107699999999 45.4322474, 9.2240628 45.432233, 9.2240216 45.4321815, 9.2240026 45.4321598, 9.2239644 45.4321413, 9.2238293 45.4320908, 9.223813099999999 45.4320784, 9.2237872 45.4320471, 9.223744200000001 45.4319602, 9.2237458 45.4319294, 9.2237431 45.4318983, 9.2237445 45.4318635, 9.223751200000001 45.4318324, 9.223771299999999 45.4317854, 9.2237901 45.431743, 9.2238129 45.431727, 9.2238477 45.4317092, 9.223896 45.4316884, 9.223940300000001 45.4316715, 9.2239872 45.4316593, 9.224051599999999 45.4316442, 9.224093099999999 45.4316357, 9.224138699999999 45.4316348, 9.2241924 45.4316489)",,,,,,,
127718953,1482648094,0,13762374,False,,,cycleway,,18.037,"LINESTRING (9.1887273 45.4431217, 9.1888816 45.4430009)",,,,,,,
127718953,1417001102,0,128177361,False,,Via Giovanni Spadolini,residential,30,9.156,"LINESTRING (9.1887273 45.4431217, 9.188610199999999 45.4431162)",,,,,,,
127718953,1781474341,0,13762374,False,,,cycleway,,132.85399999999998,"LINESTRING (9.1887273 45.4431217, 9.188384599999999 45.4434522, 9.188292300000001 45.443628, 9.188234400000001 45.4439716, 9.1882403 45.4442243)",,,,,,,
127718953,1271169049,0,128177361,False,,Via Giovanni Spadolini,residential,30,119.417,"LINESTRING (9.1887273 45.4431217, 9.189548 45.4431432, 9.189640300000001 45.4431456, 9.1902569 45.4431617)",,,,,,,
245484610,245484616,0,22818012,False,,,cycleway,,67.55,"LINESTRING (9.100832499999999 45.4790186, 9.1009648 45.4790386, 9.101066599999999 45.4790037, 9.101156400000001 45.4789116, 9.1012217 45.4788294, 9.101307800000001 45.4787892, 9.101403100000001 45.478793, 9.101506799999999 45.4788426)",,,,,,,
245484616,245484628,0,22818012,False,,,cycleway,,152.39600000000002,"LINESTRING (9.101506799999999 45.4788426, 9.101517299999999 45.4788807, 9.1014877 45.4789558, 9.101324699999999 45.479028, 9.1011101 45.4791002, 9.101004 45.4791356, 9.1009314 45.479213, 9.1009771 45.47931, 9.1010791 45.4793383, 9.101210500000001 45.4793088, 9.1012903 45.4792567, 9.1014277 45.4791544, 9.1016165 45.4790368, 9.1017563 45.4789943)",,,,,,,
245484616,245484610,0,22818012,False,,,cycleway,,67.55,"LINESTRING (9.101506799999999 45.4788426, 9.101403100000001 45.478793, 9.101307800000001 45.4787892, 9.1012217 45.4788294, 9.101156400000001 45.4789116, 9.101066599999999 45.4790037, 9.1009648 45.4790386, 9.100832499999999 45.4790186)",,,,,,,
