u,v,key,osmid,bridge,lanes,name,highway,maxspeed,oneway,length,geometry,access,tunnel,width
1584826214,4305610315,0,431354570,,,,cycleway,,True,1.725,"LINESTRING (9.189997699999999 45.4674473, 9.1899987 45.4674628)",,,
1773714652,254609070,0,264900318,,,Piazza Santa Giustina,residential,30,True,37.45,"LINESTRING (9.169455599999999 45.5169694, 9.1689759 45.5169481)",,,
1855655546,1449050692,0,23227334,,,Via Giuseppe Verdi,residential,,True,4.934,"LINESTRING (9.188238 45.4691553, 9.188260400000001 45.4691138)",,,
1944651134,256038169,0,276231929,,,Via Varesina,tertiary,,False,1.623,"LINESTRING (9.1412567 45.5012107, 9.1412697 45.5011993)",,,
1944651134,1481358375,0,276231930,,,Via Varesina,tertiary,,False,1.591,"LINESTRING (9.1412567 45.5012107, 9.141244 45.5012219)",,,
2562180276,136778871,0,144395352,yes,2,Via Ernesto Breda,unclassified,30,False,21.584,"LINESTRING (9.212559000000001 45.5073807, 9.2127643 45.507511)",,,
2562180276,136778869,0,144395352,yes,2,Via Ernesto Breda,unclassified,30,False,27.639,"LINESTRING (9.212559000000001 45.5073807, 9.2122692 45.5072374)",,,
2572066689,254603136,0,47985621,,,Viale Affori,residential,30,True,101.277,"LINESTRING (9.171374999999999 45.5170903, 9.1700813 45.5170018)",,,
2659364693,255507980,0,274289398,,,Via Varesina,tertiary,,False,28.253,"LINESTRING (9.147976099999999 45.4949757, 9.1477866 45.4951923)",,,
2659364693,7294905810,0,274289398,,,Via Varesina,tertiary,,False,12.341,"LINESTRING (9.147976099999999 45.4949757, 9.148058900000001 45.4948811)",,,
2659364699,1500373148,0,274289407,,,Via Varesina,tertiary,,False,84.704,"LINESTRING (9.1476278 45.4953767, 9.147066300000001 45.4960289)",,,
2659364699,1500362316,0,274289407,,,Via Varesina,tertiary,,False,15.515,"LINESTRING (9.1476278 45.4953767, 9.1477296 45.4952568)",,,
2659378091,6721542688,0,276231929,,,Via Varesina,tertiary,,False,58.665,"LINESTRING (9.1417801 45.5007517, 9.1413101 45.5011638)",,,
2659378091,3596113512,0,276231929,,,Via Varesina,tertiary,,False,102.343,"LINESTRING (9.1417801 45.5007517, 9.1425999 45.5000327)",,,
2887448440,5955578188,0,23594378,,,Via Varesina,tertiary,,False,87.958,"LINESTRING (9.1490749 45.4937072, 9.148500800000001 45.4943882)",,,
2887448440,255508199,0,23594378,,,Via Varesina,tertiary,,False,11.837,"LINESTRING (9.1490749 45.4937072, 9.1491781 45.4936291)",,,
3526193675,1584818312,0,293717175,,2,Via Giuseppe Verdi,residential,,True,10.649,"LINESTRING (9.1898988 45.4675267, 9.1899906 45.4674558)",,,
3596113512,2659378091,0,276231929,,,Via Varesina,tertiary,,False,102.343,"LINESTRING (9.1425999 45.5000327, 9.1417801 45.5007517)",,,
3596113512,3596113514,0,276231929,,,Via Varesina,tertiary,,False,29.631,"LINESTRING (9.1425999 45.5000327, 9.142837200000001 45.4998245)",,,
3596113514,3596113512,0,276231929,,,Via Varesina,tertiary,,False,29.631,"LINESTRING (9.142837200000001 45.4998245, 9.1425999 45.5000327)",,,
3596113514,1538093962,0,276231929,,,Via Varesina,tertiary,,False,8.499,"LINESTRING (9.142837200000001 45.4998245, 9.142905300000001 45.4997648)",,,
3774409800,136778873,0,14440057,,2,Via Ernesto Breda,unclassified,50,False,9.116,"LINESTRING (9.2130458 45.507746, 9.213115200000001 45.507812)",,,
