u,v,key,osmid,highway,oneway,length,geometry,bridge,name,maxspeed,service,lanes,access,width
2610975349,6958844603,0,255405180,living_street,False,5.138,"LINESTRING (-6.8348927 34.0267213, -6.8349043 34.0267665)",,Rue Porte Maoun,20,,,,
2610975349,486077546,0,324493907,living_street,False,2.941,"LINESTRING (-6.8348927 34.0267213, -6.8348847 34.0266957)",,Derb El Fassi,20,,,,8
2697105809,486077574,0,279226507,living_street,False,41.065,"LINESTRING (-6.8330957 34.0271055, -6.8327956 34.0268325)",,Rue des Consuls شارع القناصل,20,,,,
2697105809,6958844612,0,279226507,living_street,False,5.4,"LINESTRING (-6.8330957 34.0271055, -6.8331338 34.0271424)",,Rue des Consuls شارع القناصل,20,,,,
3312042370,6850964650,0,324493907,living_street,False,6.162,"LINESTRING (-6.8347365 34.0264431, -6.8347115 34.0263917)",,Derb El Fassi,20,,,,8
3312042370,896416284,0,324493907,living_street,False,5.883,"LINESTRING (-6.8347365 34.0264431, -6.8347651 34.0264904)",,Derb El Fassi,20,,,,8
3312042371,6958844594,0,324493907,living_street,False,4.865,"LINESTRING (-6.8346937 34.0263442, -6.8346789 34.0263022)",,Derb El Fassi,20,,,,8
3312042371,6850964650,0,324493907,living_street,False,5.531,"LINESTRING (-6.8346937 34.0263442, -6.8347115 34.0263917)",,Derb El Fassi,20,,,,8
3314747532,516664660,0,255400674,living_street,False,6.562,"LINESTRING (-6.8347831 34.0286402, -6.8347447 34.0285905)",,Rue des Consuls شارع القناصل,20,,,,
3314747532,6958844005,0,255400674,living_street,False,34.77,"LINESTRING (-6.8347831 34.0286402, -6.8349885 34.0289025)",,Rue des Consuls شارع القناصل,20,,,,
3314756726,486077570,0,324803741,living_street,False,12.756,"LINESTRING (-6.8342903 34.0258048, -6.8342054 34.0257142)",,Derb El Fassi,20,,,,
3314756726,896412494,0,324803741,living_street,False,35.347,"LINESTRING (-6.8342903 34.0258048, -6.8345214 34.0260585)",,Derb El Fassi,20,,,,
3314827261,6958844591,0,324493907,living_street,False,10.911,"LINESTRING (-6.8346421 34.0262194, -6.834584 34.0261339)",,Derb El Fassi,20,,,,8
3314827261,896413590,0,324493907,living_street,False,3.515,"LINESTRING (-6.8346421 34.0262194, -6.8346581 34.0262481)",,Derb El Fassi,20,,,,8
3315212021,6958844685,0,75923998,pedestrian,False,4.831,"LINESTRING (-6.8307776 34.0257734, -6.8307424 34.0258056)",,Rue du Mellah زنقة الملاح,20,,,,
3315212021,6958844686,0,75923998,pedestrian,False,7.137,"LINESTRING (-6.8307776 34.0257734, -6.8308286 34.0257251)",,Rue du Mellah زنقة الملاح,20,,,,
3315216439,2610947145,0,279226506,living_street,False,12.985,"LINESTRING (-6.8339731 34.0279277, -6.8338677 34.0278502)",,Rue des Consuls شارع القناصل,20,,,,
3315216439,6958844610,0,279226506,living_street,False,12.502,"LINESTRING (-6.8339731 34.0279277, -6.8340773 34.0279997)",,Rue des Consuls شارع القناصل,20,,,,
3315253096,896420293,0,75923998,pedestrian,False,40.083,"LINESTRING (-6.8312789 34.025389, -6.8309441 34.0256191)",,Rue du Mellah زنقة الملاح,20,,,,
4460652052,6726933041,0,264036339,primary,True,8.864,"LINESTRING (-6.8384575 34.0141203, -6.838434 34.0141976)",,Avenue Ibn Toumert شارع ابن تومرت,20,,2,,
