u,v,key,osmid,oneway,lanes,name,highway,length,geometry,bridge,maxspeed
865188643,310815657,0,72895627,False,,,path,57.404,"LINESTRING (-74.04665919999999 4.7213401, -74.04717719999999 4.7213409)",,
1062715835,1323187671,0,91495182,True,2,Diagonal 77B,tertiary,399.927,"LINESTRING (-74.1291746 4.7223693, -74.1291212 4.7223849, -74.1290595 4.7224063, -74.1285542 4.722339, -74.1282427 4.722286, -74.128067 4.7222432, -74.1278484 4.7221818, -74.12756330000001 4.7220817, -74.1275074 4.7220572, -74.12729710000001 4.7219613, -74.1272048 4.721916, -74.1270699 4.7218498, -74.1268833 4.7217454, -74.1267505 4.7216658, -74.1266049 4.7215515, -74.1265654 4.7215236, -74.126447 4.7214213, -74.12626590000001 4.7212382, -74.1260099 4.7209465)",,30
1062715835,5752390677,0,91495647,False,2,Carrera 116C,residential,196.298,"LINESTRING (-74.1291746 4.7223693, -74.12917880000001 4.7223512, -74.1293407 4.721511, -74.1294759 4.72072, -74.1294997 4.7206344)",,30
1192631861,634172928,0,"[527125385, 813921140]",False,2,"['Transversal 68A', 'Avenida de la Constitucion']",cycleway,461.67099999999994,"LINESTRING (-74.1263869 4.622179, -74.1265844 4.6236185, -74.1267285 4.6246685, -74.126724 4.6247467, -74.1265835 4.6263013)",,
3254702427,3254702428,0,319053499,False,,,cycleway,5.288,"LINESTRING (-74.08916240000001 4.5732192, -74.08920500000001 4.5732406)",,
3254702427,3254702445,0,319053499,False,,,cycleway,63.576,"LINESTRING (-74.08916240000001 4.5732192, -74.0887401 4.5728323)",,
3254702428,3254702431,0,319053499,False,,,cycleway,5.275,"LINESTRING (-74.08920500000001 4.5732406, -74.0892522 4.5732467)",,
3254702428,3254702427,0,319053499,False,,,cycleway,5.288,"LINESTRING (-74.08920500000001 4.5732406, -74.08916240000001 4.5732192)",,
3254702429,3254702430,0,319053499,False,,,cycleway,5.056,"LINESTRING (-74.0889512 4.5726467, -74.0889129 4.572622)",,
3254702429,3254702437,0,319053499,False,,,cycleway,63.736,"LINESTRING (-74.0889512 4.5726467, -74.08937109999999 4.5730383)",,
3254702430,3254702438,0,319053499,False,,,cycleway,5.066,"LINESTRING (-74.0889129 4.572622, -74.0888686 4.5726108)",,
3254702430,3254702429,0,319053499,False,,,cycleway,5.056,"LINESTRING (-74.0889129 4.572622, -74.0889512 4.5726467)",,
3254702431,3254702432,0,319053499,False,,,cycleway,5.279,"LINESTRING (-74.0892522 4.5732467, -74.08929879999999 4.5732369)",,
3254702431,3254702428,0,319053499,False,,,cycleway,5.275,"LINESTRING (-74.0892522 4.5732467, -74.08920500000001 4.5732406)",,
3254702432,3254702433,0,319053499,False,,,cycleway,5.291,"LINESTRING (-74.08929879999999 4.5732369, -74.0893396 4.5732122)",,
3254702432,3254702431,0,319053499,False,,,cycleway,5.279,"LINESTRING (-74.08929879999999 4.5732369, -74.0892522 4.5732467)",,
3254702433,3254702434,0,319053499,False,,,cycleway,5.28,"LINESTRING (-74.0893396 4.5732122, -74.08936970000001 4.5731754)",,
3254702433,3254702432,0,319053499,False,,,cycleway,5.291,"LINESTRING (-74.0893396 4.5732122, -74.08929879999999 4.5732369)",,
3254702434,3254702435,0,319053499,False,,,cycleway,5.278,"LINESTRING (-74.08936970000001 4.5731754, -74.089386 4.5731308)",,
3254702434,3254702433,0,319053499,False,,,cycleway,5.28,"LINESTRING (-74.08936970000001 4.5731754, -74.0893396 4.5732122)",,
3254702435,3254702436,0,319053499,False,,,cycleway,5.282,"LINESTRING (-74.089386 4.5731308, -74.0893865 4.5730833)",,
3254702435,3254702434,0,319053499,False,,,cycleway,5.278,"LINESTRING (-74.089386 4.5731308, -74.08936970000001 4.5731754)",,
3254702436,3254702437,0,319053499,False,,,cycleway,5.287,"LINESTRING (-74.0893865 4.5730833, -74.08937109999999 4.5730383)",,
3254702436,3254702435,0,319053499,False,,,cycleway,5.282,"LINESTRING (-74.0893865 4.5730833, -74.089386 4.5731308)",,
3254702437,3254702429,0,319053499,False,,,cycleway,63.736,"LINESTRING (-74.08937109999999 4.5730383, -74.0889512 4.5726467)",,
3254702437,3254702436,0,319053499,False,,,cycleway,5.287,"LINESTRING (-74.08937109999999 4.5730383, -74.0893865 4.5730833)",,
3254702438,3254702439,0,319053499,False,,,cycleway,5.068,"LINESTRING (-74.0888686 4.5726108, -74.088823 4.5726142)",,
3254702438,3254702430,0,319053499,False,,,cycleway,5.066,"LINESTRING (-74.0888686 4.5726108, -74.0889129 4.572622)",,
3254702439,3254702440,0,319053499,False,,,cycleway,5.06,"LINESTRING (-74.088823 4.5726142, -74.0887809 4.5726318)",,
3254702439,3254702438,0,319053499,False,,,cycleway,5.068,"LINESTRING (-74.088823 4.5726142, -74.0888686 4.5726108)",,
3254702440,3254702441,0,319053499,False,,,cycleway,5.073,"LINESTRING (-74.0887809 4.5726318, -74.08874659999999 4.572662)",,
3254702440,3254702439,0,319053499,False,,,cycleway,5.06,"LINESTRING (-74.0887809 4.5726318, -74.088823 4.5726142)",,
3254702441,3254702442,0,319053499,False,,,cycleway,5.058,"LINESTRING (-74.08874659999999 4.572662, -74.0887238 4.5727014)",,
3254702441,3254702440,0,319053499,False,,,cycleway,5.073,"LINESTRING (-74.08874659999999 4.572662, -74.0887809 4.5726318)",,
3254702442,3254702443,0,319053499,False,,,cycleway,5.072,"LINESTRING (-74.0887238 4.5727014, -74.0887147 4.5727461)",,
3254702442,3254702441,0,319053499,False,,,cycleway,5.058,"LINESTRING (-74.0887238 4.5727014, -74.08874659999999 4.572662)",,
3254702443,3254702444,0,319053499,False,,,cycleway,5.064,"LINESTRING (-74.0887147 4.5727461, -74.08872030000001 4.5727913)",,
3254702443,3254702442,0,319053499,False,,,cycleway,5.072,"LINESTRING (-74.0887147 4.5727461, -74.0887238 4.5727014)",,
3254702444,3254702445,0,319053499,False,,,cycleway,5.06,"LINESTRING (-74.08872030000001 4.5727913, -74.0887401 4.5728323)",,
3254702444,3254702443,0,319053499,False,,,cycleway,5.064,"LINESTRING (-74.08872030000001 4.5727913, -74.0887147 4.5727461)",,
3254702445,3254702427,0,319053499,False,,,cycleway,63.576,"LINESTRING (-74.0887401 4.5728323, -74.08916240000001 4.5732192)",,
3254702445,3254702444,0,319053499,False,,,cycleway,5.06,"LINESTRING (-74.0887401 4.5728323, -74.08872030000001 4.5727913)",,
3850741726,4789281697,0,"[678005121, 90657798, 312441777, 90657809, 90657811]",False,2,Calle 59,"['residential', 'cycleway']",698.0999999999998,"LINESTRING (-74.0806857 4.6524278, -74.0806936 4.6523695, -74.0807228 4.6521551, -74.0807756 4.651738, -74.0808351 4.6511872, -74.08097480000001 4.6499581, -74.081292 4.6500238, -74.08131469999999 4.6500296, -74.0818254 4.6501573, -74.0822842 4.6503081, -74.0823805 4.6503469, -74.0829536 4.6505816, -74.0829979 4.6506052, -74.08308959999999 4.6506439, -74.0831762 4.6506806, -74.0838554 4.65095, -74.08438769999999 4.6511727, -74.084436 4.6511996, -74.08453729999999 4.6512561)",,
3925624308,3925624332,0,389396351,False,2,Carrera 119,residential,177.87300000000002,"LINESTRING (-74.130578 4.7240793, -74.1305838 4.7239835, -74.1305929 4.7238965, -74.1306312 4.7236619, -74.130653 4.723458, -74.1307005 4.7225731, -74.1307049 4.7224859)",,30
3925624332,3925624308,0,389396351,False,2,Carrera 119,residential,177.873,"LINESTRING (-74.1307049 4.7224859, -74.1307005 4.7225731, -74.130653 4.723458, -74.1306312 4.7236619, -74.1305929 4.7238965, -74.1305838 4.7239835, -74.130578 4.7240793)",,30
3925624332,5184892528,0,389396351,False,2,Carrera 119,residential,202.804,"LINESTRING (-74.1307049 4.7224859, -74.1307071 4.7224417, -74.1307655 4.7215485, -74.13079140000001 4.7207685, -74.1307764 4.7206655)",,30
3925624332,1062715835,0,606813958,True,2,Calle 77B,tertiary,171.23500000000004,"LINESTRING (-74.1307049 4.7224859, -74.1300227 4.7224582, -74.1299004 4.7224534, -74.1292955 4.722425, -74.1292392 4.7223889, -74.1291746 4.7223693)",,30
