u,v,key,osmid,oneway,lanes,name,highway,length,geometry,maxspeed,bridge,access,width,tunnel,area,junction,service
261029489,261029401,0,827168974,True,2,Avenida Calle 26,primary,86.85,"LINESTRING (-74.1139081 4.6693846, -74.1137506 4.6691412, -74.1134753 4.6687335)",30,,,,,,,
261029889,326080041,0,77330382,True,2,Carrera 82,tertiary,60.399,"LINESTRING (-74.12272830000001 4.6692388, -74.123122 4.6688632)",30,,,,,,,
261029889,330071393,0,656242036,True,2,Avenida Calle 24,secondary,475.625,"LINESTRING (-74.12272830000001 4.6692388, -74.12198410000001 4.6684031, -74.1218327 4.6682331, -74.1213272 4.6676654, -74.1208785 4.6671615, -74.12072980000001 4.6669965, -74.12060750000001 4.6668607, -74.119873 4.6660455)",30,,,,,,,
261029977,310388397,0,"[529186350, 392536678, 529186351]",True,2,Avenida Calle 24,secondary,396.907,"LINESTRING (-74.1163578 4.6622114, -74.1163997 4.6622585, -74.1167456 4.6626479, -74.1172081 4.663186, -74.1172969 4.663291, -74.11754620000001 4.6635791, -74.1179769 4.6640547, -74.1181642 4.664266, -74.1183444 4.6644602, -74.1187204 4.6648936)",30,yes,,,,,,
261029999,261030006,0,24061714,True,2,Carrera 71,primary_link,136.18099999999998,"LINESTRING (-74.11461610000001 4.6602427, -74.11466160000001 4.6603531, -74.1146775 4.66041, -74.1146847 4.6604602, -74.1146853 4.6605106, -74.11467740000001 4.6605559, -74.11465939999999 4.6605975, -74.1146378 4.6606318, -74.1145954 4.660683, -74.114223 4.661133, -74.1141923 4.6611787, -74.11416730000001 4.6612298, -74.11415479999999 4.6612801)",30,,,,,,,
261030130,5793228631,0,24152218,True,3,Avenida Calle 17,primary,328.173,"LINESTRING (-74.1273698 4.6501684, -74.12741 4.6502179, -74.1280041 4.6509421, -74.1282813 4.6512686, -74.1286356 4.6516445, -74.1289567 4.6519851, -74.12932790000001 4.6523803)",30,,,,,,,
261040748,6015685198,0,90073596,False,2,Carrera 69B,residential,12.158,"LINESTRING (-74.12891190000001 4.6293548, -74.12892170000001 4.6292459)",30,,,,,,,
261040804,1194201794,0,675991800,True,1,Calle 6,tertiary,41.609,"LINESTRING (-74.12819469999999 4.6297416, -74.12837740000001 4.6298949, -74.1284824 4.629982)",30,,,,,,,
261041037,310334143,0,90067369,True,3,Avenida Calle 26 Sur,primary,355.40500000000003,"LINESTRING (-74.1389241 4.6181046, -74.13832360000001 4.617377, -74.1380121 4.6170125, -74.13746260000001 4.6163573, -74.1371998 4.6160425, -74.1371705 4.6160074, -74.1368829 4.6156399)",30,,,,,,,
261041116,261028762,0,42274302,True,3,Transversal 60,primary,61.338,"LINESTRING (-74.1452496 4.5938263, -74.1452444 4.5943779)",30,,,,,,,
261041256,318004358,0,763952212,False,2,Calle 57 Sur,residential,143.22,"LINESTRING (-74.1368607 4.5674225, -74.13680410000001 4.5673789, -74.13583869999999 4.5666344)",30,,,,,,,
261041300,308858099,0,41925668,False,2,Calle 48C Sur,tertiary,103.984,"LINESTRING (-74.1289766 4.5708036, -74.12905379999999 4.57109, -74.1290754 4.57117, -74.1291982 4.5716253, -74.1292201 4.5717067)",30,,,,,,,
261137444,310769852,0,90048107,False,2,Calle 32 Sur,residential,155.284,"LINESTRING (-74.1306124 4.6063724, -74.1305744 4.6063469, -74.1294494 4.6055937)",30,,,,,,,
261137444,310967769,0,90048234,True,2,Avenida Carrera 68,primary,50.597,"LINESTRING (-74.1306124 4.6063724, -74.1304651 4.6065801, -74.13034949999999 4.6067444)",30,,,,,,,
