u,v,key,osmid,highway,oneway,length,geometry,name,bridge,lanes,width,maxspeed,tunnel,area,access
388303804,1862320737,0,175665760,path,False,32.08,"LINESTRING (-74.08263959999999 4.6367896, -74.08289910000001 4.6366618)",,,,,,,,
388303804,2351676430,0,33890844,path,False,51.351000000000006,"LINESTRING (-74.08263959999999 4.6367896, -74.0825852 4.6368942, -74.0826062 4.6369893, -74.0826407 4.6371456, -74.0826769 4.6372243)",,,,,,,,
388303804,2348766566,0,33890844,path,False,59.163,"LINESTRING (-74.08263959999999 4.6367896, -74.0827239 4.6364533, -74.082769 4.6362734)",,,,,,,,
388303919,2008616837,0,33890864,path,False,31.125,"LINESTRING (-74.0827451 4.6376176, -74.0827888 4.6375987, -74.0829928 4.6377113)",,,,3,,,,
388303919,2217933836,0,226318988,path,False,78.27199999999999,"LINESTRING (-74.0827451 4.6376176, -74.0828319 4.6377835, -74.0829561 4.6380205, -74.0829937 4.6380928, -74.0830661 4.6381472, -74.0831283 4.6381939)",,,,,,,,
388303919,2351676448,0,226318988,path,False,21.035,"LINESTRING (-74.0827451 4.6376176, -74.0826945 4.6375276, -74.08267600000001 4.6374889, -74.08265729999999 4.63745)",,,,,,,,
477960361,479274035,0,89986625,cycleway,False,215.125,"LINESTRING (-74.0657135 4.7000724, -74.0654303 4.6993013, -74.0654266 4.6992907, -74.06531560000001 4.6990586, -74.06520930000001 4.6987749, -74.0651044 4.6985014, -74.0650641 4.6982551)",,,,,,,,
479274034,2112703942,0,720331626,cycleway,False,123.322,"LINESTRING (-74.0663524 4.7015036, -74.06633890000001 4.7014545, -74.0663344 4.7014384, -74.0662986 4.7013005, -74.0662884 4.7012613, -74.0660862 4.7006764, -74.0660689 4.7006263, -74.0659995 4.7004527)",,,,,,,,
479274035,477960361,0,89986625,cycleway,False,215.125,"LINESTRING (-74.0650641 4.6982551, -74.0651044 4.6985014, -74.06520930000001 4.6987749, -74.06531560000001 4.6990586, -74.0654266 4.6992907, -74.0654303 4.6993013, -74.0657135 4.7000724)",,,,,,,,
493076941,261187773,0,"[713450032, 90708793, 58403715]",cycleway,False,734.2880000000001,"LINESTRING (-74.07085859999999 4.6834225, -74.0713322 4.6837705, -74.0717636 4.6839268, -74.0720298 4.6840233, -74.07270579999999 4.6842383, -74.0745914 4.6848347, -74.0749868 4.6848421, -74.076063 4.6849083, -74.0763875 4.6849618, -74.0765404 4.6849992, -74.0766745 4.6851436, -74.0767657 4.6852612, -74.0769203 4.6854546, -74.076953 4.6854955)",Calle 90,,,,,,,
535624370,535624373,0,24265811,footway,False,44.294000000000004,"LINESTRING (-74.0798556 4.6344043, -74.07984879999999 4.6344589, -74.0798063 4.6347996)",,,,,,,,
535624373,2332954968,0,224470300,footway,False,14.479,"LINESTRING (-74.0798063 4.6347996, -74.07967910000001 4.6347699)",,,,,,,,
535624373,1909300689,0,24265811,footway,False,62.121,"LINESTRING (-74.0798063 4.6347996, -74.07976739999999 4.6351166, -74.07973800000001 4.6353541)",,,,,,,,
535624373,535624370,0,24265811,footway,False,44.294000000000004,"LINESTRING (-74.0798063 4.6347996, -74.07984879999999 4.6344589, -74.0798556 4.6344043)",,,,,,,,
535624373,1052099458,0,224470300,footway,False,62.333,"LINESTRING (-74.0798063 4.6347996, -74.0802424 4.6349028, -74.0803535 4.6349291)",,,,,,,,
573227072,3992274781,0,"[89527305, 58947962]",cycleway,False,817.319,"LINESTRING (-74.05454 4.6769828, -74.05239450000001 4.6758813, -74.051444 4.6753843, -74.0508991 4.6750994, -74.05027389999999 4.6747725, -74.0494954 4.6743739, -74.0481861 4.6736875, -74.0481348 4.673635, -74.0480869 4.6736032, -74.0480156 4.6735648)",,,,,,,,
599389286,599389290,0,46973497,cycleway,False,255.83299999999997,"LINESTRING (-74.03701049999999 4.6949203, -74.03695949999999 4.6949068, -74.0358725 4.6946193, -74.0353923 4.6944745, -74.03479470000001 4.6942776)",,,,,,,,
599389290,255338703,0,59278388,cycleway,False,28.385,"LINESTRING (-74.03479470000001 4.6942776, -74.0348771 4.6940359)",,,,,,,,
599389290,735028242,0,59278388,cycleway,False,26.951,"LINESTRING (-74.03479470000001 4.6942776, -74.0347165 4.6945071)",,,,,,,,
599389290,599389286,0,46973497,cycleway,False,255.83300000000003,"LINESTRING (-74.03479470000001 4.6942776, -74.0353923 4.6944745, -74.0358725 4.6946193, -74.03695949999999 4.6949068, -74.03701049999999 4.6949203)",,,,,,,,
599736811,880829627,0,47009071,footway,False,148.171,"LINESTRING (-74.10838029999999 4.59725, -74.10854089999999 4.5969677, -74.10856320000001 4.5969815, -74.1084577 4.5972072, -74.10912639999999 4.5975118)",,yes,,,,,,
612580476,5233512909,0,541116574,primary,True,2234.1449999999995,"LINESTRING (-74.1069579 4.671397, -74.1069906 4.6713646, -74.1071615 4.6711956, -74.1072152 4.6711404, -74.10734619999999 4.6710076, -74.10779239999999 4.6705512, -74.1080147 4.6703183, -74.1087825 4.6695475, -74.1090986 4.6692224, -74.10965400000001 4.6686768, -74.1103287 4.6680064, -74.1108861 4.6674354, -74.1111281 4.6671872, -74.11130540000001 4.6670266, -74.1114479 4.6669069, -74.11151700000001 4.6668436, -74.1116012 4.6667612, -74.1119746 4.6663525, -74.112043 4.6662808, -74.112143 4.6661759, -74.11228269999999 4.6660294, -74.112371 4.665924, -74.11249479999999 4.6657741, -74.1127369 4.6654725, -74.11289189999999 4.6652886, -74.1130491 4.6651002, -74.1135714 4.664465, -74.1138752 4.6641148, -74.11428739999999 4.663648, -74.1147137 4.6631681, -74.1149855 4.662863, -74.11521740000001 4.6625978, -74.11542710000001 4.6623645, -74.11582319999999 4.6618684, -74.11586699999999 4.6618208, -74.1160734 4.6615836, -74.11613939999999 4.6615085, -74.11633310000001 4.6613053, -74.1165036 4.6611092, -74.1167569 4.6608068, -74.1174218 4.6600148, -74.1175676 4.6598504, -74.1177218 4.6596764, -74.1181509 4.6591859, -74.11870500000001 4.6585799, -74.1189052 4.6583544, -74.1191568 4.658071, -74.1197581 4.6573658, -74.1204802 4.6565171)",Avenida Carrera 72,,2,,30,,,
634211943,874025117,0,625599212,footway,False,20.402,"LINESTRING (-74.1544425 4.6563225, -74.15457189999999 4.656192)",Alameda el Porvenir,,,,,,,
668104338,2477227981,0,52598275,path,False,208.99999999999997,"LINESTRING (-74.08452990000001 4.6357873, -74.084868 4.6364391, -74.0850173 4.6367932, -74.0850626 4.6369818, -74.0850137 4.6371109, -74.08497850000001 4.6372037, -74.0849437 4.6372889, -74.08485349999999 4.6375099)",,,,3,,,,
668104341,2477227981,0,52598275,path,False,14.207,"LINESTRING (-74.0848084 4.6376295, -74.08485349999999 4.6375099)",,,,3,,,,
668104341,262713857,0,239949227,path,False,15.363,"LINESTRING (-74.0848084 4.6376295, -74.0846756 4.6375899)",,,,,,,,
