u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,access,bridge,junction,area,service,width,tunnel
332385645,333100227,0,524473015,False,2,Carrera 52,tertiary,30,228.222,"LINESTRING (-74.1231427 4.6082384, -74.1230127 4.6082994, -74.1227641 4.608417, -74.1220972 4.6087328, -74.12128250000001 4.6091185)",,,,,,,
332385646,333100114,0,"[90033025, 30223789]",False,2,"['Carrera 52A', 'Diagonal 16 Sur']",residential,30,165.206,"LINESTRING (-74.1208252 4.6093349, -74.12124540000001 4.610222, -74.1217031 4.6100061)",,,,,,,
332385646,317805233,0,30223789,False,2,Diagonal 16 Sur,residential,30,263.38800000000003,"LINESTRING (-74.1208252 4.6093349, -74.12026969999999 4.6081489, -74.1198589 4.6072571, -74.1198437 4.6072193, -74.1198462 4.6071816)",,,,,,,
332385646,333100227,0,524473015,False,2,Carrera 52,tertiary,30,56.107,"LINESTRING (-74.1208252 4.6093349, -74.1212405 4.6091384, -74.12128250000001 4.6091185)",,,,,,,
332385646,2045403978,0,"[449874044, 89993566, 524473015]",False,2,"['Transversal 52', 'Carrera 52']",tertiary,30,54.866,"LINESTRING (-74.1208252 4.6093349, -74.1207881 4.6093525, -74.1206864 4.6094007, -74.1204931 4.609496, -74.12037890000001 4.6095483)",,yes,,,,,
332387251,332387252,0,375276755,True,2,Diagonal 16 Sur,tertiary,30,86.132,"LINESTRING (-74.1196593 4.6069956, -74.1193378 4.6062904)",,,,,,,
332387251,2333064963,0,"[636181144, 636181153, 89993318]",False,2,Carrera 51,tertiary,30,53.001999999999995,"LINESTRING (-74.1196593 4.6069956, -74.11963830000001 4.607022, -74.1196023 4.6070673, -74.1194124 4.607288, -74.11935769999999 4.6073651)",,yes,,,,,
332387252,5999480427,0,90033617,True,3,Avenida Carrera 50,secondary,30,424.26699999999994,"LINESTRING (-74.1193378 4.6062904, -74.11980200000001 4.6054243, -74.12012249999999 4.6048263, -74.1204371 4.6042337, -74.1207485 4.6036468, -74.1209131 4.6033784, -74.1210426 4.6032405, -74.12115679999999 4.6031596, -74.1211864 4.6031428, -74.12131220000001 4.6030717)",,,,,,,
332387252,332154971,0,"[30162979, 639816471]",True,2,Diagonal 16 Sur,tertiary,30,352.14000000000004,"LINESTRING (-74.1193378 4.6062904, -74.1192722 4.606139, -74.1191402 4.6058311, -74.1186702 4.6048028, -74.11861519999999 4.6046885, -74.1183461 4.6041261, -74.118332 4.6040966, -74.11825519999999 4.6039359, -74.1182209 4.6038657, -74.11813549999999 4.6037227, -74.1179545 4.6034439)",,,,,,,
332573818,4071963557,0,537967903,False,4,Calle 12,tertiary,30,74.887,"LINESTRING (-74.1036654 4.6215176, -74.1031656 4.6210644)",,,,,,,
