u,v,key,osmid,highway,oneway,length,geometry,bridge,name,width,lanes,access,tunnel,area
281847924,266549864,0,25840544,cycleway,False,163.477,"LINESTRING (-74.10724519999999 4.6505069, -74.1075754 4.650913, -74.1076245 4.6509936, -74.10763059999999 4.6510913, -74.10761220000001 4.6511853, -74.1075555 4.6512817, -74.1071955 4.6516956)",yes,,,,,,
308859171,634211905,0,49903175,cycleway,False,884.1350000000002,"LINESTRING (-74.1559855 4.6578528, -74.15609980000001 4.6577401, -74.1556786 4.6573134, -74.15457189999999 4.656192, -74.1552569 4.6554599, -74.1554373 4.6552222, -74.1556131 4.6550125, -74.1559159 4.6547471, -74.1567352 4.6539189, -74.15675419999999 4.6538997, -74.1577013 4.6529111, -74.158203 4.6524271, -74.158582 4.6523214)",,Alameda el Porvenir,,,,,
309292598,988497485,0,85244622,cycleway,False,334.45099999999996,"LINESTRING (-74.0693334 4.697077, -74.0694699 4.6974753, -74.0695079 4.6975861, -74.0696708 4.6981571, -74.06971179999999 4.6982417, -74.0697663 4.6983582, -74.0698572 4.6985537, -74.0700839 4.6992597, -74.0701985 4.6996725, -74.07022480000001 4.6997676, -74.0702405 4.6998245, -74.07026999999999 4.6999315)",,,,,,,
309301456,309301464,0,28160296,cycleway,False,422.37499999999994,"LINESTRING (-74.199765 4.6283731, -74.20017249999999 4.6292627, -74.2005893 4.6301727, -74.20082789999999 4.6306938, -74.2009929 4.6310641, -74.20128800000001 4.6317321, -74.2013359 4.6318338)",,Calle 70A Sur,,,,,
309301464,2984872060,0,28160296,cycleway,False,440.534,"LINESTRING (-74.2013359 4.6318338, -74.2013606 4.6318889, -74.2017257 4.6327052, -74.20216000000001 4.6336761, -74.2025434 4.6345331, -74.2029546 4.6354522)",,Calle 70A Sur,,,,,
309301464,309301456,0,28160296,cycleway,False,422.375,"LINESTRING (-74.2013359 4.6318338, -74.20128800000001 4.6317321, -74.2009929 4.6310641, -74.20082789999999 4.6306938, -74.2005893 4.6301727, -74.20017249999999 4.6292627, -74.199765 4.6283731)",,Calle 70A Sur,,,,,
309301464,4322123269,0,"[655779296, 653691185, 653691184]",cycleway,False,369.63699999999994,"LINESTRING (-74.2013359 4.6318338, -74.2012701 4.6318604, -74.2011651 4.631903, -74.2005066 4.6321688, -74.2004261 4.6322, -74.20024410000001 4.6322706, -74.19982520000001 4.6324574, -74.1995998 4.6325571, -74.19940939999999 4.6326395, -74.19900610000001 4.6327914, -74.1982383 4.6330621)",yes,Alameda el Porvenir,,,,,
309301464,5324611732,0,655779296,cycleway,False,703.086,"LINESTRING (-74.2013359 4.6318338, -74.2014612 4.6317832, -74.2020339 4.6315617, -74.2025629 4.6313495, -74.2034621 4.6309628, -74.2037119 4.6308583, -74.2041814 4.6306635, -74.2061152 4.6297982, -74.2064116 4.629667, -74.2065415 4.6296095, -74.2067753 4.6295357, -74.207171 4.6293586)",,Alameda el Porvenir,,,,,
310348561,797226737,0,51727343,cycleway,False,120.78,"LINESTRING (-74.0497007 4.7188868, -74.0497329 4.7188372, -74.0497629 4.718826, -74.0497955 4.7188255, -74.0505965 4.7189257, -74.0506639 4.7189531, -74.0507485 4.7189679)",,,,,,,
310492577,6514091785,0,693813001,cycleway,False,10.582,"LINESTRING (-74.10751399999999 4.6510012, -74.1074551 4.6510761)",,,,,,,
311257167,724113224,0,"[745960624, 59923068]",cycleway,False,1294.334,"LINESTRING (-74.06843240000001 4.674918, -74.0684696 4.6749407, -74.0685553 4.6749932, -74.0688451 4.6751889, -74.0688779 4.6752101, -74.06955309999999 4.6756487, -74.07125019999999 4.6767272, -74.0725814 4.6775842, -74.07393260000001 4.6784706, -74.0740352 4.6785451, -74.0742745 4.678718, -74.0746604 4.6789967, -74.0749819 4.6792474, -74.075163 4.6794002, -74.0753124 4.6795507, -74.07576950000001 4.6801028, -74.0760392 4.6804503, -74.0761191 4.6805436, -74.0764241 4.6809199, -74.07675 4.6813334, -74.0769866 4.6816237, -74.0772676 4.6819678, -74.0774254 4.682164)",,,,,,,
311436326,870909111,0,73490760,cycleway,False,233.615,"LINESTRING (-74.03769629999999 4.6905854, -74.03704310000001 4.6909255, -74.03643270000001 4.6914491, -74.0362406 4.6915921, -74.0359551 4.6917488)",,,,,,,
311450090,479274035,0,39859229,cycleway,False,14.745,"LINESTRING (-74.0650627 4.6981225, -74.0650641 4.6982551)",,,,,,,
312410292,865003158,0,30090927,cycleway,False,935.8199999999998,"LINESTRING (-74.0374123 4.7491474, -74.03776499999999 4.7492075, -74.0381095 4.7492885, -74.0396537 4.7496764, -74.0397705 4.749711, -74.0399884 4.7497737, -74.04195679999999 4.7502509, -74.04280060000001 4.7504458, -74.0428726 4.7504625, -74.0429658 4.750484, -74.043685 4.7506458, -74.0444135 4.7508217, -74.0449828 4.751112, -74.04518299999999 4.7512053, -74.0455412 4.7513408)",,,,,,,
312410292,4109041172,0,178089051,cycleway,False,20.269,"LINESTRING (-74.0374123 4.7491474, -74.0374121 4.7492562, -74.03743799999999 4.749325)",,,,,,,
312410292,493768858,0,178089051,cycleway,False,1085.8059999999998,"LINESTRING (-74.0374123 4.7491474, -74.0374188 4.749017, -74.03738009999999 4.7489117, -74.03727840000001 4.7483897, -74.0370398 4.7471013, -74.0368678 4.7463008, -74.0367205 4.7456151, -74.03660790000001 4.7451286, -74.0365145 4.7446934, -74.0364666 4.7444703, -74.0364094 4.7442038, -74.0363637 4.7438777, -74.0363395 4.7434834, -74.0363487 4.7427898, -74.036402 4.7424748, -74.03647119999999 4.7421528, -74.03656700000001 4.7418283, -74.03684389999999 4.740793, -74.0372062 4.7396078)",,,,,,,
316161062,6645295160,0,707126666,cycleway,False,226.627,"LINESTRING (-74.0959537 4.5850507, -74.09598870000001 4.585089, -74.0973307 4.5865573)",,,,,,,
321702411,321702412,0,29251741,cycleway,False,22.739,"LINESTRING (-74.05501889999999 4.7326289, -74.0550533 4.7324273)",,,,,,,
321702411,5143953511,0,29251741,cycleway,False,5.173,"LINESTRING (-74.05501889999999 4.7326289, -74.0549984 4.7326707)",,,,,,,
321702412,5143953516,0,29251741,cycleway,False,5.17,"LINESTRING (-74.0550533 4.7324273, -74.0550594 4.7323812)",,,,,,,
321702412,321702411,0,29251741,cycleway,False,22.739,"LINESTRING (-74.0550533 4.7324273, -74.05501889999999 4.7326289)",,,,,,,
321702413,5143953515,0,29251741,cycleway,False,5.169,"LINESTRING (-74.0550507 4.7323355, -74.0550278 4.732295)",,,,,,,
321702413,5143953516,0,29251741,cycleway,False,5.172,"LINESTRING (-74.0550507 4.7323355, -74.0550594 4.7323812)",,,,,,,
321702414,321702415,0,29251741,cycleway,False,5.165,"LINESTRING (-74.0549506 4.732245, -74.0549042 4.7322406)",,,,,,,
321702414,5143953514,0,29251741,cycleway,False,5.169,"LINESTRING (-74.0549506 4.732245, -74.05499330000001 4.7322637)",,,,,,,
321702415,5143953513,0,29251741,cycleway,False,5.167,"LINESTRING (-74.0549042 4.7322406, -74.05485880000001 4.7322512)",,,,,,,
321702415,321702414,0,29251741,cycleway,False,5.165,"LINESTRING (-74.0549042 4.7322406, -74.0549506 4.732245)",,,,,,,
321702416,5143953512,0,29251741,cycleway,False,5.435,"LINESTRING (-74.0548172 4.7322771, -74.0547866 4.7323153)",,,,,,,
321702416,5143953513,0,29251741,cycleway,False,5.436,"LINESTRING (-74.0548172 4.7322771, -74.05485880000001 4.7322512)",,,,,,,
