u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,bridge,width,access,tunnel,junction,lanes,est_width,service,ref,area,landuse
1916930735,3803531125,0,76823259,,cycleway,,False,9.732,"LINESTRING (4.954667 52.3544747, 4.9545486 52.3544254)",,,,,,,,,,,
1920269480,73707924,0,181615856,,cycleway,,False,11.428,"LINESTRING (4.9538403 52.3104969, 4.9539943 52.3105381)",,,,,,,,,,,
1921785443,46143368,0,33574309,Hoekenrodepad,cycleway,,False,130.18,"LINESTRING (4.9479647 52.3138829, 4.9478926 52.3139619, 4.9470215 52.3149018)",,,,,,,,,,,
1922649899,1922649900,0,181927164,Tafelbergweg,cycleway,,False,18.577,"LINESTRING (4.9665431 52.2907624, 4.9662971 52.2906898)",,,,,,,,,,,
1922649899,1922649903,0,181927165,Tafelbergweg,cycleway,,True,13.136,"LINESTRING (4.9665431 52.2907624, 4.9667108 52.290821)",,,,,,,,,,,
1922649900,1922649899,0,181927164,Tafelbergweg,cycleway,,False,18.577,"LINESTRING (4.9662971 52.2906898, 4.9665431 52.2907624)",,,,,,,,,,,
1922649901,1922649903,0,181927162,Tafelbergweg,cycleway,,False,15.699,"LINESTRING (4.9669192 52.2908817, 4.9667108 52.290821)",,,,,,,,,,,
1922649901,71295445,0,181927166,Tafelbergweg,cycleway,,True,27.067,"LINESTRING (4.9669192 52.2908817, 4.9671353 52.290989, 4.9672286 52.2910348)",,,,,,,,,,,
1922649903,1922649901,0,181927162,Tafelbergweg,cycleway,,False,15.699,"LINESTRING (4.9667108 52.290821, 4.9669192 52.2908817)",,,,,,,,,,,
1928803504,943802479,0,115842927,,cycleway,,True,3.308,"LINESTRING (4.903408 52.3678205, 4.9034509 52.3678064)",,2.10,,,,,,,,,
1928803504,687718526,0,312901771,,cycleway,,False,27.623000000000005,"LINESTRING (4.903408 52.3678205, 4.9034001 52.3678429, 4.9033838 52.367889, 4.9033622 52.3679542, 4.9033574 52.3679659, 4.9033528 52.3679767, 4.903345 52.3679985, 4.9033337 52.3680304, 4.9033221 52.3680633)",,4.00,,,,,,,,,
1937919101,363887775,0,"[45040416, 46257568, 118900429, 118900431, 45040413]",,cycleway,,True,378.05899999999997,"LINESTRING (4.8271487 52.3549343, 4.8271439 52.3547593, 4.8271596 52.3546776, 4.8271664 52.3546109, 4.8272083 52.3541889, 4.8272312 52.353851, 4.8272367 52.353548, 4.8272375 52.3531445, 4.8272383 52.3527069, 4.8272419 52.3525509, 4.8272226 52.3523137, 4.8272098 52.3520558, 4.8272067 52.3520228, 4.8272182 52.3516353, 4.8272108 52.3515971, 4.8271667 52.3515433)",yes,1.90,,,,,,,,,
1937919101,371228893,0,91428601,,cycleway,,False,27.54,"LINESTRING (4.8271487 52.3549343, 4.8272347 52.3549361, 4.8273565 52.3549385, 4.8274605 52.3549406, 4.827554 52.3549424)",,2.90,,,,,,,,,
1939597774,73752562,0,46922680,,cycleway,,False,395.315,"LINESTRING (4.9103471 52.3185672, 4.9106552 52.3185305, 4.911488 52.3184717, 4.9121634 52.3184275, 4.9123177 52.3184082, 4.9123791 52.3184066, 4.9124313 52.3184393, 4.91349 52.319666, 4.9141582 52.3204332)",,2.00,,,,,,,,,
1939968791,4974194643,0,293929718,,cycleway,,False,3.987,"LINESTRING (4.9094559 52.3975291, 4.9094068 52.3975488)",,2.10,,,,,,,,,
1939968791,1895629333,0,"[37994266, 293929716]",,cycleway,,True,399.613,"LINESTRING (4.9094559 52.3975291, 4.9101176 52.3972787, 4.9103409 52.3971556, 4.9104647 52.3970434, 4.9106416 52.3968397, 4.9119499 52.3945536, 4.9120266 52.3944134)",,"['1.80', '2.10']",,,,,,,,,
1946093470,286684731,0,762535244,,cycleway,,False,4.517,"LINESTRING (4.9115614 52.4017814, 4.9115007 52.4017981)",,,,,,,,,,,
1946093481,4766624972,0,184165470,,cycleway,,False,21.281,"LINESTRING (4.9112095 52.4005525, 4.9112231 52.4003613)",,2.00,,,,,,,,,
1946093481,286684734,0,304442600,,cycleway,,False,25.902,"LINESTRING (4.9112095 52.4005525, 4.9112269 52.4007852)",,4.50,,,,,,,,,
