u,v,key,osmid,oneway,name,highway,length,geometry,bridge,tunnel,service,maxspeed,lanes,ref
7051029162,4896261299,0,498140285,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,41.084,"LINESTRING (101.5773596 3.0824971, 101.577729 3.0825183)",,,,,,
7051029163,4896261298,0,498140285,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,27.91,"LINESTRING (101.5780073 3.082552, 101.5782576 3.0825751)",,,,,,
7051029165,4562918053,0,460664696,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,23.183,"LINESTRING (101.5777431 3.0820029, 101.5775391 3.0820473)",,,,,,
7051029166,4562918050,0,460664696,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,43.375,"LINESTRING (101.5767628 3.0820793, 101.5763723 3.0820687)",,,,,,
7185199782,4081079380,0,769751587,False,,cycleway,4.477,"LINESTRING (101.55651 3.0624312, 101.5565503 3.0624324)",,,,,,
7185279088,7185279089,0,769751584,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,36.115,"LINESTRING (101.5557392 3.0743008, 101.5554184 3.0742472)",,yes,,,,
7185279089,4562907265,0,769751585,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,16.291,"LINESTRING (101.5554184 3.0742472, 101.5552737 3.074223)",,,,,,
7259294944,4896261292,0,498140285,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,10.437,"LINESTRING (101.5791089 3.0830594, 101.5791642 3.0831353)",,,,,,
7757615093,4562907269,0,27277796,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,89.931,"LINESTRING (101.5649501 3.0777672, 101.5641897 3.0774887)",,,,,,
5735502246,6183107338,0,612940713,False,,pedestrian,3.401,"LINESTRING (101.5113089 3.0824133, 101.5113223 3.0823858)",,,,,,
5735502246,6183107337,0,612940713,False,,pedestrian,4.792,"LINESTRING (101.5113089 3.0824133, 101.511298 3.082455)",,,,,,
5735502247,5735502248,0,612940713,False,,pedestrian,41.163,"LINESTRING (101.5113471 3.0823597, 101.5116093 3.082098)",,,,,,
5735502247,6183107338,0,612940713,False,,pedestrian,4.001,"LINESTRING (101.5113471 3.0823597, 101.5113223 3.0823858)",,,,,,
5735502248,5735502249,0,612940713,False,,pedestrian,7.745,"LINESTRING (101.5116093 3.082098, 101.511679 3.0821007)",,,,,,
5735502248,5735502247,0,612940713,False,,pedestrian,41.163,"LINESTRING (101.5116093 3.082098, 101.5113471 3.0823597)",,,,,,
5735502249,5735502250,0,612940713,False,,pedestrian,26.561,"LINESTRING (101.511679 3.0821007, 101.5118694 3.0819561)",,,,,,
5735502249,5735502248,0,612940713,False,,pedestrian,7.745,"LINESTRING (101.511679 3.0821007, 101.5116093 3.082098)",,,,,,
5735502250,5735502251,0,612940713,False,,pedestrian,25.98,"LINESTRING (101.5118694 3.0819561, 101.5120465 3.0818034)",,,,,,
5735502250,5735502249,0,612940713,False,,pedestrian,26.561,"LINESTRING (101.5118694 3.0819561, 101.511679 3.0821007)",,,,,,
5735502251,5735502252,0,612940713,False,,pedestrian,29.71,"LINESTRING (101.5120465 3.0818034, 101.5122423 3.0816213)",,,,,,
5735502251,5735502250,0,612940713,False,,pedestrian,25.98,"LINESTRING (101.5120465 3.0818034, 101.5118694 3.0819561)",,,,,,
5735502252,5735502253,0,612940713,False,,pedestrian,39.086,"LINESTRING (101.5122423 3.0816213, 101.5124702 3.0813534)",,,,,,
5735502252,5735502251,0,612940713,False,,pedestrian,29.71,"LINESTRING (101.5122423 3.0816213, 101.5120465 3.0818034)",,,,,,
5735502253,5735502254,0,612940713,False,,pedestrian,63.547,"LINESTRING (101.5124702 3.0813534, 101.5128458 3.0809222)",,,,,,
5735502253,5735502252,0,612940713,False,,pedestrian,39.086,"LINESTRING (101.5124702 3.0813534, 101.5122423 3.0816213)",,,,,,
5735502254,7861985070,0,612940713,False,,pedestrian,34.092,"LINESTRING (101.5128458 3.0809222, 101.5130679 3.0807105)",,,,,,
5735502254,5735502253,0,612940713,False,,pedestrian,63.547,"LINESTRING (101.5128458 3.0809222, 101.5124702 3.0813534)",,,,,,
5735502255,7827160115,0,612940713,False,,pedestrian,21.773,"LINESTRING (101.5132561 3.0805312, 101.5134151 3.0804166)",,,,,,
5735502255,7861985070,0,612940713,False,,pedestrian,28.882,"LINESTRING (101.5132561 3.0805312, 101.5130679 3.0807105)",,,,,,
5735502256,5735502257,0,612940713,False,,pedestrian,26.196,"LINESTRING (101.5137041 3.0802071, 101.5139052 3.0800839)",,,,,,
5735502256,7827160115,0,612940713,False,,pedestrian,39.653,"LINESTRING (101.5137041 3.0802071, 101.5134151 3.0804166)",,,,,,
5735502257,5735502258,0,612940713,False,,pedestrian,35.448,"LINESTRING (101.5139052 3.0800839, 101.5141869 3.0799339)",,,,,,
5735502257,5735502256,0,612940713,False,,pedestrian,26.196,"LINESTRING (101.5139052 3.0800839, 101.5137041 3.0802071)",,,,,,
