u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,ref,name,bridge,service,tunnel
5753373735,5753373738,0,312035492,False,,service,30,66.521,"LINESTRING (101.5002326 3.0690707, 101.5001233 3.0696589)",,,,,
5753373738,5753373735,0,312035492,False,,service,30,66.521,"LINESTRING (101.5001233 3.0696589, 101.5002326 3.0690707)",,,,,
5753373738,1982410671,0,312035492,False,,service,30,66.438,"LINESTRING (101.5001233 3.0696589, 101.5000193 3.0702473)",,,,,
5753444047,3178492968,0,312035492,False,,service,30,6.413,"LINESTRING (101.5001656 3.0688496, 101.5002176 3.0688245)",,,,,
5753444047,5753444048,0,312035492,False,,service,30,10.312,"LINESTRING (101.5001656 3.0688496, 101.5001301 3.0689353)",,,,,
5753444048,5753444047,0,312035492,False,,service,30,10.312,"LINESTRING (101.5001301 3.0689353, 101.5001656 3.0688496)",,,,,
5753444048,5755225599,0,312035492,False,,service,30,9.991,"LINESTRING (101.5001301 3.0689353, 101.5002125 3.0689714)",,,,,
5753444060,1982393666,0,187597045,False,,service,30,15.036,"LINESTRING (101.5036266 3.0683379, 101.5036242 3.0682027)",,,,parking_aisle,
5753444060,1982393645,0,187597045,False,,service,30,14.747,"LINESTRING (101.5036266 3.0683379, 101.5036289 3.0684705)",,,,parking_aisle,
5753444066,5753549803,0,374099159,False,,residential,30,12.201,"LINESTRING (101.5055271 3.0677748, 101.5056074 3.0676999)",,,,,
5753549790,5565643352,0,581756129,False,2,service,20,20.154,"LINESTRING (101.5059556 3.0664309, 101.5060854 3.0663042)",,Jalan Dewan Sri Budiman,,,
5753549790,5565643351,0,581756129,False,2,service,20,5.83,"LINESTRING (101.5059556 3.0664309, 101.5059184 3.0664679)",,Jalan Dewan Sri Budiman,,,
5753549791,5755226073,0,581756129,False,2,service,20,2.273,"LINESTRING (101.5058032 3.0666646, 101.5058056 3.0666443)",,Jalan Dewan Sri Budiman,,,
5753549801,3775033487,0,374099159,False,,residential,30,47.754,"LINESTRING (101.5048059 3.0675218, 101.5052331 3.0675714)",,,,,
5753549801,5565576000,0,374099159,False,,residential,30,44.086,"LINESTRING (101.5048059 3.0675218, 101.5044232 3.0674162)",,,,,
5753549802,1982393656,0,187597045,False,,service,30,11.177,"LINESTRING (101.5035814 3.0678465, 101.5036168 3.0677524)",,,,parking_aisle,
5753549802,2099461021,0,187597045,False,,service,30,9.148,"LINESTRING (101.5035814 3.0678465, 101.5035867 3.0679286)",,,,parking_aisle,
5753549803,5753444066,0,374099159,False,,residential,30,12.201,"LINESTRING (101.5056074 3.0676999, 101.5055271 3.0677748)",,,,,
5753549803,5755264688,0,374099159,False,,residential,30,3.677,"LINESTRING (101.5056074 3.0676999, 101.5056209 3.0676697)",,,,,
5753549804,3775033483,0,374099159,False,,residential,30,8.623,"LINESTRING (101.5054348 3.0675586, 101.5055117 3.0675478)",,,,,
5753549804,3775033485,0,374099159,False,,residential,30,10.689,"LINESTRING (101.5054348 3.0675586, 101.5053388 3.0675658)",,,,,
5753549805,5755264687,0,374099159,False,,residential,30,2.602,"LINESTRING (101.5056051 3.0675944, 101.5056182 3.0676138)",,,,,
5753549805,5755264685,0,374099159,False,,residential,30,8.247,"LINESTRING (101.5056051 3.0675944, 101.5055418 3.0675556)",,,,,
5753549807,3775033486,0,374099159,False,,residential,30,8.903,"LINESTRING (101.5035533 3.0671576, 101.5036318 3.0671739)",,,,,
5753549807,3775033482,0,374099159,False,,residential,30,20.155,"LINESTRING (101.5035533 3.0671576, 101.5033756 3.0671206)",,,,,
5755098275,297595946,0,380527525,False,,tertiary,30,19.371,"LINESTRING (101.4950506 3.0734791, 101.4949074 3.0733796)",,Jalan Baiduri Bulan 7/28,,,
5755098275,297595929,0,380527525,False,,tertiary,30,20.086,"LINESTRING (101.4950506 3.0734791, 101.4951859 3.073599)",,Jalan Baiduri Bulan 7/28,,,
5755098282,305357953,0,380527525,False,,tertiary,30,4.239,"LINESTRING (101.4960276 3.0755143, 101.4960018 3.0754862)",,Jalan Baiduri Bulan 7/28,,,
5755098282,305357958,0,380527525,False,,tertiary,30,4.714,"LINESTRING (101.4960276 3.0755143, 101.4960654 3.0755336)",,Jalan Baiduri Bulan 7/28,,,
5755164697,2099477288,0,199964306,False,,service,30,43.261,"LINESTRING (101.4963567 3.0648879, 101.496302 3.0652731)",,,,,
5755164697,2099477286,0,199964306,False,,service,30,22.943,"LINESTRING (101.4963567 3.0648879, 101.4963856 3.0646836)",,,,,
5755165559,3574521670,0,199964306,False,,service,30,7.303,"LINESTRING (101.4963046 3.0653489, 101.4963458 3.0654001)",,,,,
5755165559,2099477288,0,199964306,False,,service,30,8.434,"LINESTRING (101.4963046 3.0653489, 101.496302 3.0652731)",,,,,
5755225597,5755225599,0,312035492,False,,service,30,2.383,"LINESTRING (101.500227 3.0689872, 101.5002125 3.0689714)",,,,,
5755225597,5755225598,0,312035492,False,,service,30,1.78,"LINESTRING (101.500227 3.0689872, 101.500234 3.0690016)",,,,,
5755225598,5755225597,0,312035492,False,,service,30,1.78,"LINESTRING (101.500234 3.0690016, 101.500227 3.0689872)",,,,,
5755225598,5753373735,0,312035492,False,,service,30,7.685,"LINESTRING (101.500234 3.0690016, 101.5002326 3.0690707)",,,,,
5755225599,5753444048,0,312035492,False,,service,30,9.991,"LINESTRING (101.5002125 3.0689714, 101.5001301 3.0689353)",,,,,
5755225599,5755225597,0,312035492,False,,service,30,2.383,"LINESTRING (101.5002125 3.0689714, 101.500227 3.0689872)",,,,,
5755226073,5565643350,0,581756129,False,2,service,20,10.093,"LINESTRING (101.5058056 3.0666443, 101.5058452 3.0665626)",,Jalan Dewan Sri Budiman,,,
5755226073,5753549791,0,581756129,False,2,service,20,2.273,"LINESTRING (101.5058056 3.0666443, 101.5058032 3.0666646)",,Jalan Dewan Sri Budiman,,,
5755226105,1982362420,0,187592888,False,,residential,30,17.387,"LINESTRING (101.5015965 3.0671362, 101.5017346 3.0670625)",,,,,
5755226105,1982369110,0,187592888,False,,residential,30,82.11,"LINESTRING (101.5015965 3.0671362, 101.5009559 3.0675051)",,,,,
5755264660,1982369110,0,187592888,False,,residential,30,10.359,"LINESTRING (101.5009086 3.0675854, 101.5009559 3.0675051)",,,,,
5755264660,1982369117,0,187592888,False,,residential,30,5.553,"LINESTRING (101.5009086 3.0675854, 101.500869 3.0676159)",,,,,
5755264662,1982369125,0,187592888,False,,residential,30,30.539,"LINESTRING (101.499719 3.0680353, 101.4999908 3.0679933)",,,,,
5755264662,1982369130,0,187592888,False,,residential,30,34.767,"LINESTRING (101.499719 3.0680353, 101.4994077 3.0680689)",,,,,
5755264666,2099466077,0,159174737,False,,residential,30,27.302,"LINESTRING (101.5002595 3.0705075, 101.500496 3.0705747)",,Jalan Tonggek,,,
