u,v,key,osmid,oneway,name,highway,length,geometry,tunnel,bridge,service,maxspeed,lanes,ref
4897863502,4897863503,0,498339309,True,,cycleway,62.062,"LINESTRING (101.5033998 3.0619617, 101.5028442 3.0619008)",,,,,,
4897863502,4897863507,0,"[460662730, 498339310]",True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,181.882,"LINESTRING (101.5033998 3.0619617, 101.503315 3.0619154, 101.5027851 3.0616169, 101.5026988 3.0615739, 101.5025817 3.0615585, 101.5024708 3.0615585, 101.5020734 3.0616539, 101.5018809 3.0617035)",,,,,,
4897863507,4897863643,0,498339310,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,900.7230000000001,"LINESTRING (101.5018809 3.0617035, 101.5017991 3.0617246, 101.5015835 3.0618015, 101.5013801 3.0619369, 101.5011336 3.0621154, 101.5010011 3.0621892, 101.5008964 3.0622261, 101.5007269 3.0622569, 101.499778 3.0622969, 101.4993559 3.062343, 101.4990139 3.0623861, 101.4982436 3.062423, 101.4970851 3.0624815, 101.4961269 3.0625769, 101.4952427 3.0626353, 101.4939856 3.0627276, 101.4939309 3.0627299)",,,,,,
4897863640,4897863641,0,498339312,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,30.476,"LINESTRING (101.4871734 3.0624169, 101.4869046 3.0624723)",,,alley,,,
4897863640,5267845045,0,498339317,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,3.965,"LINESTRING (101.4871734 3.0624169, 101.487143 3.0623982)",,,,,,
4897863643,4897863644,0,498339316,True,,cycleway,18.165,"LINESTRING (101.4939309 3.0627299, 101.493784 3.0628018)",,,,,,
4897863643,4897863640,0,"[498339314, 498339315, 498339310]",True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,763.8359999999999,"LINESTRING (101.4939309 3.0627299, 101.4931075 3.0627645, 101.4927686 3.0627707, 101.4926392 3.0627645, 101.4924728 3.0627276, 101.4922602 3.0626876, 101.4920322 3.0626845, 101.4917796 3.0627061, 101.4913481 3.0627863, 101.4903888 3.0629951, 101.4902175 3.063023, 101.4898662 3.0630291, 101.4893887 3.0629984, 101.4891946 3.0629737, 101.488908 3.0629061, 101.4882487 3.0627091, 101.4878543 3.0626168, 101.4874168 3.0625061, 101.4871734 3.0624169)",,yes,,,,
4897863697,269289825,0,498339331,True,,cycleway,14.311,"LINESTRING (101.4997557 3.0631984, 101.4998682 3.0631356)",,,,,,
4897863697,4897863790,0,498339335,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,108.957,"LINESTRING (101.4997557 3.0631984, 101.4998655 3.063243, 101.4999875 3.0632593, 101.5007248 3.0632005)",,,,,,
4897863738,4897863740,0,498339322,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,69.13900000000001,"LINESTRING (101.5193269 3.0687844, 101.5194732 3.0688291, 101.5199245 3.068959)",yes,,,,,
4897863740,4897863783,0,498339321,True,,cycleway,179.95499999999998,"LINESTRING (101.5199245 3.068959, 101.5202078 3.0690362, 101.5203054 3.0690687, 101.5203623 3.0691052, 101.5203867 3.0691539, 101.5203989 3.0692189, 101.5203948 3.0692838, 101.5203705 3.069365, 101.5203176 3.0694421, 101.5202566 3.0694909, 101.5201753 3.0695071, 101.520094 3.0695193, 101.5199802 3.0694909, 101.5198582 3.0694421, 101.5197769 3.0693731, 101.5197322 3.0693082, 101.5196663 3.0692146)",,,,,,
4897863740,4897863751,0,498339323,True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,230.49099999999999,"LINESTRING (101.5199245 3.068959, 101.520018 3.0689549, 101.5201644 3.0689306, 101.5203392 3.0688697, 101.5205465 3.068752, 101.5207661 3.0685936, 101.5209246 3.0684962, 101.5210628 3.0684353, 101.5213108 3.0683663, 101.5214814 3.0683202, 101.5216359 3.0682553, 101.5218108 3.0681577)",,,,,,
4897863752,4897863738,0,498339320,True,,cycleway,193.63500000000005,"LINESTRING (101.5195277 3.0691789, 101.5193541 3.0692716, 101.5191671 3.0693204, 101.519037 3.0693285, 101.5189394 3.0693082, 101.518854 3.0692595, 101.5187931 3.0691986, 101.5187524 3.0691336, 101.5187361 3.0690605, 101.5187361 3.0689793, 101.5187524 3.0689063, 101.518789 3.0688494, 101.5188622 3.0687967, 101.5189557 3.0687601, 101.5190614 3.0687561, 101.5191833 3.0687682, 101.5193269 3.0687844)",,,,,,
4897863784,4897863785,0,498339328,True,,cycleway,13.318,"LINESTRING (101.5165285 3.0661368, 101.5166483 3.066131)",,,,,,
4897863784,4897863738,0,"[498339335, 498339324, 498339325, 498339326, 498339327]",True,Lorong Motosikal Lebuhraya Persekutuan,cycleway,433.731,"LINESTRING (101.5165285 3.0661368, 101.5172535 3.06671, 101.5176235 3.0670469, 101.5178755 3.067254, 101.5179731 3.0673473, 101.5180747 3.0674813, 101.5181194 3.0676762, 101.5183227 3.0679563, 101.5186724 3.0682892, 101.5191074 3.068618, 101.5193269 3.0687844)",yes,yes,,,,
